Similar results were also obtained with respect to 5 - FU.	"5 - FU	51	57	Chemical"	"[{""token"": ""5 - FU"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}]"
Angiogenesis is essential for tumor growth and metastasis.	"tumor	30	35	Cancer"	"[{""token"": ""tumor"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Cancer""}]"
These findings strongly support an enhanced role for this pathway in clear cell carcinomas by regulating angiogenesis and / or lymphangiogenesis.	"clear cell carcinomas	69	90	Cancer"	"[{""token"": ""clear cell carcinomas"", ""start_span"": 69, ""end_span"": 90, ""type"": ""Cancer""}]"
Consistent with these findings is the induction under hypoxic conditions of the HIF - 1 protein.	"HIF - 1	80	87	Gene_or_gene_product"	"[{""token"": ""HIF - 1"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}]"
BMSVTs exhibited a partially transformed phenotype, demonstrating growth factor independence, altered antigen expression and forming tiny, infrequent colonies in vitro.	"BMSVTs	0	6	Cell"	"[{""token"": ""BMSVTs"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Cell""}]"
Tumor size was measured every 3 days.	"Tumor	0	5	Cancer"	"[{""token"": ""Tumor"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cancer""}]"
In situ fluorescent end labeling was used to label apoptotic cells.	"cells	61	66	Cell"	"[{""token"": ""cells"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Cell""}]"
It is considered that resection of the primary tumor induces activation of systemic angiogenesis and enhances progression of remote metastasis.	"tumor	47	52	Cancer"	"[{""token"": ""tumor"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Cancer""}]"
Antiapoptotic effect of coagulation factor VIIa.	"coagulation factor VIIa	24	47	Gene_or_gene_product"	"[{""token"": ""coagulation factor VIIa"", ""start_span"": 24, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
To understand the mechanisms behind these processes, we have examined the effect of FVIIa on apoptosis.	"FVIIa	84	89	Gene_or_gene_product"	"[{""token"": ""FVIIa"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Gene_or_gene_product""}]"
These accelerated relapses occur within 10 months of surgery for untreated patients.	"patients	75	83	Organism"	"[{""token"": ""patients"", ""start_span"": 75, ""end_span"": 83, ""type"": ""Organism""}]"
The mechanism proposed is a stimulation of angiogenesis for distant dormant micrometastases.	"distant dormant micrometastases	60	91	Cancer"	"[{""token"": ""distant dormant micrometastases"", ""start_span"": 60, ""end_span"": 91, ""type"": ""Cancer""}]"
