Microsatellite regions in the type II transforming growth factor - beta receptor ( TGF - beta RII) gene appear to be targets for mutation in some cancers displaying microsatellite instability ( replication error phenotype, RER +).	"type II transforming growth factor - beta receptor	30	80	Gene_or_gene_product"	"TGF - beta RII	83	97	Gene_or_gene_product"	"cancers	146	153	Cancer"	"[{""token"": ""type II transforming growth factor - beta receptor"", ""start_span"": 30, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}, {""token"": ""TGF - beta RII"", ""start_span"": 83, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""cancers"", ""start_span"": 146, ""end_span"": 153, ""type"": ""Cancer""}]"
Furthermore, TGF - beta RII mutations in RER + tumors have been associated with decreased TGF - beta RII mRNA levels.	"TGF - beta RII	13	27	Gene_or_gene_product"	"RER + tumors	41	53	Cancer"	"TGF - beta RII	90	104	Gene_or_gene_product"	"[{""token"": ""TGF - beta RII"", ""start_span"": 13, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""RER + tumors"", ""start_span"": 41, ""end_span"": 53, ""type"": ""Cancer""}, {""token"": ""TGF - beta RII"", ""start_span"": 90, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}]"
As TGF - beta is a potent negative growth regulator of hematopoietic cells, investigations were undertaken to determine whether inactivation of the receptor by microsatellite alteration might be involved in the progression of CML.	"TGF - beta	3	13	Gene_or_gene_product"	"hematopoietic cells	55	74	Cell"	"CML	226	229	Cancer"	"[{""token"": ""TGF - beta"", ""start_span"": 3, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""hematopoietic cells"", ""start_span"": 55, ""end_span"": 74, ""type"": ""Cell""}, {""token"": ""CML"", ""start_span"": 226, ""end_span"": 229, ""type"": ""Cancer""}]"
However, during each phase of the disease, low levels of TGF - beta RII were detected when compared with the hematopoietic cells of normal donors.	"TGF - beta RII	57	71	Gene_or_gene_product"	"hematopoietic cells	109	128	Cell"	"donors	139	145	Organism"	"[{""token"": ""TGF - beta RII"", ""start_span"": 57, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}, {""token"": ""hematopoietic cells"", ""start_span"": 109, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""donors"", ""start_span"": 139, ""end_span"": 145, ""type"": ""Organism""}]"
The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"TGF - beta RII	59	73	Gene_or_gene_product"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}, {""token"": ""TGF - beta RII"", ""start_span"": 59, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
Decreased expression of TGF - beta RII in CML cells and leukemia cell lines raises the possibility that altered expression of the receptor may play a role in the initiation and / or maintenance of the disease state.	"TGF - beta RII	24	38	Gene_or_gene_product"	"CML cells	42	51	Cell"	"leukemia cell lines	56	75	Cell"	"[{""token"": ""TGF - beta RII"", ""start_span"": 24, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""CML cells"", ""start_span"": 42, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""leukemia cell lines"", ""start_span"": 56, ""end_span"": 75, ""type"": ""Cell""}]"
Treatment with tunicamycin produced a 40 - 50% inhibition of 2 - deoxyglucose uptake and this was associated with a 2 - 2. 5 - fold decrease in transporter affinity for glucose ( Km) without a change in Vmax.	"tunicamycin	15	26	Chemical"	"2 - deoxyglucose	61	77	Chemical"	"glucose	169	176	Chemical"	"[{""token"": ""tunicamycin"", ""start_span"": 15, ""end_span"": 26, ""type"": ""Chemical""}, {""token"": ""2 - deoxyglucose"", ""start_span"": 61, ""end_span"": 77, ""type"": ""Chemical""}, {""token"": ""glucose"", ""start_span"": 169, ""end_span"": 176, ""type"": ""Chemical""}]"
Treatment of K562 cells with tunicamycin for 18 h, resulted in extensive loss of the 50 - 60 kDa glycoprotein, appearance of a 30 - 40 kDa band and increased staining of a 45 kDa band.	"K562 cells	13	23	Cell"	"tunicamycin	29	40	Chemical"	"glycoprotein	97	109	Gene_or_gene_product"	"[{""token"": ""K562 cells"", ""start_span"": 13, ""end_span"": 23, ""type"": ""Cell""}, {""token"": ""tunicamycin"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Chemical""}, {""token"": ""glycoprotein"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"
In contrast, tunicamycin had little effect on the viability and MTT responses of the cells used.	"tunicamycin	13	24	Chemical"	"MTT	64	67	Chemical"	"cells	85	90	Cell"	"[{""token"": ""tunicamycin"", ""start_span"": 13, ""end_span"": 24, ""type"": ""Chemical""}, {""token"": ""MTT"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Chemical""}, {""token"": ""cells"", ""start_span"": 85, ""end_span"": 90, ""type"": ""Cell""}]"
We examined the expression of nm23 - H1 gene product in surgically resected 46 pairs of primary lung cancers and metastatic lymph nodes by immunohistochemistry.	"nm23 - H1	30	39	Gene_or_gene_product"	"lung cancers	96	108	Cancer"	"lymph nodes	124	135	Multi"	"[{""token"": ""nm23 - H1"", ""start_span"": 30, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""lung cancers"", ""start_span"": 96, ""end_span"": 108, ""type"": ""Cancer""}, {""token"": ""lymph nodes"", ""start_span"": 124, ""end_span"": 135, ""type"": ""Multi""}]"
