In this model, UFT showed a strong angiogenesis - inhibitory effect, whereas 5 - fluorouracil ( 5 - FU) and doxifluridine were less effective.	"UFT	15	18	Chemical"	"5 - fluorouracil	77	93	Chemical"	"5 - FU	96	102	Chemical"	"doxifluridine	108	121	Chemical"	"[{""token"": ""UFT"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""5 - fluorouracil"", ""start_span"": 77, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""5 - FU"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Chemical""}, {""token"": ""doxifluridine"", ""start_span"": 108, ""end_span"": 121, ""type"": ""Chemical""}]"
The anti - tumour effect of L - NAME after systemic administration was studied in a renal subcapsular CC531 adenocarcinoma model in rats.	"tumour	11	17	Cancer"	"L - NAME	28	36	Chemical"	"renal subcapsular CC531 adenocarcinoma	84	122	Cancer"	"rats	132	136	Organism"	"[{""token"": ""tumour"", ""start_span"": 11, ""end_span"": 17, ""type"": ""Cancer""}, {""token"": ""L - NAME"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""renal subcapsular CC531 adenocarcinoma"", ""start_span"": 84, ""end_span"": 122, ""type"": ""Cancer""}, {""token"": ""rats"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Organism""}]"
In combination with TNF or melphalan, L - NAME increased response rates significantly compared to perfusions without L - NAME ( 0 - 64% and 0 - 63% respectively).	"TNF	20	23	Gene_or_gene_product"	"melphalan	27	36	Chemical"	"L - NAME	38	46	Chemical"	"L - NAME	117	125	Chemical"	"[{""token"": ""TNF"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""melphalan"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""L - NAME"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Chemical""}, {""token"": ""L - NAME"", ""start_span"": 117, ""end_span"": 125, ""type"": ""Chemical""}]"
An additional anti - tumour effect was demonstrated when L - NAME was added to the synergistic combination of melphalan and TNF ( responses increased from 70 to 100%).	"tumour	21	27	Cancer"	"L - NAME	57	65	Chemical"	"melphalan	110	119	Chemical"	"TNF	124	127	Gene_or_gene_product"	"[{""token"": ""tumour"", ""start_span"": 21, ""end_span"": 27, ""type"": ""Cancer""}, {""token"": ""L - NAME"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Chemical""}, {""token"": ""melphalan"", ""start_span"": 110, ""end_span"": 119, ""type"": ""Chemical""}, {""token"": ""TNF"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}]"
A synergistic anti - tumour effect of L - NAME is observed in combination with melphalan and / or TNF using ILP.	"tumour	21	27	Cancer"	"L - NAME	38	46	Chemical"	"melphalan	79	88	Chemical"	"TNF	98	101	Gene_or_gene_product"	"[{""token"": ""tumour"", ""start_span"": 21, ""end_span"": 27, ""type"": ""Cancer""}, {""token"": ""L - NAME"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Chemical""}, {""token"": ""melphalan"", ""start_span"": 79, ""end_span"": 88, ""type"": ""Chemical""}, {""token"": ""TNF"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}]"
The efficacy of the antitumor activity of 1 ' - acetoxychavicol acetate ( ACA), reported to be a suppressor of chemically induced carcinogenesis, was evaluated in Ehrlich ascites tumor cells.	"antitumor	20	29	Cancer"	"1 ' - acetoxychavicol acetate	42	71	Chemical"	"ACA	74	77	Chemical"	"Ehrlich ascites tumor cells	163	190	Cell"	"[{""token"": ""antitumor"", ""start_span"": 20, ""end_span"": 29, ""type"": ""Cancer""}, {""token"": ""1 ' - acetoxychavicol acetate"", ""start_span"": 42, ""end_span"": 71, ""type"": ""Chemical""}, {""token"": ""ACA"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Chemical""}, {""token"": ""Ehrlich ascites tumor cells"", ""start_span"": 163, ""end_span"": 190, ""type"": ""Cell""}]"
Apoptosis, characterized by nuclear condensation, membrane blebbing, cell shrinkage and a significant induction of caspase - 3 - like protease activity at 8 h in a time - course study were observed.	"nuclear	28	35	Cellular_component"	"membrane	50	58	Cellular_component"	"cell	69	73	Cell"	"caspase - 3 - like protease	115	142	Gene_or_gene_product"	"[{""token"": ""nuclear"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Cellular_component""}, {""token"": ""membrane"", ""start_span"": 50, ""end_span"": 58, ""type"": ""Cellular_component""}, {""token"": ""cell"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""caspase - 3 - like protease"", ""start_span"": 115, ""end_span"": 142, ""type"": ""Gene_or_gene_product""}]"
Vascular endothelial growth factor - B and vascular endothelial growth factor - C expression in renal cell carcinomas: regulation by the von Hippel - Lindau gene and hypoxia.	"Vascular endothelial growth factor - B	0	38	Gene_or_gene_product"	"vascular endothelial growth factor - C	43	81	Gene_or_gene_product"	"renal cell carcinomas	96	117	Cancer"	"von Hippel - Lindau	137	156	Gene_or_gene_product"	"[{""token"": ""Vascular endothelial growth factor - B"", ""start_span"": 0, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor - C"", ""start_span"": 43, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}, {""token"": ""renal cell carcinomas"", ""start_span"": 96, ""end_span"": 117, ""type"": ""Cancer""}, {""token"": ""von Hippel - Lindau"", ""start_span"": 137, ""end_span"": 156, ""type"": ""Gene_or_gene_product""}]"
We observed a significant up - regulation of VEGF - B ( P = 0. 002) but not VEGF - C ( P = 0. 3) in neoplastic kidney compared with normal tissues.	"VEGF - B	45	53	Gene_or_gene_product"	"VEGF - C	76	84	Gene_or_gene_product"	"neoplastic kidney	100	117	Organ"	"normal tissues	132	146	Tissue"	"[{""token"": ""VEGF - B"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 76, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}, {""token"": ""neoplastic kidney"", ""start_span"": 100, ""end_span"": 117, ""type"": ""Organ""}, {""token"": ""normal tissues"", ""start_span"": 132, ""end_span"": 146, ""type"": ""Tissue""}]"
One of the most common signatures of highly malignant tumors is their capacity to metabolize more glucose to lactic acid than their tissues of origin.	"malignant tumors	44	60	Cancer"	"glucose	98	105	Chemical"	"lactic acid	109	120	Chemical"	"tissues	132	139	Tissue"	"[{""token"": ""malignant tumors"", ""start_span"": 44, ""end_span"": 60, ""type"": ""Cancer""}, {""token"": ""glucose"", ""start_span"": 98, ""end_span"": 105, ""type"": ""Chemical""}, {""token"": ""lactic acid"", ""start_span"": 109, ""end_span"": 120, ""type"": ""Chemical""}, {""token"": ""tissues"", ""start_span"": 132, ""end_span"": 139, ""type"": ""Tissue""}]"
