UFT and its metabolites inhibit the angiogenesis induced by murine renal cell carcinoma, as determined by a dorsal air sac assay in mice.	"UFT	0	3	Chemical"	"murine	60	66	Organism"	"renal cell carcinoma	67	87	Cancer"	"dorsal air sac	108	122	Multi"	"mice	132	136	Organism"	"[{""token"": ""UFT"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}, {""token"": ""murine"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Organism""}, {""token"": ""renal cell carcinoma"", ""start_span"": 67, ""end_span"": 87, ""type"": ""Cancer""}, {""token"": ""dorsal air sac"", ""start_span"": 108, ""end_span"": 122, ""type"": ""Multi""}, {""token"": ""mice"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Organism""}]"
Nitric oxide synthase inhibition results in synergistic anti - tumour activity with melphalan and tumour necrosis factor alpha - based isolated limb perfusions.	"Nitric oxide synthase	0	21	Gene_or_gene_product"	"tumour	63	69	Cancer"	"melphalan	84	93	Chemical"	"tumour necrosis factor alpha	98	126	Gene_or_gene_product"	"limb	144	148	Organism_subdivision"	"[{""token"": ""Nitric oxide synthase"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumour"", ""start_span"": 63, ""end_span"": 69, ""type"": ""Cancer""}, {""token"": ""melphalan"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""tumour necrosis factor alpha"", ""start_span"": 98, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""limb"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Organism_subdivision""}]"
Nitric oxide ( NO) is an important molecule in regulating tumour blood flow and stimulating tumour angiogenesis.	"Nitric oxide	0	12	Chemical"	"NO	15	17	Chemical"	"tumour	58	64	Cancer"	"blood	65	70	Organism_substance"	"tumour	92	98	Cancer"	"[{""token"": ""Nitric oxide"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Chemical""}, {""token"": ""NO"", ""start_span"": 15, ""end_span"": 17, ""type"": ""Chemical""}, {""token"": ""tumour"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Cancer""}, {""token"": ""blood"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Organism_substance""}, {""token"": ""tumour"", ""start_span"": 92, ""end_span"": 98, ""type"": ""Cancer""}]"
Moreover, regional administration of L - NAME, in combination with TNF and melphalan, was studied in an isolated limb perfusion ( ILP) model using BN175 soft - tissue sarcomas.	"L - NAME	37	45	Chemical"	"TNF	67	70	Gene_or_gene_product"	"melphalan	75	84	Chemical"	"limb	113	117	Organism_subdivision"	"BN175 soft - tissue sarcomas	147	175	Cancer"	"[{""token"": ""L - NAME"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Chemical""}, {""token"": ""TNF"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""melphalan"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""limb"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Organism_subdivision""}, {""token"": ""BN175 soft - tissue sarcomas"", ""start_span"": 147, ""end_span"": 175, ""type"": ""Cancer""}]"
We have, therefore, measured the mRNA level of VEGF - B and VEGF - C together with their receptors by RNase protection assay ( RPA) in 26 normal kidney samples and 45 renal cell cancers.	"VEGF - B	47	55	Gene_or_gene_product"	"VEGF - C	60	68	Gene_or_gene_product"	"RNase	102	107	Gene_or_gene_product"	"normal kidney samples	138	159	Multi"	"renal cell cancers	167	185	Cancer"	"[{""token"": ""VEGF - B"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}, {""token"": ""RNase"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""normal kidney samples"", ""start_span"": 138, ""end_span"": 159, ""type"": ""Multi""}, {""token"": ""renal cell cancers"", ""start_span"": 167, ""end_span"": 185, ""type"": ""Cancer""}]"
There was also a significant correlation between VEGF - C and both of its receptors flt - 4 ( P = 0. 006) and KDR ( P = 0. 03) but no association between VEGF - B and its receptor flt - 1 ( P = 0. 23).	"VEGF - C	49	57	Gene_or_gene_product"	"flt - 4	84	91	Gene_or_gene_product"	"KDR	110	113	Gene_or_gene_product"	"VEGF - B	154	162	Gene_or_gene_product"	"flt - 1	180	187	Gene_or_gene_product"	"[{""token"": ""VEGF - C"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 4"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDR"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - B"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 1"", ""start_span"": 180, ""end_span"": 187, ""type"": ""Gene_or_gene_product""}]"
Hepatomas exhibiting this phenotype are dependent on the high expression of type II hexokinase, which supplies such tumors with abundant amounts of glucose 6 - phosphate, a significant carbon and energy source especially under hypoxic conditions.	"Hepatomas	0	9	Cancer"	"type II hexokinase	76	94	Gene_or_gene_product"	"tumors	116	122	Cancer"	"glucose 6 - phosphate	148	169	Chemical"	"carbon	185	191	Chemical"	"[{""token"": ""Hepatomas"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Cancer""}, {""token"": ""type II hexokinase"", ""start_span"": 76, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumors"", ""start_span"": 116, ""end_span"": 122, ""type"": ""Cancer""}, {""token"": ""glucose 6 - phosphate"", ""start_span"": 148, ""end_span"": 169, ""type"": ""Chemical""}, {""token"": ""carbon"", ""start_span"": 185, ""end_span"": 191, ""type"": ""Chemical""}]"
Here we report that the distal region of the hepatoma type II hexokinase promoter displays consensus motifs for hypoxia - inducible factor ( HIF - 1) that overlap E - box sequences known to be related in other gene promoters to glucose response.	"hepatoma	45	53	Cancer"	"type II hexokinase	54	72	Gene_or_gene_product"	"hypoxia - inducible factor	112	138	Gene_or_gene_product"	"HIF - 1	141	148	Gene_or_gene_product"	"glucose	228	235	Chemical"	"[{""token"": ""hepatoma"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Cancer""}, {""token"": ""type II hexokinase"", ""start_span"": 54, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""hypoxia - inducible factor"", ""start_span"": 112, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""glucose"", ""start_span"": 228, ""end_span"": 235, ""type"": ""Chemical""}]"
In summary, these novel studies identify and characterize a marked glucose - modulated activation response of the type II hexokinase gene to hypoxic conditions within highly glycolytic hepatoma cells, a property that may help assure that such cells exhibit a growth and survival advantage over their parental cells of origin.	"glucose	67	74	Chemical"	"type II hexokinase	114	132	Gene_or_gene_product"	"hepatoma cells	185	199	Cell"	"cells	243	248	Cell"	"parental cells	300	314	Cell"	"[{""token"": ""glucose"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""type II hexokinase"", ""start_span"": 114, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""hepatoma cells"", ""start_span"": 185, ""end_span"": 199, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 243, ""end_span"": 248, ""type"": ""Cell""}, {""token"": ""parental cells"", ""start_span"": 300, ""end_span"": 314, ""type"": ""Cell""}]"
Multiple stages of malignant transformation of human endothelial cells modelled by co - expression of telomerase reverse transcriptase, SV40 T antigen and oncogenic N - ras.	"human	47	52	Organism"	"endothelial cells	53	70	Cell"	"telomerase reverse transcriptase	102	134	Gene_or_gene_product"	"SV40 T antigen	136	150	Gene_or_gene_product"	"N - ras	165	172	Gene_or_gene_product"	"[{""token"": ""human"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Organism""}, {""token"": ""endothelial cells"", ""start_span"": 53, ""end_span"": 70, ""type"": ""Cell""}, {""token"": ""telomerase reverse transcriptase"", ""start_span"": 102, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}, {""token"": ""SV40 T antigen"", ""start_span"": 136, ""end_span"": 150, ""type"": ""Gene_or_gene_product""}, {""token"": ""N - ras"", ""start_span"": 165, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}]"
