Inhibition of NO synthase by L - NAME might induce an anti - tumour effect by limiting nutrients and oxygen to reach tumour tissue or affecting vascular growth.	"NO synthase	14	25	Gene_or_gene_product"	"L - NAME	29	37	Chemical"	"tumour	61	67	Cancer"	"oxygen	101	107	Chemical"	"tumour tissue	117	130	Tissue"	"vascular	144	152	Multi"	"[{""token"": ""NO synthase"", ""start_span"": 14, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""L - NAME"", ""start_span"": 29, ""end_span"": 37, ""type"": ""Chemical""}, {""token"": ""tumour"", ""start_span"": 61, ""end_span"": 67, ""type"": ""Cancer""}, {""token"": ""oxygen"", ""start_span"": 101, ""end_span"": 107, ""type"": ""Chemical""}, {""token"": ""tumour tissue"", ""start_span"": 117, ""end_span"": 130, ""type"": ""Tissue""}, {""token"": ""vascular"", ""start_span"": 144, ""end_span"": 152, ""type"": ""Multi""}]"
In addition, although VEGF receptors were higher in tumors than normal kidney, there was a significant up - regulation of only flt - 1 ( P = 0. 003) but not KDR ( P = 0. 12) or flt - 4 ( P = 0. 09).	"VEGF receptors	22	36	Gene_or_gene_product"	"tumors	52	58	Cancer"	"kidney	71	77	Organ"	"flt - 1	127	134	Gene_or_gene_product"	"KDR	157	160	Gene_or_gene_product"	"flt - 4	177	184	Gene_or_gene_product"	"[{""token"": ""VEGF receptors"", ""start_span"": 22, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumors"", ""start_span"": 52, ""end_span"": 58, ""type"": ""Cancer""}, {""token"": ""kidney"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Organ""}, {""token"": ""flt - 1"", ""start_span"": 127, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDR"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 4"", ""start_span"": 177, ""end_span"": 184, ""type"": ""Gene_or_gene_product""}]"
A significant increase was observed in flt - 1 ( P less than 0. 001), KDR ( P = 0. 02), and flt - 4 ( P = 0. 01) but not VEGF - B ( P = 0. 82) or VEGF - C ( P = 0. 52) expression in clear cell compared with chromophil ( papillary) carcinomas.	"flt - 1	39	46	Gene_or_gene_product"	"KDR	70	73	Gene_or_gene_product"	"flt - 4	92	99	Gene_or_gene_product"	"VEGF - B	121	129	Gene_or_gene_product"	"VEGF - C	146	154	Gene_or_gene_product"	"clear cell	182	192	Cell"	"[{""token"": ""flt - 1"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDR"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 4"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - B"", ""start_span"": 121, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 146, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""clear cell"", ""start_span"": 182, ""end_span"": 192, ""type"": ""Cell""}]"
PURPOSE: To evaluate alterations in the retinal vasculature overlying pigment epithelial detachments ( PED) in exudative age - related macular degeneration ( ARMD) using indocyanine green and fluorescein angiography.	"retinal vasculature	40	59	Multi"	"pigment epithelial detachments	70	100	Pathological_formation"	"PED	103	106	Pathological_formation"	"macular	135	142	Tissue"	"indocyanine green	170	187	Chemical"	"fluorescein	192	203	Chemical"	"[{""token"": ""retinal vasculature"", ""start_span"": 40, ""end_span"": 59, ""type"": ""Multi""}, {""token"": ""pigment epithelial detachments"", ""start_span"": 70, ""end_span"": 100, ""type"": ""Pathological_formation""}, {""token"": ""PED"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Pathological_formation""}, {""token"": ""macular"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Tissue""}, {""token"": ""indocyanine green"", ""start_span"": 170, ""end_span"": 187, ""type"": ""Chemical""}, {""token"": ""fluorescein"", ""start_span"": 192, ""end_span"": 203, ""type"": ""Chemical""}]"
Control RM - 9 cells and RM - 9 cells stably transfected with IL - 12 gene ( RM - 9 - IL12) were inoculated subcutaneously in 4 - to 6 - week - old male C57BL / J6 mice.	"RM - 9 cells	8	20	Cell"	"RM - 9 cells	25	37	Cell"	"IL - 12	62	69	Gene_or_gene_product"	"IL12	86	90	Gene_or_gene_product"	"subcutaneously	108	122	Immaterial_anatomical_entity"	"C57BL / J6 mice	153	168	Organism"	"[{""token"": ""RM - 9 cells"", ""start_span"": 8, ""end_span"": 20, ""type"": ""Cell""}, {""token"": ""RM - 9 cells"", ""start_span"": 25, ""end_span"": 37, ""type"": ""Cell""}, {""token"": ""IL - 12"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL12"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""subcutaneously"", ""start_span"": 108, ""end_span"": 122, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""C57BL / J6 mice"", ""start_span"": 153, ""end_span"": 168, ""type"": ""Organism""}]"
Adaptor protein Crk is required for ephrin - B1 - induced membrane ruffling and focal complex assembly of human aortic endothelial cells.	"Crk	16	19	Gene_or_gene_product"	"ephrin - B1	36	47	Gene_or_gene_product"	"membrane	58	66	Cellular_component"	"focal complex	80	93	Cellular_component"	"human	106	111	Organism"	"aortic endothelial cells	112	136	Cell"	"[{""token"": ""Crk"", ""start_span"": 16, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""ephrin - B1"", ""start_span"": 36, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Cellular_component""}, {""token"": ""focal complex"", ""start_span"": 80, ""end_span"": 93, ""type"": ""Cellular_component""}, {""token"": ""human"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Organism""}, {""token"": ""aortic endothelial cells"", ""start_span"": 112, ""end_span"": 136, ""type"": ""Cell""}]"
We investigated the mechanism by which ephrin - B1 promotes membrane ruffling in human aortic endothelial cells, because membrane ruffling heralds cell body migration.	"ephrin - B1	39	50	Gene_or_gene_product"	"membrane	60	68	Cellular_component"	"human	81	86	Organism"	"aortic endothelial cells	87	111	Cell"	"membrane	121	129	Cellular_component"	"cell body	147	156	Cell"	"[{""token"": ""ephrin - B1"", ""start_span"": 39, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Cellular_component""}, {""token"": ""human"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Organism""}, {""token"": ""aortic endothelial cells"", ""start_span"": 87, ""end_span"": 111, ""type"": ""Cell""}, {""token"": ""membrane"", ""start_span"": 121, ""end_span"": 129, ""type"": ""Cellular_component""}, {""token"": ""cell body"", ""start_span"": 147, ""end_span"": 156, ""type"": ""Cell""}]"
Serum deprivation - induced apoptosis of BHK ( + TF) cells was characterized by apoptotic blebs, nuclei with chromatin - condensed bodies, DNA degradation, and activation of caspase 3.	"Serum	0	5	Organism_substance"	"blebs	90	95	Cellular_component"	"nuclei	97	103	Cellular_component"	"chromatin	109	118	Cellular_component"	"DNA	139	142	Cellular_component"	"caspase 3	174	183	Gene_or_gene_product"	"[{""token"": ""Serum"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organism_substance""}, {""token"": ""blebs"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Cellular_component""}, {""token"": ""nuclei"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Cellular_component""}, {""token"": ""chromatin"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Cellular_component""}, {""token"": ""DNA"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Cellular_component""}, {""token"": ""caspase 3"", ""start_span"": 174, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}]"
This study aimed to explore the correlation between the expression of VEGF - C in TAMs and lymphatic metastasis in human oral squamous - cell carcinoma ( OSCC).	"VEGF - C	70	78	Gene_or_gene_product"	"TAMs	82	86	Cell"	"lymphatic	91	100	Organ"	"human	115	120	Organism"	"oral squamous - cell carcinoma	121	151	Cancer"	"OSCC	154	158	Cancer"	"[{""token"": ""VEGF - C"", ""start_span"": 70, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}, {""token"": ""TAMs"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Cell""}, {""token"": ""lymphatic"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Organ""}, {""token"": ""human"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""oral squamous - cell carcinoma"", ""start_span"": 121, ""end_span"": 151, ""type"": ""Cancer""}, {""token"": ""OSCC"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Cancer""}]"
An earlier study showed that thrombospondin is expressed in benign prostatic hyperplasia ( BPH) and high - grade prostatic intraepithelial neoplasia ( PIN) but is absent in prostate cancer.	"thrombospondin	29	43	Gene_or_gene_product"	"benign prostatic hyperplasia	60	88	Pathological_formation"	"BPH	91	94	Pathological_formation"	"prostatic intraepithelial neoplasia	113	148	Pathological_formation"	"PIN	151	154	Pathological_formation"	"prostate cancer	173	188	Cancer"	"[{""token"": ""thrombospondin"", ""start_span"": 29, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""benign prostatic hyperplasia"", ""start_span"": 60, ""end_span"": 88, ""type"": ""Pathological_formation""}, {""token"": ""BPH"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Pathological_formation""}, {""token"": ""prostatic intraepithelial neoplasia"", ""start_span"": 113, ""end_span"": 148, ""type"": ""Pathological_formation""}, {""token"": ""PIN"", ""start_span"": 151, ""end_span"": 154, ""type"": ""Pathological_formation""}, {""token"": ""prostate cancer"", ""start_span"": 173, ""end_span"": 188, ""type"": ""Cancer""}]"
