UFT, an anticancer agent that is composed of tegafur ( FT) and uracil at a molar ratio of 1: 4, is widely used in clinical practice in Japan to treat cancer patients requiring a long - term chemotherapy, and it is associated with few side effects, if any.	"UFT	0	3	Chemical"	"anticancer	8	18	Cancer"	"tegafur	45	52	Chemical"	"FT	55	57	Chemical"	"uracil	63	69	Chemical"	"cancer	150	156	Cancer"	"patients	157	165	Organism"	"[{""token"": ""UFT"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}, {""token"": ""anticancer"", ""start_span"": 8, ""end_span"": 18, ""type"": ""Cancer""}, {""token"": ""tegafur"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Chemical""}, {""token"": ""FT"", ""start_span"": 55, ""end_span"": 57, ""type"": ""Chemical""}, {""token"": ""uracil"", ""start_span"": 63, ""end_span"": 69, ""type"": ""Chemical""}, {""token"": ""cancer"", ""start_span"": 150, ""end_span"": 156, ""type"": ""Cancer""}, {""token"": ""patients"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Organism""}]"
It was suggested that UFT has a stronger angiogenesis - inhibitory effect than did other fluorinated pyrimidines, partly due to its pharmacokinetic properties characterized by maintaining of higher and long - lasting blood levels of 5 - FU and partly due the inhibitory effects derived from gamma - hydroxybutyric acid and gamma - butyrolactone, UFT - specific metabolites.	"UFT	22	25	Chemical"	"fluorinated pyrimidines	89	112	Chemical"	"blood	217	222	Organism_substance"	"5 - FU	233	239	Chemical"	"gamma - hydroxybutyric acid	291	318	Chemical"	"gamma - butyrolactone	323	344	Chemical"	"UFT	346	349	Chemical"	"[{""token"": ""UFT"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Chemical""}, {""token"": ""fluorinated pyrimidines"", ""start_span"": 89, ""end_span"": 112, ""type"": ""Chemical""}, {""token"": ""blood"", ""start_span"": 217, ""end_span"": 222, ""type"": ""Organism_substance""}, {""token"": ""5 - FU"", ""start_span"": 233, ""end_span"": 239, ""type"": ""Chemical""}, {""token"": ""gamma - hydroxybutyric acid"", ""start_span"": 291, ""end_span"": 318, ""type"": ""Chemical""}, {""token"": ""gamma - butyrolactone"", ""start_span"": 323, ""end_span"": 344, ""type"": ""Chemical""}, {""token"": ""UFT"", ""start_span"": 346, ""end_span"": 349, ""type"": ""Chemical""}]"
Formation of apoptotic bodies was preceded by lowering of intracellular polyamines, particularly putrescine, and both dose - and time - dependent inhibitory and activation effect by ACA on ornithine decarboxylase ( ODC) and spermidine / spermine N ( 1) - acetyltransferase ( SSAT), respectively.	"apoptotic bodies	13	29	Cellular_component"	"intracellular	58	71	Immaterial_anatomical_entity"	"putrescine	97	107	Chemical"	"ACA	182	185	Chemical"	"ornithine decarboxylase	189	212	Gene_or_gene_product"	"ODC	215	218	Gene_or_gene_product"	"SSAT	275	279	Gene_or_gene_product"	"[{""token"": ""apoptotic bodies"", ""start_span"": 13, ""end_span"": 29, ""type"": ""Cellular_component""}, {""token"": ""intracellular"", ""start_span"": 58, ""end_span"": 71, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""putrescine"", ""start_span"": 97, ""end_span"": 107, ""type"": ""Chemical""}, {""token"": ""ACA"", ""start_span"": 182, ""end_span"": 185, ""type"": ""Chemical""}, {""token"": ""ornithine decarboxylase"", ""start_span"": 189, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""ODC"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Gene_or_gene_product""}, {""token"": ""SSAT"", ""start_span"": 275, ""end_span"": 279, ""type"": ""Gene_or_gene_product""}]"
The effect of von Hippel - Lindau ( VHL) gene and hypoxia on VEGF - B and VEGF - C expression in the renal carcinoma cell line 786 - 0 transfected with wild - type and mutant VHL was determined by growing cells under 21% O2 - and 0. 1% O2.	"von Hippel - Lindau	14	33	Gene_or_gene_product"	"VHL	36	39	Gene_or_gene_product"	"VEGF - B	61	69	Gene_or_gene_product"	"VEGF - C	74	82	Gene_or_gene_product"	"renal carcinoma cell line 786 - 0	101	134	Cell"	"VHL	175	178	Gene_or_gene_product"	"cells	205	210	Cell"	"[{""token"": ""von Hippel - Lindau"", ""start_span"": 14, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""VHL"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - B"", ""start_span"": 61, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 74, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""renal carcinoma cell line 786 - 0"", ""start_span"": 101, ""end_span"": 134, ""type"": ""Cell""}, {""token"": ""VHL"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 205, ""end_span"": 210, ""type"": ""Cell""}]"
Vascular abnormalities in the retina were compared between patients with vascularized ( n = 34, group 1) and nonvascularized ( n = 7, group 2) PED on indocyanine green angiography and correlated with the size of the PED and the presence of serous retinal detachment.	"Vascular	0	8	Multi"	"retina	30	36	Multi"	"patients	59	67	Organism"	"PED	143	146	Pathological_formation"	"indocyanine green	150	167	Chemical"	"PED	216	219	Pathological_formation"	"serous retinal	240	254	Multi"	"[{""token"": ""Vascular"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Multi""}, {""token"": ""retina"", ""start_span"": 30, ""end_span"": 36, ""type"": ""Multi""}, {""token"": ""patients"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Organism""}, {""token"": ""PED"", ""start_span"": 143, ""end_span"": 146, ""type"": ""Pathological_formation""}, {""token"": ""indocyanine green"", ""start_span"": 150, ""end_span"": 167, ""type"": ""Chemical""}, {""token"": ""PED"", ""start_span"": 216, ""end_span"": 219, ""type"": ""Pathological_formation""}, {""token"": ""serous retinal"", ""start_span"": 240, ""end_span"": 254, ""type"": ""Multi""}]"
Blocking the activation of p44 / 42 mitogen - activated protein kinase ( MAPK) by the specific mitogen - induced extracellular kinase ( MEK) inhibitor, U0126, impaired modestly the ability of FVIIa to promote cell survival.	"p44 / 42 mitogen - activated protein kinase	27	70	Gene_or_gene_product"	"MAPK	73	77	Gene_or_gene_product"	"mitogen - induced extracellular kinase	95	133	Gene_or_gene_product"	"MEK	136	139	Gene_or_gene_product"	"U0126	152	157	Chemical"	"FVIIa	192	197	Gene_or_gene_product"	"cell	209	213	Cell"	"[{""token"": ""p44 / 42 mitogen - activated protein kinase"", ""start_span"": 27, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - induced extracellular kinase"", ""start_span"": 95, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEK"", ""start_span"": 136, ""end_span"": 139, ""type"": ""Gene_or_gene_product""}, {""token"": ""U0126"", ""start_span"": 152, ""end_span"": 157, ""type"": ""Chemical""}, {""token"": ""FVIIa"", ""start_span"": 192, ""end_span"": 197, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Cell""}]"
CONCLUSION: Not only tumor cells but also TAMs secrete the VEGF - C in OSCC, and TAMs may play a major role in peritumoral lymphatic neoangiogenesis and lymphatic metastasis.	"tumor cells	21	32	Cell"	"TAMs	42	46	Cell"	"VEGF - C	59	67	Gene_or_gene_product"	"OSCC	71	75	Cancer"	"TAMs	81	85	Cell"	"peritumoral lymphatic	111	132	Multi"	"lymphatic	153	162	Organ"	"[{""token"": ""tumor cells"", ""start_span"": 21, ""end_span"": 32, ""type"": ""Cell""}, {""token"": ""TAMs"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Cell""}, {""token"": ""VEGF - C"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}, {""token"": ""OSCC"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Cancer""}, {""token"": ""TAMs"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""peritumoral lymphatic"", ""start_span"": 111, ""end_span"": 132, ""type"": ""Multi""}, {""token"": ""lymphatic"", ""start_span"": 153, ""end_span"": 162, ""type"": ""Organ""}]"
We used a series of cell clones from a human teratocarcinoma cell line, PA - 1, to study the effect of transformation by an activated N - ras oncogene on the expression of genes involved in retinoic acid ( RA) - induced differentiation and growth regulation.	"cell clones	20	31	Cell"	"human	39	44	Organism"	"teratocarcinoma cell line	45	70	Cell"	"PA - 1	72	78	Cell"	"N - ras	134	141	Gene_or_gene_product"	"retinoic acid	190	203	Chemical"	"RA	206	208	Chemical"	"[{""token"": ""cell clones"", ""start_span"": 20, ""end_span"": 31, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Organism""}, {""token"": ""teratocarcinoma cell line"", ""start_span"": 45, ""end_span"": 70, ""type"": ""Cell""}, {""token"": ""PA - 1"", ""start_span"": 72, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""N - ras"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""retinoic acid"", ""start_span"": 190, ""end_span"": 203, ""type"": ""Chemical""}, {""token"": ""RA"", ""start_span"": 206, ""end_span"": 208, ""type"": ""Chemical""}]"
These observations provide evidence that enhanced proliferation in N - ras - transformed cells compromises teratocarcinoma cell differentiation by a mechanism that transiently suppresses homeobox gene induction and implies a central role for homeobox genes in RA - induced cell differentiation.	"N - ras	67	74	Gene_or_gene_product"	"cells	89	94	Cell"	"teratocarcinoma cell	107	127	Cell"	"homeobox	187	195	Gene_or_gene_product"	"homeobox	242	250	Gene_or_gene_product"	"RA	260	262	Chemical"	"cell	273	277	Cell"	"[{""token"": ""N - ras"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Cell""}, {""token"": ""teratocarcinoma cell"", ""start_span"": 107, ""end_span"": 127, ""type"": ""Cell""}, {""token"": ""homeobox"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Gene_or_gene_product""}, {""token"": ""homeobox"", ""start_span"": 242, ""end_span"": 250, ""type"": ""Gene_or_gene_product""}, {""token"": ""RA"", ""start_span"": 260, ""end_span"": 262, ""type"": ""Chemical""}, {""token"": ""cell"", ""start_span"": 273, ""end_span"": 277, ""type"": ""Cell""}]"
Furthermore, Ang II stimulated sFlt - 1 production in a dose - and time - dependent manner from human villous explants and cultured trophoblasts but not from endothelial cells, suggesting that trophoblasts are the primary source of sFlt - 1 during pregnancy.	"Ang II	13	19	Gene_or_gene_product"	"sFlt - 1	31	39	Gene_or_gene_product"	"human	96	101	Organism"	"trophoblasts	132	144	Cell"	"endothelial cells	158	175	Cell"	"trophoblasts	193	205	Cell"	"sFlt - 1	232	240	Gene_or_gene_product"	"[{""token"": ""Ang II"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""sFlt - 1"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Organism""}, {""token"": ""trophoblasts"", ""start_span"": 132, ""end_span"": 144, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 158, ""end_span"": 175, ""type"": ""Cell""}, {""token"": ""trophoblasts"", ""start_span"": 193, ""end_span"": 205, ""type"": ""Cell""}, {""token"": ""sFlt - 1"", ""start_span"": 232, ""end_span"": 240, ""type"": ""Gene_or_gene_product""}]"
