No significant association was demonstrated between VEGF - B, VEGF - C, flt - 1, KDR, and flt - 4 with patient sex, patient age, or tumor size ( P greater than 0. 05).	"VEGF - B	52	60	Gene_or_gene_product"	"VEGF - C	62	70	Gene_or_gene_product"	"flt - 1	72	79	Gene_or_gene_product"	"KDR	81	84	Gene_or_gene_product"	"flt - 4	90	97	Gene_or_gene_product"	"patient	103	110	Organism"	"patient	116	123	Organism"	"tumor	132	137	Cancer"	"[{""token"": ""VEGF - B"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 62, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 1"", ""start_span"": 72, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDR"", ""start_span"": 81, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - 4"", ""start_span"": 90, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""patient"", ""start_span"": 103, ""end_span"": 110, ""type"": ""Organism""}, {""token"": ""patient"", ""start_span"": 116, ""end_span"": 123, ""type"": ""Organism""}, {""token"": ""tumor"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Cancer""}]"
The study shows that clear cell tumors are able to up - regulate angiogenic growth factor receptors more efficiently than chromophil ( papillary), that clear cell tumors can use pathways independent of VHL to regulate angiogenesis, and that this combined regulation may account for their more aggressive phenotype, which suggests that targeting VEGFR1 ( flt - l) may be particularly effective in these tumor types.	"clear cell tumors	21	38	Cancer"	"chromophil	122	132	Cancer"	"papillary	135	144	Cancer"	"clear cell tumors	152	169	Cancer"	"VHL	202	205	Gene_or_gene_product"	"VEGFR1	345	351	Gene_or_gene_product"	"flt - l	354	361	Gene_or_gene_product"	"tumor	402	407	Cancer"	"[{""token"": ""clear cell tumors"", ""start_span"": 21, ""end_span"": 38, ""type"": ""Cancer""}, {""token"": ""chromophil"", ""start_span"": 122, ""end_span"": 132, ""type"": ""Cancer""}, {""token"": ""papillary"", ""start_span"": 135, ""end_span"": 144, ""type"": ""Cancer""}, {""token"": ""clear cell tumors"", ""start_span"": 152, ""end_span"": 169, ""type"": ""Cancer""}, {""token"": ""VHL"", ""start_span"": 202, ""end_span"": 205, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGFR1"", ""start_span"": 345, ""end_span"": 351, ""type"": ""Gene_or_gene_product""}, {""token"": ""flt - l"", ""start_span"": 354, ""end_span"": 361, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor"", ""start_span"": 402, ""end_span"": 407, ""type"": ""Cancer""}]"
The mammalian proto - oncogene Cbl and its cellular homologues in Caenorhabditis elegans ( Sli - 1) and Drosophila ( D - Cbl) are negative regulators of some growth factor receptor signaling pathways.	"mammalian	4	13	Organism"	"Cbl	31	34	Gene_or_gene_product"	"cellular	43	51	Cell"	"Caenorhabditis elegans	66	88	Organism"	"Sli - 1	91	98	Gene_or_gene_product"	"Drosophila	104	114	Organism"	"D - Cbl	117	124	Gene_or_gene_product"	"growth factor receptor	158	180	Gene_or_gene_product"	"[{""token"": ""mammalian"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Organism""}, {""token"": ""Cbl"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""cellular"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""Caenorhabditis elegans"", ""start_span"": 66, ""end_span"": 88, ""type"": ""Organism""}, {""token"": ""Sli - 1"", ""start_span"": 91, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}, {""token"": ""Drosophila"", ""start_span"": 104, ""end_span"": 114, ""type"": ""Organism""}, {""token"": ""D - Cbl"", ""start_span"": 117, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""growth factor receptor"", ""start_span"": 158, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}]"
These results indicated that Crk plays a critical role in Rac1 - induced membrane ruffling and Rap1 - mediated nascent focal complex stabilization contributing to ephrin - B1 - induced human aortic endothelial cells migration.	"Crk	29	32	Gene_or_gene_product"	"Rac1	58	62	Gene_or_gene_product"	"membrane	73	81	Cellular_component"	"Rap1	95	99	Gene_or_gene_product"	"nascent focal complex	111	132	Cellular_component"	"ephrin - B1	163	174	Gene_or_gene_product"	"human	185	190	Organism"	"aortic endothelial cells	191	215	Cell"	"[{""token"": ""Crk"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rac1"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 73, ""end_span"": 81, ""type"": ""Cellular_component""}, {""token"": ""Rap1"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Gene_or_gene_product""}, {""token"": ""nascent focal complex"", ""start_span"": 111, ""end_span"": 132, ""type"": ""Cellular_component""}, {""token"": ""ephrin - B1"", ""start_span"": 163, ""end_span"": 174, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Organism""}, {""token"": ""aortic endothelial cells"", ""start_span"": 191, ""end_span"": 215, ""type"": ""Cell""}]"
Binding of factor VIIa ( FVIIa) to its cellular receptor tissue factor ( TF) was previously shown to induce various intracellular signaling events, which were thought to be responsible for TF - mediated biologic effects, including angiogenesis, tumor metastasis, and restenosis.	"factor VIIa	11	22	Gene_or_gene_product"	"FVIIa	25	30	Gene_or_gene_product"	"cellular	39	47	Cell"	"tissue factor	57	70	Gene_or_gene_product"	"TF	73	75	Gene_or_gene_product"	"intracellular	116	129	Immaterial_anatomical_entity"	"TF	189	191	Gene_or_gene_product"	"tumor	245	250	Cancer"	"[{""token"": ""factor VIIa"", ""start_span"": 11, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""FVIIa"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""cellular"", ""start_span"": 39, ""end_span"": 47, ""type"": ""Cell""}, {""token"": ""tissue factor"", ""start_span"": 57, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""TF"", ""start_span"": 73, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""intracellular"", ""start_span"": 116, ""end_span"": 129, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""TF"", ""start_span"": 189, ""end_span"": 191, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor"", ""start_span"": 245, ""end_span"": 250, ""type"": ""Cancer""}]"
Besides TGFbeta and RTK / Ras signaling, autocrine factors and Wnt -, Notch -, Hedgehog - and NF - kappaB - dependent pathways were found to contribute to EMT.	"TGFbeta	8	15	Gene_or_gene_product"	"RTK	20	23	Gene_or_gene_product"	"Ras	26	29	Gene_or_gene_product"	"Wnt	63	66	Gene_or_gene_product"	"Notch	70	75	Gene_or_gene_product"	"Hedgehog	79	87	Gene_or_gene_product"	"NF - kappaB	94	105	Gene_or_gene_product"	"EMT	155	158	Gene_or_gene_product"	"[{""token"": ""TGFbeta"", ""start_span"": 8, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""RTK"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ras"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""Notch"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hedgehog"", ""start_span"": 79, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 94, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}, {""token"": ""EMT"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}]"
Given the dominant role of p21 in p53 cell cycle control, we crossed Trp53 ( 515C / 515C) mice onto a p21 - null background to determine whether p21 was required for maintaining chromosomal stability and delaying tumor onset.	"p21	27	30	Gene_or_gene_product"	"p53	34	37	Gene_or_gene_product"	"cell	38	42	Cell"	"Trp53	69	74	Gene_or_gene_product"	"p21	102	105	Gene_or_gene_product"	"p21	145	148	Gene_or_gene_product"	"chromosomal	178	189	Cellular_component"	"tumor	213	218	Cancer"	"[{""token"": ""p21"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""Trp53"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""chromosomal"", ""start_span"": 178, ""end_span"": 189, ""type"": ""Cellular_component""}, {""token"": ""tumor"", ""start_span"": 213, ""end_span"": 218, ""type"": ""Cancer""}]"
Cytogenetic examination of Trp53 ( 515C / 515C) p21 ( - / -) sarcomas and lymphomas revealed aneuploidy and chromosomal aberrations that were absent in Trp53 ( 515C / 515C) malignancies.	"Trp53	27	32	Gene_or_gene_product"	"p21	48	51	Gene_or_gene_product"	"sarcomas	61	69	Cancer"	"lymphomas	74	83	Cancer"	"aneuploidy	93	103	Pathological_formation"	"chromosomal aberrations	108	131	Pathological_formation"	"Trp53	152	157	Gene_or_gene_product"	"malignancies	173	185	Cancer"	"[{""token"": ""Trp53"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""sarcomas"", ""start_span"": 61, ""end_span"": 69, ""type"": ""Cancer""}, {""token"": ""lymphomas"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Cancer""}, {""token"": ""aneuploidy"", ""start_span"": 93, ""end_span"": 103, ""type"": ""Pathological_formation""}, {""token"": ""chromosomal aberrations"", ""start_span"": 108, ""end_span"": 131, ""type"": ""Pathological_formation""}, {""token"": ""Trp53"", ""start_span"": 152, ""end_span"": 157, ""type"": ""Gene_or_gene_product""}, {""token"": ""malignancies"", ""start_span"": 173, ""end_span"": 185, ""type"": ""Cancer""}]"
Induction of gelatinases ( matrix metalloproteinase 2 and 9), the serine protease tissue plasminogen activator and plasmin by DCN transfection in MCE cells leads to extracellular proteolysis and to release of matrix - bound VEGF and activation of angiogenesis.	"matrix metalloproteinase 2	27	53	Gene_or_gene_product"	"9	58	59	Gene_or_gene_product"	"tissue plasminogen activator	82	110	Gene_or_gene_product"	"plasmin	115	122	Gene_or_gene_product"	"DCN	126	129	Gene_or_gene_product"	"MCE cells	146	155	Cell"	"extracellular	165	178	Immaterial_anatomical_entity"	"VEGF	224	228	Gene_or_gene_product"	"[{""token"": ""matrix metalloproteinase 2"", ""start_span"": 27, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""9"", ""start_span"": 58, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}, {""token"": ""tissue plasminogen activator"", ""start_span"": 82, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""plasmin"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}, {""token"": ""DCN"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}, {""token"": ""MCE cells"", ""start_span"": 146, ""end_span"": 155, ""type"": ""Cell""}, {""token"": ""extracellular"", ""start_span"": 165, ""end_span"": 178, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""VEGF"", ""start_span"": 224, ""end_span"": 228, ""type"": ""Gene_or_gene_product""}]"
Cediranib ( RECENTIN; AZD2171) is an inhibitor of VEGF signaling that has been shown in experimental models to prevent VEGF - A - induced angiogenesis and primary tumor growth, yet the effects of cediranib on VEGF receptor ( VEGFR) - 3 - mediated endothelial cell function and lymphangiogenesis are unknown.	"Cediranib	0	9	Chemical"	"RECENTIN	12	20	Chemical"	"AZD2171	22	29	Chemical"	"VEGF	50	54	Gene_or_gene_product"	"VEGF - A	119	127	Gene_or_gene_product"	"tumor	163	168	Cancer"	"cediranib	196	205	Chemical"	"endothelial cell	247	263	Cell"	"[{""token"": ""Cediranib"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}, {""token"": ""RECENTIN"", ""start_span"": 12, ""end_span"": 20, ""type"": ""Chemical""}, {""token"": ""AZD2171"", ""start_span"": 22, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""VEGF"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - A"", ""start_span"": 119, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor"", ""start_span"": 163, ""end_span"": 168, ""type"": ""Cancer""}, {""token"": ""cediranib"", ""start_span"": 196, ""end_span"": 205, ""type"": ""Chemical""}, {""token"": ""endothelial cell"", ""start_span"": 247, ""end_span"": 263, ""type"": ""Cell""}]"
