METHODS: Using flow cytometry we evaluated 18 human lung cancer cell lines for the expression of different surface markers on lung cancers suggested to be possible prognostic parameters, including epidermal growth factor receptor ( EGFR), intercellular adhesion molecule 1 ( ICAM - 1), Fas and CD40.	"human	46	51	Organism"	"lung cancer cell lines	52	74	Cell"	"lung cancers	126	138	Cancer"	"epidermal growth factor receptor	197	229	Gene_or_gene_product"	"EGFR	232	236	Gene_or_gene_product"	"intercellular adhesion molecule 1	239	272	Gene_or_gene_product"	"ICAM - 1	275	283	Gene_or_gene_product"	"Fas	286	289	Gene_or_gene_product"	"CD40	294	298	Gene_or_gene_product"	"[{""token"": ""human"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Organism""}, {""token"": ""lung cancer cell lines"", ""start_span"": 52, ""end_span"": 74, ""type"": ""Cell""}, {""token"": ""lung cancers"", ""start_span"": 126, ""end_span"": 138, ""type"": ""Cancer""}, {""token"": ""epidermal growth factor receptor"", ""start_span"": 197, ""end_span"": 229, ""type"": ""Gene_or_gene_product""}, {""token"": ""EGFR"", ""start_span"": 232, ""end_span"": 236, ""type"": ""Gene_or_gene_product""}, {""token"": ""intercellular adhesion molecule 1"", ""start_span"": 239, ""end_span"": 272, ""type"": ""Gene_or_gene_product""}, {""token"": ""ICAM - 1"", ""start_span"": 275, ""end_span"": 283, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas"", ""start_span"": 286, ""end_span"": 289, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD40"", ""start_span"": 294, ""end_span"": 298, ""type"": ""Gene_or_gene_product""}]"
Patients with liver and / or bone metastases had significantly higher median concentrations of S - 100beta, IL - 6 and IL - 10 than those with only skin, nodal and / or lung involvement.	"Patients	0	8	Organism"	"liver	14	19	Organ"	"bone	29	33	Organ"	"S - 100beta	95	106	Gene_or_gene_product"	"IL - 6	108	114	Gene_or_gene_product"	"IL - 10	119	126	Gene_or_gene_product"	"skin	148	152	Organ"	"nodal	154	159	Multi"	"lung	169	173	Organ"	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""liver"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Organ""}, {""token"": ""bone"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Organ""}, {""token"": ""S - 100beta"", ""start_span"": 95, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 6"", ""start_span"": 108, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 10"", ""start_span"": 119, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""skin"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Organ""}, {""token"": ""nodal"", ""start_span"": 154, ""end_span"": 159, ""type"": ""Multi""}, {""token"": ""lung"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Organ""}]"
The therapeutic options available in this regard include measures that: down - regulate serum free IGF - I; suppress the synthesis of mevalonic acid and / or certain derivatives thereof; modulate arachidonate metabolism by inhibiting 5 - lipoxygenase, 12 - lipoxygenase, or COX - 2; antagonize the activation of AP - 1 transcription factors; promote the activation of PPAR - gamma transcription factors; and that suppress angiogenesis by additional mechanisms.	"serum	88	93	Organism_substance"	"IGF - I	99	106	Gene_or_gene_product"	"mevalonic acid	134	148	Chemical"	"arachidonate	196	208	Chemical"	"5 - lipoxygenase	234	250	Gene_or_gene_product"	"12 - lipoxygenase	252	269	Gene_or_gene_product"	"COX - 2	274	281	Gene_or_gene_product"	"AP - 1	312	318	Gene_or_gene_product"	"PPAR - gamma	368	380	Gene_or_gene_product"	"[{""token"": ""serum"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Organism_substance""}, {""token"": ""IGF - I"", ""start_span"": 99, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""mevalonic acid"", ""start_span"": 134, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""arachidonate"", ""start_span"": 196, ""end_span"": 208, ""type"": ""Chemical""}, {""token"": ""5 - lipoxygenase"", ""start_span"": 234, ""end_span"": 250, ""type"": ""Gene_or_gene_product""}, {""token"": ""12 - lipoxygenase"", ""start_span"": 252, ""end_span"": 269, ""type"": ""Gene_or_gene_product""}, {""token"": ""COX - 2"", ""start_span"": 274, ""end_span"": 281, ""type"": ""Gene_or_gene_product""}, {""token"": ""AP - 1"", ""start_span"": 312, ""end_span"": 318, ""type"": ""Gene_or_gene_product""}, {""token"": ""PPAR - gamma"", ""start_span"": 368, ""end_span"": 380, ""type"": ""Gene_or_gene_product""}]"
Treatment of REF or REF expressing full - length T antigen, an N - terminal segment, or T251 - 708 resulted in increased expression of the p53 - responsive MDM2 gene; apoptosis occurred through a p53 - dependent pathway, as p53 - null cells expressing these T antigens were resistant to 5 - FU - induced apoptosis.	"REF	13	16	Cell"	"REF	20	23	Cell"	"T antigen	49	58	Gene_or_gene_product"	"p53	139	142	Gene_or_gene_product"	"MDM2	156	160	Gene_or_gene_product"	"p53	196	199	Gene_or_gene_product"	"p53	224	227	Gene_or_gene_product"	"T antigens	258	268	Gene_or_gene_product"	"5 - FU	287	293	Chemical"	"[{""token"": ""REF"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Cell""}, {""token"": ""REF"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Cell""}, {""token"": ""T antigen"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Gene_or_gene_product""}, {""token"": ""MDM2"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 196, ""end_span"": 199, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 224, ""end_span"": 227, ""type"": ""Gene_or_gene_product""}, {""token"": ""T antigens"", ""start_span"": 258, ""end_span"": 268, ""type"": ""Gene_or_gene_product""}, {""token"": ""5 - FU"", ""start_span"": 287, ""end_span"": 293, ""type"": ""Chemical""}]"
Because there is little information on the expression of topo I in colorectal tumors, this study evaluated and characterized topo I protein expression in primary colorectal cancer and lymph node metastases and studied the association between topo I protein expression and clinicopathologic data, p53 status, and proliferating cell nuclear antigen ( PCNA) status.	"topo I	57	63	Gene_or_gene_product"	"colorectal tumors	67	84	Cancer"	"topo I	125	131	Gene_or_gene_product"	"colorectal cancer	162	179	Cancer"	"lymph node metastases	184	205	Cancer"	"topo I	242	248	Gene_or_gene_product"	"p53	296	299	Gene_or_gene_product"	"proliferating cell nuclear antigen	312	346	Gene_or_gene_product"	"PCNA	349	353	Gene_or_gene_product"	"[{""token"": ""topo I"", ""start_span"": 57, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""colorectal tumors"", ""start_span"": 67, ""end_span"": 84, ""type"": ""Cancer""}, {""token"": ""topo I"", ""start_span"": 125, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""colorectal cancer"", ""start_span"": 162, ""end_span"": 179, ""type"": ""Cancer""}, {""token"": ""lymph node metastases"", ""start_span"": 184, ""end_span"": 205, ""type"": ""Cancer""}, {""token"": ""topo I"", ""start_span"": 242, ""end_span"": 248, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 296, ""end_span"": 299, ""type"": ""Gene_or_gene_product""}, {""token"": ""proliferating cell nuclear antigen"", ""start_span"": 312, ""end_span"": 346, ""type"": ""Gene_or_gene_product""}, {""token"": ""PCNA"", ""start_span"": 349, ""end_span"": 353, ""type"": ""Gene_or_gene_product""}]"
METHODS: Expression of MMP - 9 was studied in human NPC cell lines cultured in vitro: CNE1 ( well differentiated cell line of NPC) and CNE1 - GL ( CNE1 cell line transfected with an eukaryotic LMP1 - expression plasmid) by SP immunohistochemistry and Western blot analysis.	"MMP - 9	23	30	Gene_or_gene_product"	"human	46	51	Organism"	"NPC cell lines	52	66	Cell"	"CNE1	86	90	Cell"	"cell line	113	122	Cell"	"NPC	126	129	Cell"	"CNE1 - GL	135	144	Cell"	"CNE1 cell line	147	161	Cell"	"LMP1	193	197	Gene_or_gene_product"	"[{""token"": ""MMP - 9"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Organism""}, {""token"": ""NPC cell lines"", ""start_span"": 52, ""end_span"": 66, ""type"": ""Cell""}, {""token"": ""CNE1"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Cell""}, {""token"": ""cell line"", ""start_span"": 113, ""end_span"": 122, ""type"": ""Cell""}, {""token"": ""NPC"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Cell""}, {""token"": ""CNE1 - GL"", ""start_span"": 135, ""end_span"": 144, ""type"": ""Cell""}, {""token"": ""CNE1 cell line"", ""start_span"": 147, ""end_span"": 161, ""type"": ""Cell""}, {""token"": ""LMP1"", ""start_span"": 193, ""end_span"": 197, ""type"": ""Gene_or_gene_product""}]"
Cell death induced by survivin targeting exhibited the hallmarks of mitochondrial - dependent apoptosis with release of cytochrome c and loss of mitochondrial transmembrane potential and was suppressed in Apaf - 1 or caspase - 9 knockout mouse embryonic fibroblasts.	"Cell	0	4	Cell"	"survivin	22	30	Gene_or_gene_product"	"mitochondrial	68	81	Cellular_component"	"cytochrome c	120	132	Gene_or_gene_product"	"mitochondrial	145	158	Cellular_component"	"Apaf - 1	205	213	Gene_or_gene_product"	"caspase - 9	217	228	Gene_or_gene_product"	"mouse	238	243	Organism"	"embryonic fibroblasts	244	265	Cell"	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""survivin"", ""start_span"": 22, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitochondrial"", ""start_span"": 68, ""end_span"": 81, ""type"": ""Cellular_component""}, {""token"": ""cytochrome c"", ""start_span"": 120, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitochondrial"", ""start_span"": 145, ""end_span"": 158, ""type"": ""Cellular_component""}, {""token"": ""Apaf - 1"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Gene_or_gene_product""}, {""token"": ""caspase - 9"", ""start_span"": 217, ""end_span"": 228, ""type"": ""Gene_or_gene_product""}, {""token"": ""mouse"", ""start_span"": 238, ""end_span"": 243, ""type"": ""Organism""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 244, ""end_span"": 265, ""type"": ""Cell""}]"
In order to elucidate a mechanism for cancer - induced osteoclastogenesis, cells from a human breast cancer line, MDA - MB - 231, were directly co - cultured with ST2, MC3T3 - E1, or with primary mouse calvarial cells.	"cancer	38	44	Cancer"	"cells	75	80	Cell"	"human	88	93	Organism"	"breast cancer	94	107	Cancer"	"MDA - MB - 231	114	128	Cell"	"ST2	163	166	Cell"	"MC3T3 - E1	168	178	Cell"	"mouse	196	201	Organism"	"calvarial cells	202	217	Cell"	"[{""token"": ""cancer"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Cancer""}, {""token"": ""cells"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Organism""}, {""token"": ""breast cancer"", ""start_span"": 94, ""end_span"": 107, ""type"": ""Cancer""}, {""token"": ""MDA - MB - 231"", ""start_span"": 114, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""ST2"", ""start_span"": 163, ""end_span"": 166, ""type"": ""Cell""}, {""token"": ""MC3T3 - E1"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Cell""}, {""token"": ""mouse"", ""start_span"": 196, ""end_span"": 201, ""type"": ""Organism""}, {""token"": ""calvarial cells"", ""start_span"": 202, ""end_span"": 217, ""type"": ""Cell""}]"
After removal of fibroblasts by exposure to G - 418, the tumor cells exhibited increased metastatic ability and human K - ras oncogene mRNA, suggesting an intimate interaction between H - 3 cells and fibroblasts influencing the function of transfected human K - ras oncogene.	"fibroblasts	17	28	Cell"	"G - 418	44	51	Chemical"	"tumor cells	57	68	Cell"	"human	112	117	Organism"	"K - ras	118	125	Gene_or_gene_product"	"H - 3 cells	184	195	Cell"	"fibroblasts	200	211	Cell"	"human	252	257	Organism"	"K - ras	258	265	Gene_or_gene_product"	"[{""token"": ""fibroblasts"", ""start_span"": 17, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""G - 418"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Chemical""}, {""token"": ""tumor cells"", ""start_span"": 57, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Organism""}, {""token"": ""K - ras"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""H - 3 cells"", ""start_span"": 184, ""end_span"": 195, ""type"": ""Cell""}, {""token"": ""fibroblasts"", ""start_span"": 200, ""end_span"": 211, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 252, ""end_span"": 257, ""type"": ""Organism""}, {""token"": ""K - ras"", ""start_span"": 258, ""end_span"": 265, ""type"": ""Gene_or_gene_product""}]"
One week later, IGF - 1 - transfected SMCs had increased myocardial IGF - 1 and VEGF levels, increased Bcl2 expression, limited cell apoptosis, and enhanced vessel formation in the myocardial scar compared with the two control groups ( P less than 0. 05 for all groups).	"IGF - 1	16	23	Gene_or_gene_product"	"SMCs	38	42	Cell"	"myocardial	57	67	Multi"	"IGF - 1	68	75	Gene_or_gene_product"	"VEGF	80	84	Gene_or_gene_product"	"Bcl2	103	107	Gene_or_gene_product"	"cell	128	132	Cell"	"vessel	157	163	Multi"	"myocardial scar	181	196	Pathological_formation"	"[{""token"": ""IGF - 1"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""SMCs"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""myocardial"", ""start_span"": 57, ""end_span"": 67, ""type"": ""Multi""}, {""token"": ""IGF - 1"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bcl2"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Cell""}, {""token"": ""vessel"", ""start_span"": 157, ""end_span"": 163, ""type"": ""Multi""}, {""token"": ""myocardial scar"", ""start_span"": 181, ""end_span"": 196, ""type"": ""Pathological_formation""}]"
