Sentence	entity_1	entity_2	json	split
The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	leukemia cell lines K562,4,28,Cell	HL - 60,33,40,Cell	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"	train
Decreased expression of TGF - beta RII in CML cells and leukemia cell lines raises the possibility that altered expression of the receptor may play a role in the initiation and / or maintenance of the disease state.	CML cells,42,51,Cell	leukemia cell lines,56,75,Cell	"[{""token"": ""CML cells"", ""start_span"": 42, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""leukemia cell lines"", ""start_span"": 56, ""end_span"": 75, ""type"": ""Cell""}]"	train
Conditioned media from insulin - treated RPE cells were assayed for VEGF protein and capillary endothelial cell proliferation.	RPE cells,41,50,Cell	capillary endothelial cell,85,111,Cell	"[{""token"": ""RPE cells"", ""start_span"": 41, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""capillary endothelial cell"", ""start_span"": 85, ""end_span"": 111, ""type"": ""Cell""}]"	train
The insulin - conditioned RPE cell media stimulated capillary endothelial cell proliferation, an effect that was completely blocked by anti - VEGF neutralizing antibody.	RPE cell,26,34,Cell	capillary endothelial cell,52,78,Cell	"[{""token"": ""RPE cell"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""capillary endothelial cell"", ""start_span"": 52, ""end_span"": 78, ""type"": ""Cell""}]"	train
LMP1 of Epstein - Barr virus induces proliferation of primary mouse embryonic fibroblasts and cooperatively transforms the cells with a p16 - insensitive CDK4 oncogene.	embryonic fibroblasts,68,89,Cell	cells,123,128,Cell	"[{""token"": ""embryonic fibroblasts"", ""start_span"": 68, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Cell""}]"	train
Previous work demonstrates that the LMP1 gene of EBV is sufficient to transform certain established rodent fibroblast cell lines and to induce the tumorigenicity of some human epithelial cell lines.	fibroblast cell lines,107,128,Cell	epithelial cell lines,176,197,Cell	"[{""token"": ""fibroblast cell lines"", ""start_span"": 107, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""epithelial cell lines"", ""start_span"": 176, ""end_span"": 197, ""type"": ""Cell""}]"	train
In addition, LMP1 plays pleiotropic roles in cell growth arrest, differentiation, and apoptosis, depending on the background of the target cells.	cell,45,49,Cell	cells,139,144,Cell	"[{""token"": ""cell"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Cell""}]"	train
To examine the roles of LMP1 in cell proliferation and growth regulation in primary culture cells, we constructed a recombinant retrovirus containing an LMP1 gene.	cell,32,36,Cell	primary culture cells,76,97,Cell	"[{""token"": ""cell"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""primary culture cells"", ""start_span"": 76, ""end_span"": 97, ""type"": ""Cell""}]"	train
With this retrovirus, LMP1 was shown to stimulate the proliferation of primary mouse embryonic fibroblasts ( MEF cells).	embryonic fibroblasts,85,106,Cell	MEF cells,109,118,Cell	"[{""token"": ""embryonic fibroblasts"", ""start_span"": 85, ""end_span"": 106, ""type"": ""Cell""}, {""token"": ""MEF cells"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Cell""}]"	train
It has a mitogenic activity for MEF cells, as demonstrated by an immediate induction of cell doubling time.	MEF cells,32,41,Cell	cell,88,92,Cell	"[{""token"": ""MEF cells"", ""start_span"": 32, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Cell""}]"	train
In addition, it significantly extends the passage number of MEF cells to more than 30 after retroviral infection, compared with less than 5 for uninfected MEF cells.	MEF cells,60,69,Cell	MEF cells,155,164,Cell	"[{""token"": ""MEF cells"", ""start_span"": 60, ""end_span"": 69, ""type"": ""Cell""}, {""token"": ""MEF cells"", ""start_span"": 155, ""end_span"": 164, ""type"": ""Cell""}]"	train
The ras - transformed, ATX - secreting subclones had enhanced motility to ATX as chemoattractant, but there was little difference in the motility responses of NIH3T3 cells transfected with atx, an inactive mutant gene, or empty vector.	subclones,39,48,Cell	NIH3T3 cells,159,171,Cell	"[{""token"": ""subclones"", ""start_span"": 39, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""NIH3T3 cells"", ""start_span"": 159, ""end_span"": 171, ""type"": ""Cell""}]"	train
Combination of ATX expression with ras transformation produced cells with greatly amplified tumorigenesis and metastatic potential compared to ras - transformed controls.	cells,63,68,Cell	controls,161,169,Cell	"[{""token"": ""cells"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""controls"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Cell""}]"	train
Here we describe a 185 - kDa tandem duplication mutant ( TDM) that is expressed in KE and A - 1235 glioma cells, along with certain functional characteristics of the mutants.	KE,83,85,Cell	A - 1235 glioma cells,90,111,Cell	"[{""token"": ""KE"", ""start_span"": 83, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""A - 1235 glioma cells"", ""start_span"": 90, ""end_span"": 111, ""type"": ""Cell""}]"	train
