To elucidate the role of N - glycosylation in the functional activity of the universal glucose transporter, Glut - 1, we investigated effects of the N - glycosylation inhibitor, tunicamycin, on glucose transport by human leukemic cell lines K562, U937 and HL60.	"leukemic cell lines K562	221	245	Cell"	"U937	247	251	Cell"	"HL60	256	260	Cell"	"[{""token"": ""leukemic cell lines K562"", ""start_span"": 221, ""end_span"": 245, ""type"": ""Cell""}, {""token"": ""U937"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Cell""}, {""token"": ""HL60"", ""start_span"": 256, ""end_span"": 260, ""type"": ""Cell""}]"
Leukemic K562, U937 and HL60 cells expressed Glut - 1 transporter protein.	"Leukemic K562	0	13	Cell"	"U937	15	19	Cell"	"HL60 cells	24	34	Cell"	"[{""token"": ""Leukemic K562"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Cell""}, {""token"": ""U937"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Cell""}, {""token"": ""HL60 cells"", ""start_span"": 24, ""end_span"": 34, ""type"": ""Cell""}]"
With K562 cells Glut - 1 appeared as a broad band of 50 - 60 kDa, whereas with U937 and HL60 cells a diffuse band was observed at approximately 55 kDa.	"K562 cells	5	15	Cell"	"U937	79	83	Cell"	"HL60 cells	88	98	Cell"	"[{""token"": ""K562 cells"", ""start_span"": 5, ""end_span"": 15, ""type"": ""Cell""}, {""token"": ""U937"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Cell""}, {""token"": ""HL60 cells"", ""start_span"": 88, ""end_span"": 98, ""type"": ""Cell""}]"
Our results provide the first evidence of the abilities of the LMP1 gene, acting alone, to effectively induce the proliferation of primary MEF cells and of its cooperativity with another cellular oncogene in transforming primary cells.	"MEF cells	139	148	Cell"	"cellular	187	195	Cell"	"cells	229	234	Cell"	"[{""token"": ""MEF cells"", ""start_span"": 139, ""end_span"": 148, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 229, ""end_span"": 234, ""type"": ""Cell""}]"
Ciprofloxacin mediated cell growth inhibition, S / G2 - M cell cycle arrest, and apoptosis in a human transitional cell carcinoma of the bladder cell line.	"cell	23	27	Cell"	"cell	58	62	Cell"	"bladder cell line	137	154	Cell"	"[{""token"": ""cell"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Cell""}, {""token"": ""bladder cell line"", ""start_span"": 137, ""end_span"": 154, ""type"": ""Cell""}]"
Our experimental data confirm previous studies showing the in vitro cell growth inhibition of the transitional cell carcinoma of the bladder cell line HTB9 and further showed the induction of cell cycle arrest at the S / G2 - M checkpoints.	"cell	68	72	Cell"	"bladder cell line HTB9	133	155	Cell"	"cell	192	196	Cell"	"[{""token"": ""cell"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Cell""}, {""token"": ""bladder cell line HTB9"", ""start_span"": 133, ""end_span"": 155, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 192, ""end_span"": 196, ""type"": ""Cell""}]"
TEL, a putative tumor suppressor, modulates cell growth and cell morphology of ras - transformed cells while repressing the transcription of stromelysin - 1.	"cell	44	48	Cell"	"cell	60	64	Cell"	"cells	97	102	Cell"	"[{""token"": ""cell"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Cell""}]"
In this study, we sought to investigate in more detail the role of caspase - 3 in apoptotic processes in cultured cells and in cell - free extracts of breast cancer cells.	"cells	114	119	Cell"	"cell	127	131	Cell"	"breast cancer cells	151	170	Cell"	"[{""token"": ""cells"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Cell""}, {""token"": ""breast cancer cells"", ""start_span"": 151, ""end_span"": 170, ""type"": ""Cell""}]"
Vasodilator - stimulated phosphoprotein ( VASP) is highly expressed in vascular endothelial cells, where it has been implicated in cellular reorganization during angiogenesis, as well as in endothelial retraction and changes in vessel permeability.	"vascular endothelial cells	71	97	Cell"	"cellular	131	139	Cell"	"endothelial	190	201	Cell"	"[{""token"": ""vascular endothelial cells"", ""start_span"": 71, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 131, ""end_span"": 139, ""type"": ""Cell""}, {""token"": ""endothelial"", ""start_span"": 190, ""end_span"": 201, ""type"": ""Cell""}]"
Onconase similarly inhibited proliferation in all three cell lines ( IC ( 50) = 0. 3 - 1. 0 microM) while ( - 4) rhEDN was more effective on immortalized HUVEC cell lines ( IC ( 50) = 0. 02 - 0. 06 microM) than on primary HUVECs ( IC ( 50) > 0. 1 microM).	"cell lines	56	66	Cell"	"HUVEC cell lines	154	170	Cell"	"HUVECs	222	228	Cell"	"[{""token"": ""cell lines"", ""start_span"": 56, ""end_span"": 66, ""type"": ""Cell""}, {""token"": ""HUVEC cell lines"", ""start_span"": 154, ""end_span"": 170, ""type"": ""Cell""}, {""token"": ""HUVECs"", ""start_span"": 222, ""end_span"": 228, ""type"": ""Cell""}]"
