Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Under conditions mimicking the injection environment, the lipoplex - serum interaction was strongly dependent on helper lipid and ionic strength: lipoplexes prepared in 150 mM NaCl or lipoplexes with high ( greater than 33 mol%) cholesterol were found to aggregate immediately.	lipoplex,58,66,Chemical	lipid,120,125,Chemical	lipoplexes,146,156,Chemical	lipoplexes,184,194,Chemical	cholesterol,229,240,Chemical	"[{""token"": ""lipoplex"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Chemical""}, {""token"": ""lipid"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""lipoplexes"", ""start_span"": 146, ""end_span"": 156, ""type"": ""Chemical""}, {""token"": ""lipoplexes"", ""start_span"": 184, ""end_span"": 194, ""type"": ""Chemical""}, {""token"": ""cholesterol"", ""start_span"": 229, ""end_span"": 240, ""type"": ""Chemical""}]"	train
Our results showed that MTX administration increased the MDA and MPO activities and collagen content and decreased GSH levels in all tissues, while these alterations were reversed in L - Car - treated group.	MTX,24,27,Chemical	MDA,57,60,Chemical	MPO,65,68,Chemical	GSH,115,118,Chemical	L - Car,183,190,Chemical	"[{""token"": ""MTX"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Chemical""}, {""token"": ""MDA"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""MPO"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Chemical""}, {""token"": ""GSH"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Chemical""}, {""token"": ""L - Car"", ""start_span"": 183, ""end_span"": 190, ""type"": ""Chemical""}]"	train
The 20 - HETE agonist markedly increased superoxide formation as reflected by an increase in dihydroethidium staining of EC, and this increase was inhibited by PEG - SOD but not by apocynin.	20 - HETE,4,13,Chemical	superoxide,41,51,Chemical	dihydroethidium,93,108,Chemical	PEG - SOD,160,169,Chemical	apocynin,181,189,Chemical	"[{""token"": ""20 - HETE"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""superoxide"", ""start_span"": 41, ""end_span"": 51, ""type"": ""Chemical""}, {""token"": ""dihydroethidium"", ""start_span"": 93, ""end_span"": 108, ""type"": ""Chemical""}, {""token"": ""PEG - SOD"", ""start_span"": 160, ""end_span"": 169, ""type"": ""Chemical""}, {""token"": ""apocynin"", ""start_span"": 181, ""end_span"": 189, ""type"": ""Chemical""}]"	train
VDAs can be divided into biologics, such as ligand - based, and small - molecule agents; this second group includes small - molecule VDAs like flavonoids, such as 5, 6 - dimethylxanthenone - 4 - acetic acid ( DMXAA), and microtubule - destabilizing agents.	VDAs,0,4,Chemical	small - molecule VDAs,116,137,Chemical	flavonoids,143,153,Chemical	DMXAA,209,214,Chemical	microtubule - destabilizing agents,221,255,Chemical	"[{""token"": ""VDAs"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}, {""token"": ""small - molecule VDAs"", ""start_span"": 116, ""end_span"": 137, ""type"": ""Chemical""}, {""token"": ""flavonoids"", ""start_span"": 143, ""end_span"": 153, ""type"": ""Chemical""}, {""token"": ""DMXAA"", ""start_span"": 209, ""end_span"": 214, ""type"": ""Chemical""}, {""token"": ""microtubule - destabilizing agents"", ""start_span"": 221, ""end_span"": 255, ""type"": ""Chemical""}]"	train
Measuring ouabain - sensitive 22Na efflux and using ouabain - sensitive lactate production as a measure of ATP hydrolysis by the Na + K + pump, it was shown that Nonidet P - 40 greatly decreased the efficiency of the Na + K + pump.	ouabain,10,17,Chemical	ouabain,52,59,Chemical	lactate,72,79,Chemical	ATP,107,110,Chemical	Nonidet P - 40,162,176,Chemical	"[{""token"": ""ouabain"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Chemical""}, {""token"": ""ouabain"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Chemical""}, {""token"": ""lactate"", ""start_span"": 72, ""end_span"": 79, ""type"": ""Chemical""}, {""token"": ""ATP"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""Nonidet P - 40"", ""start_span"": 162, ""end_span"": 176, ""type"": ""Chemical""}]"	train
In spite of uncertainties regarding the mechanisms of carcinogenesis, several vitamins such as beta - carotene and vitamins A, C, and E, which can reduce the risk of cancer, have been identified, using animal and in vitro models of carcinogenesis.	vitamins,78,86,Chemical	beta - carotene,95,110,Chemical	vitamins A,115,125,Chemical	C,127,128,Chemical	E,134,135,Chemical	"[{""token"": ""vitamins"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Chemical""}, {""token"": ""beta - carotene"", ""start_span"": 95, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""vitamins A"", ""start_span"": 115, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""C"", ""start_span"": 127, ""end_span"": 128, ""type"": ""Chemical""}, {""token"": ""E"", ""start_span"": 134, ""end_span"": 135, ""type"": ""Chemical""}]"	train
Some vitamins like beta - carotene, retinoic acid, alpha - tocopheryl succinate, and vitamin D also regulate the expressions of certain oncogenes and cellular genes.	vitamins,5,13,Chemical	beta - carotene,19,34,Chemical	retinoic acid,36,49,Chemical	alpha - tocopheryl succinate,51,79,Chemical	vitamin D,85,94,Chemical	"[{""token"": ""vitamins"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""beta - carotene"", ""start_span"": 19, ""end_span"": 34, ""type"": ""Chemical""}, {""token"": ""retinoic acid"", ""start_span"": 36, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""alpha - tocopheryl succinate"", ""start_span"": 51, ""end_span"": 79, ""type"": ""Chemical""}, {""token"": ""vitamin D"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"	train
In this study we separated weakly acidic phenolic components from other neutral, acidic and basic components of tobacco smoke condensate ( TSC) and observed that phenolic fraction of TSC significantly increased the number of colonies of promotion - sensitive JB6 Cl41 cells that showed anchorage - independent growth on soft agar in response to BPDE ( an ultimate carcinogen produced by metabolic activation of the PAH benzo [ a] pyrene).	tobacco smoke condensate,112,136,Chemical	TSC,139,142,Chemical	phenolic fraction,162,179,Chemical	TSC,183,186,Chemical	BPDE,345,349,Chemical	"[{""token"": ""tobacco smoke condensate"", ""start_span"": 112, ""end_span"": 136, ""type"": ""Chemical""}, {""token"": ""TSC"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""phenolic fraction"", ""start_span"": 162, ""end_span"": 179, ""type"": ""Chemical""}, {""token"": ""TSC"", ""start_span"": 183, ""end_span"": 186, ""type"": ""Chemical""}, {""token"": ""BPDE"", ""start_span"": 345, ""end_span"": 349, ""type"": ""Chemical""}]"	valid
Our initial investigations show that the naturally occurring organoselenium compound selenomethionine ( SM) and the synthetic 1, 4 - phenylenebis ( methylene) selenocyanate ( p - XSC) can inhibit human prostate cancer cell viability; however, in contrast to SM, p - XSC is active at physiologically relevant doses.	selenomethionine,85,101,Chemical	SM,104,106,Chemical	p - XSC,175,182,Chemical	SM,258,260,Chemical	p - XSC,262,269,Chemical	"[{""token"": ""selenomethionine"", ""start_span"": 85, ""end_span"": 101, ""type"": ""Chemical""}, {""token"": ""SM"", ""start_span"": 104, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""p - XSC"", ""start_span"": 175, ""end_span"": 182, ""type"": ""Chemical""}, {""token"": ""SM"", ""start_span"": 258, ""end_span"": 260, ""type"": ""Chemical""}, {""token"": ""p - XSC"", ""start_span"": 262, ""end_span"": 269, ""type"": ""Chemical""}]"	valid
The expression of ARD1 was augmented by treatment with synthetic androgen ( R1881) unless AR is deficient or is inhibited by AR - specific siRNA or androgen inhibitor bicalutamide ( Casodex).	androgen,65,73,Chemical	R1881,76,81,Chemical	androgen,148,156,Chemical	bicalutamide,167,179,Chemical	Casodex,182,189,Chemical	"[{""token"": ""androgen"", ""start_span"": 65, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""R1881"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Chemical""}, {""token"": ""androgen"", ""start_span"": 148, ""end_span"": 156, ""type"": ""Chemical""}, {""token"": ""bicalutamide"", ""start_span"": 167, ""end_span"": 179, ""type"": ""Chemical""}, {""token"": ""Casodex"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Chemical""}]"	test
