UFT and its metabolites inhibit the angiogenesis induced by murine renal cell carcinoma, as determined by a dorsal air sac assay in mice.	"UFT	0	3	Chemical"	"[{""token"": ""UFT"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
In this study, we have evaluated the inhibitory effect of UFT against RENCA cell - induced angiogenesis by a dorsal air sac assay.	"UFT	58	61	Chemical"	"[{""token"": ""UFT"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Chemical""}]"
This may reflect a transition in blood concentration of each metabolite resulting from the administration of UFT.	"UFT	109	112	Chemical"	"[{""token"": ""UFT"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Chemical""}]"
Similar results were also obtained with respect to 5 - FU.	"5 - FU	51	57	Chemical"	"[{""token"": ""5 - FU"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}]"
Nitric oxide synthase inhibition results in synergistic anti - tumour activity with melphalan and tumour necrosis factor alpha - based isolated limb perfusions.	"melphalan	84	93	Chemical"	"[{""token"": ""melphalan"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Chemical""}]"
The anti - tumour effect of L - NAME after systemic administration was studied in a renal subcapsular CC531 adenocarcinoma model in rats.	"L - NAME	28	36	Chemical"	"[{""token"": ""L - NAME"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Chemical""}]"
Systemic treatment with L - NAME inhibited growth of adenocarcinoma significantly but was accompanied by impaired renal function.	"L - NAME	24	32	Chemical"	"[{""token"": ""L - NAME"", ""start_span"": 24, ""end_span"": 32, ""type"": ""Chemical""}]"
In ILP, reduced tumour growth was observed when L - NAME was used alone.	"L - NAME	48	56	Chemical"	"[{""token"": ""L - NAME"", ""start_span"": 48, ""end_span"": 56, ""type"": ""Chemical""}]"
These results indicate a possible role of L - NAME for the treatment of solid tumours in a systemic or regional setting.	"L - NAME	42	50	Chemical"	"[{""token"": ""L - NAME"", ""start_span"": 42, ""end_span"": 50, ""type"": ""Chemical""}]"
Apoptosis induced by 1 ' - acetoxychavicol acetate in Ehrlich ascites tumor cells is associated with modulation of polyamine metabolism and caspase - 3 activation.	"1 ' - acetoxychavicol acetate	21	50	Chemical"	"[{""token"": ""1 ' - acetoxychavicol acetate"", ""start_span"": 21, ""end_span"": 50, ""type"": ""Chemical""}]"
