N - glycosylation of glucose transporter - 1 ( Glut - 1) is associated with increased transporter affinity for glucose in human leukemic cells.	"glucose	21	28	Chemical"	"[{""token"": ""glucose"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Chemical""}]"
Treatment of K562 cells with tunicamycin for 18 h, resulted in extensive loss of the 50 - 60 kDa glycoprotein, appearance of a 30 - 40 kDa band and increased staining of a 45 kDa band.	"tunicamycin	29	40	Chemical"	"[{""token"": ""tunicamycin"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Chemical""}]"
With U937 cells, tunicamycin treatment resulted in the appearance of a 30 - 40 kDa band and increased staining of a 45 kDa band.	"tunicamycin	17	28	Chemical"	"[{""token"": ""tunicamycin"", ""start_span"": 17, ""end_span"": 28, ""type"": ""Chemical""}]"
Tunicamycin - treatment resulted in 75 - 90% inhibition in [ 3H] mannose incorporation but only 20 - 25% inhibition in [ 3H] thymidine and [ 3H] leucine incorporation.	"Tunicamycin	0	11	Chemical"	"[{""token"": ""Tunicamycin"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical""}]"
Bradycardia was induced in rats by administering the bradycardic drug alinidine ( 3 mg / kg body weight) twice daily.	"alinidine	70	79	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 70, ""end_span"": 79, ""type"": ""Chemical""}]"
Left ventricular weight, body weight, and their ratio were not significantly altered by alinidine treatment.	"alinidine	88	97	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 88, ""end_span"": 97, ""type"": ""Chemical""}]"
VEGF protein was higher in alinidine - treated rats than in controls after 2 weeks and increased further after 3 weeks of treatment.	"alinidine	27	36	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Chemical""}]"
Injection of VEGF - neutralizing antibodies over a 2 - week period completely blocked alinidine - stimulated angiogenesis.	"alinidine	86	95	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 86, ""end_span"": 95, ""type"": ""Chemical""}]"
In contrast, bFGF mRNA was not altered by alinidine treatment.	"alinidine	42	51	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 42, ""end_span"": 51, ""type"": ""Chemical""}]"
METHODS AND MATERIALS: The prospective trial included 287 patients with subfoveal neovascularization due to AMD which was verified by fluorescein angiography.	"fluorescein	134	145	Chemical"	"[{""token"": ""fluorescein"", ""start_span"": 134, ""end_span"": 145, ""type"": ""Chemical""}]"
