In contrast, tunicamycin had little effect on the viability and MTT responses of the cells used.	"tunicamycin	13	24	Chemical"	"MTT	64	67	Chemical"	"[{""token"": ""tunicamycin"", ""start_span"": 13, ""end_span"": 24, ""type"": ""Chemical""}, {""token"": ""MTT"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Chemical""}]"
Left ventricular capillary length density ( mm / mm ( 3)) increased gradually with alinidine administration; a 15% increase after 2 weeks and a 40% increase after 3 weeks of alinidine treatment were documented.	"alinidine	83	92	Chemical"	"alinidine	174	183	Chemical"	"[{""token"": ""alinidine"", ""start_span"": 83, ""end_span"": 92, ""type"": ""Chemical""}, {""token"": ""alinidine"", ""start_span"": 174, ""end_span"": 183, ""type"": ""Chemical""}]"
Fluroquinolone antibiotics such as ciprofloxacin, which can be administered p. o., may have a profound effect in bladder cancer management.	"Fluroquinolone	0	14	Chemical"	"ciprofloxacin	35	48	Chemical"	"[{""token"": ""Fluroquinolone"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""ciprofloxacin"", ""start_span"": 35, ""end_span"": 48, ""type"": ""Chemical""}]"
The cyclin - dependent kinase inhibitor p21WAF1 level was found to be decreased within 12 h of ciprofloxacin treatment and disappeared completely when HTB9 cells were treated with 200 microg / ml ciprofloxacin for 24 h.	"ciprofloxacin	95	108	Chemical"	"ciprofloxacin	196	209	Chemical"	"[{""token"": ""ciprofloxacin"", ""start_span"": 95, ""end_span"": 108, ""type"": ""Chemical""}, {""token"": ""ciprofloxacin"", ""start_span"": 196, ""end_span"": 209, ""type"": ""Chemical""}]"
[ Study of fungus polysaccharides compounds ( FPC) in inducing the apoptosis of liver cancer cell Bel - 7402].	"fungus polysaccharides compounds	11	43	Chemical"	"FPC	46	49	Chemical"	"[{""token"": ""fungus polysaccharides compounds"", ""start_span"": 11, ""end_span"": 43, ""type"": ""Chemical""}, {""token"": ""FPC"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Chemical""}]"
To observe the influence of fungus polysaccharides compounds ( FPC) in inducing human liver cancer cell Bel - 7402 apoptosis in cell cultivating in vitro, the authors analyzed tumor inhibitive gene P53 expression in Bel - 7402 apoptosis by applying double immuno - marker.	"fungus polysaccharides compounds	28	60	Chemical"	"FPC	63	66	Chemical"	"[{""token"": ""fungus polysaccharides compounds"", ""start_span"": 28, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""FPC"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Chemical""}]"
The result showed that the mechanism of the FPC antineoplastic effect had an intimate relation with its induction to apoptosis and that the result of FPC inducing tumor cell apoptosis had the character of P53 independence.	"FPC	44	47	Chemical"	"FPC	150	153	Chemical"	"[{""token"": ""FPC"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Chemical""}, {""token"": ""FPC"", ""start_span"": 150, ""end_span"": 153, ""type"": ""Chemical""}]"
The therapeutic options available in this regard include measures that: down - regulate serum free IGF - I; suppress the synthesis of mevalonic acid and / or certain derivatives thereof; modulate arachidonate metabolism by inhibiting 5 - lipoxygenase, 12 - lipoxygenase, or COX - 2; antagonize the activation of AP - 1 transcription factors; promote the activation of PPAR - gamma transcription factors; and that suppress angiogenesis by additional mechanisms.	"mevalonic acid	134	148	Chemical"	"arachidonate	196	208	Chemical"	"[{""token"": ""mevalonic acid"", ""start_span"": 134, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""arachidonate"", ""start_span"": 196, ""end_span"": 208, ""type"": ""Chemical""}]"
A specific histone deacetylase ( HDAc) inhibitor, trichostatin A ( TSA), alleviates Evi - 1 - mediated repression of TGF - beta signaling, suggesting that HDAc is involved in transcriptional repression by Evi - 1.	"trichostatin A	50	64	Chemical"	"TSA	67	70	Chemical"	"[{""token"": ""trichostatin A"", ""start_span"": 50, ""end_span"": 64, ""type"": ""Chemical""}, {""token"": ""TSA"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Chemical""}]"
Here we provide evidence that lactate and pyruvate regulate hypoxia - inducible gene expression independently of hypoxia by stimulating the accumulation of hypoxia - inducible Factor 1alpha ( HIF - 1alpha).	"lactate	30	37	Chemical"	"pyruvate	42	50	Chemical"	"[{""token"": ""lactate"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Chemical""}, {""token"": ""pyruvate"", ""start_span"": 42, ""end_span"": 50, ""type"": ""Chemical""}]"
In human gliomas and other cancer cell lines, the accumulation of HIF - 1alpha protein under aerobic conditions requires the metabolism of glucose to pyruvate that prevents the aerobic degradation of HIF - 1alpha protein, activates HIF - 1 DNA binding activity, and enhances the expression of several HIF - 1 - activated genes including erythropoietin, vascular endothelial growth factor, glucose transporter 3, and aldolase A.	"glucose	139	146	Chemical"	"pyruvate	150	158	Chemical"	"[{""token"": ""glucose"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Chemical""}, {""token"": ""pyruvate"", ""start_span"": 150, ""end_span"": 158, ""type"": ""Chemical""}]"
The study presented here examined the ability of specific regions and activities of T antigen to modulate apoptosis in cells treated with the genotoxic agent 5 - fluorouracil ( 5 - FU).	"5 - fluorouracil	158	174	Chemical"	"5 - FU	177	183	Chemical"	"[{""token"": ""5 - fluorouracil"", ""start_span"": 158, ""end_span"": 174, ""type"": ""Chemical""}, {""token"": ""5 - FU"", ""start_span"": 177, ""end_span"": 183, ""type"": ""Chemical""}]"
Based on these optimized parameters, a prototype diagnostic / treatment system was designed that captures high - speed indocyanine green ( ICG) angiogram images and facilitates analysis of the images by enhancing visualization of dye movement through CNV feeder vessels ( FVs).	"indocyanine green	119	136	Chemical"	"ICG	139	142	Chemical"	"[{""token"": ""indocyanine green"", ""start_span"": 119, ""end_span"": 136, ""type"": ""Chemical""}, {""token"": ""ICG"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Chemical""}]"
Dietary conjugated linoleic acid ( CLA) has been shown previously to inhibit rat mammary carcinogenesis.	"conjugated linoleic acid	8	32	Chemical"	"CLA	35	38	Chemical"	"[{""token"": ""conjugated linoleic acid"", ""start_span"": 8, ""end_span"": 32, ""type"": ""Chemical""}, {""token"": ""CLA"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Chemical""}]"
This study identifies genes expressed early in 12 - O - tetradecanoylphorbol - 13 - acetate ( TPA) - induced skin carcinogenesis in genetically initiated Tg. AC v - Ha - ras transgenic mice.	"12 - O - tetradecanoylphorbol - 13 - acetate	47	91	Chemical"	"TPA	94	97	Chemical"	"[{""token"": ""12 - O - tetradecanoylphorbol - 13 - acetate"", ""start_span"": 47, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""TPA"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Chemical""}]"
We investigated the roles of the prostaglandin synthases cyclooxygenase ( COX) I and COX - II in angiogenesis and progesterone production in the newly formed CL, using inhibitors of the COX enzymes and the gonadotropin - induced pseudopregnant rat as a model.	"prostaglandin	33	46	Chemical"	"progesterone	114	126	Chemical"	"[{""token"": ""prostaglandin"", ""start_span"": 33, ""end_span"": 46, ""type"": ""Chemical""}, {""token"": ""progesterone"", ""start_span"": 114, ""end_span"": 126, ""type"": ""Chemical""}]"
In contrast, a selective COX - I inhibitor, SC - 560, had no effect on serum progesterone concentrations.	"SC - 560	44	52	Chemical"	"progesterone	77	89	Chemical"	"[{""token"": ""SC - 560"", ""start_span"": 44, ""end_span"": 52, ""type"": ""Chemical""}, {""token"": ""progesterone"", ""start_span"": 77, ""end_span"": 89, ""type"": ""Chemical""}]"
Tail vein injection of N - ( 1 - ( 2, 3 - dioleoyloxy) propyl) - N, N, N - trimethylammonium chloride ( DOTAP) / cholesterol lipoplexes resulted in increased lipoplex entrapment in hypervascularized liver but did not boost luciferase expression, suggesting that lipoplex delivery is not a sufficient condition for efficient organ lipofection.	"lipoplex	125	133	Chemical"	"lipoplex	158	166	Chemical"	"[{""token"": ""lipoplex"", ""start_span"": 125, ""end_span"": 133, ""type"": ""Chemical""}, {""token"": ""lipoplex"", ""start_span"": 158, ""end_span"": 166, ""type"": ""Chemical""}]"
