Additional experiments revealed FT to be effective component of UFT; uracil remained ineffective in the inhibition of angiogenesis.	"FT	32	34	Chemical"	"UFT	64	67	Chemical"	"uracil	69	75	Chemical"	"[{""token"": ""FT"", ""start_span"": 32, ""end_span"": 34, ""type"": ""Chemical""}, {""token"": ""UFT"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Chemical""}, {""token"": ""uracil"", ""start_span"": 69, ""end_span"": 75, ""type"": ""Chemical""}]"
Moreover, we have found that gamma - hydroxybutyric acid and gamma - butyrolactone, the metabolites of FT, possess a potent angiogenesis inhibitory effect that is amplified when the compounds are administered by a continuous infusion.	"gamma - hydroxybutyric acid	29	56	Chemical"	"gamma - butyrolactone	61	82	Chemical"	"FT	103	105	Chemical"	"[{""token"": ""gamma - hydroxybutyric acid"", ""start_span"": 29, ""end_span"": 56, ""type"": ""Chemical""}, {""token"": ""gamma - butyrolactone"", ""start_span"": 61, ""end_span"": 82, ""type"": ""Chemical""}, {""token"": ""FT"", ""start_span"": 103, ""end_span"": 105, ""type"": ""Chemical""}]"
In combination with TNF or melphalan, L - NAME increased response rates significantly compared to perfusions without L - NAME ( 0 - 64% and 0 - 63% respectively).	"melphalan	27	36	Chemical"	"L - NAME	38	46	Chemical"	"L - NAME	117	125	Chemical"	"[{""token"": ""melphalan"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""L - NAME"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Chemical""}, {""token"": ""L - NAME"", ""start_span"": 117, ""end_span"": 125, ""type"": ""Chemical""}]"
The development of carcinoma was examined in male Wistar rats ( n = 120) exposed to N - methyl - N ' - nitro - N - nitrosoguanidine ( MNNG) in the drinking water ( 83 micrograms / ml) for 16 weeks.	"N - methyl - N ' - nitro - N - nitrosoguanidine	84	131	Chemical"	"MNNG	134	138	Chemical"	"water	156	161	Chemical"	"[{""token"": ""N - methyl - N ' - nitro - N - nitrosoguanidine"", ""start_span"": 84, ""end_span"": 131, ""type"": ""Chemical""}, {""token"": ""MNNG"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Chemical""}, {""token"": ""water"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Chemical""}]"
Alternative hypotheses, wherein the glucose is used for generation of reducing equivalents ( NADPH) or anabolic precursors ( ribose) are also discussed.	"glucose	36	43	Chemical"	"NADPH	93	98	Chemical"	"ribose	125	131	Chemical"	"[{""token"": ""glucose"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Chemical""}, {""token"": ""NADPH"", ""start_span"": 93, ""end_span"": 98, ""type"": ""Chemical""}, {""token"": ""ribose"", ""start_span"": 125, ""end_span"": 131, ""type"": ""Chemical""}]"
Both STX243 and STX140 were capable of retarding the growth of MDA - MB - 231 xenograft tumours ( 72 and 63%, respectively), whereas no inhibition was observed for animals treated with 2 - MeOE2.	"STX243	5	11	Chemical"	"STX140	16	22	Chemical"	"2 - MeOE2	185	194	Chemical"	"[{""token"": ""STX243"", ""start_span"": 5, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""STX140"", ""start_span"": 16, ""end_span"": 22, ""type"": ""Chemical""}, {""token"": ""2 - MeOE2"", ""start_span"": 185, ""end_span"": 194, ""type"": ""Chemical""}]"
Depletion of polyphenol with polyvinylpyrrolidone abolished the antiangiogenic activity of GSE, suggesting a water - soluble fraction of polyphenol in GSE is responsible for the antiangiogenic activity.	"polyphenol	13	23	Chemical"	"polyvinylpyrrolidone	29	49	Chemical"	"polyphenol	137	147	Chemical"	"[{""token"": ""polyphenol"", ""start_span"": 13, ""end_span"": 23, ""type"": ""Chemical""}, {""token"": ""polyvinylpyrrolidone"", ""start_span"": 29, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""polyphenol"", ""start_span"": 137, ""end_span"": 147, ""type"": ""Chemical""}]"
Impact of tumor cell VEGF expression on the in vivo efficacy of vandetanib ( ZACTIMA; ZD6474).	"vandetanib	64	74	Chemical"	"ZACTIMA	77	84	Chemical"	"ZD6474	86	92	Chemical"	"[{""token"": ""vandetanib"", ""start_span"": 64, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""ZACTIMA"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""ZD6474"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical""}]"
BACKGROUND: Angiogenesis plays an important role in maintaining adequate oxygen delivery, and nitric oxide ( NO) is a potential regulator of angiogenesis.	"oxygen	73	79	Chemical"	"nitric oxide	94	106	Chemical"	"NO	109	111	Chemical"	"[{""token"": ""oxygen"", ""start_span"": 73, ""end_span"": 79, ""type"": ""Chemical""}, {""token"": ""nitric oxide"", ""start_span"": 94, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""NO"", ""start_span"": 109, ""end_span"": 111, ""type"": ""Chemical""}]"
In order to understand the underlying mechanism by which TSC phenolic fraction potentiates BPDE - induced tumorigenicity, we examined its effect on the activation of two transcription factors AP - 1 and NF - kappaB which are known to be influenced by established tumor promoter TPA.	"TSC phenolic fraction	57	78	Chemical"	"BPDE	91	95	Chemical"	"TPA	278	281	Chemical"	"[{""token"": ""TSC phenolic fraction"", ""start_span"": 57, ""end_span"": 78, ""type"": ""Chemical""}, {""token"": ""BPDE"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""TPA"", ""start_span"": 278, ""end_span"": 281, ""type"": ""Chemical""}]"
