Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
In human gliomas and other cancer cell lines, the accumulation of HIF - 1alpha protein under aerobic conditions requires the metabolism of glucose to pyruvate that prevents the aerobic degradation of HIF - 1alpha protein, activates HIF - 1 DNA binding activity, and enhances the expression of several HIF - 1 - activated genes including erythropoietin, vascular endothelial growth factor, glucose transporter 3, and aldolase A.	HIF - 1alpha,66,78,Gene_or_gene_product	HIF - 1alpha,200,212,Gene_or_gene_product	HIF - 1,232,239,Gene_or_gene_product	HIF - 1,301,308,Gene_or_gene_product	erythropoietin,337,351,Gene_or_gene_product	vascular endothelial growth factor,353,387,Gene_or_gene_product	glucose transporter 3,389,410,Gene_or_gene_product	aldolase A,416,426,Gene_or_gene_product	"[{""token"": ""HIF - 1alpha"", ""start_span"": 66, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1alpha"", ""start_span"": 200, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1"", ""start_span"": 232, ""end_span"": 239, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1"", ""start_span"": 301, ""end_span"": 308, ""type"": ""Gene_or_gene_product""}, {""token"": ""erythropoietin"", ""start_span"": 337, ""end_span"": 351, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 353, ""end_span"": 387, ""type"": ""Gene_or_gene_product""}, {""token"": ""glucose transporter 3"", ""start_span"": 389, ""end_span"": 410, ""type"": ""Gene_or_gene_product""}, {""token"": ""aldolase A"", ""start_span"": 416, ""end_span"": 426, ""type"": ""Gene_or_gene_product""}]"	train
Using immunoblot analysis, we show that AdGFPFasL ( TET) is capable of initiating the classic Fas - mediated apoptotic pathway in DU145 cells, which includes activation of caspases - 8, - 3, - 7, and - 9, BID cleavage, cytochrome c release from mitochondria, and PARP cleavage.	Fas,45,48,Gene_or_gene_product	caspases - 8,172,184,Gene_or_gene_product	- 3,186,189,Gene_or_gene_product	- 7,191,194,Gene_or_gene_product	- 9,200,203,Gene_or_gene_product	BID,205,208,Gene_or_gene_product	cytochrome c,219,231,Gene_or_gene_product	PARP,263,267,Gene_or_gene_product	"[{""token"": ""Fas"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""caspases - 8"", ""start_span"": 172, ""end_span"": 184, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3"", ""start_span"": 186, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 7"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 9"", ""start_span"": 200, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""BID"", ""start_span"": 205, ""end_span"": 208, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytochrome c"", ""start_span"": 219, ""end_span"": 231, ""type"": ""Gene_or_gene_product""}, {""token"": ""PARP"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Gene_or_gene_product""}]"	train
To better understand the intracellular signaling pathways, we examined the effect of HKa on the phosphorylation of Akt and its downstream effector, GSK - 3alpha HKa and D5 inhibit phosphorylation of Akt and GSK - 3alpha after stimulation withVEGF and S1P.	HKa,85,88,Gene_or_gene_product	Akt,115,118,Gene_or_gene_product	GSK - 3alpha,148,160,Gene_or_gene_product	HKa,161,164,Gene_or_gene_product	Akt,199,202,Gene_or_gene_product	GSK - 3alpha,207,219,Gene_or_gene_product	withVEGF,238,246,Gene_or_gene_product	S1P,251,254,Gene_or_gene_product	"[{""token"": ""HKa"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""GSK - 3alpha"", ""start_span"": 148, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}, {""token"": ""HKa"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}, {""token"": ""GSK - 3alpha"", ""start_span"": 207, ""end_span"": 219, ""type"": ""Gene_or_gene_product""}, {""token"": ""withVEGF"", ""start_span"": 238, ""end_span"": 246, ""type"": ""Gene_or_gene_product""}, {""token"": ""S1P"", ""start_span"": 251, ""end_span"": 254, ""type"": ""Gene_or_gene_product""}]"	train
The mice that received Hoxa9 / Meis1 - transduced bone marrow cells developed acute myeloid leukemia ( AML), and Trib1, Evi1, Ahi1, Raralpha, Pitpnb, and AK039950 were identified as candidate cooperative genes located near common retroviral integration sites.	Hoxa9,23,28,Gene_or_gene_product	Meis1,31,36,Gene_or_gene_product	Trib1,113,118,Gene_or_gene_product	Evi1,120,124,Gene_or_gene_product	Ahi1,126,130,Gene_or_gene_product	Raralpha,132,140,Gene_or_gene_product	Pitpnb,142,148,Gene_or_gene_product	AK039950,154,162,Gene_or_gene_product	"[{""token"": ""Hoxa9"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""Meis1"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""Trib1"", ""start_span"": 113, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""Evi1"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ahi1"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""Raralpha"", ""start_span"": 132, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pitpnb"", ""start_span"": 142, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""AK039950"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}]"	train
Immunohistochemical studies showed that the epithelioid cells were strongly positive for a broad spectrum of cytokeratins ( AE1 / AE3, CAM5. 2, epithelial membrane antigen and cytokeratin 7) and mesothelial markers ( calretinin, Wilms ' tumour 1 and D2 - 40).	cytokeratins,109,121,Gene_or_gene_product	AE1,124,127,Gene_or_gene_product	AE3,130,133,Gene_or_gene_product	epithelial membrane antigen,144,171,Gene_or_gene_product	cytokeratin 7,176,189,Gene_or_gene_product	calretinin,217,227,Gene_or_gene_product	Wilms ' tumour 1,229,245,Gene_or_gene_product	D2 - 40,250,257,Gene_or_gene_product	"[{""token"": ""cytokeratins"", ""start_span"": 109, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}, {""token"": ""AE1"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}, {""token"": ""AE3"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}, {""token"": ""epithelial membrane antigen"", ""start_span"": 144, ""end_span"": 171, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytokeratin 7"", ""start_span"": 176, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}, {""token"": ""calretinin"", ""start_span"": 217, ""end_span"": 227, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wilms ' tumour 1"", ""start_span"": 229, ""end_span"": 245, ""type"": ""Gene_or_gene_product""}, {""token"": ""D2 - 40"", ""start_span"": 250, ""end_span"": 257, ""type"": ""Gene_or_gene_product""}]"	train
In cultured stable Grm1 - mouse - melanocytic clones, as well as an metabotropic glutamate receptor 1 ( Grm1) expressing human melanoma cell line, C8161, stimulation of Grm1 by its agonist led to the activation of AKT, while preincubation with Grm1 - antagonist abolished Grm1 - agonist - induced AKT activation.	Grm1,19,23,Gene_or_gene_product	glutamate receptor 1,81,101,Gene_or_gene_product	Grm1,104,108,Gene_or_gene_product	Grm1,169,173,Gene_or_gene_product	AKT,214,217,Gene_or_gene_product	Grm1,244,248,Gene_or_gene_product	Grm1,272,276,Gene_or_gene_product	AKT,297,300,Gene_or_gene_product	"[{""token"": ""Grm1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""glutamate receptor 1"", ""start_span"": 81, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Gene_or_gene_product""}, {""token"": ""AKT"", ""start_span"": 214, ""end_span"": 217, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 272, ""end_span"": 276, ""type"": ""Gene_or_gene_product""}, {""token"": ""AKT"", ""start_span"": 297, ""end_span"": 300, ""type"": ""Gene_or_gene_product""}]"	train
RESULTS: AQP1, 3 - 5, and 10 - 12 were expressed in human breast cancer and / or normal breast tissues, and AQP1 and 3 - 5 exhibited differential expression.	AQP1,9,13,Gene_or_gene_product	3,15,16,Gene_or_gene_product	5,19,20,Gene_or_gene_product	10,26,28,Gene_or_gene_product	12,31,33,Gene_or_gene_product	AQP1,108,112,Gene_or_gene_product	3,117,118,Gene_or_gene_product	5,121,122,Gene_or_gene_product	"[{""token"": ""AQP1"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""3"", ""start_span"": 15, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""5"", ""start_span"": 19, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""10"", ""start_span"": 26, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""12"", ""start_span"": 31, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""AQP1"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""3"", ""start_span"": 117, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""5"", ""start_span"": 121, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}]"	train
Furthermore, the expression levels of NF - kappaB - regulated metastasis - related molecules, such as fibronectin, beta1 integrin, MMP - 1, - 2, - 9, and - 14, and VEGF - C, were upregulated in the highly metastatic cells.	NF - kappaB,38,49,Gene_or_gene_product	fibronectin,102,113,Gene_or_gene_product	beta1 integrin,115,129,Gene_or_gene_product	MMP - 1,131,138,Gene_or_gene_product	- 2,140,143,Gene_or_gene_product	- 9,145,148,Gene_or_gene_product	- 14,154,158,Gene_or_gene_product	VEGF - C,164,172,Gene_or_gene_product	"[{""token"": ""NF - kappaB"", ""start_span"": 38, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}, {""token"": ""fibronectin"", ""start_span"": 102, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta1 integrin"", ""start_span"": 115, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 1"", ""start_span"": 131, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 2"", ""start_span"": 140, ""end_span"": 143, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 9"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 14"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF - C"", ""start_span"": 164, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}]"	train
Besides TGFbeta and RTK / Ras signaling, autocrine factors and Wnt -, Notch -, Hedgehog - and NF - kappaB - dependent pathways were found to contribute to EMT.	TGFbeta,8,15,Gene_or_gene_product	RTK,20,23,Gene_or_gene_product	Ras,26,29,Gene_or_gene_product	Wnt,63,66,Gene_or_gene_product	Notch,70,75,Gene_or_gene_product	Hedgehog,79,87,Gene_or_gene_product	NF - kappaB,94,105,Gene_or_gene_product	EMT,155,158,Gene_or_gene_product	"[{""token"": ""TGFbeta"", ""start_span"": 8, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""RTK"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ras"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""Notch"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hedgehog"", ""start_span"": 79, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 94, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}, {""token"": ""EMT"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}]"	valid
Brain pericytes in culture had higher levels of endosialin / TEM 1 than TEMs - 2, - 3, - 4, - 5, - 7, and - 8.	endosialin,48,58,Gene_or_gene_product	TEM 1,61,66,Gene_or_gene_product	TEMs - 2,72,80,Gene_or_gene_product	- 3,82,85,Gene_or_gene_product	- 4,87,90,Gene_or_gene_product	- 5,92,95,Gene_or_gene_product	- 7,97,100,Gene_or_gene_product	- 8,106,109,Gene_or_gene_product	"[{""token"": ""endosialin"", ""start_span"": 48, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""TEM 1"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""TEMs - 2"", ""start_span"": 72, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 4"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 5"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 7"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 8"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"	valid
