Microsatellite regions in the type II transforming growth factor - beta receptor ( TGF - beta RII) gene appear to be targets for mutation in some cancers displaying microsatellite instability ( replication error phenotype, RER +).	"type II transforming growth factor - beta receptor	30	80	Gene_or_gene_product"	"TGF - beta RII	83	97	Gene_or_gene_product"	"[{""token"": ""type II transforming growth factor - beta receptor"", ""start_span"": 30, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}, {""token"": ""TGF - beta RII"", ""start_span"": 83, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
Furthermore, TGF - beta RII mutations in RER + tumors have been associated with decreased TGF - beta RII mRNA levels.	"TGF - beta RII	13	27	Gene_or_gene_product"	"TGF - beta RII	90	104	Gene_or_gene_product"	"[{""token"": ""TGF - beta RII"", ""start_span"": 13, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""TGF - beta RII"", ""start_span"": 90, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}]"
N - glycosylation of glucose transporter - 1 ( Glut - 1) is associated with increased transporter affinity for glucose in human leukemic cells.	"glucose transporter - 1	21	44	Gene_or_gene_product"	"Glut - 1	47	55	Gene_or_gene_product"	"[{""token"": ""glucose transporter - 1"", ""start_span"": 21, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""Glut - 1"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}]"
We tested the hypothesis that vascular endothelial growth factor ( VEGF), an endothelial cell mitogen and a major regulator of angiogenesis, is upregulated in response to low heart rate and consequential increased stroke volume.	"vascular endothelial growth factor	30	64	Gene_or_gene_product"	"VEGF	67	71	Gene_or_gene_product"	"[{""token"": ""vascular endothelial growth factor"", ""start_span"": 30, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
One such factor, vascular endothelial growth factor ( VEGF), is considered to exert a potent angiogenic activity, as indicated by immunohistochemical and molecular evidence.	"vascular endothelial growth factor	17	51	Gene_or_gene_product"	"VEGF	54	58	Gene_or_gene_product"	"[{""token"": ""vascular endothelial growth factor"", ""start_span"": 17, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
In this study we investigated the serum VEGF level ( s - VEGF) in patients with renal cell carcinoma ( RCC).	"VEGF	40	44	Gene_or_gene_product"	"VEGF	57	61	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
The results indicate that tumor tissue of RCC liberates VEGF into the systemic blood flow and that s - VEGF is a possible marker for RCC.	"VEGF	56	60	Gene_or_gene_product"	"VEGF	103	107	Gene_or_gene_product"	"[{""token"": ""VEGF"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}]"
Insulin - induced vascular endothelial growth factor expression in retina.	"Insulin	0	7	Gene_or_gene_product"	"vascular endothelial growth factor	18	52	Gene_or_gene_product"	"[{""token"": ""Insulin"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 18, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}]"
Vascular endothelial growth factor ( VEGF) is known to be operative in the pathogenesis of diabetic retinopathy.	"Vascular endothelial growth factor	0	34	Gene_or_gene_product"	"VEGF	37	41	Gene_or_gene_product"	"[{""token"": ""Vascular endothelial growth factor"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
The current study was conducted to characterize the effect of insulin on retinal VEGF gene expression in vitro and in vivo.	"insulin	62	69	Gene_or_gene_product"	"VEGF	81	85	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}]"
Conditioned media from insulin - treated RPE cells were assayed for VEGF protein and capillary endothelial cell proliferation.	"insulin	23	30	Gene_or_gene_product"	"VEGF	68	72	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}]"
RESULTS: Insulin increased VEGF mRNA levels in the ganglion, inner nuclear, and RPE cell layers.	"Insulin	9	16	Gene_or_gene_product"	"VEGF	27	31	Gene_or_gene_product"	"[{""token"": ""Insulin"", ""start_span"": 9, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Insulin treatment also increased VEGF protein levels in conditioned RPE cell media in a dose - dependent manner with a median effective concentration of 5 nM.	"Insulin	0	7	Gene_or_gene_product"	"VEGF	33	37	Gene_or_gene_product"	"[{""token"": ""Insulin"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"
The insulin - conditioned RPE cell media stimulated capillary endothelial cell proliferation, an effect that was completely blocked by anti - VEGF neutralizing antibody.	"insulin	4	11	Gene_or_gene_product"	"VEGF	142	146	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}]"
Intensive insulin therapy may cause a transient worsening of retinopathy in patients with diabetes through increased retinal VEGF gene expression.	"insulin	10	17	Gene_or_gene_product"	"VEGF	125	129	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}]"
To examine the roles of LMP1 in cell proliferation and growth regulation in primary culture cells, we constructed a recombinant retrovirus containing an LMP1 gene.	"LMP1	24	28	Gene_or_gene_product"	"LMP1	153	157	Gene_or_gene_product"	"[{""token"": ""LMP1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""LMP1"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Gene_or_gene_product""}]"
Autotaxin ( ATX), an exo - nucleotide pyrophosphatase and phosphodiesterase, was originally isolated as a potent stimulator of tumor cell motility.	"Autotaxin	0	9	Gene_or_gene_product"	"ATX	12	15	Gene_or_gene_product"	"[{""token"": ""Autotaxin"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATX"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
In MatrigelTM invasion assays, all subclones, which secreted enzymatically active ATX, demonstrated greater spontaneous and ATX - stimulated invasion than appropriate controls.	"ATX	82	85	Gene_or_gene_product"	"ATX	124	127	Gene_or_gene_product"	"[{""token"": ""ATX"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATX"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}]"
The cyclin - dependent kinase inhibitor p21WAF1 level was found to be decreased within 12 h of ciprofloxacin treatment and disappeared completely when HTB9 cells were treated with 200 microg / ml ciprofloxacin for 24 h.	"cyclin - dependent kinase	4	29	Gene_or_gene_product"	"p21WAF1	40	47	Gene_or_gene_product"	"[{""token"": ""cyclin - dependent kinase"", ""start_span"": 4, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21WAF1"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
The down - regulation of p21WAF1 closely correlated with poly ( ADP - ribose) polymerase cleavage and CPP32 activation.	"p21WAF1	25	32	Gene_or_gene_product"	"CPP32	102	107	Gene_or_gene_product"	"[{""token"": ""p21WAF1"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""CPP32"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}]"
Recent studies revealed that p21WAF1 protects cells from apoptosis by arresting them in G1 and further binds to pro - caspase - 3, preventing its activation and thus, inhibiting the apoptotic cascade.	"p21WAF1	29	36	Gene_or_gene_product"	"pro - caspase - 3	112	129	Gene_or_gene_product"	"[{""token"": ""p21WAF1"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""pro - caspase - 3"", ""start_span"": 112, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}]"
The hypothesis that modifications of activity and / or expression of nitric oxide synthase ( NOS) isozymes might play a role in these modifications, via enhanced local production of nitric oxide, was tested in this study.	"nitric oxide synthase	69	90	Gene_or_gene_product"	"NOS	93	96	Gene_or_gene_product"	"[{""token"": ""nitric oxide synthase"", ""start_span"": 69, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""NOS"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
Immunoblotting and immunostaining studies demonstrated an upregulation of vascular endothelial growth factor ( VEGF) mostly along the endothelium lining peritoneal blood vessels in long - term PD patients.	"vascular endothelial growth factor	74	108	Gene_or_gene_product"	"VEGF	111	115	Gene_or_gene_product"	"[{""token"": ""vascular endothelial growth factor"", ""start_span"": 74, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
These data provide a morphologic ( angiogenesis and increased endothelial area) and molecular ( enhanced NOS activity and endothelial NOS upregulation) basis for explaining the permeability changes observed in long - term PD.	"NOS	105	108	Gene_or_gene_product"	"endothelial NOS	122	137	Gene_or_gene_product"	"[{""token"": ""NOS"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""endothelial NOS"", ""start_span"": 122, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}]"
RESULTS: Chang hepatocytes grown in the coculture conditioned media have an increase in TNF - alpha and Fas ligand.	"TNF - alpha	88	99	Gene_or_gene_product"	"Fas ligand	104	114	Gene_or_gene_product"	"[{""token"": ""TNF - alpha"", ""start_span"": 88, ""end_span"": 99, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas ligand"", ""start_span"": 104, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: Neuroblastoma cells grown in coculture conditioned media show increased expression of Bcl - 2 and decreased Fas ligand levels.	"Bcl - 2	99	106	Gene_or_gene_product"	"Fas ligand	121	131	Gene_or_gene_product"	"[{""token"": ""Bcl - 2"", ""start_span"": 99, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas ligand"", ""start_span"": 121, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}]"
The prevailing model for Notch signaling suggests that ligand, presented on a neighboring cell, triggers proteolytic processing of Notch.	"Notch	25	30	Gene_or_gene_product"	"Notch	131	136	Gene_or_gene_product"	"[{""token"": ""Notch"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""Notch"", ""start_span"": 131, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}]"
