This study shows that angiogenin expression is up - regulated in the cytoplasmic and nuclear compartments in in situ carcinoma and invasive carcinoma compared with normal breast tissue and that angiogenin expression in invasive carcinomas is significantly positively associated with high tumour grade ( p = 0. 03), positive oestrogen receptor ( ER) status ( p = 0. 01), HIF - 1 alpha ( p = 0. 001) and DEC 1 ( p = 0. 001), but not with patient age ( p = 0. 8), tumour size ( p = 0. 25), lymph node status ( p = 0. 69), epidermal growth factor receptor ( p = 0. 56) or microvessel density ( p = 0. 32).	"angiogenin	22	32	Gene_or_gene_product"	"angiogenin	194	204	Gene_or_gene_product"	"oestrogen receptor	324	342	Gene_or_gene_product"	"ER	345	347	Gene_or_gene_product"	"HIF - 1 alpha	370	383	Gene_or_gene_product"	"DEC 1	402	407	Gene_or_gene_product"	"epidermal growth factor receptor	519	551	Gene_or_gene_product"	"[{""token"": ""angiogenin"", ""start_span"": 22, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""angiogenin"", ""start_span"": 194, ""end_span"": 204, ""type"": ""Gene_or_gene_product""}, {""token"": ""oestrogen receptor"", ""start_span"": 324, ""end_span"": 342, ""type"": ""Gene_or_gene_product""}, {""token"": ""ER"", ""start_span"": 345, ""end_span"": 347, ""type"": ""Gene_or_gene_product""}, {""token"": ""HIF - 1 alpha"", ""start_span"": 370, ""end_span"": 383, ""type"": ""Gene_or_gene_product""}, {""token"": ""DEC 1"", ""start_span"": 402, ""end_span"": 407, ""type"": ""Gene_or_gene_product""}, {""token"": ""epidermal growth factor receptor"", ""start_span"": 519, ""end_span"": 551, ""type"": ""Gene_or_gene_product""}]"
This study examines the mechanism of HKa and D5 inhibition of two potent stimulators of endothelial cell migration, sphingosine 1 - phosphate ( S1P) and vascular endothelial growth factor ( VEGF), that act through the P13 - kinase - Akt signaling pathway.	"HKa	37	40	Gene_or_gene_product"	"sphingosine 1 - phosphate	116	141	Gene_or_gene_product"	"S1P	144	147	Gene_or_gene_product"	"vascular endothelial growth factor	153	187	Gene_or_gene_product"	"VEGF	190	194	Gene_or_gene_product"	"P13 - kinase	218	230	Gene_or_gene_product"	"Akt	233	236	Gene_or_gene_product"	"[{""token"": ""HKa"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""sphingosine 1 - phosphate"", ""start_span"": 116, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""S1P"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 153, ""end_span"": 187, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}, {""token"": ""P13 - kinase"", ""start_span"": 218, ""end_span"": 230, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 233, ""end_span"": 236, ""type"": ""Gene_or_gene_product""}]"
p63 also correlated with advanced pathological stage, tumor size, and the expression of human telomerase reverse transcriptase ( hTERT), tissue inhibitor of matrix metalloproteinase 1 ( TIMP1) and vascular endothelial growth factor ( VEGF).	"p63	0	3	Gene_or_gene_product"	"telomerase reverse transcriptase	94	126	Gene_or_gene_product"	"hTERT	129	134	Gene_or_gene_product"	"tissue inhibitor of matrix metalloproteinase 1	137	183	Gene_or_gene_product"	"TIMP1	186	191	Gene_or_gene_product"	"vascular endothelial growth factor	197	231	Gene_or_gene_product"	"VEGF	234	238	Gene_or_gene_product"	"[{""token"": ""p63"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""telomerase reverse transcriptase"", ""start_span"": 94, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""hTERT"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}, {""token"": ""tissue inhibitor of matrix metalloproteinase 1"", ""start_span"": 137, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}, {""token"": ""TIMP1"", ""start_span"": 186, ""end_span"": 191, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 197, ""end_span"": 231, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 234, ""end_span"": 238, ""type"": ""Gene_or_gene_product""}]"
To determine how p18 and p27 genetically interact with Men1, the tumor suppressor gene mutated in familial MEN1, we characterized p18 - Men1 and p27 - Men1 double mutant mice.	"p18	17	20	Gene_or_gene_product"	"p27	25	28	Gene_or_gene_product"	"Men1	55	59	Gene_or_gene_product"	"p18	130	133	Gene_or_gene_product"	"Men1	136	140	Gene_or_gene_product"	"p27	145	148	Gene_or_gene_product"	"Men1	151	155	Gene_or_gene_product"	"[{""token"": ""p18"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""p27"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""Men1"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}, {""token"": ""p18"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}, {""token"": ""Men1"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""p27"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Gene_or_gene_product""}, {""token"": ""Men1"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}]"
In the pituitary and pancreatic islets, phosphorylation of the retinoblastoma ( Rb) protein at both CDK2 and CDK4 / 6 sites was increased in p18 ( - / -) and Men1 ( + / -) cells and was further increased in p18 ( - / -); Men1 ( + / -) cells.	"retinoblastoma	63	77	Gene_or_gene_product"	"Rb	80	82	Gene_or_gene_product"	"CDK2	100	104	Gene_or_gene_product"	"CDK4 / 6	109	117	Gene_or_gene_product"	"Men1	158	162	Gene_or_gene_product"	"p18	207	210	Gene_or_gene_product"	"Men1	221	225	Gene_or_gene_product"	"[{""token"": ""retinoblastoma"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rb"", ""start_span"": 80, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""CDK2"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}, {""token"": ""CDK4 / 6"", ""start_span"": 109, ""end_span"": 117, ""type"": ""Gene_or_gene_product""}, {""token"": ""Men1"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""p18"", ""start_span"": 207, ""end_span"": 210, ""type"": ""Gene_or_gene_product""}, {""token"": ""Men1"", ""start_span"": 221, ""end_span"": 225, ""type"": ""Gene_or_gene_product""}]"
Vascular endothelial growth factor ( VEGF) and Angiopoietin 1 ( Ang1) are both potent proangiogenic factors, but, whereas VEGF causes vascular permeability, Ang1 stabilizes blood vessels and protects them from VEGF - induced plasma leakage.	"Vascular endothelial growth factor	0	34	Gene_or_gene_product"	"VEGF	37	41	Gene_or_gene_product"	"Angiopoietin 1	47	61	Gene_or_gene_product"	"Ang1	64	68	Gene_or_gene_product"	"VEGF	122	126	Gene_or_gene_product"	"Ang1	157	161	Gene_or_gene_product"	"VEGF	210	214	Gene_or_gene_product"	"[{""token"": ""Vascular endothelial growth factor"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""Angiopoietin 1"", ""start_span"": 47, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ang1"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ang1"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}]"
Glutathione supplementation reversed the inhibitory effects of EPOX on ERK, which increases the phosphorylation of Mcl - 1 at T ( 163.) Overexpression of mitogen - activated protein / ERK kinase ( MEK) partially reversed the effect of EPOX on Mcl - 1 dephosphorylation, ubiquitination, and degradation, further implicating ERK in the regulation of Mcl - 1 stability.	"ERK	71	74	Gene_or_gene_product"	"Mcl - 1	115	122	Gene_or_gene_product"	"mitogen - activated protein / ERK kinase	154	194	Gene_or_gene_product"	"MEK	197	200	Gene_or_gene_product"	"Mcl - 1	243	250	Gene_or_gene_product"	"ERK	323	326	Gene_or_gene_product"	"Mcl - 1	348	355	Gene_or_gene_product"	"[{""token"": ""ERK"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mcl - 1"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein / ERK kinase"", ""start_span"": 154, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEK"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mcl - 1"", ""start_span"": 243, ""end_span"": 250, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 323, ""end_span"": 326, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mcl - 1"", ""start_span"": 348, ""end_span"": 355, ""type"": ""Gene_or_gene_product""}]"
In contrast, no leukemia was observed with a myb IRES virus, with spliced vectors containing v - erbA alone or v - erbA in combination with v - myb, nor with erbA IRES and erbA / myb IRES viruses produced in the absence of helper virus.	"myb	45	48	Gene_or_gene_product"	"v - erbA	93	101	Gene_or_gene_product"	"v - erbA	111	119	Gene_or_gene_product"	"v - myb	140	147	Gene_or_gene_product"	"erbA	158	162	Gene_or_gene_product"	"erbA	172	176	Gene_or_gene_product"	"myb	179	182	Gene_or_gene_product"	"[{""token"": ""myb"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""v - erbA"", ""start_span"": 93, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""v - erbA"", ""start_span"": 111, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""v - myb"", ""start_span"": 140, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}, {""token"": ""erbA"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""erbA"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Gene_or_gene_product""}, {""token"": ""myb"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Gene_or_gene_product""}]"
The principal types of tumors were plasmacytomas secreting immunoglobulin and novel lymphomas that expressed markers such as Sca - 1, CD4, Thy - 1, CD34 and CD45 ( B220), consistent with an origin very early in B - lymphoid development.	"immunoglobulin	59	73	Gene_or_gene_product"	"Sca - 1	125	132	Gene_or_gene_product"	"CD4	134	137	Gene_or_gene_product"	"Thy - 1	139	146	Gene_or_gene_product"	"CD34	148	152	Gene_or_gene_product"	"CD45	157	161	Gene_or_gene_product"	"B220	164	168	Gene_or_gene_product"	"[{""token"": ""immunoglobulin"", ""start_span"": 59, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sca - 1"", ""start_span"": 125, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD4"", ""start_span"": 134, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}, {""token"": ""Thy - 1"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD34"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD45"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}, {""token"": ""B220"", ""start_span"": 164, ""end_span"": 168, ""type"": ""Gene_or_gene_product""}]"
Thus, these data demonstrate cooperative mechanisms for VPF / VEGF regulation of EC migration involving the alphavbeta3 integrin, the alphavbeta3 ligand OPN, and thrombin cleavage of OPN.	"VPF	56	59	Gene_or_gene_product"	"VEGF	62	66	Gene_or_gene_product"	"alphavbeta3 integrin	108	128	Gene_or_gene_product"	"alphavbeta3	134	145	Gene_or_gene_product"	"OPN	153	156	Gene_or_gene_product"	"thrombin	162	170	Gene_or_gene_product"	"OPN	183	186	Gene_or_gene_product"	"[{""token"": ""VPF"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""alphavbeta3 integrin"", ""start_span"": 108, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}, {""token"": ""alphavbeta3"", ""start_span"": 134, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""OPN"", ""start_span"": 153, ""end_span"": 156, ""type"": ""Gene_or_gene_product""}, {""token"": ""thrombin"", ""start_span"": 162, ""end_span"": 170, ""type"": ""Gene_or_gene_product""}, {""token"": ""OPN"", ""start_span"": 183, ""end_span"": 186, ""type"": ""Gene_or_gene_product""}]"
