This first analysis is based on 73 patients ( 50 women, 23 men, median age 74. 3 years), with a median follow - up of 13. 3 months and a minimum follow - up of 11 months.	"patients	35	43	Organism"	"women	49	54	Organism"	"men	59	62	Organism"	"[{""token"": ""patients"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Organism""}, {""token"": ""women"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Organism""}, {""token"": ""men"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Organism""}]"
The latent membrane protein LMP1 of Epstein - Barr virus ( EBV) is often present in EBV - associated malignancies including nasopharyngeal carcinoma and Hodgkin ' s lymphoma.	"Epstein - Barr virus	36	56	Organism"	"EBV	59	62	Organism"	"EBV	84	87	Organism"	"[{""token"": ""Epstein - Barr virus"", ""start_span"": 36, ""end_span"": 56, ""type"": ""Organism""}, {""token"": ""EBV"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""EBV"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Organism""}]"
Patients whose tumors were CD40 - negative showed a significantly better N stage, overall stage at presentation and survival than those patients with CD40 - positive patients.	"Patients	0	8	Organism"	"patients	136	144	Organism"	"patients	166	174	Organism"	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 136, ""end_span"": 144, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 166, ""end_span"": 174, ""type"": ""Organism""}]"
Twenty - one patients underwent resection of the remnant stomach for RSC and were divided into two groups: the RSCB group consisted of 11 patients who underwent distal gastrectomy for benign disease and the RSCM group consisted of 10 patients who underwent gastrectomy for primary gastric cancer.	"patients	13	21	Organism"	"patients	138	146	Organism"	"patients	234	242	Organism"	"[{""token"": ""patients"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 234, ""end_span"": 242, ""type"": ""Organism""}]"
BACKGROUND & # 38; OBJECTIVE: It has been proved that Epstein - Barr virus ( EBV) latent membrane protein 1 ( EBV - LMP1) can induce the expression of matrix metalloproteinase - 9 ( MMP - 9).	"Epstein - Barr virus	54	74	Organism"	"EBV	77	80	Organism"	"EBV	110	113	Organism"	"[{""token"": ""Epstein - Barr virus"", ""start_span"": 54, ""end_span"": 74, ""type"": ""Organism""}, {""token"": ""EBV"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Organism""}, {""token"": ""EBV"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Organism""}]"
We found that the mean tumor volumes and weights were statistically significantly less in mice treated with galectin - 3C compared with control mice, and that fewer numbers of mice exhibited lymph node metastases in the treated group compared with the control group.	"mice	90	94	Organism"	"mice	144	148	Organism"	"mice	176	180	Organism"	"[{""token"": ""mice"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Organism""}]"
A clone of NIH3T3 transformant ( H - 3), obtained by transfecting genomic DNA of a human colon carcinoma cell line, contains human K - ras oncogene and yields metastatic pulmonary nodules after intravenous injection of the cells into nude mice.	"human	83	88	Organism"	"human	125	130	Organism"	"nude mice	234	243	Organism"	"[{""token"": ""human"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}, {""token"": ""nude mice"", ""start_span"": 234, ""end_span"": 243, ""type"": ""Organism""}]"
We also show that mouse p10 is able to inhibit foci formation and anchorage - independent growth in wild - type mouse embryonic fibroblasts, and that these antitransforming properties of mouse p10 are also p53 - dependent.	"mouse	18	23	Organism"	"mouse	112	117	Organism"	"mouse	187	192	Organism"	"[{""token"": ""mouse"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 187, ""end_span"": 192, ""type"": ""Organism""}]"
Treatment with the combination of 1B3 and DC101 in BxPC - 3 xenograft - bearing mice resulted in tumor regression in 58% of mice compared to that in 18% of mice treated with DC101 alone.	"mice	80	84	Organism"	"mice	124	128	Organism"	"mice	156	160	Organism"	"[{""token"": ""mice"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Organism""}]"
EXPERIMENTAL DESIGN: We used rAAV2 / 5 to deliver vasostatin intratumorally or systemically in different mouse lung tumor models - - subcutaneous, orthotopic xenograft, and spontaneous metastasis lung tumor models.	"rAAV2	29	34	Organism"	"5	37	38	Organism"	"mouse	105	110	Organism"	"[{""token"": ""rAAV2"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Organism""}, {""token"": ""5"", ""start_span"": 37, ""end_span"": 38, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 105, ""end_span"": 110, ""type"": ""Organism""}]"
RESULTS: Mice bearing subcutaneous tumor of rAAV2 / 5 - VAS pretreated Lewis lung carcinoma cells showed > 50% reduction in primary tumor volume and reduced spontaneous pulmonary metastases.	"Mice	9	13	Organism"	"rAAV2	44	49	Organism"	"5 - VAS	52	59	Organism"	"[{""token"": ""Mice"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Organism""}, {""token"": ""rAAV2"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""5 - VAS"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Organism""}]"
The tumor - suppressive action of rAAV2 / 5 - VAS in subcutaneous human lung tumor A549 xenograft correlated with a reduced number of capillary vessels in tumors.	"rAAV2	34	39	Organism"	"5 - VAS	42	49	Organism"	"human	66	71	Organism"	"[{""token"": ""rAAV2"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Organism""}, {""token"": ""5 - VAS"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Organism""}]"
Furthermore, treatment of immunocompetent mice in the spontaneous lung metastases model with rAAV2 / 5 - VAS after primary tumor excision prolonged their median survival from 21 to 51. 5 days.	"mice	42	46	Organism"	"rAAV2	93	98	Organism"	"5 - VAS	101	108	Organism"	"[{""token"": ""mice"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Organism""}, {""token"": ""rAAV2"", ""start_span"": 93, ""end_span"": 98, ""type"": ""Organism""}, {""token"": ""5 - VAS"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Organism""}]"
The UFO proto - oncogene maps to human chromosome 19q13. 1 and is transcribed into two 5. 0 kb and 3. 2 kb mRNAs in human bone marrow and human tumor cell lines.	"human	33	38	Organism"	"human	116	121	Organism"	"human	138	143	Organism"	"[{""token"": ""human"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Organism""}]"
SD rats underwent MI received intramyocardial injection of MSCs from young donor rats ( n = 8), old donor rats ( n = 8), respectively.	"SD rats	0	7	Organism"	"rats	81	85	Organism"	"rats	106	110	Organism"	"[{""token"": ""SD rats"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Organism""}, {""token"": ""rats"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""rats"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Organism""}]"
Here we demonstrate that repetitive exposure to tobacco smoke promotes tumor development both in carcinogen - treated mice and in transgenic mice undergoing sporadic K - ras activation in lung epithelial cells.	"tobacco	48	55	Organism"	"mice	118	122	Organism"	"mice	141	145	Organism"	"[{""token"": ""tobacco"", ""start_span"": 48, ""end_span"": 55, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Organism""}]"
Ras p21 onco - protein in the sera of mice carrying an experimentally induced tumor and in human cancer patients.	"mice	38	42	Organism"	"human	91	96	Organism"	"patients	104	112	Organism"	"[{""token"": ""mice"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 104, ""end_span"": 112, ""type"": ""Organism""}]"
Since ras genes have been found to be frequently activated in human tumours, we examined the levels of ras p21 in the sera of a variety of human cancer patients.	"human	62	67	Organism"	"human	139	144	Organism"	"patients	152	160	Organism"	"[{""token"": ""human"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 152, ""end_span"": 160, ""type"": ""Organism""}]"
Patients having low sVAP - 1 levels had significantly poorer prognosis relative to patients having elevated sVAP - 1 in all or stages I - III gastric cancer patients, respectively.	"Patients	0	8	Organism"	"patients	83	91	Organism"	"patients	157	165	Organism"	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 83, ""end_span"": 91, ""type"": ""Organism""}, {""token"": ""patients"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Organism""}]"
Immunodetection was performed with a specific anti - bFGF mouse monoclonal antibody that was found to react with recombinant human bFGF in Western blot analysis, and to specifically neutralize the mitogenic activity of bFGF on bovine vascular endothelial cells.	"mouse	58	63	Organism"	"human	125	130	Organism"	"bovine	227	233	Organism"	"[{""token"": ""mouse"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}, {""token"": ""bovine"", ""start_span"": 227, ""end_span"": 233, ""type"": ""Organism""}]"
Infection of human or murine cells with murine leukemia viruses rapidly increases the expression of a number of genes that belong to the immunoglobulin superfamily and are involved in T - lymphocyte activation, including the class I major histocompatibility complex antigens.	"human	13	18	Organism"	"murine	22	28	Organism"	"murine leukemia viruses	40	63	Organism"	"[{""token"": ""human"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Organism""}, {""token"": ""murine"", ""start_span"": 22, ""end_span"": 28, ""type"": ""Organism""}, {""token"": ""murine leukemia viruses"", ""start_span"": 40, ""end_span"": 63, ""type"": ""Organism""}]"
We have investigated the putative role of rho proteins from Aplysia californica as transforming GTPases utilizing the wild - type and a Val - 14 mutant, equivalent to the oncogenic Val - 12 mutation of ras genes found in animal and human tumors.	"Aplysia californica	60	79	Organism"	"Val - 14 mutant	136	151	Organism"	"human	232	237	Organism"	"[{""token"": ""Aplysia californica"", ""start_span"": 60, ""end_span"": 79, ""type"": ""Organism""}, {""token"": ""Val - 14 mutant"", ""start_span"": 136, ""end_span"": 151, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 232, ""end_span"": 237, ""type"": ""Organism""}]"
Simian virus 40 large T antigen ( SV40 Tag) was introduced into a normal human first trimester invasive EVT cell line, HTR8, established in our laboratory.	"Simian virus 40	0	15	Organism"	"SV40	34	38	Organism"	"human	73	78	Organism"	"[{""token"": ""Simian virus 40"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Organism""}, {""token"": ""SV40"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Organism""}]"
Because the identity of pulmonary endothelial SOCs is unknown, but mammalian homologues of the Drosophila melanogaster transient receptor potential ( trp) gene have been proposed to form Ca2 + entry channels in nonexcitable cells, we performed RT - PCR using Trp oligonucleotide primers in both rat and human pulmonary arterial endothelial cells.	"Drosophila melanogaster	95	118	Organism"	"rat	295	298	Organism"	"human	303	308	Organism"	"[{""token"": ""Drosophila melanogaster"", ""start_span"": 95, ""end_span"": 118, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 295, ""end_span"": 298, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 303, ""end_span"": 308, ""type"": ""Organism""}]"
We produced a transgenic mouse line that expresses simian virus ( SV40) transforming sequences under control of the 1. 4 kb tyrosinase - related protein 1 ( TRP - 1) promoter, targeting expression of T antigen ( Tag) to the RPE.	"mouse	25	30	Organism"	"simian virus	51	63	Organism"	"SV40	66	70	Organism"	"[{""token"": ""mouse"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Organism""}, {""token"": ""simian virus"", ""start_span"": 51, ""end_span"": 63, ""type"": ""Organism""}, {""token"": ""SV40"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Organism""}]"
