Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	json	split
To identify cytokines that may contribute to the increased survival and growth of lymphomas, the expression levels of a panel of cytokines were screened on CD19 + MACS - purified B cells, using an RPA probe set for IL4, IL5, IL10, IL13, IL15, IL9, IL2, IL6, and IFNgamma.	CD19,156,160,Protein	IL4,215,218,Protein	IL5,220,223,Protein	IL10,225,229,Protein	IL13,231,235,Protein	IL15,237,241,Protein	IL9,243,246,Protein	IL2,248,251,Protein	IL6,253,256,Protein	IFNgamma,262,270,Protein	"[{""token"": ""CD19"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""IL4"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""IL5"", ""start_span"": 220, ""end_span"": 223, ""type"": ""Protein""}, {""token"": ""IL10"", ""start_span"": 225, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""IL13"", ""start_span"": 231, ""end_span"": 235, ""type"": ""Protein""}, {""token"": ""IL15"", ""start_span"": 237, ""end_span"": 241, ""type"": ""Protein""}, {""token"": ""IL9"", ""start_span"": 243, ""end_span"": 246, ""type"": ""Protein""}, {""token"": ""IL2"", ""start_span"": 248, ""end_span"": 251, ""type"": ""Protein""}, {""token"": ""IL6"", ""start_span"": 253, ""end_span"": 256, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 262, ""end_span"": 270, ""type"": ""Protein""}]"	train
Rabbit anti - pAkt ( Ser473), anti - pGSK3alpha / beta ( Ser21 / 9), anti - pStat3 ( Tyr705), anti - pStat6 ( Tyr641), anti - pmTOR ( Ser2448), anti - Stat6, anti - Akt, anti - FoxO1, and anti - p27 were purchased from Cell Signaling.	pAkt,14,18,Protein	pGSK3alpha,37,47,Protein	beta,50,54,Protein	pStat3,76,82,Protein	pStat6,101,107,Protein	pmTOR,126,131,Protein	Stat6,151,156,Protein	Akt,165,168,Protein	FoxO1,177,182,Protein	p27,195,198,Protein	"[{""token"": ""pAkt"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""pGSK3alpha"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""pStat3"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""pStat6"", ""start_span"": 101, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""pmTOR"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""Stat6"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""Akt"", ""start_span"": 165, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""FoxO1"", ""start_span"": 177, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""p27"", ""start_span"": 195, ""end_span"": 198, ""type"": ""Protein""}]"	train
BMP - 6 can signal through the ligation of the type I receptors Act - RIA, BMP - RIA, and BMP - RIB and the type II receptors BMP - RII, Act - RIIA and Act - RIIB, which lead to the phosphorylation of the receptor Smads ( Smad - 1, Smad - 5, and Smad - 8).	BMP - 6,0,7,Protein	Act - RIA,64,73,Protein	BMP - RIA,75,84,Protein	BMP - RIB,90,99,Protein	BMP - RII,126,135,Protein	Act - RIIA,137,147,Protein	Act - RIIB,152,162,Protein	Smad - 1,222,230,Protein	Smad - 5,232,240,Protein	Smad - 8,246,254,Protein	"[{""token"": ""BMP - 6"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""Act - RIA"", ""start_span"": 64, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""BMP - RIA"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""BMP - RIB"", ""start_span"": 90, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""BMP - RII"", ""start_span"": 126, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""Act - RIIA"", ""start_span"": 137, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""Act - RIIB"", ""start_span"": 152, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""Smad - 1"", ""start_span"": 222, ""end_span"": 230, ""type"": ""Protein""}, {""token"": ""Smad - 5"", ""start_span"": 232, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""Smad - 8"", ""start_span"": 246, ""end_span"": 254, ""type"": ""Protein""}]"	valid
( C) Chromatin immunoprecipitation assay results show binding of RUNX1 and RUNX3 complexes containing CBFbeta to the human FOXP3 promoter in naive CD4 + T cells that were cultured with IL - 2 together with anti - CD2 / 3 / 28 and TGF - beta.	RUNX1,65,70,Protein	RUNX3,75,80,Protein	CBFbeta,102,109,Protein	FOXP3,123,128,Protein	CD4,147,150,Protein	IL - 2,185,191,Protein	CD2,213,216,Protein	3,219,220,Protein	28,223,225,Protein	TGF - beta,230,240,Protein	"[{""token"": ""RUNX1"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""RUNX3"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""CBFbeta"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""FOXP3"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 147, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 185, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""CD2"", ""start_span"": 213, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 219, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""28"", ""start_span"": 223, ""end_span"": 225, ""type"": ""Protein""}, {""token"": ""TGF - beta"", ""start_span"": 230, ""end_span"": 240, ""type"": ""Protein""}]"	valid
( A) FACS - purified naive CD4 + CD8 - T cells from CbfbF / F CD4 - cre and control CbfbF / + CD4 - cre mice were activated in vitro with anti - CD3 / 28 mAb, 50 U / ml IL - 2, + / - 10 nM retinoic acid ( RA), and increasing concentrations of TGF - beta.	CD4,27,30,Protein	CD8,33,36,Protein	CbfbF,52,57,Protein	CD4 - cre,62,71,Protein	CbfbF,84,89,Protein	CD4 - cre,94,103,Protein	CD3,145,148,Protein	28,151,153,Protein	IL - 2,169,175,Protein	TGF - beta,243,253,Protein	"[{""token"": ""CD4"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""CbfbF"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""CD4 - cre"", ""start_span"": 62, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""CbfbF"", ""start_span"": 84, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""CD4 - cre"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""CD3"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""28"", ""start_span"": 151, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 169, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""TGF - beta"", ""start_span"": 243, ""end_span"": 253, ""type"": ""Protein""}]"	valid
Experimental setup ( A) and results of the mouse suppression assay ( B), FACS - purified naive CD4 + 8 - T cells from CbfbF / F CD4 - cre ( left) and control CbfbF / + CD4 - cre mice ( Cd45. 2; right) were activated in vitro with anti - CD3 / 28 mAb, 50 U / ml IL - 2, and 2. 5 ng / ml TGF - beta.	CD4,95,98,Protein	8,101,102,Protein	CbfbF,118,123,Protein	CD4 - cre,128,137,Protein	CbfbF,158,163,Protein	CD4 - cre,168,177,Protein	CD3,237,240,Protein	28,243,245,Protein	IL - 2,261,267,Protein	TGF - beta,286,296,Protein	"[{""token"": ""CD4"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""8"", ""start_span"": 101, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""CbfbF"", ""start_span"": 118, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""CD4 - cre"", ""start_span"": 128, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""CbfbF"", ""start_span"": 158, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""CD4 - cre"", ""start_span"": 168, ""end_span"": 177, ""type"": ""Protein""}, {""token"": ""CD3"", ""start_span"": 237, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""28"", ""start_span"": 243, ""end_span"": 245, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 261, ""end_span"": 267, ""type"": ""Protein""}, {""token"": ""TGF - beta"", ""start_span"": 286, ""end_span"": 296, ""type"": ""Protein""}]"	valid
Among an array of NF - kappaB - responsive genes, Tat mostly activated the MIP - 1alpha expression in a p65 - dependent manner, and bound to the MIP - 1alpha NF - kappaB enhancer thus promoting the recruitment of p65 with displacement of IkappaB - alpha; similar findings were obtained for the NF - kappaB - responsive genes CSF3, LTA, NFKBIA and TLR2.	Tat,50,53,Protein	MIP - 1alpha,75,87,Protein	p65,104,107,Protein	MIP - 1alpha,145,157,Protein	p65,213,216,Protein	IkappaB - alpha,238,253,Protein	CSF3,325,329,Protein	LTA,331,334,Protein	NFKBIA,336,342,Protein	TLR2,347,351,Protein	"[{""token"": ""Tat"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""MIP - 1alpha"", ""start_span"": 75, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""MIP - 1alpha"", ""start_span"": 145, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 213, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""IkappaB - alpha"", ""start_span"": 238, ""end_span"": 253, ""type"": ""Protein""}, {""token"": ""CSF3"", ""start_span"": 325, ""end_span"": 329, ""type"": ""Protein""}, {""token"": ""LTA"", ""start_span"": 331, ""end_span"": 334, ""type"": ""Protein""}, {""token"": ""NFKBIA"", ""start_span"": 336, ""end_span"": 342, ""type"": ""Protein""}, {""token"": ""TLR2"", ""start_span"": 347, ""end_span"": 351, ""type"": ""Protein""}]"	valid
Indeed, Tat promotes the transcriptional initiation and elongation by interacting with transacting factors and cofactors, such as Sp1 ( 35), TFIID ( 36), E2F - 4 ( 37), C / EBPbeta ( 38), cyclin T1 / CDK9 ( 39, 40) and the histone acetyltransferases p300 / CBP and P / CAF ( 41 - 43).	Tat,8,11,Protein	Sp1,130,133,Protein	TFIID,141,146,Protein	E2F - 4,154,161,Protein	C / EBPbeta,169,180,Protein	cyclin T1,188,197,Protein	CDK9,200,204,Protein	p300,250,254,Protein	CBP,257,260,Protein	P / CAF,265,272,Protein	"[{""token"": ""Tat"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""TFIID"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""E2F - 4"", ""start_span"": 154, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""C / EBPbeta"", ""start_span"": 169, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""cyclin T1"", ""start_span"": 188, ""end_span"": 197, ""type"": ""Protein""}, {""token"": ""CDK9"", ""start_span"": 200, ""end_span"": 204, ""type"": ""Protein""}, {""token"": ""p300"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""CBP"", ""start_span"": 257, ""end_span"": 260, ""type"": ""Protein""}, {""token"": ""P / CAF"", ""start_span"": 265, ""end_span"": 272, ""type"": ""Protein""}]"	valid
To elucidate the resistance of CD4 + T cells to this direct inhibition in RA, we investigated the production of IFN - gamma after CD3 and CD28 costimulation in the presence of IL - 10, the induction of STAT1 and STAT3 phosphorylation by IL - 10, and the expression of SOCS1 and SOCS3 mRNA in peripheral blood ( PB) CD4 + T cells from RA patients.	CD4,31,34,Protein	IFN - gamma,112,123,Protein	CD28,138,142,Protein	IL - 10,176,183,Protein	STAT1,202,207,Protein	STAT3,212,217,Protein	IL - 10,237,244,Protein	SOCS1,268,273,Protein	SOCS3,278,283,Protein	CD4,315,318,Protein	"[{""token"": ""CD4"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 112, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""CD28"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 176, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""STAT1"", ""start_span"": 202, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""STAT3"", ""start_span"": 212, ""end_span"": 217, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 237, ""end_span"": 244, ""type"": ""Protein""}, {""token"": ""SOCS1"", ""start_span"": 268, ""end_span"": 273, ""type"": ""Protein""}, {""token"": ""SOCS3"", ""start_span"": 278, ""end_span"": 283, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 315, ""end_span"": 318, ""type"": ""Protein""}]"	test
STAT3 is activated by many cytokines and growth factors such as the IL - 6 family of cytokines ( IL - 6, IL - 11, leukemia inhibitory factor, and oncostatin M), platelet - derived growth factor, and epidermal growth factor, in addition to IL - 10 [ 4], but previous studies have demonstrated that IL - 6 is the major factor in RA synovial fluid that induces constitutive activation of STAT3 in mononuclear cells [ 31].	STAT3,0,5,Protein	IL - 6,68,74,Protein	IL - 11,105,112,Protein	leukemia inhibitory factor,114,140,Protein	oncostatin M,146,158,Protein	platelet - derived growth factor,161,193,Protein	epidermal growth factor,199,222,Protein	IL - 10,239,246,Protein	IL - 6,297,303,Protein	STAT3,385,390,Protein	"[{""token"": ""STAT3"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""IL - 11"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""leukemia inhibitory factor"", ""start_span"": 114, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""oncostatin M"", ""start_span"": 146, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""platelet - derived growth factor"", ""start_span"": 161, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""epidermal growth factor"", ""start_span"": 199, ""end_span"": 222, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 239, ""end_span"": 246, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 297, ""end_span"": 303, ""type"": ""Protein""}, {""token"": ""STAT3"", ""start_span"": 385, ""end_span"": 390, ""type"": ""Protein""}]"	test
