Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
PCR primers and conditions for expression analysis of DNMT or MBP ( DNMT1 DNMT3A, DNMT3B, MeCP, MBD1, MBD2 and MBD4) were published elsewhere ( 28).	( DNMT1,66,73,Protein	DNMT3A,74,80,Protein	DNMT3B,82,88,Protein	MeCP,90,94,Protein	MBD1,96,100,Protein	MBD2,102,106,Protein	MBD4,111,115,Protein	"[{""token"": ""( DNMT1"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""DNMT3A"", ""start_span"": 74, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""DNMT3B"", ""start_span"": 82, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""MeCP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""MBD1"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Protein""}, {""token"": ""MBD2"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""MBD4"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}]"	train
To determine whether Foxp3 functioned by directly signaling through CREB, we utilized expression vectors encoding CREB - 1 or c - Jun ( a member of the activator protein 1 family of transcription factors) fused in - frame to the Gal4 - BD ( Gal4 - BD - CREB - 1 and Gal4 - BD - c - Jun).	Foxp3,21,26,Protein	CREB - 1,114,122,Protein	c - Jun,126,133,Protein	activator protein 1,152,171,Protein	Gal4,229,233,Protein	Gal4 - BD - CREB - 1,241,261,Protein	Gal4 - BD - c - Jun,266,285,Protein	"[{""token"": ""Foxp3"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""CREB - 1"", ""start_span"": 114, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 126, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""activator protein 1"", ""start_span"": 152, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 229, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""Gal4 - BD - CREB - 1"", ""start_span"": 241, ""end_span"": 261, ""type"": ""Protein""}, {""token"": ""Gal4 - BD - c - Jun"", ""start_span"": 266, ""end_span"": 285, ""type"": ""Protein""}]"	train
There was no significant difference in the expression of IL15 and IFNgamma between LMP1 transgenic lymphocytes and lymphoma cells, suggesting that upregulation of IL15 and IFNgamma is induced by LMP1 expression in healthy lymphocytes but is not a unique property of malignant lymphocytes.	IL15,57,61,Protein	IFNgamma,66,74,Protein	LMP1,83,87,Protein	lymphoma cells,115,129,Protein	IL15,163,167,Protein	IFNgamma,172,180,Protein	LMP1,195,199,Protein	"[{""token"": ""IL15"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 66, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""lymphoma cells"", ""start_span"": 115, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""IL15"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 172, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Protein""}]"	train
Interestingly, both wild - type and LMP1 transgenic lymphomas were similarly susceptible to triciribine, BAY11 - 7085, and cucurbitacin I treatments, but not SB202190, AG490, or U0126 treatment, suggesting that activation of Akt, NFkappaB, and Stat3 but not MAPK pathways are characteristics associated with malignant transformation ( Figure 7). rapamycin, an inhibitor of mTOR, did not affect the viability of the transgenic lymphocytes or lymphoma cells, confirming that mTOR is not targeted by Akt activation in LMP1 transgenic lymphocytes or malignant lymphoma cells ( Figure 7).	LMP1,36,40,Protein	Akt,225,228,Protein	Stat3,244,249,Protein	mTOR,373,377,Protein	mTOR,473,477,Protein	Akt,497,500,Protein	LMP1,515,519,Protein	"[{""token"": ""LMP1"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""Akt"", ""start_span"": 225, ""end_span"": 228, ""type"": ""Protein""}, {""token"": ""Stat3"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Protein""}, {""token"": ""mTOR"", ""start_span"": 373, ""end_span"": 377, ""type"": ""Protein""}, {""token"": ""mTOR"", ""start_span"": 473, ""end_span"": 477, ""type"": ""Protein""}, {""token"": ""Akt"", ""start_span"": 497, ""end_span"": 500, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 515, ""end_span"": 519, ""type"": ""Protein""}]"	train
Runx3 bound to the Prf1 and Gzmb transcription start sites ( TSS); to a known IL - 2 responsive enhancer located near - 1 kb of the Prf1 gene ( 23); to the distal CTL - specific DNase I hypersensitive site 9 in the Prf1 locus ( 24); to the Ifng promoter near the TSS, as previously reported for Th1 cells ( 10); and to several DNase I hypersensitive sites in the Ifng locus ( Fig. 3 D and not depicted) ( 25).	Runx3,0,5,Protein	Prf1,19,23,Protein	Gzmb,28,32,Protein	Prf1,132,136,Protein	Prf1,215,219,Protein	Ifng,240,244,Protein	Ifng,363,367,Protein	"[{""token"": ""Runx3"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""Prf1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""Gzmb"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""Prf1"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""Prf1"", ""start_span"": 215, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""Ifng"", ""start_span"": 240, ""end_span"": 244, ""type"": ""Protein""}, {""token"": ""Ifng"", ""start_span"": 363, ""end_span"": 367, ""type"": ""Protein""}]"	train
Reconstitution of Runx3 - / - CD8 + T cells with Runx3 restored expression of Eomes as well as perforin, granzyme B, and IFN - gamma ( Fig. 4, A and B).	Runx3,18,23,Protein	CD8,30,33,Protein	Runx3,49,54,Protein	Eomes,78,83,Protein	perforin,95,103,Protein	granzyme B,105,115,Protein	IFN - gamma,121,132,Protein	"[{""token"": ""Runx3"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""Eomes"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""perforin"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""granzyme B"", ""start_span"": 105, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 121, ""end_span"": 132, ""type"": ""Protein""}]"	train
The following antibodies used for intracellular or surface stains were obtained from eBioscience: anti - IL - 2, anti - IFN - gamma, anti - TNF, anti - granzyme B, anti - CD8, anti - CD25, and anti - CD44.	IL - 2,105,111,Protein	IFN - gamma,120,131,Protein	TNF,140,143,Protein	granzyme B,152,162,Protein	CD8,171,174,Protein	CD25,183,187,Protein	CD44,200,204,Protein	"[{""token"": ""IL - 2"", ""start_span"": 105, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 120, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""TNF"", ""start_span"": 140, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""granzyme B"", ""start_span"": 152, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""CD44"", ""start_span"": 200, ""end_span"": 204, ""type"": ""Protein""}]"	train
We therefore further fractionated the positively selected CD8 + T cells from Runx3 KO mice into CD8 + CD4 - SP or CD8 + CD4 + DP cells by separation using anti - CD4 magnetic beads.	CD8,58,61,Protein	Runx3,77,82,Protein	CD8,96,99,Protein	CD4,102,105,Protein	CD8,114,117,Protein	CD4,120,123,Protein	CD4,162,165,Protein	"[{""token"": ""CD8"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Protein""}]"	train
( B) Northern blot analysis of Prf1 and GzmB mRNA expression in WT or T - bet - deficient CD8 + T cells activated and either left uninfected ( uninf) or transduced with retroviruses expressing Eomes - VP16 ( Eo - VP16) or an empty IRES - GFP cassette ( GFP).	Prf1,31,35,Protein	GzmB,40,44,Protein	T - bet,70,77,Protein	CD8,90,93,Protein	Eomes - VP16,193,205,Protein	Eo - VP16,208,217,Protein	GFP,238,241,Protein	"[{""token"": ""Prf1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""GzmB"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""T - bet"", ""start_span"": 70, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 90, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""Eomes - VP16"", ""start_span"": 193, ""end_span"": 205, ""type"": ""Protein""}, {""token"": ""Eo - VP16"", ""start_span"": 208, ""end_span"": 217, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 238, ""end_span"": 241, ""type"": ""Protein""}]"	train
( A) Western analysis of Runx3, Eomes, T - bet, and perforin expression in Runx3 + / + versus Runx3 - / - CD8 + SP T cells differentiated for 6 d.	Runx3,25,30,Protein	Eomes,32,37,Protein	T - bet,39,46,Protein	perforin,52,60,Protein	Runx3,75,80,Protein	Runx3,94,99,Protein	CD8,106,109,Protein	"[{""token"": ""Runx3"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""Eomes"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""T - bet"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""perforin"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""Runx3"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""CD8"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Protein""}]"	train
