Down - regulation of interferon regulatory factor 4 gene expression in leukemic cells due to hypermethylation of CpG motifs in the promoter region	"interferon regulatory factor 4	21	51	Protein"	"[{""token"": ""interferon regulatory factor 4"", ""start_span"": 21, ""end_span"": 51, ""type"": ""Protein""}]"
Third, we clearly determined promoter methylation as a mechanism for IRF - 4 down - regulation via reporter gene assays, but did not detect an association of methylational status and mRNA expression of DNA methyltransferases or methyl - CpG - binding proteins.	"IRF - 4	69	76	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 69, ""end_span"": 76, ""type"": ""Protein""}]"
The hallmark genetic aberration of CML is a reciprocal chromosomal translocation t ( 9; 22) leading to expression of a bcr - abl fusion gene, an aberrant activated tyrosine kinase ( 2).	"bcr - abl fusion gene	119	140	Protein"	"[{""token"": ""bcr - abl fusion gene"", ""start_span"": 119, ""end_span"": 140, ""type"": ""Protein""}]"
The cause of the silencing of IRF - 4 level remained unclear.	"IRF - 4	30	37	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Protein""}]"
In contrast to other IRFs, expression of IRF - 4 cannot be induced by IFNs, but by antigen stimulation, crosslinking of T - or B - cell receptors or phorbol - myristate - acetate ( 10, 11).	"IRF - 4	41	48	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Protein""}]"
These data suggest a crucial role for IRF - 4 in the function of immune cells.	"IRF - 4	38	45	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}]"
In this work, we studied mechanisms of IRF - 4 gene expression silencing in leukemic cells.	"IRF - 4	39	46	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}]"
All cell lines, except BV - 173, SD - 1 and RPMI - 8226, were IRF - 4 - negative.	"IRF - 4	62	69	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Protein""}]"
Sequencing of the IRF - 4 promoter	"IRF - 4	18	25	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Protein""}]"
For analysis of the IRF - 4 promoter region for permanent aberrations such as insertions / deletions or mutation, we PCR - amplified two fragments from genomic DNA, which was extracted from depicted cell lines with a commercial kit ( Qiagen, Hilde, Germany) as recommended.	"IRF - 4	20	27	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}]"
To analyze the IRF - 4 transcriptional level, RNA was extracted from cells using the commercial RNAzol - kit ( Paesel, Frankfurt, Germany).	"IRF - 4	15	22	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 15, ""end_span"": 22, ""type"": ""Protein""}]"
For analysis of IRF - 4 protein expression, a standard immunoblotting assay was performed as described previously ( 29).	"IRF - 4	16	23	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}]"
Thereafter 100 ng of digested DNA was used to a PCR amplification of two fragments ( F1 and F2) spanning part of the IRF - 4 promoter ( 30) ( GenBank U52683; see Figure 3A).	"IRF - 4	117	124	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 117, ""end_span"": 124, ""type"": ""Protein""}]"
Subsequent PCR amplification of 4 microl bisulfite - treated DNA was used for cloning of two fragments of the IRF - 4 promoter ( BS - I and BS - II) into pCR2. 1 vector with the ' TOPO TA cloning kit ' ( Invitrogen) ( see Figure 3A).	"IRF - 4	110	117	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 110, ""end_span"": 117, ""type"": ""Protein""}]"
The IRF - 4 promoter - reporter gene construct was generously provided by J.	"IRF - 4	4	11	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Protein""}]"
Constructs were methylated in vitro with CpG Methylase ( M. Sss I) as recommended by the manufacturer ( NE Biolabs) and complete methylation was checked via restriction analysis ( Figure 5A).	"CpG Methylase	41	54	Protein"	"[{""token"": ""CpG Methylase"", ""start_span"": 41, ""end_span"": 54, ""type"": ""Protein""}]"
Reporter gene assays using the dual luciferase assay ( Promega) were performed similar to previous reports ( 29).	"luciferase	36	46	Protein"	"[{""token"": ""luciferase"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Protein""}]"
Briefly, 5 nM of the reporter construct and the transfection control construct expressing the renilla luciferase gene were transientlyco - expressed via electroporation.	"luciferase	102	112	Protein"	"[{""token"": ""luciferase"", ""start_span"": 102, ""end_span"": 112, ""type"": ""Protein""}]"
Forty - eight hours after transfection, luciferase activity was measured with a LB 96 P microlumat ( EG & G Berthold, Bad Wildbad, Germany).	"luciferase	40	50	Protein"	"[{""token"": ""luciferase"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Protein""}]"
IRF - 4 promoter activation was quantified as a ratio of measured firefly light units ( flu) relative to renilla ( rlu).	"IRF - 4	0	7	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
Absence of IRF - 4 expression in leukemia cells is not due to promoter alterations	"IRF - 4	11	18	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 11, ""end_span"": 18, ""type"": ""Protein""}]"
We have previously demonstrated a lack of IRF - 4 expression in leukemia patients and specifically in CML T - cells ( 3).	"IRF - 4	42	49	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}]"
Consequently, these alterations are unlikely to affect IRF - 4 expression.	"IRF - 4	55	62	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
Increase of IRF - 4 expression in hematopoietic cells after demethylating treatment	"IRF - 4	12	19	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Protein""}]"
We next analyzed whether promoter methylation could be responsible for down - regulation of IRF - 4 expression.	"IRF - 4	92	99	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Protein""}]"
