Whereas promoter mutations or structural rearrangements could be excluded as a cause of altered IRF - 4 expression in hematopoietic cells, the IRF - 4 promoter methylation status was found to significantly influence IRF - 4 transcription.	"IRF - 4	96	103	Protein"	"IRF - 4	143	150	Protein"	"IRF - 4	216	223	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 216, ""end_span"": 223, ""type"": ""Protein""}]"
Recently, we described an impaired expression of the interferon regulatory factor 4 ( IRF - 4) in CML, correlating with poor response to IFN - alpha treatment ( 3).	"interferon regulatory factor 4	53	83	Protein"	"IRF - 4	86	93	Protein"	"IFN - alpha	137	148	Protein"	"[{""token"": ""interferon regulatory factor 4"", ""start_span"": 53, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 86, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""IFN - alpha"", ""start_span"": 137, ""end_span"": 148, ""type"": ""Protein""}]"
In CML, methylation is known to regulate expression of the c - abl, the bcr gene and others ( 20 - 23), and the extent of methylation in the c - abl promoter has been shown to be associated with advanced disease ( 24).	"c - abl	59	66	Protein"	"bcr	72	75	Protein"	"c - abl	141	148	Protein"	"[{""token"": ""c - abl"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""bcr"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""c - abl"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Protein""}]"
Interestingly, the percentage of CpG methylation in the IRF - 4 promoter from IRF - 4 - positive cells was very low ( mean 24%) as compared with IRF - 4 - negative cells ( mean 94%) ( Figure 4A and Table 1).	"IRF - 4	56	63	Protein"	"IRF - 4	78	85	Protein"	"IRF - 4	145	152	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 145, ""end_span"": 152, ""type"": ""Protein""}]"
The expression of another IRF, IFN consensus sequence binding protein ( ICSBP / IRF - 8), is impaired in myeloid leukemias especially CML ( 27, 46, 47).	"IFN consensus sequence binding protein	31	69	Protein"	"ICSBP	72	77	Protein"	"IRF - 8	80	87	Protein"	"[{""token"": ""IFN consensus sequence binding protein"", ""start_span"": 31, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""ICSBP"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""IRF - 8"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Protein""}]"
The transcription factor Foxp3 is a 431 - amino acid ( 48 - kDa) protein expressed at very high levels in CD4 + CD25hi T cells and has previously been shown to be absolutely critical for Treg development and function [ 11 - 14].	"Foxp3	25	30	Protein"	"CD4	106	109	Protein"	"CD25hi	112	118	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""CD25hi"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Protein""}]"
The first evidence to indicate how Foxp3 promotes the development and function of regulatory T cells came from a report by Ziegler and colleagues [ 16], which suggested that Foxp3 could inhibit transcriptional activation by physically interacting with forkhead binding sites located immediately adjacent to critical cis - acting NF - AT binding sites found in various cytokine promoters ( e. g., IL - 2 promoter).	"Foxp3	35	40	Protein"	"Foxp3	174	179	Protein"	"IL - 2	396	402	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 174, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 396, ""end_span"": 402, ""type"": ""Protein""}]"
A recent study by Bettelli and colleagues [ 15] further demonstrated that Foxp3 could inhibit NF - AT as well as NF - kappaB activation, although the mechanism of suppression was shown to involve direct protein - protein interactions between NF - AT or NF - kappaB and Foxp3 rather than binding of Foxp3 to promoter elements adjacent to cis - acting NF - AT or NF - kappaB sites.	"Foxp3	74	79	Protein"	"Foxp3	269	274	Protein"	"Foxp3	298	303	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 269, ""end_span"": 274, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 298, ""end_span"": 303, ""type"": ""Protein""}]"
To determine the level of Foxp3 - mediated suppression of NF - kappaB activation over time, HEK 293T cells were transfected with an NF - kappaB luciferase reporter vector and an expression vector encoding Foxp3 or EGFP ( control vector) and harvested over 4 d.	"Foxp3	26	31	Protein"	"luciferase	144	154	Protein"	"Foxp3	205	210	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""luciferase"", ""start_span"": 144, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 205, ""end_span"": 210, ""type"": ""Protein""}]"
However, NF - kappaB activation was blocked to a similar extent by both full - length Foxp3 and deltaFKH in Jurkat T cells ( Figure 2C) and primary human CD4 + T cells ( Figure 2D).	"Foxp3	86	91	Protein"	"deltaFKH	96	104	Protein"	"CD4	154	157	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""deltaFKH"", ""start_span"": 96, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 154, ""end_span"": 157, ""type"": ""Protein""}]"
However, since Tax - dependent HTLV - I gene expression is independent of NF - kappaB [ 18], we also hypothesized that Foxp3 would not affect Tax - dependent activation of the HTLV - I LTR.	"Tax	15	18	Protein"	"Foxp3	119	124	Protein"	"Tax	142	145	Protein"	"[{""token"": ""Tax"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Protein""}]"
To test these hypotheses, we overexpressed HTLV - I Tax, full - length Foxp3, and / or deltaFKH in HEK 293T cells cotransfected with an HTLV - I LTR or NF - kappaB reporter vector.	"Tax	52	55	Protein"	"Foxp3	71	76	Protein"	"deltaFKH	87	95	Protein"	"[{""token"": ""Tax"", ""start_span"": 52, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""deltaFKH"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Protein""}]"
Interestingly, overexpression of Foxp3, but not deltaFKH, suppressed Tax - mediated activation of NF - kappaB - dependent transcription.	"Foxp3	33	38	Protein"	"deltaFKH	48	56	Protein"	"Tax	69	72	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""deltaFKH"", ""start_span"": 48, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Protein""}]"
Furthermore, overexpression of deltaFKH also led to suppression of HTLV - I transactivation by Tax to a similar extent as full - length Foxp3 ( Figure 4B).	"deltaFKH	31	39	Protein"	"Tax	95	98	Protein"	"Foxp3	136	141	Protein"	"[{""token"": ""deltaFKH"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Protein""}]"
To confirm that Foxp3 had a direct effect on HTLV - I replication, we transfected HEK 293T cells with a well - characterized HTLV - I infectious molecular clone ( termed ACH) [ 30] in the presence of full - length Foxp3, deltaFKH, or control vector.	"Foxp3	16	21	Protein"	"Foxp3	214	219	Protein"	"deltaFKH	221	229	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 214, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""deltaFKH"", ""start_span"": 221, ""end_span"": 229, ""type"": ""Protein""}]"
We therefore quantitated the Foxp3 protein expression in CD4 + CD25 + T cells by flow cytometry and the HTLV - I proviral load ( a surrogate marker of viral replication) by real - time PCR from eight patients with HAM / TSP and eight asymptomatic carriers ( ACs).	"Foxp3	29	34	Protein"	"CD4	57	60	Protein"	"CD25	63	67	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}]"
The percentage of Foxp3 + cells within the CD4 + CD25 + T cell population was significantly greater in ACs ( 43. 23 + / - 12. 95) than in HAM / TSP patients ( 18. 59 + / - 5. 77) ( p = 0. 0033).	"Foxp3	18	23	Protein"	"CD4	43	46	Protein"	"CD25	49	53	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}]"
