Although the bcr - abl translocation has been shown to be the causative genetic aberration in chronic myeloid leukemia ( CML), there is mounting evidence that the deregulation of other genes, such as the transcription factor interferon regulatory factor 4 ( IRF - 4), is also implicated in the pathogenesis of CML.	"bcr	13	16	Protein"	"abl	19	22	Protein"	"interferon regulatory factor 4	225	255	Protein"	"IRF - 4	258	265	Protein"	"[{""token"": ""bcr"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""abl"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""interferon regulatory factor 4"", ""start_span"": 225, ""end_span"": 255, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 258, ""end_span"": 265, ""type"": ""Protein""}]"
The primary antibodies were goat anti - IRF - 4 / ICSAT ( M - 17) ( Santa Cruz Biotechnology, Santa Cruz, CA) and mouse anti - beta - actin ( AC - 74) ( Sigma).	"IRF - 4	40	47	Protein"	"ICSAT	50	55	Protein"	"M - 17	58	64	Protein"	"beta - actin	127	139	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""ICSAT"", ""start_span"": 50, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""M - 17"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""beta - actin"", ""start_span"": 127, ""end_span"": 139, ""type"": ""Protein""}]"
In general, the methylational status ranged from one cell line with a nearly non - methylated IRF - 4 promoter ( SD - 1, IRF - 4 - positive) to a completely methylated IRF - 4 promoter in CML - T1 ( IRF - 4 - negative).	"IRF - 4	94	101	Protein"	"IRF - 4	121	128	Protein"	"IRF - 4	168	175	Protein"	"IRF - 4	199	206	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 121, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 168, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 199, ""end_span"": 206, ""type"": ""Protein""}]"
It has been shown that NFkappaB elements play an important role in IRF - 4 induction as IRF - 4 expression depends on binding of the transactivator c - Rel to these elements in the IRF - 4 promoter ( 31, 37).	"IRF - 4	67	74	Protein"	"IRF - 4	88	95	Protein"	"c - Rel	148	155	Protein"	"IRF - 4	181	188	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 88, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 148, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 181, ""end_span"": 188, ""type"": ""Protein""}]"
But in contrast to IRF - 4, the loss of this IRF could not be reverted in ICSBP - negative cell lines ( EM - 2, CML - T1, K - 562 and LAMA - 84) by treatment with AzadC ( Figure 6) and AzadC has no effect on ICSBP levels in ICSBP - positive U - 937 cells ( Figure 6).	"IRF - 4	19	26	Protein"	"ICSBP	74	79	Protein"	"ICSBP	208	213	Protein"	"ICSBP	224	229	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""ICSBP"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""ICSBP"", ""start_span"": 208, ""end_span"": 213, ""type"": ""Protein""}, {""token"": ""ICSBP"", ""start_span"": 224, ""end_span"": 229, ""type"": ""Protein""}]"
IRF - 4, similar to many other classical tumor suppressor genes p15INK4b, p16INK4a or p53, may thus be a subject of alterations in the promoter methylation status leading to expression changes, which might contribute to the initiation and / or progression of cancer.	"IRF - 4	0	7	Protein"	"p15INK4b	64	72	Protein"	"p16INK4a	74	82	Protein"	"p53	86	89	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""p15INK4b"", ""start_span"": 64, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""p16INK4a"", ""start_span"": 74, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}]"
In multiple myeloma ( MM) a translocation on chromosome 14q was reported to lead to a fusion gene of immunoglobulin heavy - chain ( IgH) and IRF - 4 resulting in a subsequent overexpression of IRF - 4 ( 48, 49).	"immunoglobulin heavy - chain	101	129	Protein"	"IgH	132	135	Protein"	"IRF - 4	141	148	Protein"	"IRF - 4	193	200	Protein"	"[{""token"": ""immunoglobulin heavy - chain"", ""start_span"": 101, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""IgH"", ""start_span"": 132, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 193, ""end_span"": 200, ""type"": ""Protein""}]"
Down - regulation of IRF - 4 may promote leukemogenesis in myeloid cell context ( 3), which was recently confirmed in IRF - 4 - / - ICSBP - / - double knock - out mice ( 53), while IRF - 4 up - regulation may induce a growth advantage in lymphomas or MM ( 48).	"IRF - 4	21	28	Protein"	"IRF - 4	118	125	Protein"	"ICSBP	132	137	Protein"	"IRF - 4	181	188	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""ICSBP"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 181, ""end_span"": 188, ""type"": ""Protein""}]"
Taken together, our data suggest that IRF - 4 promoter methylation regulates IRF - 4 expression, and that aberrant expression of IRF - 4 in certain types of leukemia may be a consequence of IRF - 4 promoter hypermethylation.	"IRF - 4	38	45	Protein"	"IRF - 4	77	84	Protein"	"IRF - 4	129	136	Protein"	"IRF - 4	190	197	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 190, ""end_span"": 197, ""type"": ""Protein""}]"
Finally, comparison of the percent Foxp3 + CD4 + CD25 + T cells to the HTLV - I proviral load in HTLV - I - infected asymptomatic carriers and patients with HTLV - I - associated myelopathy / tropical spastic paraparesis suggested that high Foxp3 expression is associated with low proviral load and absence of disease.	"Foxp3	35	40	Protein"	"CD4	43	46	Protein"	"CD25	49	53	Protein"	"Foxp3	241	246	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 241, ""end_span"": 246, ""type"": ""Protein""}]"
