We observed no genetic alterations in the IRF - 4 promoter, which can account for the lack of IRF - 4 expression: The detected base pair changes at position - 1081 ( T to C substitution), at position - 1068 ( A to C substitution) and at position - 116 ( A to C substitution) are unlikely responsible for absent IRF - 4 - expression since the first two mutations were found both in IRF - 4 - positive and - negative cells whereas the latter change was not detected consistently in all IRF - 4 - negative or - positive cells and may thus be a polymorphism.	"IRF - 4	42	49	Protein"	"IRF - 4	94	101	Protein"	"IRF - 4	311	318	Protein"	"IRF - 4	381	388	Protein"	"IRF - 4	484	491	Protein"	"[{""token"": ""IRF - 4"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 311, ""end_span"": 318, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 381, ""end_span"": 388, ""type"": ""Protein""}, {""token"": ""IRF - 4"", ""start_span"": 484, ""end_span"": 491, ""type"": ""Protein""}]"
Transfection of HEK 293T cells with an NF - kappaB luciferase reporter vector in the presence or absence of increasing concentrations of a Foxp3 expression vector or a control vector ( enhanced green fluorescent protein [ EGFP]) was performed, and cells were harvested after 24 h to assay for luciferase activity and Foxp3 mRNA expression.	"luciferase	51	61	Protein"	"Foxp3	139	144	Protein"	"green fluorescent protein	194	219	Protein"	"luciferase	293	303	Protein"	"Foxp3	317	322	Protein"	"[{""token"": ""luciferase"", ""start_span"": 51, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""green fluorescent protein"", ""start_span"": 194, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""luciferase"", ""start_span"": 293, ""end_span"": 303, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 317, ""end_span"": 322, ""type"": ""Protein""}]"
Transactivation of the HTLV - I LTR was stimulated about 55 - fold by overexpression of Tax ( Figure 4B), while transfection of Foxp3 suppressed Tax - dependent HTLV - I LTR activation, although HTLV - I LTR activation in the presence or absence of Tax is independent of NF - kappaB or NF - AT ( another transcriptional activator known to interact with Foxp3).	"Tax	88	91	Protein"	"Foxp3	128	133	Protein"	"Tax	145	148	Protein"	"Tax	249	252	Protein"	"Foxp3	353	358	Protein"	"[{""token"": ""Tax"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 249, ""end_span"": 252, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 353, ""end_span"": 358, ""type"": ""Protein""}]"
To determine whether Foxp3 inhibited the transactivation functions of Tax by directly associating with this viral protein, we generated an expression vector in which HTLV - I Tax was fused in - frame to the carboxyl terminus of the Gal4 DNA - binding domain ( Gal4 - BD).	"Foxp3	21	26	Protein"	"Tax	70	73	Protein"	"Tax	175	178	Protein"	"Gal4	232	236	Protein"	"Gal4	260	264	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 232, ""end_span"": 236, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 260, ""end_span"": 264, ""type"": ""Protein""}]"
Although Foxp3 could down - regulate Tax - dependent transactivation of the HTLV - I LTR ( Figure 4B) and inhibit Tax expression from an infectious molecular clone ( Figure 5), Foxp3 failed to modulate Tax function in the absence of the viral promoter ( Figure 4D).	"Foxp3	9	14	Protein"	"Tax	37	40	Protein"	"Tax	114	117	Protein"	"Foxp3	177	182	Protein"	"Tax	202	205	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 9, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 177, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 202, ""end_span"": 205, ""type"": ""Protein""}]"
As shown in Figure 6D, activation of a Gal4 - responsive reporter vector by Gal4 - BD - CREB - 1 was down - regulated by Foxp3 compared to control vector ( EGFP), indicating that Foxp3 functions by directly or indirectly interacting with CREB - 1.	"Gal4	39	43	Protein"	"Gal4 - BD - CREB - 1	76	96	Protein"	"Foxp3	121	126	Protein"	"Foxp3	179	184	Protein"	"CREB - 1	238	246	Protein"	"[{""token"": ""Gal4"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""Gal4 - BD - CREB - 1"", ""start_span"": 76, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 121, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 179, ""end_span"": 184, ""type"": ""Protein""}, {""token"": ""CREB - 1"", ""start_span"": 238, ""end_span"": 246, ""type"": ""Protein""}]"
pFA - Tax ( encoding a fusion protein consisting of the Gal4 DNA - binding domain fused in - frame to HTLV - I Tax) was constructed by PCR amplification of HTLV - I Tax using pCMV4 - Tax as a template and BamHI / BglII - tagged primers.	"Tax	6	9	Protein"	"Gal4	56	60	Protein"	"Tax	111	114	Protein"	"Tax	165	168	Protein"	"Tax	183	186	Protein"	"[{""token"": ""Tax"", ""start_span"": 6, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""Gal4"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 165, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 183, ""end_span"": 186, ""type"": ""Protein""}]"
The values were calculated by the following formula: normalized Foxp3 or HTLV - I Tax expression = 2Ct value of HPRT - Ct value of Foxp3 or HTLV - I Tax.	"Foxp3	64	69	Protein"	"Tax	82	85	Protein"	"HPRT	112	116	Protein"	"Foxp3	131	136	Protein"	"Tax	149	152	Protein"	"[{""token"": ""Foxp3"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""HPRT"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 131, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 149, ""end_span"": 152, ""type"": ""Protein""}]"
Both the membrane proximal and distal cytoplasmic regions of CD40 that bind TRAF6 and TRAFs2 / 3 / 5, respectively, are necessary for GC formation, but either region is sufficient to induce extrafollicular B cell differentiation and restore low affinity antibody production [ 22].	"CD40	61	65	Protein"	"TRAF6	76	81	Protein"	"TRAFs2	86	92	Protein"	"3	95	96	Protein"	"5	99	100	Protein"	"[{""token"": ""CD40"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""TRAF6"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""TRAFs2"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 95, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""5"", ""start_span"": 99, ""end_span"": 100, ""type"": ""Protein""}]"
This higher level of proliferation was observed in lymphomas that express both high ( Table 1, LMP1 - L2 and LMP1 - L3) and low ( Table 1, LMP1 - L5) levels of LMP1, suggesting that even small amounts of LMP1 is sufficient to induce dramatic effects in proliferation.	"LMP1	95	99	Protein"	"LMP1	109	113	Protein"	"LMP1	139	143	Protein"	"LMP1	160	164	Protein"	"LMP1	204	208	Protein"	"[{""token"": ""LMP1"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 204, ""end_span"": 208, ""type"": ""Protein""}]"
