Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	json	split
MOM - 4 and LIT - 1 are homologous to TAK1 ( a kinase activated by transforming growth factor - beta) mitogen - activated protein - kinase - kinase kinase ( MAP3K) and MAP kinase ( MAPK) - related NEMO - like kinase ( NLK), respectively, in mammalian cells.	MOM - 4,0,7,Gene_or_gene_product	LIT - 1,12,19,Gene_or_gene_product	TAK1,38,42,Gene_or_gene_product	transforming growth factor - beta,67,100,Gene_or_gene_product	mitogen - activated protein - kinase - kinase kinase,102,154,Gene_or_gene_product	MAP3K,157,162,Gene_or_gene_product	MAP kinase,168,178,Gene_or_gene_product	MAPK,181,185,Gene_or_gene_product	NEMO - like kinase,197,215,Gene_or_gene_product	NLK,218,221,Gene_or_gene_product	"[{""token"": ""MOM - 4"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""LIT - 1"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""TAK1"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}, {""token"": ""transforming growth factor - beta"", ""start_span"": 67, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein - kinase - kinase kinase"", ""start_span"": 102, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP3K"", ""start_span"": 157, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinase"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Gene_or_gene_product""}, {""token"": ""NEMO - like kinase"", ""start_span"": 197, ""end_span"": 215, ""type"": ""Gene_or_gene_product""}, {""token"": ""NLK"", ""start_span"": 218, ""end_span"": 221, ""type"": ""Gene_or_gene_product""}]"	train
Finally, the cytokine interferon - gamma ( IFN - gamma) induced apoptosis and KILLER / DR5 in cell lines with mutant p53, and the induction of KILLER / DR5 mRNA by IFN - gamma was delayed in cells lacking wild - type STAT1, a transcription factor implicated in IFN - gamma signaling.	interferon - gamma,22,40,Gene_or_gene_product	IFN - gamma,43,54,Gene_or_gene_product	KILLER,78,84,Gene_or_gene_product	DR5,87,90,Gene_or_gene_product	p53,117,120,Gene_or_gene_product	KILLER,143,149,Gene_or_gene_product	DR5,152,155,Gene_or_gene_product	IFN - gamma,164,175,Gene_or_gene_product	STAT1,217,222,Gene_or_gene_product	IFN - gamma,261,272,Gene_or_gene_product	"[{""token"": ""interferon - gamma"", ""start_span"": 22, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 43, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}, {""token"": ""KILLER"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}, {""token"": ""DR5"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}, {""token"": ""KILLER"", ""start_span"": 143, ""end_span"": 149, ""type"": ""Gene_or_gene_product""}, {""token"": ""DR5"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 164, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}, {""token"": ""STAT1"", ""start_span"": 217, ""end_span"": 222, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 261, ""end_span"": 272, ""type"": ""Gene_or_gene_product""}]"	train
Hdm2 - P2 promoter activity in T47D cells is independent of p53, as well as of known regulators of the mouse mdm2 - P2 promoter, including ERalpha and ras - raf - mitogen - activated protein / extracellular signal - regulated kinase ( MEK) mitogen - activated protein kinase ( MAPK) signaling.	Hdm2,0,4,Gene_or_gene_product	p53,60,63,Gene_or_gene_product	mdm2,109,113,Gene_or_gene_product	ERalpha,139,146,Gene_or_gene_product	ras,151,154,Gene_or_gene_product	raf,157,160,Gene_or_gene_product	mitogen - activated protein / extracellular signal - regulated kinase,163,232,Gene_or_gene_product	MEK,235,238,Gene_or_gene_product	mitogen - activated protein kinase,240,274,Gene_or_gene_product	MAPK,277,281,Gene_or_gene_product	"[{""token"": ""Hdm2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""mdm2"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERalpha"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 151, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""raf"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein / extracellular signal - regulated kinase"", ""start_span"": 163, ""end_span"": 232, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEK"", ""start_span"": 235, ""end_span"": 238, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein kinase"", ""start_span"": 240, ""end_span"": 274, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 277, ""end_span"": 281, ""type"": ""Gene_or_gene_product""}]"	train
By substituting candidate substrates in the enzyme assay, we determined that SSAT - 1 shows the substrate preference norspermidine = spermidine > spermine > N ( 1) - acetylspermine > putrescine, whereas SSAT - 2 shows the preference norspermidine > spermidine = spermine > N ( 1) - acetylspermine = putrescine.	SSAT - 1,77,85,Gene_or_gene_product	norspermidine,117,130,Chemical	spermidine,133,143,Chemical	spermine,146,154,Chemical	putrescine,183,193,Chemical	SSAT - 2,203,211,Gene_or_gene_product	norspermidine,233,246,Chemical	spermidine,249,259,Chemical	spermine,262,270,Chemical	putrescine,299,309,Chemical	"[{""token"": ""SSAT - 1"", ""start_span"": 77, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}, {""token"": ""norspermidine"", ""start_span"": 117, ""end_span"": 130, ""type"": ""Chemical""}, {""token"": ""spermidine"", ""start_span"": 133, ""end_span"": 143, ""type"": ""Chemical""}, {""token"": ""spermine"", ""start_span"": 146, ""end_span"": 154, ""type"": ""Chemical""}, {""token"": ""putrescine"", ""start_span"": 183, ""end_span"": 193, ""type"": ""Chemical""}, {""token"": ""SSAT - 2"", ""start_span"": 203, ""end_span"": 211, ""type"": ""Gene_or_gene_product""}, {""token"": ""norspermidine"", ""start_span"": 233, ""end_span"": 246, ""type"": ""Chemical""}, {""token"": ""spermidine"", ""start_span"": 249, ""end_span"": 259, ""type"": ""Chemical""}, {""token"": ""spermine"", ""start_span"": 262, ""end_span"": 270, ""type"": ""Chemical""}, {""token"": ""putrescine"", ""start_span"": 299, ""end_span"": 309, ""type"": ""Chemical""}]"	train
An additional parallel between the SWI5 / HO pathway and the ACE2 / CTS1 pathway is that HO and CTS1 both are cell cycle regulated in the same way, and HO and CTS1 both require the SWI4 and SWI6 transcriptional activators.	SWI5,35,39,Gene_or_gene_product	HO,42,44,Gene_or_gene_product	ACE2,61,65,Gene_or_gene_product	CTS1,68,72,Gene_or_gene_product	HO,89,91,Gene_or_gene_product	CTS1,96,100,Gene_or_gene_product	HO,152,154,Gene_or_gene_product	CTS1,159,163,Gene_or_gene_product	SWI4,181,185,Gene_or_gene_product	SWI6,190,194,Gene_or_gene_product	"[{""token"": ""SWI5"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 42, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""ACE2"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 89, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 152, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""SWI4"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Gene_or_gene_product""}, {""token"": ""SWI6"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}]"	train
The last few years have seen a remarkable increase in our understanding of the canonical, growth factor - regulated pathway for mTOR activation, which is mediated by the class I PI3Ks ( phosphoinositide 3 - kinases), PKB ( protein kinase B), TSC1 / 2 ( the tuberous sclerosis complex) and the small GTPase, Rheb.	growth factor,90,103,Gene_or_gene_product	mTOR,128,132,Gene_or_gene_product	class I PI3Ks,170,183,Gene_or_gene_product	phosphoinositide 3 - kinases,186,214,Gene_or_gene_product	PKB,217,220,Gene_or_gene_product	protein kinase B,223,239,Gene_or_gene_product	TSC1,242,246,Complex	tuberous sclerosis complex,257,283,Complex	GTPase,299,305,Gene_or_gene_product	Rheb,307,311,Gene_or_gene_product	"[{""token"": ""growth factor"", ""start_span"": 90, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}, {""token"": ""mTOR"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""class I PI3Ks"", ""start_span"": 170, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}, {""token"": ""phosphoinositide 3 - kinases"", ""start_span"": 186, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}, {""token"": ""PKB"", ""start_span"": 217, ""end_span"": 220, ""type"": ""Gene_or_gene_product""}, {""token"": ""protein kinase B"", ""start_span"": 223, ""end_span"": 239, ""type"": ""Gene_or_gene_product""}, {""token"": ""TSC1"", ""start_span"": 242, ""end_span"": 246, ""type"": ""Complex""}, {""token"": ""tuberous sclerosis complex"", ""start_span"": 257, ""end_span"": 283, ""type"": ""Complex""}, {""token"": ""GTPase"", ""start_span"": 299, ""end_span"": 305, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rheb"", ""start_span"": 307, ""end_span"": 311, ""type"": ""Gene_or_gene_product""}]"	train
In budding yeast, acetylation of histone H3 lysine 56 ( H3 - K56) is catalyzed by the Rtt109 - Vps75 histone acetyltransferase ( HAT) complex, with Rtt109 being the catalytic subunit, and histone chaperone Asf1 is required for this modification.	histone H3,33,43,Gene_or_gene_product	lysine 56,44,53,Chemical	H3,56,58,Gene_or_gene_product	K56,61,64,Chemical	Rtt109 - Vps75,86,100,Complex	histone acetyltransferase,101,126,Gene_or_gene_product	HAT,129,132,Gene_or_gene_product	Rtt109,148,154,Gene_or_gene_product	histone,188,195,Gene_or_gene_product	Asf1,206,210,Gene_or_gene_product	"[{""token"": ""histone H3"", ""start_span"": 33, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""lysine 56"", ""start_span"": 44, ""end_span"": 53, ""type"": ""Chemical""}, {""token"": ""H3"", ""start_span"": 56, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""K56"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Chemical""}, {""token"": ""Rtt109 - Vps75"", ""start_span"": 86, ""end_span"": 100, ""type"": ""Complex""}, {""token"": ""histone acetyltransferase"", ""start_span"": 101, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""HAT"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rtt109"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""histone"", ""start_span"": 188, ""end_span"": 195, ""type"": ""Gene_or_gene_product""}, {""token"": ""Asf1"", ""start_span"": 206, ""end_span"": 210, ""type"": ""Gene_or_gene_product""}]"	train
LiCl treatment had no effect on IkappaB - alpha degradation, IkappaB kinase ( IKK) activity, NF - kappaB binding activity, and p65 nuclear import and export, but decreased transcription of the NF - kappaB - dependent inducible nitric oxide synthase gene and a NF - kappaB - driven reporter gene.	LiCl,0,4,Chemical	IkappaB - alpha,32,47,Gene_or_gene_product	IkappaB kinase,61,75,Complex	IKK,78,81,Complex	NF - kappaB,93,104,Complex	p65,127,130,Gene_or_gene_product	nuclear,131,138,Cellular_component	NF - kappaB,193,204,Complex	nitric oxide synthase,227,248,Gene_or_gene_product	NF - kappaB,260,271,Complex	"[{""token"": ""LiCl"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}, {""token"": ""IkappaB - alpha"", ""start_span"": 32, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB kinase"", ""start_span"": 61, ""end_span"": 75, ""type"": ""Complex""}, {""token"": ""IKK"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Complex""}, {""token"": ""NF - kappaB"", ""start_span"": 93, ""end_span"": 104, ""type"": ""Complex""}, {""token"": ""p65"", ""start_span"": 127, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 131, ""end_span"": 138, ""type"": ""Cellular_component""}, {""token"": ""NF - kappaB"", ""start_span"": 193, ""end_span"": 204, ""type"": ""Complex""}, {""token"": ""nitric oxide synthase"", ""start_span"": 227, ""end_span"": 248, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 260, ""end_span"": 271, ""type"": ""Complex""}]"	valid
We show that the mitogen - activated protein kinase inhibitors SB203580 and PD98059 or U0126, as well as a potent mitogen - and stress - activated protein kinase - 1 ( MSK1) inhibitor H89, counteract tumor necrosis factor ( TNF) - mediated stimulation of p65 transactivation capacity.	mitogen - activated protein kinase,17,51,Gene_or_gene_product	SB203580,63,71,Chemical	PD98059,76,83,Chemical	U0126,87,92,Chemical	mitogen - and stress - activated protein kinase - 1,114,165,Gene_or_gene_product	MSK1,168,172,Gene_or_gene_product	H89,184,187,Chemical	tumor necrosis factor,200,221,Gene_or_gene_product	TNF,224,227,Gene_or_gene_product	p65,255,258,Gene_or_gene_product	"[{""token"": ""mitogen - activated protein kinase"", ""start_span"": 17, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""SB203580"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Chemical""}, {""token"": ""PD98059"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Chemical""}, {""token"": ""U0126"", ""start_span"": 87, ""end_span"": 92, ""type"": ""Chemical""}, {""token"": ""mitogen - and stress - activated protein kinase - 1"", ""start_span"": 114, ""end_span"": 165, ""type"": ""Gene_or_gene_product""}, {""token"": ""MSK1"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}, {""token"": ""H89"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Chemical""}, {""token"": ""tumor necrosis factor"", ""start_span"": 200, ""end_span"": 221, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 224, ""end_span"": 227, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 255, ""end_span"": 258, ""type"": ""Gene_or_gene_product""}]"	valid
Cip / Kip family protein p21, a cyclin - dependent kinase ( CDK) inhibitor, is directly transactivated by retinoic acid receptor alpha ( RARalpha) upon retinoic acid ( RA): RARalpha binding.	Cip,0,3,Gene_or_gene_product	Kip,6,9,Gene_or_gene_product	p21,25,28,Gene_or_gene_product	cyclin - dependent kinase,32,57,Gene_or_gene_product	CDK,60,63,Gene_or_gene_product	retinoic acid receptor alpha,106,134,Gene_or_gene_product	RARalpha,137,145,Gene_or_gene_product	retinoic acid,152,165,Chemical	RA,168,170,Chemical	RARalpha,173,181,Gene_or_gene_product	"[{""token"": ""Cip"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""Kip"", ""start_span"": 6, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin - dependent kinase"", ""start_span"": 32, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""CDK"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""retinoic acid receptor alpha"", ""start_span"": 106, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}, {""token"": ""RARalpha"", ""start_span"": 137, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""retinoic acid"", ""start_span"": 152, ""end_span"": 165, ""type"": ""Chemical""}, {""token"": ""RA"", ""start_span"": 168, ""end_span"": 170, ""type"": ""Chemical""}, {""token"": ""RARalpha"", ""start_span"": 173, ""end_span"": 181, ""type"": ""Gene_or_gene_product""}]"	valid
