Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	json	split
Interleukin - 1 ( IL - 1) and tumor necrosis factor ( TNF - alpha) stimulate transcription factors AP - 1 and NF - kappaB through activation of the MAP kinases JNK and p38 and the IkappaB kinase ( IKK), respectively.	Interleukin - 1,0,15,Gene_or_gene_product	IL - 1,18,24,Gene_or_gene_product	tumor necrosis factor,30,51,Gene_or_gene_product	TNF - alpha,54,65,Gene_or_gene_product	AP - 1,99,105,Gene_or_gene_product	NF - kappaB,110,121,Complex	MAP kinases,148,159,Gene_or_gene_product	JNK,160,163,Gene_or_gene_product	p38,168,171,Gene_or_gene_product	IkappaB kinase,180,194,Complex	IKK,197,200,Complex	"[{""token"": ""Interleukin - 1"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 30, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF - alpha"", ""start_span"": 54, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""AP - 1"", ""start_span"": 99, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 110, ""end_span"": 121, ""type"": ""Complex""}, {""token"": ""MAP kinases"", ""start_span"": 148, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB kinase"", ""start_span"": 180, ""end_span"": 194, ""type"": ""Complex""}, {""token"": ""IKK"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Complex""}]"	train
The kinetochore checkpoint pathway, involving the Mad1, Mad2, Mad3, Bub1, Bub3 and Mps1 proteins, prevents anaphase entry and mitotic exit by inhibiting the anaphase promoting complex activator Cdc20 in response to monopolar attachment of sister kinetochores to spindle fibres.	kinetochore,4,15,Cellular_component	Mad1,50,54,Gene_or_gene_product	Mad2,56,60,Gene_or_gene_product	Mad3,62,66,Gene_or_gene_product	Bub1,68,72,Gene_or_gene_product	Bub3,74,78,Gene_or_gene_product	Mps1,83,87,Gene_or_gene_product	anaphase promoting complex,157,183,Complex	Cdc20,194,199,Gene_or_gene_product	kinetochores,246,258,Cellular_component	spindle fibres,262,276,Cellular_component	"[{""token"": ""kinetochore"", ""start_span"": 4, ""end_span"": 15, ""type"": ""Cellular_component""}, {""token"": ""Mad1"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mad2"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mad3"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bub1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bub3"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mps1"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""anaphase promoting complex"", ""start_span"": 157, ""end_span"": 183, ""type"": ""Complex""}, {""token"": ""Cdc20"", ""start_span"": 194, ""end_span"": 199, ""type"": ""Gene_or_gene_product""}, {""token"": ""kinetochores"", ""start_span"": 246, ""end_span"": 258, ""type"": ""Cellular_component""}, {""token"": ""spindle fibres"", ""start_span"": 262, ""end_span"": 276, ""type"": ""Cellular_component""}]"	train
We have observed that four DNA - damaging agents ( cisplatin, actinomycin D, MMS, and etoposide), but not the cisplatin isomer, transplatin, which does not readily damage DNA, strongly activate JNK, p38, and extracellular signal - regulated kinase ( ERK), and strongly increase phosphorylation and ATF2 - dependent transcriptional activity.	cisplatin,51,60,Chemical	actinomycin D,62,75,Chemical	MMS,77,80,Chemical	etoposide,86,95,Chemical	cisplatin,110,119,Chemical	transplatin,128,139,Chemical	JNK,194,197,Gene_or_gene_product	p38,199,202,Gene_or_gene_product	extracellular signal - regulated kinase,208,247,Gene_or_gene_product	ERK,250,253,Gene_or_gene_product	ATF2,298,302,Gene_or_gene_product	"[{""token"": ""cisplatin"", ""start_span"": 51, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""actinomycin D"", ""start_span"": 62, ""end_span"": 75, ""type"": ""Chemical""}, {""token"": ""MMS"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Chemical""}, {""token"": ""etoposide"", ""start_span"": 86, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""cisplatin"", ""start_span"": 110, ""end_span"": 119, ""type"": ""Chemical""}, {""token"": ""transplatin"", ""start_span"": 128, ""end_span"": 139, ""type"": ""Chemical""}, {""token"": ""JNK"", ""start_span"": 194, ""end_span"": 197, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}, {""token"": ""extracellular signal - regulated kinase"", ""start_span"": 208, ""end_span"": 247, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 250, ""end_span"": 253, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATF2"", ""start_span"": 298, ""end_span"": 302, ""type"": ""Gene_or_gene_product""}]"	train
U - 73122 ( a PLC inhibitor), wortmannin ( a PI3 - K inhibitor), PD 98059 ( an ERK inhibitor), Go 6976 ( a PKC inhibitor) and Bay 11 - 7082 ( a NF - kappaB inhibitor) significantly decreased LTA - stimulated oxidative burst in heterophils by 77%, 30%, 36%, 78%, and 61%, respectively.	U - 73122,0,9,Chemical	PLC,14,17,Gene_or_gene_product	wortmannin,30,40,Chemical	PI3 - K,45,52,Gene_or_gene_product	PD 98059,65,73,Chemical	ERK,79,82,Gene_or_gene_product	Go 6976,95,102,Chemical	PKC,107,110,Gene_or_gene_product	Bay 11 - 7082,126,139,Chemical	NF - kappaB,144,155,Complex	LTA,191,194,Chemical	"[{""token"": ""U - 73122"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}, {""token"": ""PLC"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}, {""token"": ""wortmannin"", ""start_span"": 30, ""end_span"": 40, ""type"": ""Chemical""}, {""token"": ""PI3 - K"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}, {""token"": ""PD 98059"", ""start_span"": 65, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""ERK"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""Go 6976"", ""start_span"": 95, ""end_span"": 102, ""type"": ""Chemical""}, {""token"": ""PKC"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bay 11 - 7082"", ""start_span"": 126, ""end_span"": 139, ""type"": ""Chemical""}, {""token"": ""NF - kappaB"", ""start_span"": 144, ""end_span"": 155, ""type"": ""Complex""}, {""token"": ""LTA"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Chemical""}]"	train
The PGN - induced increase in kappaB luciferase activity was inhibited by NS398, AH6809, AH23848, KT5720, a protein kinase C inhibitor ( Ro31 - 8220), and a p38 MAPK inhibitor ( SB203580).	PGN,4,7,Chemical	kappaB,30,36,Complex	luciferase,37,47,Gene_or_gene_product	NS398,74,79,Chemical	AH6809,81,87,Chemical	AH23848,89,96,Chemical	KT5720,98,104,Chemical	protein kinase C,108,124,Gene_or_gene_product	Ro31 - 8220,137,148,Chemical	p38 MAPK,157,165,Gene_or_gene_product	SB203580,178,186,Chemical	"[{""token"": ""PGN"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Chemical""}, {""token"": ""kappaB"", ""start_span"": 30, ""end_span"": 36, ""type"": ""Complex""}, {""token"": ""luciferase"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""NS398"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Chemical""}, {""token"": ""AH6809"", ""start_span"": 81, ""end_span"": 87, ""type"": ""Chemical""}, {""token"": ""AH23848"", ""start_span"": 89, ""end_span"": 96, ""type"": ""Chemical""}, {""token"": ""KT5720"", ""start_span"": 98, ""end_span"": 104, ""type"": ""Chemical""}, {""token"": ""protein kinase C"", ""start_span"": 108, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ro31 - 8220"", ""start_span"": 137, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""p38 MAPK"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Gene_or_gene_product""}, {""token"": ""SB203580"", ""start_span"": 178, ""end_span"": 186, ""type"": ""Chemical""}]"	train
We show that at low concentrations the Rtt109 - Vps75 HAT complex acetylates H3 - K56 in vitro when H3 / H4 is complexed with Asf1, but not H3 / H4 tetramers, recapitulating the in vivo requirement of Asf1 for H3 - K56 acetylation using recombinant proteins.	Rtt109 - Vps75,39,53,Complex	HAT,54,57,Gene_or_gene_product	H3,77,79,Gene_or_gene_product	K56,82,85,Chemical	H3,100,102,Gene_or_gene_product	H4,105,107,Gene_or_gene_product	Asf1,126,130,Gene_or_gene_product	H3 / H4,140,147,Complex	Asf1,201,205,Gene_or_gene_product	H3,210,212,Gene_or_gene_product	K56,215,218,Chemical	"[{""token"": ""Rtt109 - Vps75"", ""start_span"": 39, ""end_span"": 53, ""type"": ""Complex""}, {""token"": ""HAT"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""H3"", ""start_span"": 77, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""K56"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Chemical""}, {""token"": ""H3"", ""start_span"": 100, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}, {""token"": ""H4"", ""start_span"": 105, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""Asf1"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""H3 / H4"", ""start_span"": 140, ""end_span"": 147, ""type"": ""Complex""}, {""token"": ""Asf1"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Gene_or_gene_product""}, {""token"": ""H3"", ""start_span"": 210, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""K56"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Chemical""}]"	train
In B cells from Cbl - b - deficient mice cross - linking the BCRs resulted in sustained phosphorylation of Igalpha, Syk, and phospholipase C ( PLC) - gamma2, leading to prolonged Ca2 + mobilization, and increases in extracellular signal - regulated kinase ( ERK) and c - Jun NH2 - terminal protein kinase ( JNK) phosphorylation and surface expression of the activation marker, CD69.	Cbl,16,19,Gene_or_gene_product	BCRs,61,65,Gene_or_gene_product	Igalpha,107,114,Gene_or_gene_product	Syk,116,119,Gene_or_gene_product	Ca2 +,179,184,Chemical	extracellular signal - regulated kinase,216,255,Gene_or_gene_product	ERK,258,261,Gene_or_gene_product	c - Jun NH2 - terminal protein kinase,267,304,Gene_or_gene_product	JNK,307,310,Gene_or_gene_product	surface,332,339,Cellular_component	CD69,377,381,Gene_or_gene_product	"[{""token"": ""Cbl"", ""start_span"": 16, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""BCRs"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""Igalpha"", ""start_span"": 107, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}, {""token"": ""Syk"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ca2 +"", ""start_span"": 179, ""end_span"": 184, ""type"": ""Chemical""}, {""token"": ""extracellular signal - regulated kinase"", ""start_span"": 216, ""end_span"": 255, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 258, ""end_span"": 261, ""type"": ""Gene_or_gene_product""}, {""token"": ""c - Jun NH2 - terminal protein kinase"", ""start_span"": 267, ""end_span"": 304, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 307, ""end_span"": 310, ""type"": ""Gene_or_gene_product""}, {""token"": ""surface"", ""start_span"": 332, ""end_span"": 339, ""type"": ""Cellular_component""}, {""token"": ""CD69"", ""start_span"": 377, ""end_span"": 381, ""type"": ""Gene_or_gene_product""}]"	valid
Furthermore, we found that the inducible expression of any of three dominant interfering mutants of vav1 ( a truncated protein, vavC; a form containing a point mutation in the regulatory tyrosine residue, vavYF174; and a form with an in - frame deletion of six amino acids required for the guanidine nucleotide exchange factor ( GEF) activity of vav1 for rac family GTPases, vavGEFmt) consistently inhibited CpG DNA - mediated up - regulation of tumor necrosis factor secretion and inducible nitric - oxide synthase protein accumulation in RAW - TT10 macrophages.	vav1,100,104,Gene_or_gene_product	vavC,128,132,Gene_or_gene_product	tyrosine,187,195,Chemical	vavYF174,205,213,Gene_or_gene_product	guanidine nucleotide exchange factor,290,326,Gene_or_gene_product	GEF,329,332,Gene_or_gene_product	vav1,346,350,Gene_or_gene_product	rac,355,358,Gene_or_gene_product	vavGEFmt,375,383,Gene_or_gene_product	tumor necrosis factor,446,467,Gene_or_gene_product	nitric - oxide synthase,492,515,Gene_or_gene_product	"[{""token"": ""vav1"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}, {""token"": ""vavC"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""tyrosine"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Chemical""}, {""token"": ""vavYF174"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Gene_or_gene_product""}, {""token"": ""guanidine nucleotide exchange factor"", ""start_span"": 290, ""end_span"": 326, ""type"": ""Gene_or_gene_product""}, {""token"": ""GEF"", ""start_span"": 329, ""end_span"": 332, ""type"": ""Gene_or_gene_product""}, {""token"": ""vav1"", ""start_span"": 346, ""end_span"": 350, ""type"": ""Gene_or_gene_product""}, {""token"": ""rac"", ""start_span"": 355, ""end_span"": 358, ""type"": ""Gene_or_gene_product""}, {""token"": ""vavGEFmt"", ""start_span"": 375, ""end_span"": 383, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 446, ""end_span"": 467, ""type"": ""Gene_or_gene_product""}, {""token"": ""nitric - oxide synthase"", ""start_span"": 492, ""end_span"": 515, ""type"": ""Gene_or_gene_product""}]"	valid
The physiological and pathological roles of RIP2 are mediated through its involvement in multiple NF - kappaB activation pathways, including those triggered by tumor necrosis factor ( TNF), interleukin 1 ( IL - 1), Toll - like receptor 2 ( TLR2), TLR3, TLR4 and Nod1.	RIP2,44,48,Gene_or_gene_product	NF - kappaB,98,109,Complex	tumor necrosis factor,160,181,Gene_or_gene_product	TNF,184,187,Gene_or_gene_product	interleukin 1,190,203,Gene_or_gene_product	IL - 1,206,212,Gene_or_gene_product	Toll - like receptor 2,215,237,Gene_or_gene_product	TLR2,240,244,Gene_or_gene_product	TLR3,247,251,Gene_or_gene_product	TLR4,253,257,Gene_or_gene_product	Nod1,262,266,Gene_or_gene_product	"[{""token"": ""RIP2"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 98, ""end_span"": 109, ""type"": ""Complex""}, {""token"": ""tumor necrosis factor"", ""start_span"": 160, ""end_span"": 181, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin 1"", ""start_span"": 190, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 206, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""Toll - like receptor 2"", ""start_span"": 215, ""end_span"": 237, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 240, ""end_span"": 244, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR3"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 253, ""end_span"": 257, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nod1"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Gene_or_gene_product""}]"	valid
We mapped the in vivo phosphorylation sites on budding yeast Cdc34 ( yCdc34; Ser207 and Ser216) and human Cdc34 ( hCdc34 Ser203, Ser222 and Ser231) to serine residues in the acidic tail domain, a region that is critical for Cdc34 ' s cell cycle function.	Cdc34,61,66,Gene_or_gene_product	yCdc34,69,75,Gene_or_gene_product	Ser207,77,83,Chemical	Ser216,88,94,Chemical	Cdc34,106,111,Gene_or_gene_product	hCdc34,114,120,Gene_or_gene_product	Ser203,121,127,Chemical	Ser222,129,135,Chemical	Ser231,140,146,Chemical	serine,151,157,Chemical	Cdc34,224,229,Gene_or_gene_product	"[{""token"": ""Cdc34"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""yCdc34"", ""start_span"": 69, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ser207"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Chemical""}, {""token"": ""Ser216"", ""start_span"": 88, ""end_span"": 94, ""type"": ""Chemical""}, {""token"": ""Cdc34"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Gene_or_gene_product""}, {""token"": ""hCdc34"", ""start_span"": 114, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ser203"", ""start_span"": 121, ""end_span"": 127, ""type"": ""Chemical""}, {""token"": ""Ser222"", ""start_span"": 129, ""end_span"": 135, ""type"": ""Chemical""}, {""token"": ""Ser231"", ""start_span"": 140, ""end_span"": 146, ""type"": ""Chemical""}, {""token"": ""serine"", ""start_span"": 151, ""end_span"": 157, ""type"": ""Chemical""}, {""token"": ""Cdc34"", ""start_span"": 224, ""end_span"": 229, ""type"": ""Gene_or_gene_product""}]"	test
