Sentence	entity_1	entity_2	json	split
The Saccharomyces cerevisiae Cdc6 protein is necessary for the formation of pre - replicative complexes that are required for firing DNA replication at origins at the beginning of S phase.	Cdc6,29,33,Gene_or_gene_product	pre - replicative complexes,76,103,Complex	"[{""token"": ""Cdc6"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""pre - replicative complexes"", ""start_span"": 76, ""end_span"": 103, ""type"": ""Complex""}]"	train
In a normal cell cycle the presence of this protein is restricted to G1, partly because the CDC6 gene is transcribed only during G1 and partly because the Cdc6p protein is rapidly degraded at late G1 / early S phase.	CDC6,92,96,Gene_or_gene_product	Cdc6p,155,160,Gene_or_gene_product	"[{""token"": ""CDC6"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc6p"", ""start_span"": 155, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}]"	train
Indeed, we have found that Cdc6 is ubiquitinated in vivo and degraded by a Cdc4 - dependent mechanism.	Cdc6,27,31,Gene_or_gene_product	Cdc4,75,79,Gene_or_gene_product	"[{""token"": ""Cdc6"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc4"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"	train
Our data, together with previous observations regarding Cdc6 stability, suggest that under physiological conditions budding yeast cells degrade ubiquitinated Cdc6 every cell cycle at the beginning of S phase.	Cdc6,56,60,Gene_or_gene_product	Cdc6,158,162,Gene_or_gene_product	"[{""token"": ""Cdc6"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc6"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}]"	train
Here we present evidence of a second mechanism of regulation acting on NF - kappaB after release from IkappaB.	NF - kappaB,71,82,Complex	IkappaB,102,109,Gene_or_gene_product	"[{""token"": ""NF - kappaB"", ""start_span"": 71, ""end_span"": 82, ""type"": ""Complex""}, {""token"": ""IkappaB"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"	train
We show that transcriptional activity of RelA is dependent on phosphorylation of the N - terminal Rel homology domain but not the C - terminal transactivation domain.	RelA,41,45,Gene_or_gene_product	Rel,98,101,Gene_or_gene_product	"[{""token"": ""RelA"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rel"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}]"	train
Glycoprotein reglucosylation and nucleotide sugar utilization in the secretory pathway: identification of a nucleoside diphosphatase in the endoplasmic reticulum.	nucleoside diphosphatase,108,132,Gene_or_gene_product	endoplasmic reticulum,140,161,Cellular_component	"[{""token"": ""nucleoside diphosphatase"", ""start_span"": 108, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""endoplasmic reticulum"", ""start_span"": 140, ""end_span"": 161, ""type"": ""Cellular_component""}]"	train
The COOH - terminal 63 amino acids of Myt1 were identified as a Cdc2 - cyclin B1 interaction domain.	Myt1,38,42,Gene_or_gene_product	Cdc2 - cyclin B1,64,80,Complex	"[{""token"": ""Myt1"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc2 - cyclin B1"", ""start_span"": 64, ""end_span"": 80, ""type"": ""Complex""}]"	train
In addition, cells overproducing mutant forms of Myt1 lacking the interaction domain exhibited normal trafficking of cyclin B1 and unperturbed cell cycle progression.	Myt1,49,53,Gene_or_gene_product	cyclin B1,117,126,Gene_or_gene_product	"[{""token"": ""Myt1"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin B1"", ""start_span"": 117, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"	train
In addition, we show for the first time that members of the IRAK family are indispensable elements of lipopolysaccharide signal transduction.	IRAK,60,64,Gene_or_gene_product	lipopolysaccharide,102,120,Chemical	"[{""token"": ""IRAK"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}, {""token"": ""lipopolysaccharide"", ""start_span"": 102, ""end_span"": 120, ""type"": ""Chemical""}]"	train
The discovery of IRAK - M adds another level of complexity to our understanding of signaling by members of the Toll / IL - 1 receptor family.	IRAK - M,17,25,Gene_or_gene_product	Toll / IL - 1 receptor,111,133,Gene_or_gene_product	"[{""token"": ""IRAK - M"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""Toll / IL - 1 receptor"", ""start_span"": 111, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}]"	train
Role of MAO A and B in neurotransmitter metabolism and behavior.	MAO A,8,13,Gene_or_gene_product	B,18,19,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 18, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"	train
MAO ( monoamine oxidase) A and B are key isoenzymes that degrade biogenic and dietary amines.	B,31,32,Gene_or_gene_product	amines,86,92,Chemical	"[{""token"": ""B"", ""start_span"": 31, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""amines"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical""}]"	train
Both forms can oxidize dopamine ( DA).	dopamine,23,31,Chemical	DA,34,36,Chemical	"[{""token"": ""dopamine"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""DA"", ""start_span"": 34, ""end_span"": 36, ""type"": ""Chemical""}]"	train
Recently, we have shown that MAO A and B knock - out ( KO) mice exhibit distinct differences in neurotransmitter metabolism and behavior.	MAO A,29,34,Gene_or_gene_product	B,39,40,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 39, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"	train
In contrast, MAO B KO mice do not exhibit aggression and only levels of PEA are increased.	MAO B,13,18,Gene_or_gene_product	PEA,72,75,Chemical	"[{""token"": ""MAO B"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}, {""token"": ""PEA"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical""}]"	train
Both MAO A and B KO mice show increased reactivity to stress.	MAO A,5,10,Gene_or_gene_product	B,15,16,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 5, ""end_span"": 10, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 15, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"	train
Injection of NLK suppresses the induction of axis duplication by microinjected beta - catenin in Xenopus embryos.	NLK,13,16,Gene_or_gene_product	beta - catenin,79,93,Gene_or_gene_product	"[{""token"": ""NLK"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 79, ""end_span"": 93, ""type"": ""Gene_or_gene_product""}]"	train
Here we show that Axin is dephosphorylated in response to Wnt signaling.	Axin,18,22,Gene_or_gene_product	Wnt,58,61,Gene_or_gene_product	"[{""token"": ""Axin"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"	train
The dephosphorylated Axin binds beta - catenin less efficiently than the phosphorylated form.	Axin,21,25,Gene_or_gene_product	beta - catenin,32,46,Gene_or_gene_product	"[{""token"": ""Axin"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 32, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"	train
Phosphorylation of Ser - 241 is essential for the activity of 3 - phosphoinositide - dependent protein kinase - 1: identification of five sites of phosphorylation in vivo.	Ser - 241,19,28,Chemical	3 - phosphoinositide - dependent protein kinase - 1,62,113,Gene_or_gene_product	"[{""token"": ""Ser - 241"", ""start_span"": 19, ""end_span"": 28, ""type"": ""Chemical""}, {""token"": ""3 - phosphoinositide - dependent protein kinase - 1"", ""start_span"": 62, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}]"	train
Ser - 241, unlike the other phosphorylation sites on PDK1, was resistant to dephosphorylation by protein phosphatase 2A ( 1).	Ser - 241,0,9,Chemical	PDK1,53,57,Gene_or_gene_product	"[{""token"": ""Ser - 241"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}, {""token"": ""PDK1"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"	train
Two co - existing mechanisms for nuclear import of MAP kinase: passive diffusion of a monomer and active transport of a dimer.	nuclear,33,40,Cellular_component	MAP kinase,51,61,Gene_or_gene_product	"[{""token"": ""nuclear"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cellular_component""}, {""token"": ""MAP kinase"", ""start_span"": 51, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"	train
These results suggest that monomeric and dimeric forms of MAPK enter the nucleus by passive diffusion and active transport mechanisms, respectively.	MAPK,58,62,Gene_or_gene_product	nucleus,73,80,Cellular_component	"[{""token"": ""MAPK"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}, {""token"": ""nucleus"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Cellular_component""}]"	train
P38gamma is a new member of the MAP kinase family, and is expressed at its highest levels in skeletal muscle.	P38gamma,0,8,Gene_or_gene_product	MAP kinase,32,42,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinase"", ""start_span"": 32, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"	train
P38gamma is 63% identical in sequence to P38alpha.	P38gamma,0,8,Gene_or_gene_product	P38alpha,41,49,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""P38alpha"", ""start_span"": 41, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}]"	train
RESULTS: We have determined the structure of doubly phosphorylated P38gamma in complex with an ATP analog by X - ray crystallography.	P38gamma,67,75,Gene_or_gene_product	ATP,95,98,Chemical	"[{""token"": ""P38gamma"", ""start_span"": 67, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATP"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Chemical""}]"	train
The conformation of the activation loop of P38gamma is almost identical to that observed in the structure of activated ERK2.	P38gamma,43,51,Gene_or_gene_product	ERK2,119,123,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK2"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}]"	train
However, unlike ERK2, the crystal structure and solution studies indicate that activated P38gamma exists as a monomer.	ERK2,16,20,Gene_or_gene_product	P38gamma,89,97,Gene_or_gene_product	"[{""token"": ""ERK2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""P38gamma"", ""start_span"": 89, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"	train
CONCLUSIONS: Interactions mediated by phosphoryl - Thr183 induce structural changes that direct the domains and active - site residues of P38gamma into a conformation consistent with catalytic activity.	Thr183,51,57,Chemical	P38gamma,138,146,Gene_or_gene_product	"[{""token"": ""Thr183"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}, {""token"": ""P38gamma"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}]"	train
The conformation of the phosphorylation loop is likely to be similar in all activated MAP kinases, but not all activated MAP kinases form dimers.	MAP kinases,86,97,Gene_or_gene_product	MAP kinases,121,132,Gene_or_gene_product	"[{""token"": ""MAP kinases"", ""start_span"": 86, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinases"", ""start_span"": 121, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}]"	train
Nuclear localisation of Ace2p is restricted to late M and early G phases of the mitotic cell cycle.	Nuclear,0,7,Cellular_component	Ace2p,24,29,Gene_or_gene_product	"[{""token"": ""Nuclear"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Cellular_component""}, {""token"": ""Ace2p"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"	train
We show here that this nuclear localisation is directly associated with regulation of CTS1 expression.	nuclear,23,30,Cellular_component	CTS1,86,90,Gene_or_gene_product	"[{""token"": ""nuclear"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Cellular_component""}, {""token"": ""CTS1"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"	train
The mechanism of localisation of Ace2p therefore involves regulation of its phosphorylation state, and closely resembles that used by the homologous transcription factor Swi5p.	Ace2p,33,38,Gene_or_gene_product	Swi5p,170,175,Gene_or_gene_product	"[{""token"": ""Ace2p"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""Swi5p"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}]"	train
The wild - type Ace2 protein associates with Cdc28p in vivo, suggesting this may be the kinase that mediates the phosphorylation event.	Ace2,16,20,Gene_or_gene_product	Cdc28p,45,51,Gene_or_gene_product	"[{""token"": ""Ace2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc28p"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"	train
The stability of the protein is greatly reduced in a mutant that is constitutively localised to the nucleus, but is restored in a deletion derivative which remains in the cytoplasm.	nucleus,100,107,Cellular_component	cytoplasm,171,180,Cellular_component	"[{""token"": ""nucleus"", ""start_span"": 100, ""end_span"": 107, ""type"": ""Cellular_component""}, {""token"": ""cytoplasm"", ""start_span"": 171, ""end_span"": 180, ""type"": ""Cellular_component""}]"	train
Ace2p is therefore controlled throughout the cell cycle at three levels: transcription, nuclear localisation, and proteolysis.	Ace2p,0,5,Gene_or_gene_product	nuclear,88,95,Cellular_component	"[{""token"": ""Ace2p"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 88, ""end_span"": 95, ""type"": ""Cellular_component""}]"	train
L - mdm2 mRNA contains two upstream open reading frames ( uORFs) and this mRNA was loaded with ribosomes inefficiently in comparison with S - mdm2.	L - mdm2,0,8,Gene_or_gene_product	S - mdm2,138,146,Gene_or_gene_product	"[{""token"": ""L - mdm2"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""S - mdm2"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}]"	train
The transcription factor nuclear factor kappaB ( NF - kappaB) coordinates the activation of numerous genes in response to pathogens and proinflammatory cytokines and is, therefore, pivotal in the development of acute and chronic inflammatory diseases.	nuclear factor kappaB,25,46,Complex	NF - kappaB,49,60,Complex	"[{""token"": ""nuclear factor kappaB"", ""start_span"": 25, ""end_span"": 46, ""type"": ""Complex""}, {""token"": ""NF - kappaB"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Complex""}]"	train
This enables the release and nuclear translocation of the NF - kappaB complex and activation of gene transcription.	nuclear,29,36,Cellular_component	NF - kappaB,58,69,Complex	"[{""token"": ""nuclear"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Cellular_component""}, {""token"": ""NF - kappaB"", ""start_span"": 58, ""end_span"": 69, ""type"": ""Complex""}]"	train
This is the first evidence of an anti - inflammatory protein inhibiting IKK activity and demonstrates that IKK is a logical target for blocking inflammatory diseases.	IKK,72,75,Complex	IKK,107,110,Complex	"[{""token"": ""IKK"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Complex""}, {""token"": ""IKK"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Complex""}]"	train
Both transporters were sodium - dependent and did not transport dehydroascorbic acid.	sodium,23,29,Chemical	dehydroascorbic acid,64,84,Chemical	"[{""token"": ""sodium"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""dehydroascorbic acid"", ""start_span"": 64, ""end_span"": 84, ""type"": ""Chemical""}]"	train
Nevertheless, further biosynthetic steps continued with the addition of the third mannose and the terminal phosphoethanolamine.	mannose,82,89,Chemical	phosphoethanolamine,107,126,Chemical	"[{""token"": ""mannose"", ""start_span"": 82, ""end_span"": 89, ""type"": ""Chemical""}, {""token"": ""phosphoethanolamine"", ""start_span"": 107, ""end_span"": 126, ""type"": ""Chemical""}]"	train
Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A sulfates N - unsubstituted glucosamine residues.	Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A,0,62,Gene_or_gene_product	glucosamine,90,101,Chemical	"[{""token"": ""Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A"", ""start_span"": 0, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}, {""token"": ""glucosamine"", ""start_span"": 90, ""end_span"": 101, ""type"": ""Chemical""}]"	train
In this study, we characterize the substrate specificity of purified 3 - OST - 3A at the tetrasaccharide level.	3 - OST - 3A,69,81,Gene_or_gene_product	tetrasaccharide,89,104,Chemical	"[{""token"": ""3 - OST - 3A"", ""start_span"": 69, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}, {""token"": ""tetrasaccharide"", ""start_span"": 89, ""end_span"": 104, ""type"": ""Chemical""}]"	train
The 3 - OST - 3A enzyme was purified from Sf9 cells infected with recombinant baculovirus containing 3 - OST - 3A cDNA.	3 - OST - 3A,4,16,Gene_or_gene_product	3 - OST - 3A,101,113,Gene_or_gene_product	"[{""token"": ""3 - OST - 3A"", ""start_span"": 4, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""3 - OST - 3A"", ""start_span"": 101, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}]"	train
These tetrasaccharides were analyzed using nitrous acid and enzymatic degradation combined with matrix - assisted laser desorption / ionization - mass spectrometry.	tetrasaccharides,6,22,Chemical	nitrous acid,43,55,Chemical	"[{""token"": ""tetrasaccharides"", ""start_span"": 6, ""end_span"": 22, ""type"": ""Chemical""}, {""token"": ""nitrous acid"", ""start_span"": 43, ""end_span"": 55, ""type"": ""Chemical""}]"	train
Rad6 - dependent ubiquitination of histone H2B in yeast.	Rad6,0,4,Gene_or_gene_product	histone H2B,35,46,Gene_or_gene_product	"[{""token"": ""Rad6"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""histone H2B"", ""start_span"": 35, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"	train
