Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
Oligomerization of the TRAF2 effector domain results in specific binding to MEKK1, a protein kinase capable of JNK, p38, and IKK activation, and induction of TNF - alpha and IL - 1 responsive genes.	TRAF2,23,28,Gene_or_gene_product	MEKK1,76,81,Gene_or_gene_product	JNK,111,114,Gene_or_gene_product	p38,116,119,Gene_or_gene_product	IKK,125,128,Complex	TNF - alpha,158,169,Gene_or_gene_product	IL - 1,174,180,Gene_or_gene_product	"[{""token"": ""TRAF2"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEKK1"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKK"", ""start_span"": 125, ""end_span"": 128, ""type"": ""Complex""}, {""token"": ""TNF - alpha"", ""start_span"": 158, ""end_span"": 169, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 174, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}]"	train
Like LPS, sPGN and LTA bind to the glycosylphosphatidylinositol - anchored membrane protein CD14 and induce activation of the transcription factor NF - kappaB in host cells like macrophages.	LPS,5,8,Chemical	sPGN,10,14,Chemical	LTA,19,22,Chemical	glycosylphosphatidylinositol,35,63,Chemical	membrane,75,83,Cellular_component	CD14,92,96,Gene_or_gene_product	NF - kappaB,147,158,Complex	"[{""token"": ""LPS"", ""start_span"": 5, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""sPGN"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""LTA"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Chemical""}, {""token"": ""glycosylphosphatidylinositol"", ""start_span"": 35, ""end_span"": 63, ""type"": ""Chemical""}, {""token"": ""membrane"", ""start_span"": 75, ""end_span"": 83, ""type"": ""Cellular_component""}, {""token"": ""CD14"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 147, ""end_span"": 158, ""type"": ""Complex""}]"	train
UDP is generated in the lumen of the endoplasmic reticulum ( ER) as a product of the UDP - glucose - dependent glycoprotein reglucosylation in the calnexin / calreticulin cycle.	UDP,0,3,Chemical	lumen,24,29,Cellular_component	endoplasmic reticulum,37,58,Cellular_component	ER,61,63,Cellular_component	UDP - glucose,85,98,Chemical	calnexin,147,155,Gene_or_gene_product	calreticulin,158,170,Gene_or_gene_product	"[{""token"": ""UDP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}, {""token"": ""lumen"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Cellular_component""}, {""token"": ""endoplasmic reticulum"", ""start_span"": 37, ""end_span"": 58, ""type"": ""Cellular_component""}, {""token"": ""ER"", ""start_span"": 61, ""end_span"": 63, ""type"": ""Cellular_component""}, {""token"": ""UDP - glucose"", ""start_span"": 85, ""end_span"": 98, ""type"": ""Chemical""}, {""token"": ""calnexin"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""calreticulin"", ""start_span"": 158, ""end_span"": 170, ""type"": ""Gene_or_gene_product""}]"	train
These results suggest that the docking of Cdc2 - cyclin B1 complexes to the COOH terminus of Myt1 facilitates the phosphorylation of Cdc2 by Myt1 and that overproduction of Myt1 perturbs cell cycle progression by sequestering Cdc2 - cyclin B1 complexes in the cytoplasm.	Cdc2 - cyclin B1,42,58,Complex	Myt1,93,97,Gene_or_gene_product	Cdc2,133,137,Gene_or_gene_product	Myt1,141,145,Gene_or_gene_product	Myt1,173,177,Gene_or_gene_product	Cdc2 - cyclin B1,226,242,Complex	cytoplasm,260,269,Cellular_component	"[{""token"": ""Cdc2 - cyclin B1"", ""start_span"": 42, ""end_span"": 58, ""type"": ""Complex""}, {""token"": ""Myt1"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc2"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}, {""token"": ""Myt1"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""Myt1"", ""start_span"": 173, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc2 - cyclin B1"", ""start_span"": 226, ""end_span"": 242, ""type"": ""Complex""}, {""token"": ""cytoplasm"", ""start_span"": 260, ""end_span"": 269, ""type"": ""Cellular_component""}]"	train
Via yeast two - hybrid screening, we found that A20 binds to a novel protein, ABIN, which mimics the NF - kappaB inhibiting effects of A20 upon overexpression, suggesting that the effect of A20 is mediated by its interaction with this NF - kappaB inhibiting protein, ABIN.	A20,48,51,Gene_or_gene_product	ABIN,78,82,Gene_or_gene_product	NF - kappaB,101,112,Complex	A20,135,138,Gene_or_gene_product	A20,190,193,Gene_or_gene_product	NF - kappaB,235,246,Complex	ABIN,267,271,Gene_or_gene_product	"[{""token"": ""A20"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""ABIN"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Complex""}, {""token"": ""A20"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Gene_or_gene_product""}, {""token"": ""A20"", ""start_span"": 190, ""end_span"": 193, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 235, ""end_span"": 246, ""type"": ""Complex""}, {""token"": ""ABIN"", ""start_span"": 267, ""end_span"": 271, ""type"": ""Gene_or_gene_product""}]"	train
Genetic epistasis analyses, the phosphorylation of Pkc1 by Pkh2 in vitro, and reduced Pkc1 activity in the pkh1 ( D398G) pkh2 mutant indicate that Pkh functions upstream of Pkc1.	Pkc1,51,55,Gene_or_gene_product	Pkh2,59,63,Gene_or_gene_product	Pkc1,86,90,Gene_or_gene_product	pkh1,107,111,Gene_or_gene_product	pkh2,121,125,Gene_or_gene_product	Pkh,147,150,Gene_or_gene_product	Pkc1,173,177,Gene_or_gene_product	"[{""token"": ""Pkc1"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pkh2"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pkc1"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""pkh1"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Gene_or_gene_product""}, {""token"": ""pkh2"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pkh"", ""start_span"": 147, ""end_span"": 150, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pkc1"", ""start_span"": 173, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}]"	train
An inhibitor of GPI biosynthesis, YW3548 / BE49385A, inhibited transfer of phosphoethanolamine to the first mannose in mammalian cells but only slightly affected the surface expression of GPI - anchored proteins.	GPI,16,19,Chemical	YW3548,34,40,Chemical	BE49385A,43,51,Chemical	phosphoethanolamine,75,94,Chemical	mannose,108,115,Chemical	surface,166,173,Cellular_component	GPI,188,191,Chemical	"[{""token"": ""GPI"", ""start_span"": 16, ""end_span"": 19, ""type"": ""Chemical""}, {""token"": ""YW3548"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Chemical""}, {""token"": ""BE49385A"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Chemical""}, {""token"": ""phosphoethanolamine"", ""start_span"": 75, ""end_span"": 94, ""type"": ""Chemical""}, {""token"": ""mannose"", ""start_span"": 108, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""surface"", ""start_span"": 166, ""end_span"": 173, ""type"": ""Cellular_component""}, {""token"": ""GPI"", ""start_span"": 188, ""end_span"": 191, ""type"": ""Chemical""}]"	train
However, the heparan sulfates modified by 3 - OST - 2 and 3 - OST - 3A, isoforms of 3 - OST - 1, do not have anticoagulant activity, although these isoforms transfer sulfate to the 3 - OH position of glucosamine residues.	heparan sulfates,13,29,Chemical	3 - OST - 2,42,53,Gene_or_gene_product	3 - OST - 3A,58,70,Gene_or_gene_product	3 - OST - 1,84,95,Gene_or_gene_product	sulfate,166,173,Chemical	3 - OH,181,187,Chemical	glucosamine,200,211,Chemical	"[{""token"": ""heparan sulfates"", ""start_span"": 13, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""3 - OST - 2"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""3 - OST - 3A"", ""start_span"": 58, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""3 - OST - 1"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""sulfate"", ""start_span"": 166, ""end_span"": 173, ""type"": ""Chemical""}, {""token"": ""3 - OH"", ""start_span"": 181, ""end_span"": 187, ""type"": ""Chemical""}, {""token"": ""glucosamine"", ""start_span"": 200, ""end_span"": 211, ""type"": ""Chemical""}]"	train
We have examined the issue of whether or not in the osteoblast - like clonal cell line MC3T3 - E1 there may be observed an insulin - like growth factor - I - ( IGF - I) and platelet - derived growth factor - ( PDGF) dependent nuclear translocation of an active Akt / PKB.	insulin - like growth factor - I,123,155,Gene_or_gene_product	IGF - I,160,167,Gene_or_gene_product	platelet - derived growth factor -,173,207,Gene_or_gene_product	PDGF,210,214,Gene_or_gene_product	nuclear,226,233,Cellular_component	Akt,261,264,Gene_or_gene_product	PKB,267,270,Gene_or_gene_product	"[{""token"": ""insulin - like growth factor - I"", ""start_span"": 123, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""IGF - I"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}, {""token"": ""platelet - derived growth factor -"", ""start_span"": 173, ""end_span"": 207, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDGF"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 226, ""end_span"": 233, ""type"": ""Cellular_component""}, {""token"": ""Akt"", ""start_span"": 261, ""end_span"": 264, ""type"": ""Gene_or_gene_product""}, {""token"": ""PKB"", ""start_span"": 267, ""end_span"": 270, ""type"": ""Gene_or_gene_product""}]"	train
However, expression of Myc - tagged eEF - 2K in HEK 293 cells, followed by treatment with chlorophenylthio - cAMP ( CPT - cAMP), showed that Ser - 499 phosphorylation alone induced Ca ( 2 +) / CaM - independent eEF - 2K activity in cells.	Myc,23,26,Gene_or_gene_product	eEF - 2K,36,44,Gene_or_gene_product	chlorophenylthio - cAMP,90,113,Chemical	CPT - cAMP,116,126,Chemical	Ser - 499,141,150,Chemical	CaM,193,196,Gene_or_gene_product	eEF - 2K,211,219,Gene_or_gene_product	"[{""token"": ""Myc"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}, {""token"": ""eEF - 2K"", ""start_span"": 36, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""chlorophenylthio - cAMP"", ""start_span"": 90, ""end_span"": 113, ""type"": ""Chemical""}, {""token"": ""CPT - cAMP"", ""start_span"": 116, ""end_span"": 126, ""type"": ""Chemical""}, {""token"": ""Ser - 499"", ""start_span"": 141, ""end_span"": 150, ""type"": ""Chemical""}, {""token"": ""CaM"", ""start_span"": 193, ""end_span"": 196, ""type"": ""Gene_or_gene_product""}, {""token"": ""eEF - 2K"", ""start_span"": 211, ""end_span"": 219, ""type"": ""Gene_or_gene_product""}]"	train
