We have investigated the role of protein phosphorylation in regulation of Saccharomyces cerevisiae kinetochores.	"kinetochores	99	111	Cellular_component"	"[{""token"": ""kinetochores"", ""start_span"": 99, ""end_span"": 111, ""type"": ""Cellular_component""}]"
Human placental Na + - dependent multivitamin transporter.	"Na + - dependent multivitamin transporter	16	57	Gene_or_gene_product"	"[{""token"": ""Na + - dependent multivitamin transporter"", ""start_span"": 16, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Cloning, functional expression, gene structure, and chromosomal localization.	"chromosomal	52	63	Cellular_component"	"[{""token"": ""chromosomal"", ""start_span"": 52, ""end_span"": 63, ""type"": ""Cellular_component""}]"
The cDNA codes for a protein of 635 amino acids with 12 transmembrane domains and 4 putative sites for N - linked glycosylation.	"transmembrane	56	69	Cellular_component"	"[{""token"": ""transmembrane"", ""start_span"": 56, ""end_span"": 69, ""type"": ""Cellular_component""}]"
The human SMVT exhibits a high degree of homology ( 84% identity and 89% similarity) to the rat counterpart.	"SMVT	10	14	Gene_or_gene_product"	"[{""token"": ""SMVT"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}]"
The SMVT gene is approximately 14 kilobase pairs in length and consists of 17 exons.	"SMVT	4	8	Gene_or_gene_product"	"[{""token"": ""SMVT"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
However, with western blotting, only aldose reductase was immunologically detectable.	"aldose reductase	37	53	Gene_or_gene_product"	"[{""token"": ""aldose reductase"", ""start_span"": 37, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
There was no correlation between the selectivity of inhibitors and effects on NE metabolite levels.	"NE	78	80	Chemical"	"[{""token"": ""NE"", ""start_span"": 78, ""end_span"": 80, ""type"": ""Chemical""}]"
Phosphorylation of deoxycytidine analogs by cellular enzymes is a prerequisite for the activity of these compounds.	"deoxycytidine	19	32	Chemical"	"[{""token"": ""deoxycytidine"", ""start_span"": 19, ""end_span"": 32, ""type"": ""Chemical""}]"
We cloned the cDNA of this enzyme to enable characterization of the recombinant protein, determine its expression in different tissues, and determine the chromosome location of the gene.	"chromosome	154	164	Cellular_component"	"[{""token"": ""chromosome"", ""start_span"": 154, ""end_span"": 164, ""type"": ""Cellular_component""}]"
Northern blot analysis showed that the UMP - CMP kinase mRNA was ubiquitously present in human tissues as a 3. 9 - kb transcript with highest levels in pancreas, skeletal muscle, and liver.	"UMP - CMP kinase	39	55	Gene_or_gene_product"	"[{""token"": ""UMP - CMP kinase"", ""start_span"": 39, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}]"
The human UMP - CMP kinase gene was localized to chromosome 1p34. 1 - 1p33 by radiation hybrid analysis.	"UMP - CMP kinase	10	26	Gene_or_gene_product"	"[{""token"": ""UMP - CMP kinase"", ""start_span"": 10, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
In the budding yeast Saccharomyces cerevisiae, the G ( 2) - to - M transition requires activation of Clb - bound forms of the protein kinase, Cdc28.	"Cdc28	142	147	Gene_or_gene_product"	"[{""token"": ""Cdc28"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}]"
Hsl1 is a large ( 1, 518 - residue) protein kinase with an N - terminal catalytic domain and a very long C - terminal extension.	"Hsl1	0	4	Gene_or_gene_product"	"[{""token"": ""Hsl1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Second, PKC activity and localization are regulated by direct interaction with different types of interacting proteins.	"PKC	8	11	Gene_or_gene_product"	"[{""token"": ""PKC"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}]"
Identification of a central phosphorylation site in p21 - activated kinase regulating autoinhibition and kinase activity.	"p21 - activated kinase	52	74	Gene_or_gene_product"	"[{""token"": ""p21 - activated kinase"", ""start_span"": 52, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
The mechanism of Pak activation by these agents remains unclear.	"Pak	17	20	Gene_or_gene_product"	"[{""token"": ""Pak"", ""start_span"": 17, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
We present biochemical evidence that an autoinhibitory domain ( ID) contained within amino acid residues 67 - 150 of Pak1 interacts with the carboxyl - terminal kinase domain and that this interaction is regulated in a GTPase - dependent fashion.	"Pak1	117	121	Gene_or_gene_product"	"[{""token"": ""Pak1"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}]"
We identified phospho - acceptor site threonine 423 in the kinase activation loop as a critical determinant for the sensitivity to autoinhibition and enzymatic activity.	"threonine 423	38	51	Chemical"	"[{""token"": ""threonine 423"", ""start_span"": 38, ""end_span"": 51, ""type"": ""Chemical""}]"
Phosphorylation studies suggested that the stimulatory effect of both GTPase and sphingosine results in exposure of the activation loop, making it accessible for intermolecular phosphorylation.	"sphingosine	81	92	Chemical"	"[{""token"": ""sphingosine"", ""start_span"": 81, ""end_span"": 92, ""type"": ""Chemical""}]"
Loss of imprinting and elevated expression of wild - type p73 in human gastric adenocarcinoma.	"p73	58	61	Gene_or_gene_product"	"[{""token"": ""p73"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Furthermore, a tumor - specific increase of p73 was identified in 14 of 16 ( 87. 5%) matched sets.	"p73	44	47	Gene_or_gene_product"	"[{""token"": ""p73"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
Allelotyping analysis using a StyI or BanI polymorphism revealed that 5 of 21 ( 23. 8%) informative carcinomas, but none of 19 noncancerous cases, express p73 biallelically, suggesting the transcriptional activation of a silent allele in a subset of cancers.	"p73	155	158	Gene_or_gene_product"	"[{""token"": ""p73"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}]"
Whereas the transcription of an active allele was markedly induced by serum starvation or clump formation of the cells, treatment with 5 - aza - 2 ' deoxycytidine activated a silent allele with a subsequent up - regulation of an active allele, supporting the genomic imprinting and autoregulation of the gene.	"5 - aza - 2 ' deoxycytidine	135	162	Chemical"	"[{""token"": ""5 - aza - 2 ' deoxycytidine"", ""start_span"": 135, ""end_span"": 162, ""type"": ""Chemical""}]"
The human cytochrome c ( 1) promoter is strongly activated in transfected Drosophila SL2 cells expressing exogenous human E2F1.	"E2F1	122	126	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"
Deletion of either region prevents E2F1 activation in transfected SL2 cells, suggesting a co - operative interaction between them.	"E2F1	35	39	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
Far1 is a bifunctional protein that is required to arrest the cell cycle and establish cell polarity during yeast mating.	"Far1	0	4	Gene_or_gene_product"	"[{""token"": ""Far1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Our results illustrate the importance of subcellular localization of F - box proteins, and provide an example of how an extracellular signal regulates protein stability at the level of substrate localization.	"subcellular	41	52	Cellular_component"	"[{""token"": ""subcellular"", ""start_span"": 41, ""end_span"": 52, ""type"": ""Cellular_component""}]"
Evidence for an accessory protein function for Toll - like receptor 1 in anti - bacterial responses.	"Toll - like receptor 1	47	69	Gene_or_gene_product"	"[{""token"": ""Toll - like receptor 1"", ""start_span"": 47, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
TLR1 is expressed by monocytes, as demonstrated using a novel mAb.	"TLR1	0	4	Gene_or_gene_product"	"[{""token"": ""TLR1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Monocytes also express TLR2.	"TLR2	23	27	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
This phenomenon was also seen with high concentrations of some preparations of LPS.	"LPS	79	82	Chemical"	"[{""token"": ""LPS"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Chemical""}]"
GPI - MT - I, however, has not been molecularly characterized.	"GPI - MT - I	0	12	Gene_or_gene_product"	"[{""token"": ""GPI - MT - I"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}]"
Human neuron - committed teratocarcinoma NT2 cell line has abnormal ND10 structures and is poorly infected by herpes simplex virus type 1.	"ND10 structures	68	83	Cellular_component"	"[{""token"": ""ND10 structures"", ""start_span"": 68, ""end_span"": 83, ""type"": ""Cellular_component""}]"
Herpes simplex virus type 1 ( HSV - 1) immediate - early regulatory protein ICP0 stimulates the initiation of lytic infection and reactivation from quiescence in human fibroblast cells.	"immediate - early regulatory protein ICP0	39	80	Gene_or_gene_product"	"[{""token"": ""immediate - early regulatory protein ICP0"", ""start_span"": 39, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
Furthermore, the ability of ICP0 to activate gene expression in transfection assays in NT2 cells was poor compared to Vero cells.	"ICP0	28	32	Gene_or_gene_product"	"[{""token"": ""ICP0"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
These results suggest that a contributory factor in the reduced HSV - 1 replication in the neuron - related cells is inefficient ICP0 function; it is possible that this is pertinent to the establishment of latent infection in neurons in vivo.	"ICP0	129	133	Gene_or_gene_product"	"[{""token"": ""ICP0"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}]"
Polyamine depletion induces rapid NF - kappa B activation in IEC - 6 cells.	"NF - kappa B	34	46	Complex"	"[{""token"": ""NF - kappa B"", ""start_span"": 34, ""end_span"": 46, ""type"": ""Complex""}]"
ODC inhibition leads to polyamine depletion, as well as inhibition of both cell proliferation and apoptosis by regulating gene expression.	"ODC	0	3	Gene_or_gene_product"	"[{""token"": ""ODC"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The NF - kappa B transcription factor regulates genes involved in apoptotic, immune, and inflammatory responses.	"NF - kappa B	4	16	Complex"	"[{""token"": ""NF - kappa B"", ""start_span"": 4, ""end_span"": 16, ""type"": ""Complex""}]"
The function of pocket proteins is in part mediated by their ability to inhibit specific E2F transcription factors.	"E2F	89	92	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Gene_or_gene_product""}]"
Moreover, an additional functional NLS was mapped within the unique Loop region of p130.	"p130	83	87	Gene_or_gene_product"	"[{""token"": ""p130"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}]"
An N - terminal domain that conferred cytoplasmic localization was identified.	"cytoplasmic	38	49	Cellular_component"	"[{""token"": ""cytoplasmic"", ""start_span"": 38, ""end_span"": 49, ""type"": ""Cellular_component""}]"
Although several replication proteins are phosphorylated in a Cdk - dependent manner, the biological effects of phosphorylation of these proteins on the activation of DNA replication have not been elucidated.	"Cdk	62	65	Gene_or_gene_product"	"[{""token"": ""Cdk"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}]"
The enzymatic activity of Sir2 is not required for this initial binding, but is required for the association of silencing proteins with regions distal from nucleation sites.	"Sir2	26	30	Gene_or_gene_product"	"[{""token"": ""Sir2"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Together, these results support a stepwise model for the assembly of silent chromatin domains in Saccharomyces cerevisiae.	"chromatin	76	85	Cellular_component"	"[{""token"": ""chromatin"", ""start_span"": 76, ""end_span"": 85, ""type"": ""Cellular_component""}]"
Mice with inactivated glycogen synthase kinase ( GSK) - 3beta die from hepatocyte apoptosis during development due to a defect in NF - kappaB activation ( Hoeflich KP, Luo J, Rubie EA, Tsao MS, Jin O, and Woodgett JR. Nature 406: 86 - 90, 2000).	"NF - kappaB	130	141	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Complex""}]"
We describe two functionally distinct TOR complexes.	"TOR	38	41	Gene_or_gene_product"	"[{""token"": ""TOR"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
Summary and comparison of the signaling mechanisms of the Toll / interleukin - 1 receptor family.	"Toll / interleukin - 1 receptor	58	89	Gene_or_gene_product"	"[{""token"": ""Toll / interleukin - 1 receptor"", ""start_span"": 58, ""end_span"": 89, ""type"": ""Gene_or_gene_product""}]"
Subsequently, several central signaling pathways are activated in parallel, the activation of NFkappaB being the most prominent event of the inflammatory response.	"NFkappaB	94	102	Complex"	"[{""token"": ""NFkappaB"", ""start_span"": 94, ""end_span"": 102, ""type"": ""Complex""}]"
Subtle differences in TLR signaling pathways are now becoming apparent, which reveal how the innate immune system decides at a very early stage the direction in which the adaptive immune response will develop.	"TLR	22	25	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
Cloning and expression of the human N - acetylglutamate synthase gene.	"N - acetylglutamate synthase	36	64	Gene_or_gene_product"	"[{""token"": ""N - acetylglutamate synthase"", ""start_span"": 36, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
The NAGS gene is expressed in the liver and small intestine; the intestinal transcript is smaller in size than liver transcript.	"NAGS	4	8	Gene_or_gene_product"	"[{""token"": ""NAGS"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Although capable of transesterification reactions, these heterocyclic esters are exceptionally stable toward exchange reactions in solution.	"heterocyclic esters	57	76	Chemical"	"[{""token"": ""heterocyclic esters"", ""start_span"": 57, ""end_span"": 76, ""type"": ""Chemical""}]"
This reaction thus seems promising for single - site osmium labeling in polynucleotides.	"osmium	53	59	Chemical"	"[{""token"": ""osmium"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Chemical""}]"
Human claspin is required for replication checkpoint control.	"claspin	6	13	Gene_or_gene_product"	"[{""token"": ""claspin"", ""start_span"": 6, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
In the present study we investigated the role of human Claspin in the DNA damage / replication checkpoint in mammalian cells.	"Claspin	55	62	Gene_or_gene_product"	"[{""token"": ""Claspin"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
We observed that human Claspin is a cell cycle regulated protein that peaks at S / G2 phase.	"Claspin	23	30	Gene_or_gene_product"	"[{""token"": ""Claspin"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Taken together, these data imply a potentially critical role for Claspin in replication checkpoint control in mammalian cells.	"Claspin	65	72	Gene_or_gene_product"	"[{""token"": ""Claspin"", ""start_span"": 65, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}]"
Caspases are activated using mechanisms of oligomeration and ' self - controlled proteolysis '.	"Caspases	0	8	Gene_or_gene_product"	"[{""token"": ""Caspases"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Activated caspases then cleaved target substrates.	"caspases	10	18	Gene_or_gene_product"	"[{""token"": ""caspases"", ""start_span"": 10, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
To date, more than 70 proteins have been identified to be substrates of caspases in mammalian cells.	"caspases	72	80	Gene_or_gene_product"	"[{""token"": ""caspases"", ""start_span"": 72, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}]"
Wnt signaling plays an important role in both oncogenesis and development.	"Wnt	0	3	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Although the key molecules required for transducing a Wnt signal have been identified, a quantitative understanding of this pathway has been lacking.	"Wnt	54	57	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
We predict several unusual features of the Wnt pathway, some of which we tested experimentally.	"Wnt	43	46	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
By applying control analysis to our mathematical model, we demonstrate the modular design, sensitivity, and robustness of the Wnt pathway and derive an explicit expression for tumor suppression and oncogenicity.	"Wnt	126	129	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}]"
It was associated with transcriptional activation of MDM2 and signs of apoptosis.	"MDM2	53	57	Gene_or_gene_product"	"[{""token"": ""MDM2"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Furthermore, small EAF, elicited by low doses of DEN, were preferentially localized to midzonal areas.	"DEN	49	52	Chemical"	"[{""token"": ""DEN"", ""start_span"": 49, ""end_span"": 52, ""type"": ""Chemical""}]"
Our results indicate the existence of posttranscriptional mechanisms of regulation of DSPs in yeast and provide new insights into the negative control of the cell integrity pathway.	"DSPs	86	90	Gene_or_gene_product"	"[{""token"": ""DSPs"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
E2F proteins can either activate or repress transcription.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Target gene activation and S - phase entry were also blocked by DN E2F1.	"E2F1	67	71	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
TopBP1 is also known as a DNA damage response protein.	"TopBP1	0	6	Gene_or_gene_product"	"[{""token"": ""TopBP1"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
These studies suggest that Rb acts as a link between apoptotic and proliferative pathways by interacting with distinct kinases and occupying different promoters.	"Rb	27	29	Gene_or_gene_product"	"[{""token"": ""Rb"", ""start_span"": 27, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
A role for E2F6 in the restriction of male - germ - cell - specific gene expression.	"E2F6	11	15	Gene_or_gene_product"	"[{""token"": ""E2F6"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
