We also report here on the structural organization and chromosomal localization of the human SMVT gene.	"chromosomal	55	66	Cellular_component"	"SMVT	93	97	Gene_or_gene_product"	"[{""token"": ""chromosomal"", ""start_span"": 55, ""end_span"": 66, ""type"": ""Cellular_component""}, {""token"": ""SMVT"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
The SMVT gene is located on chromosome 2p23 as evidenced by somatic cell hybrid analysis and fluorescence in situ hybridization.	"SMVT	4	8	Gene_or_gene_product"	"chromosome 2p23	28	43	Cellular_component"	"[{""token"": ""SMVT"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""chromosome 2p23"", ""start_span"": 28, ""end_span"": 43, ""type"": ""Cellular_component""}]"
Aldose reductase, a key enzyme in the oxidative deamination of norepinephrine in rats.	"Aldose reductase	0	16	Gene_or_gene_product"	"norepinephrine	63	77	Chemical"	"[{""token"": ""Aldose reductase"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""norepinephrine"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Chemical""}]"
With northern blotting, the expression of both aldose reductase and aldehyde reductase was detected in rat superior cervical ganglia.	"aldose reductase	47	63	Gene_or_gene_product"	"aldehyde reductase	68	86	Gene_or_gene_product"	"[{""token"": ""aldose reductase"", ""start_span"": 47, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""aldehyde reductase"", ""start_span"": 68, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
Treatment of rats with aldose reductase inhibitors for 3 days increased the plasma level of DHMA.	"aldose reductase	23	39	Gene_or_gene_product"	"DHMA	92	96	Chemical"	"[{""token"": ""aldose reductase"", ""start_span"": 23, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""DHMA"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Chemical""}]"
A significant decrease in DHPG, however, was obtained only with an extremely high dose ( 9 mg / kg / day) of the nonselective inhibitor AL 1576.	"DHPG	26	30	Chemical"	"AL 1576	136	143	Chemical"	"[{""token"": ""DHPG"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Chemical""}, {""token"": ""AL 1576"", ""start_span"": 136, ""end_span"": 143, ""type"": ""Chemical""}]"
Successful mitosis requires faithful DNA replication, spindle assembly, chromosome segregation, and cell division.	"spindle	54	61	Cellular_component"	"chromosome	72	82	Cellular_component"	"[{""token"": ""spindle"", ""start_span"": 54, ""end_span"": 61, ""type"": ""Cellular_component""}, {""token"": ""chromosome"", ""start_span"": 72, ""end_span"": 82, ""type"": ""Cellular_component""}]"
New insights into the regulation of protein kinase C and novel phorbol ester receptors.	"protein kinase C	36	52	Gene_or_gene_product"	"phorbol ester	63	76	Chemical"	"[{""token"": ""protein kinase C"", ""start_span"": 36, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}, {""token"": ""phorbol ester"", ""start_span"": 63, ""end_span"": 76, ""type"": ""Chemical""}]"
Protein - protein interactions are now recognized as important mechanisms that target individual PKCs to different intracellular compartments and confer selectivity by associating individual isozymes with specific substrates.	"PKCs	97	101	Gene_or_gene_product"	"intracellular compartments	115	141	Cellular_component"	"[{""token"": ""PKCs"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""intracellular compartments"", ""start_span"": 115, ""end_span"": 141, ""type"": ""Cellular_component""}]"
To investigate in vivo roles of TLR2, we generated TLR2 - deficient mice.	"TLR2	32	36	Gene_or_gene_product"	"TLR2	51	55	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}]"
