glc7 - 10 mutant cells exhibit low kinetochore - microtubule binding activity in vitro and a high frequency of chromosome loss in vivo.	"glc7 - 10	0	9	Gene_or_gene_product"	"kinetochore	35	46	Cellular_component"	"microtubule	49	60	Cellular_component"	"chromosome	111	121	Cellular_component"	"[{""token"": ""glc7 - 10"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}, {""token"": ""kinetochore"", ""start_span"": 35, ""end_span"": 46, ""type"": ""Cellular_component""}, {""token"": ""microtubule"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Cellular_component""}, {""token"": ""chromosome"", ""start_span"": 111, ""end_span"": 121, ""type"": ""Cellular_component""}]"
When expressed in HRPE cells, the cDNA - induced transport process is obligatorily dependent on Na + and accepts pantothenate, biotin, and lipoate as substrates.	"Na +	96	100	Chemical"	"pantothenate	113	125	Chemical"	"biotin	127	133	Chemical"	"lipoate	139	146	Chemical"	"[{""token"": ""Na +"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""pantothenate"", ""start_span"": 113, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 127, ""end_span"": 133, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Chemical""}]"
The relationship between the cDNA - specific uptake rate of pantothenate or biotin and Na + concentration is sigmoidal with a Na +: vitamin stoichiometry of 2: 1.	"pantothenate	60	72	Chemical"	"biotin	76	82	Chemical"	"Na +	87	91	Chemical"	"Na +	126	130	Chemical"	"[{""token"": ""pantothenate"", ""start_span"": 60, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Chemical""}]"
In this study, we investigated the relative importance of aldose reductase versus aldehyde reductase in the formation of DHPG from DHMAL.	"aldose reductase	58	74	Gene_or_gene_product"	"aldehyde reductase	82	100	Gene_or_gene_product"	"DHPG	121	125	Chemical"	"DHMAL	131	136	Chemical"	"[{""token"": ""aldose reductase"", ""start_span"": 58, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""aldehyde reductase"", ""start_span"": 82, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""DHPG"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""DHMAL"", ""start_span"": 131, ""end_span"": 136, ""type"": ""Chemical""}]"
The present study confirmed that aldose reductase generates DHPG from NE in the presence of MAO.	"aldose reductase	33	49	Gene_or_gene_product"	"DHPG	60	64	Chemical"	"NE	70	72	Chemical"	"MAO	92	95	Gene_or_gene_product"	"[{""token"": ""aldose reductase"", ""start_span"": 33, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}, {""token"": ""DHPG"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Chemical""}, {""token"": ""NE"", ""start_span"": 70, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""MAO"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}]"
However, when aldose reductase is inhibited, it appears that aldehyde reductase can compensate for the conversion of DHMAL to DHPG, indicating redundancy in the reduction pathway.	"aldose reductase	14	30	Gene_or_gene_product"	"aldehyde reductase	61	79	Gene_or_gene_product"	"DHMAL	117	122	Chemical"	"DHPG	126	130	Chemical"	"[{""token"": ""aldose reductase"", ""start_span"": 14, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""aldehyde reductase"", ""start_span"": 61, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""DHMAL"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""DHPG"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Chemical""}]"
We further expressed the UMP - CMP kinase as a fusion protein to the green fluorescent protein in Chinese hamster ovary cells, and showed that the fusion protein was located in the cytosol and nucleus.	"UMP - CMP kinase	25	41	Gene_or_gene_product"	"green fluorescent protein	69	94	Gene_or_gene_product"	"cytosol	181	188	Cellular_component"	"nucleus	193	200	Cellular_component"	"[{""token"": ""UMP - CMP kinase"", ""start_span"": 25, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""green fluorescent protein"", ""start_span"": 69, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytosol"", ""start_span"": 181, ""end_span"": 188, ""type"": ""Cellular_component""}, {""token"": ""nucleus"", ""start_span"": 193, ""end_span"": 200, ""type"": ""Cellular_component""}]"
Hsl7 localizes to a septin ring and serves as an adapter in a regulatory pathway that relieves tyrosine phosphorylation of Cdc28 protein kinase in Saccharomyces cerevisiae.	"Hsl7	0	4	Gene_or_gene_product"	"septin	20	26	Gene_or_gene_product"	"tyrosine	95	103	Chemical"	"Cdc28	123	128	Gene_or_gene_product"	"[{""token"": ""Hsl7"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""septin"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}, {""token"": ""tyrosine"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Chemical""}, {""token"": ""Cdc28"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}]"
These complexes are held in an inactive state via phosphorylation of Tyr19 in the ATP - binding loop of Cdc28 by the Swe1 protein kinase.	"Tyr19	69	74	Chemical"	"ATP	82	85	Chemical"	"Cdc28	104	109	Gene_or_gene_product"	"Swe1	117	121	Gene_or_gene_product"	"[{""token"": ""Tyr19"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""ATP"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Chemical""}, {""token"": ""Cdc28"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}, {""token"": ""Swe1"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}]"
Hsl1 localizes to the incipient site of cytokinesis in the bud neck in a septin - dependent manner; however, the function of Hsl7 was not previously known.	"Hsl1	0	4	Gene_or_gene_product"	"bud neck	59	67	Cellular_component"	"septin	73	79	Gene_or_gene_product"	"Hsl7	125	129	Gene_or_gene_product"	"[{""token"": ""Hsl1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""bud neck"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Cellular_component""}, {""token"": ""septin"", ""start_span"": 73, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl7"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}]"
Last, the discovery of novel phorbol ester receptors lacking kinase activity allows us to speculate that some of the biological responses elicited by phorbol esters or by activation of receptors coupled to elevation in DAG levels could be mediated by PKC - independent pathways.	"phorbol ester	29	42	Chemical"	"phorbol esters	150	164	Chemical"	"DAG	219	222	Chemical"	"PKC	251	254	Gene_or_gene_product"	"[{""token"": ""phorbol ester"", ""start_span"": 29, ""end_span"": 42, ""type"": ""Chemical""}, {""token"": ""phorbol esters"", ""start_span"": 150, ""end_span"": 164, ""type"": ""Chemical""}, {""token"": ""DAG"", ""start_span"": 219, ""end_span"": 222, ""type"": ""Chemical""}, {""token"": ""PKC"", ""start_span"": 251, ""end_span"": 254, ""type"": ""Gene_or_gene_product""}]"
Toll - like receptor ( TLR) 2 and TLR4 are implicated in the recognition of various bacterial cell wall components, such as lipopolysaccharide ( LPS).	"TLR4	34	38	Gene_or_gene_product"	"cell wall	94	103	Cellular_component"	"lipopolysaccharide	124	142	Chemical"	"LPS	145	148	Chemical"	"[{""token"": ""TLR4"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell wall"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Cellular_component""}, {""token"": ""lipopolysaccharide"", ""start_span"": 124, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Chemical""}]"
In contrast to LPS unresponsiveness in TLR4 - deficient mice, TLR2 - deficient mice responded to LPS to the same extent as wild - type mice.	"LPS	15	18	Chemical"	"TLR4	39	43	Gene_or_gene_product"	"TLR2	62	66	Gene_or_gene_product"	"LPS	97	100	Chemical"	"[{""token"": ""LPS"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""TLR4"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""LPS"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Chemical""}]"
These results demonstrate that TLR2 and TLR4 recognize different bacterial cell wall components in vivo and TLR2 plays a major role in Gram - positive bacterial recognition.	"TLR2	31	35	Gene_or_gene_product"	"TLR4	40	44	Gene_or_gene_product"	"cell wall	75	84	Cellular_component"	"TLR2	108	112	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell wall"", ""start_span"": 75, ""end_span"": 84, ""type"": ""Cellular_component""}, {""token"": ""TLR2"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
Here we show that SCF ( Cdc4) ubiquitylates Far1 in the nucleus, which in turn targets the multi - ubiquitylated protein to 26S proteasomes most likely located at the nuclear envelope.	"Far1	44	48	Gene_or_gene_product"	"nucleus	56	63	Cellular_component"	"26S proteasomes	124	139	Cellular_component"	"nuclear envelope	167	183	Cellular_component"	"[{""token"": ""Far1"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""nucleus"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Cellular_component""}, {""token"": ""26S proteasomes"", ""start_span"": 124, ""end_span"": 139, ""type"": ""Cellular_component""}, {""token"": ""nuclear envelope"", ""start_span"": 167, ""end_span"": 183, ""type"": ""Cellular_component""}]"
In response to mating pheromones, a fraction of Far1 was stabilized after its export into the cytoplasm by Ste21 / Msn5.	"Far1	48	52	Gene_or_gene_product"	"cytoplasm	94	103	Cellular_component"	"Ste21	107	112	Gene_or_gene_product"	"Msn5	115	119	Gene_or_gene_product"	"[{""token"": ""Far1"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytoplasm"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Cellular_component""}, {""token"": ""Ste21"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""Msn5"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}]"
