Specifically, the Ndc10p component of the centromere DNA - binding CBF3 complex is altered by the glc7 - 10 mutation; Ndc10p is hyperphosphorylated in glc7 - 10 extracts.	"Ndc10p	18	24	Gene_or_gene_product"	"CBF3	67	71	Complex"	"glc7 - 10	98	107	Gene_or_gene_product"	"Ndc10p	118	124	Gene_or_gene_product"	"glc7 - 10	151	160	Gene_or_gene_product"	"[{""token"": ""Ndc10p"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""CBF3"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Complex""}, {""token"": ""glc7 - 10"", ""start_span"": 98, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ndc10p"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""glc7 - 10"", ""start_span"": 151, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}]"
We have cloned the human Na + - dependent multivitamin transporter ( SMVT), which transports the water - soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line ( JAR).	"Na + - dependent multivitamin transporter	25	66	Gene_or_gene_product"	"SMVT	69	73	Gene_or_gene_product"	"pantothenate	122	134	Chemical"	"biotin	136	142	Chemical"	"lipoate	148	155	Chemical"	"[{""token"": ""Na + - dependent multivitamin transporter"", ""start_span"": 25, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""SMVT"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""pantothenate"", ""start_span"": 122, ""end_span"": 134, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 136, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 148, ""end_span"": 155, ""type"": ""Chemical""}]"
The human SMVT, when expressed in Xenopus laevis oocytes, induces inward currents in the presence of pantothenate, biotin, and lipoate in a Na + -, concentration -, and potential - dependent manner.	"SMVT	10	14	Gene_or_gene_product"	"pantothenate	101	113	Chemical"	"biotin	115	121	Chemical"	"lipoate	127	134	Chemical"	"Na +	140	144	Chemical"	"[{""token"": ""SMVT"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}, {""token"": ""pantothenate"", ""start_span"": 101, ""end_span"": 113, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 115, ""end_span"": 121, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 127, ""end_span"": 134, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Chemical""}]"
The sympathoneural neurotransmitter norepinephrine ( NE) is deaminated to 3, 4 - dihydroxymandelaldehyde ( DHMAL) and subsequently converted to either 3, 4 - dihydroxymandelic acid ( DHMA) or 3, 4 - dihydroxyphenylglycol ( DHPG).	"norepinephrine	36	50	Chemical"	"NE	53	55	Chemical"	"DHMAL	107	112	Chemical"	"DHMA	183	187	Chemical"	"DHPG	223	227	Chemical"	"[{""token"": ""norepinephrine"", ""start_span"": 36, ""end_span"": 50, ""type"": ""Chemical""}, {""token"": ""NE"", ""start_span"": 53, ""end_span"": 55, ""type"": ""Chemical""}, {""token"": ""DHMAL"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Chemical""}, {""token"": ""DHMA"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Chemical""}, {""token"": ""DHPG"", ""start_span"": 223, ""end_span"": 227, ""type"": ""Chemical""}]"
The in vitro incubation of NE with aldose reductase in the presence of monoamine oxidase ( MAO) resulted in the formation of DHPG, which was confirmed by mass spectrometry.	"NE	27	29	Chemical"	"aldose reductase	35	51	Gene_or_gene_product"	"monoamine oxidase	71	88	Gene_or_gene_product"	"MAO	91	94	Gene_or_gene_product"	"DHPG	125	129	Chemical"	"[{""token"": ""NE"", ""start_span"": 27, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""aldose reductase"", ""start_span"": 35, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""monoamine oxidase"", ""start_span"": 71, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAO"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""DHPG"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Chemical""}]"
We have investigated the kinetic parameters for the phosphorylation of 1 - beta - D - arabinofuranosylcytosine ( araC) and 2 ', 2 ' - difluorodeoxycytidine ( dFdC) to their diphosphate forms catalyzed by human UMP - CMP kinase.	"1 - beta - D - arabinofuranosylcytosine	71	110	Chemical"	"araC	113	117	Chemical"	"dFdC	158	162	Chemical"	"diphosphate	173	184	Chemical"	"UMP - CMP kinase	210	226	Gene_or_gene_product"	"[{""token"": ""1 - beta - D - arabinofuranosylcytosine"", ""start_span"": 71, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""araC"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Chemical""}, {""token"": ""dFdC"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Chemical""}, {""token"": ""diphosphate"", ""start_span"": 173, ""end_span"": 184, ""type"": ""Chemical""}, {""token"": ""UMP - CMP kinase"", ""start_span"": 210, ""end_span"": 226, ""type"": ""Gene_or_gene_product""}]"
The monophosphates of araC and dFdC were shown to be phosphorylated with similar efficiency as dCMP and CMP.	"monophosphates	4	18	Chemical"	"araC	22	26	Chemical"	"dFdC	31	35	Chemical"	"dCMP	95	99	Chemical"	"CMP	104	107	Chemical"	"[{""token"": ""monophosphates"", ""start_span"": 4, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""araC"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Chemical""}, {""token"": ""dFdC"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Chemical""}, {""token"": ""dCMP"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Chemical""}, {""token"": ""CMP"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Chemical""}]"
We further showed, in a combined enzymatic assay, that human deoxycytidine kinase and UMP - CMP kinase together phosphorylated araC, dFdC, and 2 ', 3 ' - dideoxycytidine to their diphosphate forms.	"deoxycytidine kinase	61	81	Gene_or_gene_product"	"UMP - CMP kinase	86	102	Gene_or_gene_product"	"araC	127	131	Chemical"	"dFdC	133	137	Chemical"	"diphosphate	179	190	Chemical"	"[{""token"": ""deoxycytidine kinase"", ""start_span"": 61, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}, {""token"": ""UMP - CMP kinase"", ""start_span"": 86, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}, {""token"": ""araC"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Chemical""}, {""token"": ""dFdC"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Chemical""}, {""token"": ""diphosphate"", ""start_span"": 179, ""end_span"": 190, ""type"": ""Chemical""}]"
Using both indirect immunofluorescence with anti - Hsl7 antibodies and a fusion of Hsl7 to green fluorescent protein, we found that Hsl7 also localizes to the bud neck, congruent with the septin ring that faces the daughter cell.	"Hsl7	51	55	Gene_or_gene_product"	"Hsl7	83	87	Gene_or_gene_product"	"Hsl7	132	136	Gene_or_gene_product"	"bud neck	159	167	Cellular_component"	"septin	188	194	Gene_or_gene_product"	"[{""token"": ""Hsl7"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl7"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl7"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}, {""token"": ""bud neck"", ""start_span"": 159, ""end_span"": 167, ""type"": ""Cellular_component""}, {""token"": ""septin"", ""start_span"": 188, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}]"
Hsl7 plus Swe1 and Hsl7 plus Hsl1 can be coimmunoprecipitated from extracts of cells overexpressing these proteins, confirming that Hsl7 physically associates with both partners.	"Hsl7	0	4	Gene_or_gene_product"	"Swe1	10	14	Gene_or_gene_product"	"Hsl7	19	23	Gene_or_gene_product"	"Hsl1	29	33	Gene_or_gene_product"	"Hsl7	132	136	Gene_or_gene_product"	"[{""token"": ""Hsl7"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""Swe1"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl7"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl1"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl7"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}]"
Moreover, Hsl7 does not localize to the bud neck in an hsl1Delta mutant, whereas Hsl1 is localized normally in an hsl7Delta mutant.	"Hsl7	10	14	Gene_or_gene_product"	"bud neck	40	48	Cellular_component"	"hsl1Delta	55	64	Gene_or_gene_product"	"Hsl1	81	85	Gene_or_gene_product"	"hsl7Delta	114	123	Gene_or_gene_product"	"[{""token"": ""Hsl7"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}, {""token"": ""bud neck"", ""start_span"": 40, ""end_span"": 48, ""type"": ""Cellular_component""}, {""token"": ""hsl1Delta"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}, {""token"": ""Hsl1"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}, {""token"": ""hsl7Delta"", ""start_span"": 114, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}]"
