Regulation of NF - kappaB RelA phosphorylation and transcriptional activity by p21 ( ras) and protein kinase Czeta in primary endothelial cells.	"NF - kappaB	14	25	Complex"	"RelA	26	30	Gene_or_gene_product"	"p21	79	82	Gene_or_gene_product"	"ras	85	88	Gene_or_gene_product"	"protein kinase Czeta	94	114	Gene_or_gene_product"	"[{""token"": ""NF - kappaB"", ""start_span"": 14, ""end_span"": 25, ""type"": ""Complex""}, {""token"": ""RelA"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}, {""token"": ""protein kinase Czeta"", ""start_span"": 94, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}]"
By replacing the carboxy - terminal TRAF domain of TRAF2 and TRAF6 with repeats of the immunophilin FKBP12, we demonstrate that their effector domains are composed of their amino - terminal Zn and RING fingers.	"TRAF	36	40	Gene_or_gene_product"	"TRAF2	51	56	Gene_or_gene_product"	"TRAF6	61	66	Gene_or_gene_product"	"FKBP12	100	106	Gene_or_gene_product"	"Zn	190	192	Chemical"	"[{""token"": ""TRAF"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF2"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF6"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}, {""token"": ""FKBP12"", ""start_span"": 100, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""Zn"", ""start_span"": 190, ""end_span"": 192, ""type"": ""Chemical""}]"
The sPGN - and LTA - induced NF - kappaB activation was not inhibited by polymyxin B, an antibiotic that binds and neutralizes LPS.	"sPGN	4	8	Chemical"	"LTA	15	18	Chemical"	"NF - kappaB	29	40	Complex"	"polymyxin B	73	84	Chemical"	"LPS	127	130	Chemical"	"[{""token"": ""sPGN"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""LTA"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""NF - kappaB"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Complex""}, {""token"": ""polymyxin B"", ""start_span"": 73, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 127, ""end_span"": 130, ""type"": ""Chemical""}]"
The Myt1 protein kinase functions to negatively regulate Cdc2 - cyclin B complexes by phosphorylating Cdc2 on threonine 14 and tyrosine 15.	"Myt1	4	8	Gene_or_gene_product"	"Cdc2 - cyclin B	57	72	Complex"	"Cdc2	102	106	Gene_or_gene_product"	"threonine 14	110	122	Chemical"	"tyrosine 15	127	138	Chemical"	"[{""token"": ""Myt1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc2 - cyclin B"", ""start_span"": 57, ""end_span"": 72, ""type"": ""Complex""}, {""token"": ""Cdc2"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""threonine 14"", ""start_span"": 110, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""tyrosine 15"", ""start_span"": 127, ""end_span"": 138, ""type"": ""Chemical""}]"
The interleukin - 1 receptor - associated kinase ( IRAK) was first described as a signal transducer for interleukin - 1 ( IL - 1) and has later been implicated in signal transduction of other members of the Toll / IL - 1 receptor family.	"interleukin - 1 receptor - associated kinase	4	48	Gene_or_gene_product"	"IRAK	51	55	Gene_or_gene_product"	"interleukin - 1	104	119	Gene_or_gene_product"	"IL - 1	122	128	Gene_or_gene_product"	"Toll / IL - 1 receptor	207	229	Gene_or_gene_product"	"[{""token"": ""interleukin - 1 receptor - associated kinase"", ""start_span"": 4, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""IRAK"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin - 1"", ""start_span"": 104, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 122, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}, {""token"": ""Toll / IL - 1 receptor"", ""start_span"": 207, ""end_span"": 229, ""type"": ""Gene_or_gene_product""}]"
MAO A KO mice have elevated brain levels of 5 - HT, NE and DA and manifest aggressive behavior similar to men with a deletion of MAO A.	"MAO A	0	5	Gene_or_gene_product"	"5 - HT	44	50	Chemical"	"NE	52	54	Chemical"	"DA	59	61	Chemical"	"MAO A	129	134	Gene_or_gene_product"	"[{""token"": ""MAO A"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""5 - HT"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Chemical""}, {""token"": ""NE"", ""start_span"": 52, ""end_span"": 54, ""type"": ""Chemical""}, {""token"": ""DA"", ""start_span"": 59, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""MAO A"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"
The TAK1 - NLK - MAPK - related pathway antagonizes signalling between beta - catenin and transcription factor TCF.	"TAK1	4	8	Gene_or_gene_product"	"NLK	11	14	Gene_or_gene_product"	"MAPK	17	21	Gene_or_gene_product"	"beta - catenin	71	85	Gene_or_gene_product"	"TCF	111	114	Gene_or_gene_product"	"[{""token"": ""TAK1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""NLK"", ""start_span"": 11, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 71, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}]"
Mutation of Ser - 241 to Ala abolished PDK1 activity, whereas mutation of the other phosphorylation sites individually to Ala did not affect PDK1 activity.	"Ser - 241	12	21	Chemical"	"Ala	25	28	Chemical"	"PDK1	39	43	Gene_or_gene_product"	"Ala	122	125	Chemical"	"PDK1	141	145	Gene_or_gene_product"	"[{""token"": ""Ser - 241"", ""start_span"": 12, ""end_span"": 21, ""type"": ""Chemical""}, {""token"": ""Ala"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Chemical""}, {""token"": ""PDK1"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ala"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""PDK1"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}]"
Additionally, we have identified another subunit of the complex as the product of TRA1, an ATM - related essential gene homologous to human TRRAP, an essential cofactor for c - Myc - and E2F - mediated oncogenic transformation.	"TRA1	82	86	Gene_or_gene_product"	"ATM	91	94	Gene_or_gene_product"	"TRRAP	140	145	Gene_or_gene_product"	"c - Myc	173	180	Gene_or_gene_product"	"E2F	187	190	Gene_or_gene_product"	"[{""token"": ""TRA1"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATM"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRRAP"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""c - Myc"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F"", ""start_span"": 187, ""end_span"": 190, ""type"": ""Gene_or_gene_product""}]"
In response to extracellular stimuli, mitogen - activated protein kinase ( MAPK, also known as ERK) translocates from the cytoplasm to the nucleus.	"mitogen - activated protein kinase	38	72	Gene_or_gene_product"	"MAPK	75	79	Gene_or_gene_product"	"ERK	95	98	Gene_or_gene_product"	"cytoplasm	122	131	Cellular_component"	"nucleus	139	146	Cellular_component"	"[{""token"": ""mitogen - activated protein kinase"", ""start_span"": 38, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytoplasm"", ""start_span"": 122, ""end_span"": 131, ""type"": ""Cellular_component""}, {""token"": ""nucleus"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Cellular_component""}]"
