In endothelial cells this mechanism involves phosphorylation of the RelA subunit of NF - kappaB through a pathway involving activation of protein kinase Czeta ( PKCzeta) and p21 ( ras).	"RelA	68	72	Gene_or_gene_product"	"NF - kappaB	84	95	Complex"	"protein kinase Czeta	138	158	Gene_or_gene_product"	"PKCzeta	161	168	Gene_or_gene_product"	"p21	174	177	Gene_or_gene_product"	"ras	180	183	Gene_or_gene_product"	"[{""token"": ""RelA"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Complex""}, {""token"": ""protein kinase Czeta"", ""start_span"": 138, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""PKCzeta"", ""start_span"": 161, ""end_span"": 168, ""type"": ""Gene_or_gene_product""}, {""token"": ""p21"", ""start_span"": 174, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 180, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}]"
Overexpressed TRAF2 or TRAF6 activate JNK, p38, or IKK in the absence of extracellular stimulation.	"TRAF2	14	19	Gene_or_gene_product"	"TRAF6	23	28	Gene_or_gene_product"	"JNK	38	41	Gene_or_gene_product"	"p38	43	46	Gene_or_gene_product"	"IKK	51	54	Complex"	"extracellular	73	86	Cellular_component"	"[{""token"": ""TRAF2"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF6"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKK"", ""start_span"": 51, ""end_span"": 54, ""type"": ""Complex""}, {""token"": ""extracellular"", ""start_span"": 73, ""end_span"": 86, ""type"": ""Cellular_component""}]"
We show that whole Gram - positive bacteria, sPGN and LTA induce the activation of NF - kappaB in HEK293 cells expressing TLR2 but not in cells expressing TLR1 or TLR4.	"sPGN	45	49	Chemical"	"LTA	54	57	Chemical"	"NF - kappaB	83	94	Complex"	"TLR2	122	126	Gene_or_gene_product"	"TLR1	155	159	Gene_or_gene_product"	"TLR4	163	167	Gene_or_gene_product"	"[{""token"": ""sPGN"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""LTA"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Chemical""}, {""token"": ""NF - kappaB"", ""start_span"": 83, ""end_span"": 94, ""type"": ""Complex""}, {""token"": ""TLR2"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR1"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}]"
Throughout interphase, human Myt1 localizes to the endoplasmic reticulum and Golgi complex, whereas Cdc2 - cyclin B1 complexes shuttle between the nucleus and the cytoplasm.	"Myt1	29	33	Gene_or_gene_product"	"endoplasmic reticulum	51	72	Cellular_component"	"Golgi complex	77	90	Cellular_component"	"Cdc2 - cyclin B1	100	116	Complex"	"nucleus	147	154	Cellular_component"	"cytoplasm	163	172	Cellular_component"	"[{""token"": ""Myt1"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""endoplasmic reticulum"", ""start_span"": 51, ""end_span"": 72, ""type"": ""Cellular_component""}, {""token"": ""Golgi complex"", ""start_span"": 77, ""end_span"": 90, ""type"": ""Cellular_component""}, {""token"": ""Cdc2 - cyclin B1"", ""start_span"": 100, ""end_span"": 116, ""type"": ""Complex""}, {""token"": ""nucleus"", ""start_span"": 147, ""end_span"": 154, ""type"": ""Cellular_component""}, {""token"": ""cytoplasm"", ""start_span"": 163, ""end_span"": 172, ""type"": ""Cellular_component""}]"
The Wnt signalling pathway regulates many developmental processes through a complex of beta - catenin and the T - cell factor / lymphoid enhancer factor ( TCF / LEF) family of high - mobility - group transcription factors.	"Wnt	4	7	Gene_or_gene_product"	"beta - catenin	87	101	Gene_or_gene_product"	"T - cell factor	110	125	Gene_or_gene_product"	"lymphoid enhancer factor	128	152	Gene_or_gene_product"	"TCF	155	158	Gene_or_gene_product"	"LEF	161	164	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 87, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""T - cell factor"", ""start_span"": 110, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""lymphoid enhancer factor"", ""start_span"": 128, ""end_span"": 152, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""LEF"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}]"
NuA4, an essential transcription adaptor / histone H4 acetyltransferase complex containing Esa1p and the ATM - related cofactor Tra1p.	"NuA4	0	4	Complex"	"transcription adaptor	19	40	Gene_or_gene_product"	"histone H4 acetyltransferase	43	71	Gene_or_gene_product"	"Esa1p	91	96	Gene_or_gene_product"	"ATM	105	108	Gene_or_gene_product"	"Tra1p	128	133	Gene_or_gene_product"	"[{""token"": ""NuA4"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Complex""}, {""token"": ""transcription adaptor"", ""start_span"": 19, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""histone H4 acetyltransferase"", ""start_span"": 43, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}, {""token"": ""Esa1p"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATM"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""Tra1p"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}]"
The function of the essential Esa1 protein as the HAT subunit of NuA4 and the presence of Tra1p, a putative transcription activator - interacting subunit, supports an essential link between nuclear H4 acetylation, transcriptional regulation and cell cycle control.	"Esa1	30	34	Gene_or_gene_product"	"HAT	50	53	Gene_or_gene_product"	"NuA4	65	69	Complex"	"Tra1p	90	95	Gene_or_gene_product"	"nuclear	190	197	Cellular_component"	"H4	198	200	Gene_or_gene_product"	"[{""token"": ""Esa1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""HAT"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""NuA4"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Complex""}, {""token"": ""Tra1p"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 190, ""end_span"": 197, ""type"": ""Cellular_component""}, {""token"": ""H4"", ""start_span"": 198, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}]"
MAP kinase kinase ( MAPKK, also know as MEK), which possesses a nuclear export signal ( NES), acts as a cytoplasmic anchor of MAPK.	"MAP kinase kinase	0	17	Gene_or_gene_product"	"MAPKK	20	25	Gene_or_gene_product"	"MEK	40	43	Gene_or_gene_product"	"nuclear	64	71	Cellular_component"	"cytoplasmic	104	115	Cellular_component"	"MAPK	126	130	Gene_or_gene_product"	"[{""token"": ""MAP kinase kinase"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPKK"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEK"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Cellular_component""}, {""token"": ""cytoplasmic"", ""start_span"": 104, ""end_span"": 115, ""type"": ""Cellular_component""}, {""token"": ""MAPK"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}]"
uH2B was not detected in rad6 mutants, which are defective for the ubiquitin - conjugating enzyme Ubc2, thus identifying Rad6 as the major cellular activity that ubiquitinates H2B in yeast.	"uH2B	0	4	Gene_or_gene_product"	"rad6	25	29	Gene_or_gene_product"	"ubiquitin	67	76	Gene_or_gene_product"	"Ubc2	98	102	Gene_or_gene_product"	"Rad6	121	125	Gene_or_gene_product"	"H2B	176	179	Gene_or_gene_product"	"[{""token"": ""uH2B"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""rad6"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""ubiquitin"", ""start_span"": 67, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ubc2"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rad6"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Gene_or_gene_product""}, {""token"": ""H2B"", ""start_span"": 176, ""end_span"": 179, ""type"": ""Gene_or_gene_product""}]"
A signaling cascade composed of Rac1, PI3K and Akt targets nuclear p65 transactivation independently of I kappa B alpha degradation.	"Rac1	32	36	Gene_or_gene_product"	"PI3K	38	42	Gene_or_gene_product"	"Akt	47	50	Gene_or_gene_product"	"nuclear	59	66	Cellular_component"	"p65	67	70	Gene_or_gene_product"	"I kappa B alpha	104	119	Gene_or_gene_product"	"[{""token"": ""Rac1"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""PI3K"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}, {""token"": ""Akt"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Cellular_component""}, {""token"": ""p65"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""I kappa B alpha"", ""start_span"": 104, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}]"
