Several retinol dehydrogenase ( RDH) enzymes, members of the short - chain dehydrogenase / reductase ( SDR) gene superfamily, catalyze the first and rate - limiting step that generates retinaldehyde from retinol bound to cellular retinol - binding protein ( holo - CRBP).	"retinol dehydrogenase	8	29	Gene_or_gene_product"	"RDH	32	35	Gene_or_gene_product"	"short - chain dehydrogenase / reductase	61	100	Gene_or_gene_product"	"SDR	103	106	Gene_or_gene_product"	"retinaldehyde	185	198	Chemical"	"retinol	204	211	Chemical"	"cellular retinol - binding protein	221	255	Gene_or_gene_product"	"CRBP	265	269	Gene_or_gene_product"	"[{""token"": ""retinol dehydrogenase"", ""start_span"": 8, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""RDH"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}, {""token"": ""short - chain dehydrogenase / reductase"", ""start_span"": 61, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""SDR"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""retinaldehyde"", ""start_span"": 185, ""end_span"": 198, ""type"": ""Chemical""}, {""token"": ""retinol"", ""start_span"": 204, ""end_span"": 211, ""type"": ""Chemical""}, {""token"": ""cellular retinol - binding protein"", ""start_span"": 221, ""end_span"": 255, ""type"": ""Gene_or_gene_product""}, {""token"": ""CRBP"", ""start_span"": 265, ""end_span"": 269, ""type"": ""Gene_or_gene_product""}]"
It requires divalent cations for activity and hydrolyzes UDP, GDP and IDP but not any other nucleoside di -, mono - or triphosphates, nor thiamine pyrophosphate.	"divalent cations	12	28	Chemical"	"UDP	57	60	Chemical"	"GDP	62	65	Chemical"	"IDP	70	73	Chemical"	"nucleoside di -	92	107	Chemical"	"mono -	109	115	Chemical"	"triphosphates	119	132	Chemical"	"thiamine pyrophosphate	138	160	Chemical"	"[{""token"": ""divalent cations"", ""start_span"": 12, ""end_span"": 28, ""type"": ""Chemical""}, {""token"": ""UDP"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""GDP"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Chemical""}, {""token"": ""IDP"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""nucleoside di -"", ""start_span"": 92, ""end_span"": 107, ""type"": ""Chemical""}, {""token"": ""mono -"", ""start_span"": 109, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""triphosphates"", ""start_span"": 119, ""end_span"": 132, ""type"": ""Chemical""}, {""token"": ""thiamine pyrophosphate"", ""start_span"": 138, ""end_span"": 160, ""type"": ""Chemical""}]"
The zinc finger protein A20 inhibits TNF - induced NF - kappaB - dependent gene expression by interfering with an RIP - or TRAF2 - mediated transactivation signal and directly binds to a novel NF - kappaB - inhibiting protein ABIN.	"zinc	4	8	Chemical"	"A20	24	27	Gene_or_gene_product"	"TNF	37	40	Gene_or_gene_product"	"NF - kappaB	51	62	Complex"	"RIP	114	117	Gene_or_gene_product"	"TRAF2	123	128	Gene_or_gene_product"	"NF - kappaB	193	204	Complex"	"ABIN	226	230	Gene_or_gene_product"	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""A20"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 51, ""end_span"": 62, ""type"": ""Complex""}, {""token"": ""RIP"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF2"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 193, ""end_span"": 204, ""type"": ""Complex""}, {""token"": ""ABIN"", ""start_span"": 226, ""end_span"": 230, ""type"": ""Gene_or_gene_product""}]"
The zinc finger protein A20 is a tumor necrosis factor ( TNF) - and interleukin 1 ( IL - 1) - inducible protein that negatively regulates nuclear factor - kappa B ( NF - kappaB) - dependent gene expression.	"zinc	4	8	Chemical"	"A20	24	27	Gene_or_gene_product"	"tumor necrosis factor	33	54	Gene_or_gene_product"	"TNF	57	60	Gene_or_gene_product"	"interleukin 1	68	81	Gene_or_gene_product"	"IL - 1	84	90	Gene_or_gene_product"	"nuclear factor - kappa B	138	162	Complex"	"NF - kappaB	165	176	Complex"	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""A20"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 33, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin 1"", ""start_span"": 68, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""nuclear factor - kappa B"", ""start_span"": 138, ""end_span"": 162, ""type"": ""Complex""}, {""token"": ""NF - kappaB"", ""start_span"": 165, ""end_span"": 176, ""type"": ""Complex""}]"
These results demonstrate that A20 inhibits NF - kappaB - dependent gene expression by interfering with a novel TNF - induced and RIP - or TRAF2 - mediated pathway that is different from the NIK - IkappaB kinase pathway and that is specifically involved in the transactivation of NF - kappaB.	"A20	31	34	Gene_or_gene_product"	"NF - kappaB	44	55	Complex"	"TNF	112	115	Gene_or_gene_product"	"RIP	130	133	Gene_or_gene_product"	"TRAF2	139	144	Gene_or_gene_product"	"NIK	191	194	Gene_or_gene_product"	"IkappaB kinase	197	211	Complex"	"NF - kappaB	280	291	Complex"	"[{""token"": ""A20"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""NF - kappaB"", ""start_span"": 44, ""end_span"": 55, ""type"": ""Complex""}, {""token"": ""TNF"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}, {""token"": ""RIP"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF2"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Gene_or_gene_product""}, {""token"": ""NIK"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB kinase"", ""start_span"": 197, ""end_span"": 211, ""type"": ""Complex""}, {""token"": ""NF - kappaB"", ""start_span"": 280, ""end_span"": 291, ""type"": ""Complex""}]"
3 - phosphoinositide - dependent protein kinase - 1 ( PDK1) expressed in unstimulated 293 cells was phosphorylated at Ser - 25, Ser - 241, Ser - 393, Ser - 396 and Ser - 410 and the level of phosphorylation of each site was unaffected by stimulation with insulin - like growth factor - 1.	"3 - phosphoinositide - dependent protein kinase - 1	0	51	Gene_or_gene_product"	"PDK1	54	58	Gene_or_gene_product"	"Ser - 25	118	126	Chemical"	"Ser - 241	128	137	Chemical"	"Ser - 393	139	148	Chemical"	"Ser - 396	150	159	Chemical"	"Ser - 410	164	173	Chemical"	"insulin - like growth factor - 1	255	287	Gene_or_gene_product"	"[{""token"": ""3 - phosphoinositide - dependent protein kinase - 1"", ""start_span"": 0, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ser - 25"", ""start_span"": 118, ""end_span"": 126, ""type"": ""Chemical""}, {""token"": ""Ser - 241"", ""start_span"": 128, ""end_span"": 137, ""type"": ""Chemical""}, {""token"": ""Ser - 393"", ""start_span"": 139, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""Ser - 396"", ""start_span"": 150, ""end_span"": 159, ""type"": ""Chemical""}, {""token"": ""Ser - 410"", ""start_span"": 164, ""end_span"": 173, ""type"": ""Chemical""}, {""token"": ""insulin - like growth factor - 1"", ""start_span"": 255, ""end_span"": 287, ""type"": ""Gene_or_gene_product""}]"
Here we report that E2F - 1, - 2, and - 3, but not E2F - 4, - 5, and - 6, associate with and are acetylated by p300 and cAMP - response element - binding protein acetyltransferases.	"E2F - 1	20	27	Gene_or_gene_product"	"- 2	29	32	Gene_or_gene_product"	"- 3	38	41	Gene_or_gene_product"	"E2F - 4	51	58	Gene_or_gene_product"	"- 5	60	63	Gene_or_gene_product"	"- 6	69	72	Gene_or_gene_product"	"p300	111	115	Gene_or_gene_product"	"cAMP - response element - binding protein	120	161	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 2"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F - 4"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 5"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 6"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""p300"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}, {""token"": ""cAMP - response element - binding protein"", ""start_span"": 120, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"
After phosphorylation, the IKK phosphoacceptor sites on IkappaB serve as an essential part of a specific recognition site for E3RS ( IkappaB / beta - TrCP), an SCF - type E3 ubiquitin ligase, thereby explaining how IKK controls IkappaB ubiquitination and degradation.	"IKK	27	30	Complex"	"IkappaB	56	63	Gene_or_gene_product"	"E3RS	126	130	Gene_or_gene_product"	"IkappaB	133	140	Gene_or_gene_product"	"beta - TrCP	143	154	Gene_or_gene_product"	"ubiquitin	174	183	Gene_or_gene_product"	"IKK	215	218	Complex"	"IkappaB	228	235	Gene_or_gene_product"	"[{""token"": ""IKK"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Complex""}, {""token"": ""IkappaB"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""E3RS"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - TrCP"", ""start_span"": 143, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""ubiquitin"", ""start_span"": 174, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKK"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Complex""}, {""token"": ""IkappaB"", ""start_span"": 228, ""end_span"": 235, ""type"": ""Gene_or_gene_product""}]"
This function of Nud1p is distinct from its role in cell - cycle control: Nud1p binds the spindle checkpoint control proteins Bfa1p and Bub2p to the SPB, and is part of the mitotic exit network ( MEN) in which it functions upstream of CDC15 but downstream of LTE1.	"Nud1p	17	22	Gene_or_gene_product"	"Nud1p	74	79	Gene_or_gene_product"	"spindle	90	97	Cellular_component"	"Bfa1p	126	131	Gene_or_gene_product"	"Bub2p	136	141	Gene_or_gene_product"	"SPB	149	152	Cellular_component"	"CDC15	235	240	Gene_or_gene_product"	"LTE1	259	263	Gene_or_gene_product"	"[{""token"": ""Nud1p"", ""start_span"": 17, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nud1p"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""spindle"", ""start_span"": 90, ""end_span"": 97, ""type"": ""Cellular_component""}, {""token"": ""Bfa1p"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bub2p"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""SPB"", ""start_span"": 149, ""end_span"": 152, ""type"": ""Cellular_component""}, {""token"": ""CDC15"", ""start_span"": 235, ""end_span"": 240, ""type"": ""Gene_or_gene_product""}, {""token"": ""LTE1"", ""start_span"": 259, ""end_span"": 263, ""type"": ""Gene_or_gene_product""}]"
Rb represses E2F mainly by recruiting chromatin remodeling factors ( histone deacetylases and SWI / SNF complexes), the DNA methyltransferase DNMT1, and a histone methyltransferase.	"Rb	0	2	Gene_or_gene_product"	"E2F	13	16	Gene_or_gene_product"	"chromatin	38	47	Cellular_component"	"histone deacetylases	69	89	Gene_or_gene_product"	"SWI / SNF	94	103	Complex"	"DNA methyltransferase	120	141	Gene_or_gene_product"	"DNMT1	142	147	Gene_or_gene_product"	"histone methyltransferase	155	180	Gene_or_gene_product"	"[{""token"": ""Rb"", ""start_span"": 0, ""end_span"": 2, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""chromatin"", ""start_span"": 38, ""end_span"": 47, ""type"": ""Cellular_component""}, {""token"": ""histone deacetylases"", ""start_span"": 69, ""end_span"": 89, ""type"": ""Gene_or_gene_product""}, {""token"": ""SWI / SNF"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Complex""}, {""token"": ""DNA methyltransferase"", ""start_span"": 120, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""DNMT1"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}, {""token"": ""histone methyltransferase"", ""start_span"": 155, ""end_span"": 180, ""type"": ""Gene_or_gene_product""}]"
