Sentence	entity_1	json	split
The normal growth and differentiation of the epidermis require an adequate supply of vitamin A.	vitamin A,85,94,Chemical	"[{""token"": ""vitamin A"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"	train
The message conveyed by RA is likely modulated by the concentration of the ligand available for binding to the receptors.	RA,24,26,Chemical	"[{""token"": ""RA"", ""start_span"": 24, ""end_span"": 26, ""type"": ""Chemical""}]"	train
We show that this gene is expressed predominantly in the differentiating spinous layers and that it is under positive, feed - forward regulation by retinoic acid.	retinoic acid,148,161,Chemical	"[{""token"": ""retinoic acid"", ""start_span"": 148, ""end_span"": 161, ""type"": ""Chemical""}]"	train
By replacing the carboxy - terminal TRAF domain of TRAF2 and TRAF6 with repeats of the immunophilin FKBP12, we demonstrate that their effector domains are composed of their amino - terminal Zn and RING fingers.	Zn,190,192,Chemical	"[{""token"": ""Zn"", ""start_span"": 190, ""end_span"": 192, ""type"": ""Chemical""}]"	train
Coexpression together with membrane CD14 enhances sPGN signal transmission through TLR2.	sPGN,50,54,Chemical	"[{""token"": ""sPGN"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Chemical""}]"	train
In addition, we show for the first time that members of the IRAK family are indispensable elements of lipopolysaccharide signal transduction.	lipopolysaccharide,102,120,Chemical	"[{""token"": ""lipopolysaccharide"", ""start_span"": 102, ""end_span"": 120, ""type"": ""Chemical""}]"	train
The zinc finger protein A20 inhibits TNF - induced NF - kappaB - dependent gene expression by interfering with an RIP - or TRAF2 - mediated transactivation signal and directly binds to a novel NF - kappaB - inhibiting protein ABIN.	zinc,4,8,Chemical	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}]"	train
The zinc finger protein A20 is a tumor necrosis factor ( TNF) - and interleukin 1 ( IL - 1) - inducible protein that negatively regulates nuclear factor - kappa B ( NF - kappaB) - dependent gene expression.	zinc,4,8,Chemical	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}]"	train
MAO ( monoamine oxidase) A and B are key isoenzymes that degrade biogenic and dietary amines.	amines,86,92,Chemical	"[{""token"": ""amines"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical""}]"	train
In contrast, MAO B KO mice do not exhibit aggression and only levels of PEA are increased.	PEA,72,75,Chemical	"[{""token"": ""PEA"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical""}]"	train
Taken together, these results suggest that MAO A and B have distinctly different roles in monoamine metabolism.	monoamine,90,99,Chemical	"[{""token"": ""monoamine"", ""start_span"": 90, ""end_span"": 99, ""type"": ""Chemical""}]"	train
Phosphorylation of Ser - 241 is essential for the activity of 3 - phosphoinositide - dependent protein kinase - 1: identification of five sites of phosphorylation in vivo.	Ser - 241,19,28,Chemical	"[{""token"": ""Ser - 241"", ""start_span"": 19, ""end_span"": 28, ""type"": ""Chemical""}]"	train
Ser - 241, unlike the other phosphorylation sites on PDK1, was resistant to dephosphorylation by protein phosphatase 2A ( 1).	Ser - 241,0,9,Chemical	"[{""token"": ""Ser - 241"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"	train
Ser - 241 lies in the activation loop of the PDK1 kinase domain between subdomains VII and VIII in the equivalent position to the site that PDK1 phosphorylates on its protein kinase substrates.	Ser - 241,0,9,Chemical	"[{""token"": ""Ser - 241"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"	train
PDK1 expressed in bacteria was active and phosphorylated at Ser - 241, suggesting that PDK1 can phosphorylate itself at this site, leading to its own activation.	Ser - 241,60,69,Chemical	"[{""token"": ""Ser - 241"", ""start_span"": 60, ""end_span"": 69, ""type"": ""Chemical""}]"	train
All four conserved lysines of histone H4 can be acetylated by NuA4.	lysines,19,26,Chemical	"[{""token"": ""lysines"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Chemical""}]"	train
RESULTS: We have determined the structure of doubly phosphorylated P38gamma in complex with an ATP analog by X - ray crystallography.	ATP,95,98,Chemical	"[{""token"": ""ATP"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Chemical""}]"	train
CONCLUSIONS: Interactions mediated by phosphoryl - Thr183 induce structural changes that direct the domains and active - site residues of P38gamma into a conformation consistent with catalytic activity.	Thr183,51,57,Chemical	"[{""token"": ""Thr183"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Chemical""}]"	train
Conflicting data exists on the effects of IL - 10 on TNF - and LPS - induced NF - kappaB activity in human monocytes and the molecular mechanisms involved have not been elucidated.	LPS,63,66,Chemical	"[{""token"": ""LPS"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Chemical""}]"	train
Availability of the human transporter clones may facilitate new strategies for determining vitamin C intake.	vitamin C,91,100,Chemical	"[{""token"": ""vitamin C"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Chemical""}]"	train
The Pkh2 phosphorylation site in Pkc1 ( Thr - 983) is part of a conserved PDK1 target motif and essential for Pkc1 function.	Thr - 983,40,49,Chemical	"[{""token"": ""Thr - 983"", ""start_span"": 40, ""end_span"": 49, ""type"": ""Chemical""}]"	train
The core of the GPI anchor is conserved in all eukaryotes but is modified by various side chains.	GPI anchor,16,26,Chemical	"[{""token"": ""GPI anchor"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Chemical""}]"	train
Heparan sulfate D - glucosaminyl 3 - O - sulfotransferase - 3A sulfates N - unsubstituted glucosamine residues.	glucosamine,90,101,Chemical	"[{""token"": ""glucosamine"", ""start_span"": 90, ""end_span"": 101, ""type"": ""Chemical""}]"	train
In this study, we characterize the substrate specificity of purified 3 - OST - 3A at the tetrasaccharide level.	tetrasaccharide,89,104,Chemical	"[{""token"": ""tetrasaccharide"", ""start_span"": 89, ""end_span"": 104, ""type"": ""Chemical""}]"	train
Two novel tetrasaccharides were discovered with proposed structures of DeltaUA2S - GlcNS - IdoUA2S - [ ( 35) S] GlcNH ( 2) 3S and DeltaUA2S - GlcNS - IdoUA2S - [ 3 - ( 35) S] GlcNH ( 2) 3S6S.	tetrasaccharides,10,26,Chemical	"[{""token"": ""tetrasaccharides"", ""start_span"": 10, ""end_span"": 26, ""type"": ""Chemical""}]"	train
