Aldose reductase, a key enzyme in the oxidative deamination of norepinephrine in rats.	"norepinephrine	63	77	Chemical"	"[{""token"": ""norepinephrine"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Chemical""}]"
Although aldehyde reductase also generated DHPG, its activity was much lower than that of aldose reductase.	"DHPG	43	47	Chemical"	"[{""token"": ""DHPG"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Chemical""}]"
Treatment of rats with aldose reductase inhibitors for 3 days increased the plasma level of DHMA.	"DHMA	92	96	Chemical"	"[{""token"": ""DHMA"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Chemical""}]"
There was no correlation between the selectivity of inhibitors and effects on NE metabolite levels.	"NE	78	80	Chemical"	"[{""token"": ""NE"", ""start_span"": 78, ""end_span"": 80, ""type"": ""Chemical""}]"
In rat sympathetic neurons, aldose reductase appears to be more important than aldehyde reductase for the formation of DHPG.	"DHPG	119	123	Chemical"	"[{""token"": ""DHPG"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Chemical""}]"
Phosphorylation of deoxycytidine analogs by cellular enzymes is a prerequisite for the activity of these compounds.	"deoxycytidine	19	32	Chemical"	"[{""token"": ""deoxycytidine"", ""start_span"": 19, ""end_span"": 32, ""type"": ""Chemical""}]"
Hsl7 localizes to a septin ring and serves as an adapter in a regulatory pathway that relieves tyrosine phosphorylation of Cdc28 protein kinase in Saccharomyces cerevisiae.	"tyrosine	95	103	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Chemical""}]"
New insights into the regulation of protein kinase C and novel phorbol ester receptors.	"phorbol ester	63	76	Chemical"	"[{""token"": ""phorbol ester"", ""start_span"": 63, ""end_span"": 76, ""type"": ""Chemical""}]"
First, PKC activity and maturation is controlled by autophosphorylation and transphosphorylation mechanisms, which includes phosphorylation of PKC isozymes by phosphoinositide - dependent protein kinases ( PDKs) and tyrosine kinases.	"tyrosine	216	224	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 216, ""end_span"": 224, ""type"": ""Chemical""}]"
TLR2 - deficient macrophages were hyporesponsive to several Gram - positive bacterial cell walls as well as Staphylococcus aureus peptidoglycan.	"peptidoglycan	130	143	Chemical"	"[{""token"": ""peptidoglycan"", ""start_span"": 130, ""end_span"": 143, ""type"": ""Chemical""}]"
TLR4 - deficient macrophages lacked the response to Gram - positive lipoteichoic acids.	"lipoteichoic acids	68	86	Chemical"	"[{""token"": ""lipoteichoic acids"", ""start_span"": 68, ""end_span"": 86, ""type"": ""Chemical""}]"
We investigated Pak kinase activation in more detail to gain insight into the interplay between the GTPase / sphingosine binding, an intramolecular inhibitory interaction, and autophosphorylation.	"sphingosine	109	120	Chemical"	"[{""token"": ""sphingosine"", ""start_span"": 109, ""end_span"": 120, ""type"": ""Chemical""}]"
Cdc42 - and sphingosine - stimulated Pak1 activity can be inhibited in trans by recombinant ID peptide, indicating similarities in their mode of activation.	"sphingosine	12	23	Chemical"	"[{""token"": ""sphingosine"", ""start_span"": 12, ""end_span"": 23, ""type"": ""Chemical""}]"
However, Pak1, which was autophosphorylated in response to either GTPase or sphingosine, is highly active and is insensitive to inhibition by the ID peptide.	"sphingosine	76	87	Chemical"	"[{""token"": ""sphingosine"", ""start_span"": 76, ""end_span"": 87, ""type"": ""Chemical""}]"
We identified phospho - acceptor site threonine 423 in the kinase activation loop as a critical determinant for the sensitivity to autoinhibition and enzymatic activity.	"threonine 423	38	51	Chemical"	"[{""token"": ""threonine 423"", ""start_span"": 38, ""end_span"": 51, ""type"": ""Chemical""}]"
Phosphorylation studies suggested that the stimulatory effect of both GTPase and sphingosine results in exposure of the activation loop, making it accessible for intermolecular phosphorylation.	"sphingosine	81	92	Chemical"	"[{""token"": ""sphingosine"", ""start_span"": 81, ""end_span"": 92, ""type"": ""Chemical""}]"
Whereas the transcription of an active allele was markedly induced by serum starvation or clump formation of the cells, treatment with 5 - aza - 2 ' deoxycytidine activated a silent allele with a subsequent up - regulation of an active allele, supporting the genomic imprinting and autoregulation of the gene.	"5 - aza - 2 ' deoxycytidine	135	162	Chemical"	"[{""token"": ""5 - aza - 2 ' deoxycytidine"", ""start_span"": 135, ""end_span"": 162, ""type"": ""Chemical""}]"
This phenomenon was also seen with high concentrations of some preparations of LPS.	"LPS	79	82	Chemical"	"[{""token"": ""LPS"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Chemical""}]"
Characterization of GPI - MT - I would also help to clarify the topology of GPI biosynthesis.	"GPI	20	23	Chemical"	"[{""token"": ""GPI"", ""start_span"": 20, ""end_span"": 23, ""type"": ""Chemical""}]"
After treatment with retinoic acid, NT2 cells differentiate into neuron - like hNT cells which express very high levels of both PML and Sp100.	"retinoic acid	21	34	Chemical"	"[{""token"": ""retinoic acid"", ""start_span"": 21, ""end_span"": 34, ""type"": ""Chemical""}]"
Moreover, the activity of TAK1 to phosphorylate MKK6, which activates the JNK - p38 kinase pathway, is directly regulated by K63 - linked polyubiquitination.	"K63	125	128	Chemical"	"[{""token"": ""K63"", ""start_span"": 125, ""end_span"": 128, ""type"": ""Chemical""}]"
We also provide evidence that TRAF6 is conjugated by the K63 polyubiquitin chains.	"K63	57	60	Chemical"	"[{""token"": ""K63"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Chemical""}]"
In eukaryotic cells the histone methylase SUV39H1 and the methyl - lysine binding protein HP1 functionally interact to repress transcription at heterochromatic sites.	"methyl - lysine	58	73	Chemical"	"[{""token"": ""methyl - lysine"", ""start_span"": 58, ""end_span"": 73, ""type"": ""Chemical""}]"
Lysine 9 of histone H3 is methylated by SUV39H1 ( ref. 2), creating a binding site for the chromo domain of HP1 ( refs 3, 4).	"Lysine 9	0	8	Chemical"	"[{""token"": ""Lysine 9"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Chemical""}]"
Moreover, IGF - 1 - induced phosphorylation of BAD Ser - 136 was abolished in p70S6K - deficient cells.	"Ser - 136	51	60	Chemical"	"[{""token"": ""Ser - 136"", ""start_span"": 51, ""end_span"": 60, ""type"": ""Chemical""}]"
NF - kappa B is activated by DFMO through the degradation of the inhibitory protein I kappa B alpha that sequesters NF - kappa B in the cytoplasm.	"DFMO	29	33	Chemical"	"[{""token"": ""DFMO"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Chemical""}]"
The DFMO - induced NF - kappa B complexes contain the p65 and p50 members of the Rel protein family.	"DFMO	4	8	Chemical"	"[{""token"": ""DFMO"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}]"
DFMO - induced NF - kappa B activation was accompanied by the translocation of p65 from the cytoplasm into the nucleus.	"DFMO	0	4	Chemical"	"[{""token"": ""DFMO"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
DFMO selectively inhibited a gene reporter construct dependent on the kappa B site present in the HLA - B7 gene.	"DFMO	0	4	Chemical"	"[{""token"": ""DFMO"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
In contrast, DFMO had no effect on a gene reporter construct dependent on the kappa B site present in the interleukin - 8 gene.	"DFMO	13	17	Chemical"	"[{""token"": ""DFMO"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Chemical""}]"
Transcriptional silencing at the budding yeast silent mating type ( HM) loci and telomeric DNA regions requires Sir2, a conserved NAD - dependent histone deacetylase, Sir3, Sir4, histones H3 and H4, and several DNA - binding proteins.	"NAD	130	133	Chemical"	"[{""token"": ""NAD"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Chemical""}]"
LiCl, an established inhibitor of GSK - 3, sensitized primary rat hepatocytes toward TNF - alpha - mediated apoptosis resulting in 90% cell death after 24 h.	"LiCl	0	4	Chemical"	"[{""token"": ""LiCl"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
LiCl treatment had no effect on IkappaB - alpha degradation, IkappaB kinase ( IKK) activity, NF - kappaB binding activity, and p65 nuclear import and export, but decreased transcription of the NF - kappaB - dependent inducible nitric oxide synthase gene and a NF - kappaB - driven reporter gene.	"LiCl	0	4	Chemical"	"[{""token"": ""LiCl"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
Treatment with the PI 3 - kinase specific inhibitor LY 294002 prevented the formation of the S - phase complex, suggesting that activation of the PI 3 - kinase pathway is essential for the formation of this complex.	"LY 294002	52	61	Chemical"	"[{""token"": ""LY 294002"", ""start_span"": 52, ""end_span"": 61, ""type"": ""Chemical""}]"
Two TOR complexes, only one of which is rapamycin sensitive, have distinct roles in cell growth control.	"rapamycin	40	49	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 40, ""end_span"": 49, ""type"": ""Chemical""}]"
The target of rapamycin ( TOR) proteins in Saccharomyces cerevisiae, TOR1 and TOR2, redundantly regulate growth in a rapamycin - sensitive manner.	"rapamycin	14	23	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Chemical""}]"
TOR2 additionally regulates polarization of the actin cytoskeleton in a rapamycin - insensitive manner.	"rapamycin	72	81	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 72, ""end_span"": 81, ""type"": ""Chemical""}]"
FKBP - rapamycin fails to bind TORC2, and TORC2 disruption causes an actin defect, suggesting that TORC2 mediates the rapamycin - insensitive, TOR2 - unique pathway.	"rapamycin	7	16	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 7, ""end_span"": 16, ""type"": ""Chemical""}]"
Thus, the distinct TOR complexes account for the diversity, specificity, and selective rapamycin inhibition of TOR signaling.	"rapamycin	87	96	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 87, ""end_span"": 96, ""type"": ""Chemical""}]"
TLRs possess leucine - rich repeats in their extracellular part.	"leucine	13	20	Chemical"	"[{""token"": ""leucine"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Chemical""}]"
Patients with NAGS deficiency develop hyperammonemia because CPSI is inactive without NAG.	"NAG	14	17	Chemical"	"[{""token"": ""NAG"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Chemical""}]"
