The normal growth and differentiation of the epidermis require an adequate supply of vitamin A.	"vitamin A	85	94	Chemical"	"[{""token"": ""vitamin A"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"
The message conveyed by RA is likely modulated by the concentration of the ligand available for binding to the receptors.	"RA	24	26	Chemical"	"[{""token"": ""RA"", ""start_span"": 24, ""end_span"": 26, ""type"": ""Chemical""}]"
We show that this gene is expressed predominantly in the differentiating spinous layers and that it is under positive, feed - forward regulation by retinoic acid.	"retinoic acid	148	161	Chemical"	"[{""token"": ""retinoic acid"", ""start_span"": 148, ""end_span"": 161, ""type"": ""Chemical""}]"
By replacing the carboxy - terminal TRAF domain of TRAF2 and TRAF6 with repeats of the immunophilin FKBP12, we demonstrate that their effector domains are composed of their amino - terminal Zn and RING fingers.	"Zn	190	192	Chemical"	"[{""token"": ""Zn"", ""start_span"": 190, ""end_span"": 192, ""type"": ""Chemical""}]"
Coexpression together with membrane CD14 enhances sPGN signal transmission through TLR2.	"sPGN	50	54	Chemical"	"[{""token"": ""sPGN"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Chemical""}]"
In addition, we show for the first time that members of the IRAK family are indispensable elements of lipopolysaccharide signal transduction.	"lipopolysaccharide	102	120	Chemical"	"[{""token"": ""lipopolysaccharide"", ""start_span"": 102, ""end_span"": 120, ""type"": ""Chemical""}]"
The zinc finger protein A20 inhibits TNF - induced NF - kappaB - dependent gene expression by interfering with an RIP - or TRAF2 - mediated transactivation signal and directly binds to a novel NF - kappaB - inhibiting protein ABIN.	"zinc	4	8	Chemical"	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}]"
The zinc finger protein A20 is a tumor necrosis factor ( TNF) - and interleukin 1 ( IL - 1) - inducible protein that negatively regulates nuclear factor - kappa B ( NF - kappaB) - dependent gene expression.	"zinc	4	8	Chemical"	"[{""token"": ""zinc"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}]"
MAO ( monoamine oxidase) A and B are key isoenzymes that degrade biogenic and dietary amines.	"amines	86	92	Chemical"	"[{""token"": ""amines"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical""}]"
In contrast, MAO B KO mice do not exhibit aggression and only levels of PEA are increased.	"PEA	72	75	Chemical"	"[{""token"": ""PEA"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical""}]"
Taken together, these results suggest that MAO A and B have distinctly different roles in monoamine metabolism.	"monoamine	90	99	Chemical"	"[{""token"": ""monoamine"", ""start_span"": 90, ""end_span"": 99, ""type"": ""Chemical""}]"
