Retinoic acid controls the expression of retinoid - responsive genes via interactions of the retinoic acid / nuclear receptor complexes at specific DNA sequences in their control regions.	"Retinoic acid	0	13	Chemical"	"retinoid	41	49	Chemical"	"[{""token"": ""Retinoic acid"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""retinoid"", ""start_span"": 41, ""end_span"": 49, ""type"": ""Chemical""}]"
Several retinol dehydrogenase ( RDH) enzymes, members of the short - chain dehydrogenase / reductase ( SDR) gene superfamily, catalyze the first and rate - limiting step that generates retinaldehyde from retinol bound to cellular retinol - binding protein ( holo - CRBP).	"retinaldehyde	185	198	Chemical"	"retinol	204	211	Chemical"	"[{""token"": ""retinaldehyde"", ""start_span"": 185, ""end_span"": 198, ""type"": ""Chemical""}, {""token"": ""retinol"", ""start_span"": 204, ""end_span"": 211, ""type"": ""Chemical""}]"
It encodes a protein that, using NAD + as a preferred cofactor, utilizes free and CRBP - bound all - trans - retinol and steroids as substrates.	"NAD +	33	38	Chemical"	"all - trans - retinol	95	116	Chemical"	"[{""token"": ""NAD +"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Chemical""}, {""token"": ""all - trans - retinol"", ""start_span"": 95, ""end_span"": 116, ""type"": ""Chemical""}]"
Peptidoglycan - and lipoteichoic acid - induced cell activation is mediated by toll - like receptor 2.	"Peptidoglycan	0	13	Chemical"	"lipoteichoic acid	20	37	Chemical"	"[{""token"": ""Peptidoglycan"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""lipoteichoic acid"", ""start_span"": 20, ""end_span"": 37, ""type"": ""Chemical""}]"
Recently, lipopolysaccharide ( LPS), a major biologically active agent of Gram - negative bacteria, was shown to mediate cellular activation by a member of the human Toll - like receptor family, Toll - like receptor ( TLR) 2.	"lipopolysaccharide	10	28	Chemical"	"LPS	31	34	Chemical"	"[{""token"": ""lipopolysaccharide"", ""start_span"": 10, ""end_span"": 28, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Chemical""}]"
We show that whole Gram - positive bacteria, sPGN and LTA induce the activation of NF - kappaB in HEK293 cells expressing TLR2 but not in cells expressing TLR1 or TLR4.	"sPGN	45	49	Chemical"	"LTA	54	57	Chemical"	"[{""token"": ""sPGN"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""LTA"", ""start_span"": 54, ""end_span"": 57, ""type"": ""Chemical""}]"
UDP is generated in the lumen of the endoplasmic reticulum ( ER) as a product of the UDP - glucose - dependent glycoprotein reglucosylation in the calnexin / calreticulin cycle.	"UDP	0	3	Chemical"	"UDP - glucose	85	98	Chemical"	"[{""token"": ""UDP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}, {""token"": ""UDP - glucose"", ""start_span"": 85, ""end_span"": 98, ""type"": ""Chemical""}]"
We describe here the identification, purification and characterization of an ER enzyme that hydrolyzes UDP to UMP.	"UDP	103	106	Chemical"	"UMP	110	113	Chemical"	"[{""token"": ""UDP"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""UMP"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Chemical""}]"
By eliminating UDP, which is an inhibitory product of the UDP - Glc: glycoprotein glucosyltransferase, it is likely to promote reglucosylation reactions involved in glycoprotein folding and quality control in the ER.	"UDP	15	18	Chemical"	"UDP - Glc	58	67	Chemical"	"[{""token"": ""UDP"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""UDP - Glc"", ""start_span"": 58, ""end_span"": 67, ""type"": ""Chemical""}]"
The Myt1 protein kinase functions to negatively regulate Cdc2 - cyclin B complexes by phosphorylating Cdc2 on threonine 14 and tyrosine 15.	"threonine 14	110	122	Chemical"	"tyrosine 15	127	138	Chemical"	"[{""token"": ""threonine 14"", ""start_span"": 110, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""tyrosine 15"", ""start_span"": 127, ""end_span"": 138, ""type"": ""Chemical""}]"
Both forms can oxidize dopamine ( DA).	"dopamine	23	31	Chemical"	"DA	34	36	Chemical"	"[{""token"": ""dopamine"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""DA"", ""start_span"": 34, ""end_span"": 36, ""type"": ""Chemical""}]"
Here we show evidence that tyrosine ( Tyr190 in Xenopus MPK1 / ERK2) phosphorylation of MAPK by MAPKK is necessary and sufficient for the dissociation of the MAPKK - MAPK complex, and that the dissociation of the complex is required for the nuclear translocation of MAPK.	"tyrosine	27	35	Chemical"	"Tyr190	38	44	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 27, ""end_span"": 35, ""type"": ""Chemical""}, {""token"": ""Tyr190"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Chemical""}]"
