We have cloned the human Na + - dependent multivitamin transporter ( SMVT), which transports the water - soluble vitamins pantothenate, biotin, and lipoate, from a placental choriocarcinoma cell line ( JAR).	"pantothenate	122	134	Chemical"	"biotin	136	142	Chemical"	"lipoate	148	155	Chemical"	"[{""token"": ""pantothenate"", ""start_span"": 122, ""end_span"": 134, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 136, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 148, ""end_span"": 155, ""type"": ""Chemical""}]"
We further showed, in a combined enzymatic assay, that human deoxycytidine kinase and UMP - CMP kinase together phosphorylated araC, dFdC, and 2 ', 3 ' - dideoxycytidine to their diphosphate forms.	"araC	127	131	Chemical"	"dFdC	133	137	Chemical"	"diphosphate	179	190	Chemical"	"[{""token"": ""araC"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Chemical""}, {""token"": ""dFdC"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Chemical""}, {""token"": ""diphosphate"", ""start_span"": 179, ""end_span"": 190, ""type"": ""Chemical""}]"
Last, the discovery of novel phorbol ester receptors lacking kinase activity allows us to speculate that some of the biological responses elicited by phorbol esters or by activation of receptors coupled to elevation in DAG levels could be mediated by PKC - independent pathways.	"phorbol ester	29	42	Chemical"	"phorbol esters	150	164	Chemical"	"DAG	219	222	Chemical"	"[{""token"": ""phorbol ester"", ""start_span"": 29, ""end_span"": 42, ""type"": ""Chemical""}, {""token"": ""phorbol esters"", ""start_span"": 150, ""end_span"": 164, ""type"": ""Chemical""}, {""token"": ""DAG"", ""start_span"": 219, ""end_span"": 222, ""type"": ""Chemical""}]"
p21 - activated kinases ( Pak) / Ste20 kinases are regulated in vitro and in vivo by the small GTP - binding proteins Rac and Cdc42 and lipids, such as sphingosine, which stimulate autophosphorylation and phosphorylation of exogenous substrates.	"GTP	95	98	Chemical"	"lipids	136	142	Chemical"	"sphingosine	152	163	Chemical"	"[{""token"": ""GTP"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Chemical""}, {""token"": ""lipids"", ""start_span"": 136, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""sphingosine"", ""start_span"": 152, ""end_span"": 163, ""type"": ""Chemical""}]"
We found that the inhibition of ODC by alpha - difluoromethylornithine ( DFMO) resulted in a approximately 50% decrease in intracellular putrescine levels within 1 h.	"alpha - difluoromethylornithine	39	70	Chemical"	"DFMO	73	77	Chemical"	"putrescine	137	147	Chemical"	"[{""token"": ""alpha - difluoromethylornithine"", ""start_span"": 39, ""end_span"": 70, ""type"": ""Chemical""}, {""token"": ""DFMO"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Chemical""}, {""token"": ""putrescine"", ""start_span"": 137, ""end_span"": 147, ""type"": ""Chemical""}]"
N - acetylglutamate synthase ( NAGS, E. C. 2. 3. 1. 1) is a mitochondrial enzyme catalyzing the formation of N - acetylglutamate ( NAG), an essential allosteric activator of carbamylphosphate synthase I ( CPSI), the first enzyme of the urea cycle.	"N - acetylglutamate	0	19	Chemical"	"NAG	31	34	Chemical"	"urea	236	240	Chemical"	"[{""token"": ""N - acetylglutamate"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Chemical""}, {""token"": ""NAG"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Chemical""}, {""token"": ""urea"", ""start_span"": 236, ""end_span"": 240, ""type"": ""Chemical""}]"
Gram - negative bacterial lipopolysaccharide also activates macrophages via a toll - like receptor pathway ( TLR - 4), but we and others have reported that lipopolysaccharide also stimulates tyrosine phosphorylation in macrophages.	"lipopolysaccharide	26	44	Chemical"	"lipopolysaccharide	156	174	Chemical"	"tyrosine	191	199	Chemical"	"[{""token"": ""lipopolysaccharide"", ""start_span"": 26, ""end_span"": 44, ""type"": ""Chemical""}, {""token"": ""lipopolysaccharide"", ""start_span"": 156, ""end_span"": 174, ""type"": ""Chemical""}, {""token"": ""tyrosine"", ""start_span"": 191, ""end_span"": 199, ""type"": ""Chemical""}]"
Diaminocyclohexane ( trans - diacetato) ( dichloro) platinum ( IV) ( DAP), a platinum - based coordination complex, is a DNA - damaging agent that is effective against a variety of tumor cells resistant to the parental drug cisplatin.	"DAP	69	72	Chemical"	"platinum	77	85	Chemical"	"cisplatin	224	233	Chemical"	"[{""token"": ""DAP"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""platinum"", ""start_span"": 77, ""end_span"": 85, ""type"": ""Chemical""}, {""token"": ""cisplatin"", ""start_span"": 224, ""end_span"": 233, ""type"": ""Chemical""}]"
Here we show a membrane protein named HCP 1 ( heme carrier protein 1), with homology to bacterial metal - tetracycline transporters, mediates heme uptake by cells in a temperature - dependent and saturable manner.	"metal	98	103	Chemical"	"tetracycline	106	118	Chemical"	"heme	142	146	Chemical"	"[{""token"": ""metal"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Chemical""}, {""token"": ""tetracycline"", ""start_span"": 106, ""end_span"": 118, ""type"": ""Chemical""}, {""token"": ""heme"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Chemical""}]"
Re - establishing wild - type p50 NF - kappaB, but not its serine 20 / alanine mutant, in p50 NF - kappaB ( - / -) fibroblasts reversed VCAM - 1 expression after TNF treatment, demonstrating the importance of the serine 20 phosphorylation site in the induction of VCAM - 1 expression.	"serine 20	59	68	Chemical"	"alanine	71	78	Chemical"	"serine 20	213	222	Chemical"	"[{""token"": ""serine 20"", ""start_span"": 59, ""end_span"": 68, ""type"": ""Chemical""}, {""token"": ""alanine"", ""start_span"": 71, ""end_span"": 78, ""type"": ""Chemical""}, {""token"": ""serine 20"", ""start_span"": 213, ""end_span"": 222, ""type"": ""Chemical""}]"
