When expressed in HRPE cells, the cDNA - induced transport process is obligatorily dependent on Na + and accepts pantothenate, biotin, and lipoate as substrates.	"Na +	96	100	Chemical"	"pantothenate	113	125	Chemical"	"biotin	127	133	Chemical"	"lipoate	139	146	Chemical"	"[{""token"": ""Na +"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""pantothenate"", ""start_span"": 113, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 127, ""end_span"": 133, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Chemical""}]"
The relationship between the cDNA - specific uptake rate of pantothenate or biotin and Na + concentration is sigmoidal with a Na +: vitamin stoichiometry of 2: 1.	"pantothenate	60	72	Chemical"	"biotin	76	82	Chemical"	"Na +	87	91	Chemical"	"Na +	126	130	Chemical"	"[{""token"": ""pantothenate"", ""start_span"": 60, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Chemical""}]"
The human SMVT, when expressed in Xenopus laevis oocytes, induces inward currents in the presence of pantothenate, biotin, and lipoate in a Na + -, concentration -, and potential - dependent manner.	"pantothenate	101	113	Chemical"	"biotin	115	121	Chemical"	"lipoate	127	134	Chemical"	"Na +	140	144	Chemical"	"[{""token"": ""pantothenate"", ""start_span"": 101, ""end_span"": 113, ""type"": ""Chemical""}, {""token"": ""biotin"", ""start_span"": 115, ""end_span"": 121, ""type"": ""Chemical""}, {""token"": ""lipoate"", ""start_span"": 127, ""end_span"": 134, ""type"": ""Chemical""}, {""token"": ""Na +"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Chemical""}]"
We have investigated the kinetic parameters for the phosphorylation of 1 - beta - D - arabinofuranosylcytosine ( araC) and 2 ', 2 ' - difluorodeoxycytidine ( dFdC) to their diphosphate forms catalyzed by human UMP - CMP kinase.	"1 - beta - D - arabinofuranosylcytosine	71	110	Chemical"	"araC	113	117	Chemical"	"dFdC	158	162	Chemical"	"diphosphate	173	184	Chemical"	"[{""token"": ""1 - beta - D - arabinofuranosylcytosine"", ""start_span"": 71, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""araC"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Chemical""}, {""token"": ""dFdC"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Chemical""}, {""token"": ""diphosphate"", ""start_span"": 173, ""end_span"": 184, ""type"": ""Chemical""}]"
Although LpxA is required for LPS biosynthesis, because cooperation between TLR1 and TLR2 was not seen with all LPS preparations, the microbial component ( s) TLR1 / 2 recognizes is likely to be a complex of LPS and other molecules or a compound metabolically and chemically related to LPS.	"LPS	30	33	Chemical"	"LPS	112	115	Chemical"	"LPS	208	211	Chemical"	"LPS	286	289	Chemical"	"[{""token"": ""LPS"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 208, ""end_span"": 211, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 286, ""end_span"": 289, ""type"": ""Chemical""}]"
The dinucleoside monophosphates, ApU and UpA, react with potassium osmate ( VI) and 2, 2 ' - bipyridyl to form the corresponding oxo - osmium ( VI) bipyridyl sugar ester in which the osmate group is bonded to the terminal 2 ', 3 ' - glycol.	"dinucleoside monophosphates	4	31	Chemical"	"ApU	33	36	Chemical"	"UpA	41	44	Chemical"	"osmate	67	73	Chemical"	"[{""token"": ""dinucleoside monophosphates"", ""start_span"": 4, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""ApU"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""UpA"", ""start_span"": 41, ""end_span"": 44, ""type"": ""Chemical""}, {""token"": ""osmate"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Chemical""}]"
We show that the mitogen - activated protein kinase inhibitors SB203580 and PD98059 or U0126, as well as a potent mitogen - and stress - activated protein kinase - 1 ( MSK1) inhibitor H89, counteract tumor necrosis factor ( TNF) - mediated stimulation of p65 transactivation capacity.	"SB203580	63	71	Chemical"	"PD98059	76	83	Chemical"	"U0126	87	92	Chemical"	"H89	184	187	Chemical"	"[{""token"": ""SB203580"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Chemical""}, {""token"": ""PD98059"", ""start_span"": 76, ""end_span"": 83, ""type"": ""Chemical""}, {""token"": ""U0126"", ""start_span"": 87, ""end_span"": 92, ""type"": ""Chemical""}, {""token"": ""H89"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Chemical""}]"
IkappaB kinase ( IKK) phosphorylates IkappaBalpha at the residues 32 and 36 followed by polyubiquitination at lysine 21 and 22 and subsequent degradation of the molecules by 26S proteasome.	"residues 32	57	68	Chemical"	"36	73	75	Chemical"	"lysine 21	110	119	Chemical"	"22	124	126	Chemical"	"[{""token"": ""residues 32"", ""start_span"": 57, ""end_span"": 68, ""type"": ""Chemical""}, {""token"": ""36"", ""start_span"": 73, ""end_span"": 75, ""type"": ""Chemical""}, {""token"": ""lysine 21"", ""start_span"": 110, ""end_span"": 119, ""type"": ""Chemical""}, {""token"": ""22"", ""start_span"": 124, ""end_span"": 126, ""type"": ""Chemical""}]"
Phytosphingosine ( PHS), a sphingoid long chain base, is hypothesized to be a lipid activator of Pkh1 and thereby controls the activity of Ypk1 / 2.	"Phytosphingosine	0	16	Chemical"	"PHS	19	22	Chemical"	"sphingoid	27	36	Chemical"	"lipid	78	83	Chemical"	"[{""token"": ""Phytosphingosine"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Chemical""}, {""token"": ""PHS"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Chemical""}, {""token"": ""sphingoid"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""lipid"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Chemical""}]"
However, the other potential hydration product of alpha - methyl - cis - aconitate, alpha - methylcitrate, cannot be accommodated in the active site due to steric conflict of the methyl group with Asp - 165.	"alpha - methyl - cis - aconitate	50	82	Chemical"	"alpha - methylcitrate	84	105	Chemical"	"methyl	179	185	Chemical"	"Asp - 165	197	206	Chemical"	"[{""token"": ""alpha - methyl - cis - aconitate"", ""start_span"": 50, ""end_span"": 82, ""type"": ""Chemical""}, {""token"": ""alpha - methylcitrate"", ""start_span"": 84, ""end_span"": 105, ""type"": ""Chemical""}, {""token"": ""methyl"", ""start_span"": 179, ""end_span"": 185, ""type"": ""Chemical""}, {""token"": ""Asp - 165"", ""start_span"": 197, ""end_span"": 206, ""type"": ""Chemical""}]"
The shorter of the two cDNAs ( 3 kilobases ( kb)) was found to encode an open reading frame of 2964 base pairs and, when expressed in Pichia pastoris, was found to encode an enzyme that could cleave high mannose oligosaccharides, oligosaccharides isolated from alpha - mannosidosis fibroblasts, and p - nitrophenyl - alpha - D - mannopyranoside substrates.	"mannose	204	211	Chemical"	"oligosaccharides	212	228	Chemical"	"oligosaccharides	230	246	Chemical"	"p - nitrophenyl - alpha - D - mannopyranoside	299	344	Chemical"	"[{""token"": ""mannose"", ""start_span"": 204, ""end_span"": 211, ""type"": ""Chemical""}, {""token"": ""oligosaccharides"", ""start_span"": 212, ""end_span"": 228, ""type"": ""Chemical""}, {""token"": ""oligosaccharides"", ""start_span"": 230, ""end_span"": 246, ""type"": ""Chemical""}, {""token"": ""p - nitrophenyl - alpha - D - mannopyranoside"", ""start_span"": 299, ""end_span"": 344, ""type"": ""Chemical""}]"
Organic anion transporting polypeptide ( oatp) is an integral membrane protein cloned from rat liver that mediates Na + - independent transport of organic anions such as sulfobromophthalein and taurocholic acid.	"Na +	115	119	Chemical"	"organic anions	147	161	Chemical"	"sulfobromophthalein	170	189	Chemical"	"taurocholic acid	194	210	Chemical"	"[{""token"": ""Na +"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Chemical""}, {""token"": ""organic anions"", ""start_span"": 147, ""end_span"": 161, ""type"": ""Chemical""}, {""token"": ""sulfobromophthalein"", ""start_span"": 170, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""taurocholic acid"", ""start_span"": 194, ""end_span"": 210, ""type"": ""Chemical""}]"
This can occur both via the TPP translocator and via a novel translocator, inhibited by CAT but different from the ADP / ATP carrier.	"TPP	28	31	Chemical"	"CAT	88	91	Chemical"	"ADP	115	118	Chemical"	"ATP	121	124	Chemical"	"[{""token"": ""TPP"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""CAT"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""ADP"", ""start_span"": 115, ""end_span"": 118, ""type"": ""Chemical""}, {""token"": ""ATP"", ""start_span"": 121, ""end_span"": 124, ""type"": ""Chemical""}]"
