Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	json	split
MOM - 4 and LIT - 1 are homologous to TAK1 ( a kinase activated by transforming growth factor - beta) mitogen - activated protein - kinase - kinase kinase ( MAP3K) and MAP kinase ( MAPK) - related NEMO - like kinase ( NLK), respectively, in mammalian cells.	MOM - 4,0,7,Gene_or_gene_product	LIT - 1,12,19,Gene_or_gene_product	TAK1,38,42,Gene_or_gene_product	transforming growth factor - beta,67,100,Gene_or_gene_product	mitogen - activated protein - kinase - kinase kinase,102,154,Gene_or_gene_product	MAP3K,157,162,Gene_or_gene_product	MAP kinase,168,178,Gene_or_gene_product	MAPK,181,185,Gene_or_gene_product	NEMO - like kinase,197,215,Gene_or_gene_product	NLK,218,221,Gene_or_gene_product	"[{""token"": ""MOM - 4"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}, {""token"": ""LIT - 1"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""TAK1"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}, {""token"": ""transforming growth factor - beta"", ""start_span"": 67, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein - kinase - kinase kinase"", ""start_span"": 102, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP3K"", ""start_span"": 157, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinase"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Gene_or_gene_product""}, {""token"": ""NEMO - like kinase"", ""start_span"": 197, ""end_span"": 215, ""type"": ""Gene_or_gene_product""}, {""token"": ""NLK"", ""start_span"": 218, ""end_span"": 221, ""type"": ""Gene_or_gene_product""}]"	train
Finally, the cytokine interferon - gamma ( IFN - gamma) induced apoptosis and KILLER / DR5 in cell lines with mutant p53, and the induction of KILLER / DR5 mRNA by IFN - gamma was delayed in cells lacking wild - type STAT1, a transcription factor implicated in IFN - gamma signaling.	interferon - gamma,22,40,Gene_or_gene_product	IFN - gamma,43,54,Gene_or_gene_product	KILLER,78,84,Gene_or_gene_product	DR5,87,90,Gene_or_gene_product	p53,117,120,Gene_or_gene_product	KILLER,143,149,Gene_or_gene_product	DR5,152,155,Gene_or_gene_product	IFN - gamma,164,175,Gene_or_gene_product	STAT1,217,222,Gene_or_gene_product	IFN - gamma,261,272,Gene_or_gene_product	"[{""token"": ""interferon - gamma"", ""start_span"": 22, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 43, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}, {""token"": ""KILLER"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}, {""token"": ""DR5"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}, {""token"": ""KILLER"", ""start_span"": 143, ""end_span"": 149, ""type"": ""Gene_or_gene_product""}, {""token"": ""DR5"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 164, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}, {""token"": ""STAT1"", ""start_span"": 217, ""end_span"": 222, ""type"": ""Gene_or_gene_product""}, {""token"": ""IFN - gamma"", ""start_span"": 261, ""end_span"": 272, ""type"": ""Gene_or_gene_product""}]"	train
Hdm2 - P2 promoter activity in T47D cells is independent of p53, as well as of known regulators of the mouse mdm2 - P2 promoter, including ERalpha and ras - raf - mitogen - activated protein / extracellular signal - regulated kinase ( MEK) mitogen - activated protein kinase ( MAPK) signaling.	Hdm2,0,4,Gene_or_gene_product	p53,60,63,Gene_or_gene_product	mdm2,109,113,Gene_or_gene_product	ERalpha,139,146,Gene_or_gene_product	ras,151,154,Gene_or_gene_product	raf,157,160,Gene_or_gene_product	mitogen - activated protein / extracellular signal - regulated kinase,163,232,Gene_or_gene_product	MEK,235,238,Gene_or_gene_product	mitogen - activated protein kinase,240,274,Gene_or_gene_product	MAPK,277,281,Gene_or_gene_product	"[{""token"": ""Hdm2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}, {""token"": ""mdm2"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERalpha"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 151, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""raf"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein / extracellular signal - regulated kinase"", ""start_span"": 163, ""end_span"": 232, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEK"", ""start_span"": 235, ""end_span"": 238, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein kinase"", ""start_span"": 240, ""end_span"": 274, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 277, ""end_span"": 281, ""type"": ""Gene_or_gene_product""}]"	train
An additional parallel between the SWI5 / HO pathway and the ACE2 / CTS1 pathway is that HO and CTS1 both are cell cycle regulated in the same way, and HO and CTS1 both require the SWI4 and SWI6 transcriptional activators.	SWI5,35,39,Gene_or_gene_product	HO,42,44,Gene_or_gene_product	ACE2,61,65,Gene_or_gene_product	CTS1,68,72,Gene_or_gene_product	HO,89,91,Gene_or_gene_product	CTS1,96,100,Gene_or_gene_product	HO,152,154,Gene_or_gene_product	CTS1,159,163,Gene_or_gene_product	SWI4,181,185,Gene_or_gene_product	SWI6,190,194,Gene_or_gene_product	"[{""token"": ""SWI5"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 42, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""ACE2"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 89, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""HO"", ""start_span"": 152, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""SWI4"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Gene_or_gene_product""}, {""token"": ""SWI6"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}]"	train
Two complexes of mTOR have been identified: complex 1, consisting of mTOR - Raptor ( regulatory associated protein of mTOR) - mLST8 ( termed mTORC1), and complex 2, comprising mTOR - Rictor ( rapamycininsensitive companion of mTOR) - mLST8 - Sin1 ( termed mTORC2).	mTOR,17,21,Gene_or_gene_product	mTOR,69,73,Gene_or_gene_product	Raptor,76,82,Gene_or_gene_product	regulatory associated protein of mTOR,85,122,Gene_or_gene_product	mLST8,126,131,Gene_or_gene_product	mTOR,141,145,Gene_or_gene_product	Rictor,183,189,Gene_or_gene_product	rapamycininsensitive companion of mTOR,192,230,Gene_or_gene_product	mLST8,234,239,Gene_or_gene_product	Sin1,242,246,Gene_or_gene_product	"[{""token"": ""mTOR"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}, {""token"": ""mTOR"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""Raptor"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}, {""token"": ""regulatory associated protein of mTOR"", ""start_span"": 85, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}, {""token"": ""mLST8"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""mTOR"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rictor"", ""start_span"": 183, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}, {""token"": ""rapamycininsensitive companion of mTOR"", ""start_span"": 192, ""end_span"": 230, ""type"": ""Gene_or_gene_product""}, {""token"": ""mLST8"", ""start_span"": 234, ""end_span"": 239, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sin1"", ""start_span"": 242, ""end_span"": 246, ""type"": ""Gene_or_gene_product""}]"	train
In addition, SDF - 1alpha treatment also increased IkappaB kinase alpha / beta ( IKK alpha / beta) phosphorylation, IkappaBalpha phosphorylation, IkappaBalpha degradation, p65 phosphorylation at Ser ( 276), translocation of p65 and p50 from cytosol to nucleus and kappaB - luciferase activity.	SDF - 1alpha,13,25,Gene_or_gene_product	IkappaB kinase alpha,51,71,Gene_or_gene_product	beta,74,78,Gene_or_gene_product	IKK alpha,81,90,Gene_or_gene_product	beta,93,97,Gene_or_gene_product	IkappaBalpha,116,128,Gene_or_gene_product	IkappaBalpha,146,158,Gene_or_gene_product	p65,172,175,Gene_or_gene_product	p65,224,227,Gene_or_gene_product	p50,232,235,Gene_or_gene_product	"[{""token"": ""SDF - 1alpha"", ""start_span"": 13, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB kinase alpha"", ""start_span"": 51, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKK alpha"", ""start_span"": 81, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaBalpha"", ""start_span"": 116, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaBalpha"", ""start_span"": 146, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 172, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 224, ""end_span"": 227, ""type"": ""Gene_or_gene_product""}, {""token"": ""p50"", ""start_span"": 232, ""end_span"": 235, ""type"": ""Gene_or_gene_product""}]"	train
Furthermore, we found that the inducible expression of any of three dominant interfering mutants of vav1 ( a truncated protein, vavC; a form containing a point mutation in the regulatory tyrosine residue, vavYF174; and a form with an in - frame deletion of six amino acids required for the guanidine nucleotide exchange factor ( GEF) activity of vav1 for rac family GTPases, vavGEFmt) consistently inhibited CpG DNA - mediated up - regulation of tumor necrosis factor secretion and inducible nitric - oxide synthase protein accumulation in RAW - TT10 macrophages.	vav1,100,104,Gene_or_gene_product	vavC,128,132,Gene_or_gene_product	vavYF174,205,213,Gene_or_gene_product	guanidine nucleotide exchange factor,290,326,Gene_or_gene_product	GEF,329,332,Gene_or_gene_product	vav1,346,350,Gene_or_gene_product	rac,355,358,Gene_or_gene_product	vavGEFmt,375,383,Gene_or_gene_product	tumor necrosis factor,446,467,Gene_or_gene_product	nitric - oxide synthase,492,515,Gene_or_gene_product	"[{""token"": ""vav1"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Gene_or_gene_product""}, {""token"": ""vavC"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}, {""token"": ""vavYF174"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Gene_or_gene_product""}, {""token"": ""guanidine nucleotide exchange factor"", ""start_span"": 290, ""end_span"": 326, ""type"": ""Gene_or_gene_product""}, {""token"": ""GEF"", ""start_span"": 329, ""end_span"": 332, ""type"": ""Gene_or_gene_product""}, {""token"": ""vav1"", ""start_span"": 346, ""end_span"": 350, ""type"": ""Gene_or_gene_product""}, {""token"": ""rac"", ""start_span"": 355, ""end_span"": 358, ""type"": ""Gene_or_gene_product""}, {""token"": ""vavGEFmt"", ""start_span"": 375, ""end_span"": 383, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 446, ""end_span"": 467, ""type"": ""Gene_or_gene_product""}, {""token"": ""nitric - oxide synthase"", ""start_span"": 492, ""end_span"": 515, ""type"": ""Gene_or_gene_product""}]"	valid
The physiological and pathological roles of RIP2 are mediated through its involvement in multiple NF - kappaB activation pathways, including those triggered by tumor necrosis factor ( TNF), interleukin 1 ( IL - 1), Toll - like receptor 2 ( TLR2), TLR3, TLR4 and Nod1.	RIP2,44,48,Gene_or_gene_product	tumor necrosis factor,160,181,Gene_or_gene_product	TNF,184,187,Gene_or_gene_product	interleukin 1,190,203,Gene_or_gene_product	IL - 1,206,212,Gene_or_gene_product	Toll - like receptor 2,215,237,Gene_or_gene_product	TLR2,240,244,Gene_or_gene_product	TLR3,247,251,Gene_or_gene_product	TLR4,253,257,Gene_or_gene_product	Nod1,262,266,Gene_or_gene_product	"[{""token"": ""RIP2"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor necrosis factor"", ""start_span"": 160, ""end_span"": 181, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin 1"", ""start_span"": 190, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 206, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""Toll - like receptor 2"", ""start_span"": 215, ""end_span"": 237, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 240, ""end_span"": 244, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR3"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 253, ""end_span"": 257, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nod1"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Gene_or_gene_product""}]"	valid
Overexpression of TRIP6 potentiates NF - kappaB activation by TNF, IL - 1, TLR2 or Nod1, whereas a dominant negative mutant or RNA - interference construct of TRIP6 inhibits NF - kappaB activation by TNF, IL - 1, TLR2 or Nod1.	TRIP6,18,23,Gene_or_gene_product	TNF,62,65,Gene_or_gene_product	IL - 1,67,73,Gene_or_gene_product	TLR2,75,79,Gene_or_gene_product	Nod1,83,87,Gene_or_gene_product	TRIP6,159,164,Gene_or_gene_product	TNF,200,203,Gene_or_gene_product	IL - 1,205,211,Gene_or_gene_product	TLR2,213,217,Gene_or_gene_product	Nod1,221,225,Gene_or_gene_product	"[{""token"": ""TRIP6"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nod1"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRIP6"", ""start_span"": 159, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 200, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 1"", ""start_span"": 205, ""end_span"": 211, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 213, ""end_span"": 217, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nod1"", ""start_span"": 221, ""end_span"": 225, ""type"": ""Gene_or_gene_product""}]"	valid
Stimulation of synovial fibroblasts with adiponectin activated IkappaB kinase alpha / beta ( IKK alpha / beta), IkappaBalpha phosphorylation, IkappaBalpha degradation, p65 phosphorylation at Ser ( 276), p65 and p50 translocation from the cytosol to the nucleus, and kappaB - luciferase activity.	adiponectin,41,52,Gene_or_gene_product	IkappaB kinase alpha,63,83,Gene_or_gene_product	beta,86,90,Gene_or_gene_product	IKK alpha,93,102,Gene_or_gene_product	beta,105,109,Gene_or_gene_product	IkappaBalpha,112,124,Gene_or_gene_product	IkappaBalpha,142,154,Gene_or_gene_product	p65,168,171,Gene_or_gene_product	p65,203,206,Gene_or_gene_product	p50,211,214,Gene_or_gene_product	"[{""token"": ""adiponectin"", ""start_span"": 41, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaB kinase alpha"", ""start_span"": 63, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKK alpha"", ""start_span"": 93, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaBalpha"", ""start_span"": 112, ""end_span"": 124, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaBalpha"", ""start_span"": 142, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Gene_or_gene_product""}, {""token"": ""p50"", ""start_span"": 211, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}]"	test
