Sentence	entity_1	entity_2	json	split
In a normal cell cycle the presence of this protein is restricted to G1, partly because the CDC6 gene is transcribed only during G1 and partly because the Cdc6p protein is rapidly degraded at late G1 / early S phase.	CDC6,92,96,Gene_or_gene_product	Cdc6p,155,160,Gene_or_gene_product	"[{""token"": ""CDC6"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc6p"", ""start_span"": 155, ""end_span"": 160, ""type"": ""Gene_or_gene_product""}]"	train
Indeed, we have found that Cdc6 is ubiquitinated in vivo and degraded by a Cdc4 - dependent mechanism.	Cdc6,27,31,Gene_or_gene_product	Cdc4,75,79,Gene_or_gene_product	"[{""token"": ""Cdc6"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc4"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"	train
Our data, together with previous observations regarding Cdc6 stability, suggest that under physiological conditions budding yeast cells degrade ubiquitinated Cdc6 every cell cycle at the beginning of S phase.	Cdc6,56,60,Gene_or_gene_product	Cdc6,158,162,Gene_or_gene_product	"[{""token"": ""Cdc6"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc6"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}]"	train
We show that transcriptional activity of RelA is dependent on phosphorylation of the N - terminal Rel homology domain but not the C - terminal transactivation domain.	RelA,41,45,Gene_or_gene_product	Rel,98,101,Gene_or_gene_product	"[{""token"": ""RelA"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rel"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}]"	train
Coexpression together with membrane CD14 enhances sPGN signal transmission through TLR2.	CD14,36,40,Gene_or_gene_product	TLR2,83,87,Gene_or_gene_product	"[{""token"": ""CD14"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}]"	train
UDP is generated in the lumen of the endoplasmic reticulum ( ER) as a product of the UDP - glucose - dependent glycoprotein reglucosylation in the calnexin / calreticulin cycle.	calnexin,147,155,Gene_or_gene_product	calreticulin,158,170,Gene_or_gene_product	"[{""token"": ""calnexin"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""calreticulin"", ""start_span"": 158, ""end_span"": 170, ""type"": ""Gene_or_gene_product""}]"	train
This nucleoside diphosphatase is a ubiquitously expressed, soluble 45 kDa glycoprotein devoid of transmembrane domains and KDEL - related ER localization sequences.	nucleoside diphosphatase,5,29,Gene_or_gene_product	KDEL,123,127,Gene_or_gene_product	"[{""token"": ""nucleoside diphosphatase"", ""start_span"": 5, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}, {""token"": ""KDEL"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}]"	train
The Myt1 protein kinase functions to negatively regulate Cdc2 - cyclin B complexes by phosphorylating Cdc2 on threonine 14 and tyrosine 15.	Myt1,4,8,Gene_or_gene_product	Cdc2,57,61,Gene_or_gene_product	"[{""token"": ""Myt1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc2"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"	train
Here we report that overproduction of either kinase - active or kinase - inactive forms of Myt1 blocked the nuclear - cytoplasmic shuttling of cyclin B1 and caused cells to delay in the G2 phase of the cell cycle.	Myt1,91,95,Gene_or_gene_product	cyclin B1,143,152,Gene_or_gene_product	"[{""token"": ""Myt1"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin B1"", ""start_span"": 143, ""end_span"": 152, ""type"": ""Gene_or_gene_product""}]"	train
Myt1 mutants lacking this domain no longer bound cyclin B1 and did not efficiently phosphorylate Cdc2 - cyclin B1 complexes in vitro.	Myt1,0,4,Gene_or_gene_product	cyclin B1,49,58,Gene_or_gene_product	"[{""token"": ""Myt1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin B1"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"	train
In addition, cells overproducing mutant forms of Myt1 lacking the interaction domain exhibited normal trafficking of cyclin B1 and unperturbed cell cycle progression.	Myt1,49,53,Gene_or_gene_product	cyclin B1,117,126,Gene_or_gene_product	"[{""token"": ""Myt1"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""cyclin B1"", ""start_span"": 117, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"	train
The discovery of IRAK - M adds another level of complexity to our understanding of signaling by members of the Toll / IL - 1 receptor family.	IRAK - M,17,25,Gene_or_gene_product	Toll / IL - 1 receptor,111,133,Gene_or_gene_product	"[{""token"": ""IRAK - M"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""Toll / IL - 1 receptor"", ""start_span"": 111, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}]"	train
Role of MAO A and B in neurotransmitter metabolism and behavior.	MAO A,8,13,Gene_or_gene_product	B,18,19,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 18, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"	train
MAO A preferentially oxidizes serotonin ( 5 - hydroxytryptamine, 5 - HT) and norepinephrine ( NE), whereas MAO B preferentially oxidizes phenylethylamine ( PEA).	MAO A,0,5,Gene_or_gene_product	MAO B,107,112,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAO B"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"	train
Recently, we have shown that MAO A and B knock - out ( KO) mice exhibit distinct differences in neurotransmitter metabolism and behavior.	MAO A,29,34,Gene_or_gene_product	B,39,40,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 39, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"	train
MAO A KO mice have elevated brain levels of 5 - HT, NE and DA and manifest aggressive behavior similar to men with a deletion of MAO A.	MAO A,0,5,Gene_or_gene_product	MAO A,129,134,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAO A"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"	train
Both MAO A and B KO mice show increased reactivity to stress.	MAO A,5,10,Gene_or_gene_product	B,15,16,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 5, ""end_span"": 10, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 15, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"	train
Taken together, these results suggest that MAO A and B have distinctly different roles in monoamine metabolism.	MAO A,43,48,Gene_or_gene_product	B,53,54,Gene_or_gene_product	"[{""token"": ""MAO A"", ""start_span"": 43, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""B"", ""start_span"": 53, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"	train
Injection of NLK suppresses the induction of axis duplication by microinjected beta - catenin in Xenopus embryos.	NLK,13,16,Gene_or_gene_product	beta - catenin,79,93,Gene_or_gene_product	"[{""token"": ""NLK"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 79, ""end_span"": 93, ""type"": ""Gene_or_gene_product""}]"	train
Here we show that Axin is dephosphorylated in response to Wnt signaling.	Axin,18,22,Gene_or_gene_product	Wnt,58,61,Gene_or_gene_product	"[{""token"": ""Axin"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"	train
The dephosphorylated Axin binds beta - catenin less efficiently than the phosphorylated form.	Axin,21,25,Gene_or_gene_product	beta - catenin,32,46,Gene_or_gene_product	"[{""token"": ""Axin"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 32, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"	train
Mutation of Ser - 241 to Ala abolished PDK1 activity, whereas mutation of the other phosphorylation sites individually to Ala did not affect PDK1 activity.	PDK1,39,43,Gene_or_gene_product	PDK1,141,145,Gene_or_gene_product	"[{""token"": ""PDK1"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}]"	train
Ser - 241 lies in the activation loop of the PDK1 kinase domain between subdomains VII and VIII in the equivalent position to the site that PDK1 phosphorylates on its protein kinase substrates.	PDK1,45,49,Gene_or_gene_product	PDK1,140,144,Gene_or_gene_product	"[{""token"": ""PDK1"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Gene_or_gene_product""}]"	train
PDK1 expressed in bacteria was active and phosphorylated at Ser - 241, suggesting that PDK1 can phosphorylate itself at this site, leading to its own activation.	PDK1,0,4,Gene_or_gene_product	PDK1,87,91,Gene_or_gene_product	"[{""token"": ""PDK1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}]"	train
Antibodies against Esa1p specifically immunoprecipitate NuA4 activity whereas the complex purified from a temperature - sensitive esa1 mutant loses its acetyltransferase activity at the restrictive temperature.	Esa1p,19,24,Gene_or_gene_product	esa1,130,134,Gene_or_gene_product	"[{""token"": ""Esa1p"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""esa1"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"	train
Finally, the ability of NuA4 to stimulate GAL4 - VP16 - driven transcription from chromatin templates in vitro is also lost in the temperature - sensitive esa1 mutant.	GAL4 - VP16,42,53,Gene_or_gene_product	esa1,155,159,Gene_or_gene_product	"[{""token"": ""GAL4 - VP16"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""esa1"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}]"	train
P38gamma is a new member of the MAP kinase family, and is expressed at its highest levels in skeletal muscle.	P38gamma,0,8,Gene_or_gene_product	MAP kinase,32,42,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinase"", ""start_span"": 32, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"	train
P38gamma is 63% identical in sequence to P38alpha.	P38gamma,0,8,Gene_or_gene_product	P38alpha,41,49,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""P38alpha"", ""start_span"": 41, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}]"	train
The conformation of the activation loop of P38gamma is almost identical to that observed in the structure of activated ERK2.	P38gamma,43,51,Gene_or_gene_product	ERK2,119,123,Gene_or_gene_product	"[{""token"": ""P38gamma"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK2"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}]"	train
However, unlike ERK2, the crystal structure and solution studies indicate that activated P38gamma exists as a monomer.	ERK2,16,20,Gene_or_gene_product	P38gamma,89,97,Gene_or_gene_product	"[{""token"": ""ERK2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""P38gamma"", ""start_span"": 89, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"	train
The conformation of the phosphorylation loop is likely to be similar in all activated MAP kinases, but not all activated MAP kinases form dimers.	MAP kinases,86,97,Gene_or_gene_product	MAP kinases,121,132,Gene_or_gene_product	"[{""token"": ""MAP kinases"", ""start_span"": 86, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinases"", ""start_span"": 121, ""end_span"": 132, ""type"": ""Gene_or_gene_product""}]"	train
Using a version of Ace2p tagged with a c - myc epitope, we show that the protein is excluded from the nucleus of cells during most phases of the mitotic cell cycle.	Ace2p,19,24,Gene_or_gene_product	c - myc,39,46,Gene_or_gene_product	"[{""token"": ""Ace2p"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""c - myc"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"	train
The mechanism of localisation of Ace2p therefore involves regulation of its phosphorylation state, and closely resembles that used by the homologous transcription factor Swi5p.	Ace2p,33,38,Gene_or_gene_product	Swi5p,170,175,Gene_or_gene_product	"[{""token"": ""Ace2p"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""Swi5p"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}]"	train
The wild - type Ace2 protein associates with Cdc28p in vivo, suggesting this may be the kinase that mediates the phosphorylation event.	Ace2,16,20,Gene_or_gene_product	Cdc28p,45,51,Gene_or_gene_product	"[{""token"": ""Ace2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc28p"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"	train
L - mdm2 mRNA contains two upstream open reading frames ( uORFs) and this mRNA was loaded with ribosomes inefficiently in comparison with S - mdm2.	L - mdm2,0,8,Gene_or_gene_product	S - mdm2,138,146,Gene_or_gene_product	"[{""token"": ""L - mdm2"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}, {""token"": ""S - mdm2"", ""start_span"": 138, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}]"	train
Interleukin - 10 ( IL - 10) is a pleiotropic cytokine that controls inflammatory processes by suppressing the production of proinflammatory cytokines which are known to be transcriptionally controlled by NF - kappaB.	Interleukin - 10,0,16,Gene_or_gene_product	IL - 10,19,26,Gene_or_gene_product	"[{""token"": ""Interleukin - 10"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 10"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"	train
Conflicting data exists on the effects of IL - 10 on TNF - and LPS - induced NF - kappaB activity in human monocytes and the molecular mechanisms involved have not been elucidated.	IL - 10,42,49,Gene_or_gene_product	TNF,53,56,Gene_or_gene_product	"[{""token"": ""IL - 10"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"	train
Cloning and functional characterization of the human sodium - dependent vitamin C transporters hSVCT1 and hSVCT2.	hSVCT1,95,101,Gene_or_gene_product	hSVCT2,106,112,Gene_or_gene_product	"[{""token"": ""hSVCT1"", ""start_span"": 95, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""hSVCT2"", ""start_span"": 106, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"	train
