Sentence	entity_1	entity_2	entity_3	json	split
Signaling by proinflammatory cytokines: oligomerization of TRAF2 and TRAF6 is sufficient for JNK and IKK activation and target gene induction via an amino - terminal effector domain.	TRAF2,59,64,Gene_or_gene_product	TRAF6,69,74,Gene_or_gene_product	JNK,93,96,Gene_or_gene_product	"[{""token"": ""TRAF2"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF6"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"	train
TNF - alpha also enhances the binding of native TRAF2 to MEKK1 and stimulates the kinase activity of the latter.	TNF - alpha,0,11,Gene_or_gene_product	TRAF2,48,53,Gene_or_gene_product	MEKK1,57,62,Gene_or_gene_product	"[{""token"": ""TNF - alpha"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF2"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEKK1"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"	train
We show that whole Gram - positive bacteria, sPGN and LTA induce the activation of NF - kappaB in HEK293 cells expressing TLR2 but not in cells expressing TLR1 or TLR4.	TLR2,122,126,Gene_or_gene_product	TLR1,155,159,Gene_or_gene_product	TLR4,163,167,Gene_or_gene_product	"[{""token"": ""TLR2"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR1"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}]"	train
Wnt stabilizes cytosolic beta - catenin, which then binds to TCF and activates gene transcription.	Wnt,0,3,Gene_or_gene_product	beta - catenin,25,39,Gene_or_gene_product	TCF,61,64,Gene_or_gene_product	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 25, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"	train
In C. elegans, the proteins MOM - 4 and LIT - 1 regulate Wnt signalling to polarize responding cells during embryogenesis.	MOM - 4,28,35,Gene_or_gene_product	LIT - 1,40,47,Gene_or_gene_product	Wnt,57,60,Gene_or_gene_product	"[{""token"": ""MOM - 4"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}, {""token"": ""LIT - 1"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"	train
These results raise the possibility that TAK1 and NLK are also involved in Wnt signalling in mammalian cells.	TAK1,41,45,Gene_or_gene_product	NLK,50,53,Gene_or_gene_product	Wnt,75,78,Gene_or_gene_product	"[{""token"": ""TAK1"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}, {""token"": ""NLK"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"	train
NLK phosphorylates TCF / LEF factors and inhibits the interaction of the beta - catenin - TCF complex with DNA.	NLK,0,3,Gene_or_gene_product	TCF,19,22,Gene_or_gene_product	LEF factors,25,36,Gene_or_gene_product	"[{""token"": ""NLK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""LEF factors"", ""start_span"": 25, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"	train
Wnt - induced dephosphorylation of axin releases beta - catenin from the axin complex.	Wnt,0,3,Gene_or_gene_product	axin,35,39,Gene_or_gene_product	beta - catenin,49,63,Gene_or_gene_product	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""axin"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 49, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"	train
Wnt signaling stabilizes beta - catenin, but it was not clear whether and how Wnt signaling regulates the beta - catenin complex.	Wnt,0,3,Gene_or_gene_product	beta - catenin,25,39,Gene_or_gene_product	Wnt,78,81,Gene_or_gene_product	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 25, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"	train
3 - phosphoinositide - dependent protein kinase - 1 ( PDK1) expressed in unstimulated 293 cells was phosphorylated at Ser - 25, Ser - 241, Ser - 393, Ser - 396 and Ser - 410 and the level of phosphorylation of each site was unaffected by stimulation with insulin - like growth factor - 1.	3 - phosphoinositide - dependent protein kinase - 1,0,51,Gene_or_gene_product	PDK1,54,58,Gene_or_gene_product	insulin - like growth factor - 1,255,287,Gene_or_gene_product	"[{""token"": ""3 - phosphoinositide - dependent protein kinase - 1"", ""start_span"": 0, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""insulin - like growth factor - 1"", ""start_span"": 255, ""end_span"": 287, ""type"": ""Gene_or_gene_product""}]"	train
In response to extracellular stimuli, mitogen - activated protein kinase ( MAPK, also known as ERK) translocates from the cytoplasm to the nucleus.	mitogen - activated protein kinase,38,72,Gene_or_gene_product	MAPK,75,79,Gene_or_gene_product	ERK,95,98,Gene_or_gene_product	"[{""token"": ""mitogen - activated protein kinase"", ""start_span"": 38, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}]"	train
Moreover, while a dimerization - deficient mutant of MAPK was able to translocate to the nucleus upon stimulation, this mutant MAPK, when fused to beta - gal, became unable to enter the nucleus.	MAPK,53,57,Gene_or_gene_product	MAPK,127,131,Gene_or_gene_product	beta - gal,147,157,Gene_or_gene_product	"[{""token"": ""MAPK"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAPK"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - gal"", ""start_span"": 147, ""end_span"": 157, ""type"": ""Gene_or_gene_product""}]"	train
The structures of apo unphosphorylated ERK2, a related MAP kinase, and apo phosphorylated ERK2 have also been determined.	ERK2,39,43,Gene_or_gene_product	MAP kinase,55,65,Gene_or_gene_product	ERK2,90,94,Gene_or_gene_product	"[{""token"": ""ERK2"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""MAP kinase"", ""start_span"": 55, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK2"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}]"	train
Regulated nuclear localisation of the yeast transcription factor Ace2p controls expression of chitinase ( CTS1) in Saccharomyces cerevisiae.	Ace2p,65,70,Gene_or_gene_product	chitinase,94,103,Gene_or_gene_product	CTS1,106,110,Gene_or_gene_product	"[{""token"": ""Ace2p"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""chitinase"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}]"	train
The yeast transcription factor Ace2p regulates expression of the chitinase gene CTS1 in a cell cycle - dependent manner.	Ace2p,31,36,Gene_or_gene_product	chitinase,65,74,Gene_or_gene_product	CTS1,80,84,Gene_or_gene_product	"[{""token"": ""Ace2p"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}, {""token"": ""chitinase"", ""start_span"": 65, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""CTS1"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Gene_or_gene_product""}]"	train
There are two transcripts from the mdm2 gene that differ only in their 5 ' leaders: a long form ( L - mdm2) and a short form ( S - mdm2) that arise from the use of different promoters.	mdm2,35,39,Gene_or_gene_product	L - mdm2,98,106,Gene_or_gene_product	S - mdm2,127,135,Gene_or_gene_product	"[{""token"": ""mdm2"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""L - mdm2"", ""start_span"": 98, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}, {""token"": ""S - mdm2"", ""start_span"": 127, ""end_span"": 135, ""type"": ""Gene_or_gene_product""}]"	train
Proinflammatory cytokines, such as tumor necrosis factor ( TNF), activate NF - kappaB by stimulating the activity of the IkappaB kinases ( IKKs) which phosphorylate IkappaBalpha on serine residues 32 and 36, targeting it for rapid degradation by the 26 S proteasome.	tumor necrosis factor,35,56,Gene_or_gene_product	TNF,59,62,Gene_or_gene_product	IkappaBalpha,165,177,Gene_or_gene_product	"[{""token"": ""tumor necrosis factor"", ""start_span"": 35, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}, {""token"": ""TNF"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}, {""token"": ""IkappaBalpha"", ""start_span"": 165, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}]"	train
PDK1 homologs activate the Pkc1 - mitogen - activated protein kinase pathway in yeast.	PDK1,0,4,Gene_or_gene_product	Pkc1,27,31,Gene_or_gene_product	mitogen - activated protein kinase,34,68,Gene_or_gene_product	"[{""token"": ""PDK1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pkc1"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein kinase"", ""start_span"": 34, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}]"	train
We cloned a mouse phosphatidylinositol glycan - class N ( Pig - n) gene that encodes a 931amino acid protein expressed in the endoplasmic reticulum, which is homologous to yeast Mcd4p.	phosphatidylinositol glycan - class N,18,55,Gene_or_gene_product	Pig - n,58,65,Gene_or_gene_product	Mcd4p,178,183,Gene_or_gene_product	"[{""token"": ""phosphatidylinositol glycan - class N"", ""start_span"": 18, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""Pig - n"", ""start_span"": 58, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""Mcd4p"", ""start_span"": 178, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}]"	train
However, the heparan sulfates modified by 3 - OST - 2 and 3 - OST - 3A, isoforms of 3 - OST - 1, do not have anticoagulant activity, although these isoforms transfer sulfate to the 3 - OH position of glucosamine residues.	3 - OST - 2,42,53,Gene_or_gene_product	3 - OST - 3A,58,70,Gene_or_gene_product	3 - OST - 1,84,95,Gene_or_gene_product	"[{""token"": ""3 - OST - 2"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""3 - OST - 3A"", ""start_span"": 58, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}, {""token"": ""3 - OST - 1"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}]"	train
Hereditary multiple exostoses, a dominantly inherited genetic disorder characterized by multiple cartilaginous tumors, is caused by mutations in members of the EXT gene family, EXT1 or EXT2.	EXT,160,163,Gene_or_gene_product	EXT1,177,181,Gene_or_gene_product	EXT2,185,189,Gene_or_gene_product	"[{""token"": ""EXT"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""EXT1"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Gene_or_gene_product""}, {""token"": ""EXT2"", ""start_span"": 185, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}]"	train
