Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
In the present study, we used selective pharmacological inhibitors to investigate the roles of phosphatidylinositol - 3 ' - kinase ( PI3 - K), phospholipase C ( PLC), calcium - dependent protein kinase C ( PKC), extra - cellular signal regulated kinase ( ERK), and nuclear translocation factor kappa B ( NF - kappaB) on TLR2 - mediated oxidative burst.	phosphatidylinositol - 3 ' - kinase,95,130,Gene_or_gene_product	PI3 - K,133,140,Gene_or_gene_product	phospholipase C,143,158,Gene_or_gene_product	PLC,161,164,Gene_or_gene_product	protein kinase C,187,203,Gene_or_gene_product	PKC,206,209,Gene_or_gene_product	extra - cellular signal regulated kinase,212,252,Gene_or_gene_product	ERK,255,258,Gene_or_gene_product	TLR2,320,324,Gene_or_gene_product	"[{""token"": ""phosphatidylinositol - 3 ' - kinase"", ""start_span"": 95, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""PI3 - K"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""phospholipase C"", ""start_span"": 143, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""PLC"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}, {""token"": ""protein kinase C"", ""start_span"": 187, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""PKC"", ""start_span"": 206, ""end_span"": 209, ""type"": ""Gene_or_gene_product""}, {""token"": ""extra - cellular signal regulated kinase"", ""start_span"": 212, ""end_span"": 252, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 255, ""end_span"": 258, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR2"", ""start_span"": 320, ""end_span"": 324, ""type"": ""Gene_or_gene_product""}]"	train
These results suggest that PGN - induced IL - 6 production involves COX - 2 - generated PGE ( 2), activation of the EP2 and EP4 receptors, cAMP formation, and the activation of PKA, protein kinase C, p38 MAPK, IKKdbeta, kinase alphabeta, p65 phosphorylation, and NF - kappaB.	IL - 6,41,47,Gene_or_gene_product	COX - 2,68,75,Gene_or_gene_product	EP2,116,119,Gene_or_gene_product	EP4 receptors,124,137,Gene_or_gene_product	protein kinase C,182,198,Gene_or_gene_product	p38 MAPK,200,208,Gene_or_gene_product	IKKdbeta,210,218,Gene_or_gene_product	kinase alphabeta,220,236,Gene_or_gene_product	p65,238,241,Gene_or_gene_product	"[{""token"": ""IL - 6"", ""start_span"": 41, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""COX - 2"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Gene_or_gene_product""}, {""token"": ""EP2"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""EP4 receptors"", ""start_span"": 124, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}, {""token"": ""protein kinase C"", ""start_span"": 182, ""end_span"": 198, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38 MAPK"", ""start_span"": 200, ""end_span"": 208, ""type"": ""Gene_or_gene_product""}, {""token"": ""IKKdbeta"", ""start_span"": 210, ""end_span"": 218, ""type"": ""Gene_or_gene_product""}, {""token"": ""kinase alphabeta"", ""start_span"": 220, ""end_span"": 236, ""type"": ""Gene_or_gene_product""}, {""token"": ""p65"", ""start_span"": 238, ""end_span"": 241, ""type"": ""Gene_or_gene_product""}]"	train
Our data show that Bir1p links together a large passenger complex containing Ndc10p, Sli15p ( INCENP), and Ipl1p ( Aurora B) and that the interaction between Bir1p and Sli15p is specifically involved in regulating septin dynamics during anaphase.	Bir1p,19,24,Gene_or_gene_product	Ndc10p,77,83,Gene_or_gene_product	Sli15p,85,91,Gene_or_gene_product	INCENP,94,100,Gene_or_gene_product	Ipl1p,107,112,Gene_or_gene_product	Aurora B,115,123,Gene_or_gene_product	Bir1p,158,163,Gene_or_gene_product	Sli15p,168,174,Gene_or_gene_product	septin,214,220,Gene_or_gene_product	"[{""token"": ""Bir1p"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ndc10p"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sli15p"", ""start_span"": 85, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""INCENP"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ipl1p"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""Aurora B"", ""start_span"": 115, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}, {""token"": ""Bir1p"", ""start_span"": 158, ""end_span"": 163, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sli15p"", ""start_span"": 168, ""end_span"": 174, ""type"": ""Gene_or_gene_product""}, {""token"": ""septin"", ""start_span"": 214, ""end_span"": 220, ""type"": ""Gene_or_gene_product""}]"	train
In B cells from Cbl - b - deficient mice cross - linking the BCRs resulted in sustained phosphorylation of Igalpha, Syk, and phospholipase C ( PLC) - gamma2, leading to prolonged Ca2 + mobilization, and increases in extracellular signal - regulated kinase ( ERK) and c - Jun NH2 - terminal protein kinase ( JNK) phosphorylation and surface expression of the activation marker, CD69.	Cbl,16,19,Gene_or_gene_product	BCRs,61,65,Gene_or_gene_product	Igalpha,107,114,Gene_or_gene_product	Syk,116,119,Gene_or_gene_product	extracellular signal - regulated kinase,216,255,Gene_or_gene_product	ERK,258,261,Gene_or_gene_product	c - Jun NH2 - terminal protein kinase,267,304,Gene_or_gene_product	JNK,307,310,Gene_or_gene_product	CD69,377,381,Gene_or_gene_product	"[{""token"": ""Cbl"", ""start_span"": 16, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}, {""token"": ""BCRs"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""Igalpha"", ""start_span"": 107, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}, {""token"": ""Syk"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""extracellular signal - regulated kinase"", ""start_span"": 216, ""end_span"": 255, ""type"": ""Gene_or_gene_product""}, {""token"": ""ERK"", ""start_span"": 258, ""end_span"": 261, ""type"": ""Gene_or_gene_product""}, {""token"": ""c - Jun NH2 - terminal protein kinase"", ""start_span"": 267, ""end_span"": 304, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 307, ""end_span"": 310, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD69"", ""start_span"": 377, ""end_span"": 381, ""type"": ""Gene_or_gene_product""}]"	valid
We have developed a mathematical model for the canonical Wnt pathway that describes the interactions among the core components: Wnt, Frizzled, Dishevelled, GSK3beta, APC, axin, beta - catenin, and TCF.	Wnt,57,60,Gene_or_gene_product	Wnt,128,131,Gene_or_gene_product	Frizzled,133,141,Gene_or_gene_product	Dishevelled,143,154,Gene_or_gene_product	GSK3beta,156,164,Gene_or_gene_product	APC,166,169,Gene_or_gene_product	axin,171,175,Gene_or_gene_product	beta - catenin,177,191,Gene_or_gene_product	TCF,197,200,Gene_or_gene_product	"[{""token"": ""Wnt"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 128, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""Frizzled"", ""start_span"": 133, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}, {""token"": ""Dishevelled"", ""start_span"": 143, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""GSK3beta"", ""start_span"": 156, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}, {""token"": ""APC"", ""start_span"": 166, ""end_span"": 169, ""type"": ""Gene_or_gene_product""}, {""token"": ""axin"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 177, ""end_span"": 191, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Gene_or_gene_product""}]"	valid
In budding yeast, ubiquitination of the cyclin - dependent kinase ( Cdk) inhibitor Sic1 is catalyzed by the E2 ubiquitin conjugating enzyme Cdc34 in conjunction with an E3 ubiquitin ligase complex composed of Skp1, Cdc53 and the F - box protein, Cdc4 ( the SCFCdc4 complex).	cyclin - dependent kinase,40,65,Gene_or_gene_product	Cdk,68,71,Gene_or_gene_product	Sic1,83,87,Gene_or_gene_product	ubiquitin,111,120,Gene_or_gene_product	Cdc34,140,145,Gene_or_gene_product	ubiquitin,172,181,Gene_or_gene_product	Skp1,209,213,Gene_or_gene_product	Cdc53,215,220,Gene_or_gene_product	Cdc4,246,250,Gene_or_gene_product	"[{""token"": ""cyclin - dependent kinase"", ""start_span"": 40, ""end_span"": 65, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdk"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sic1"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Gene_or_gene_product""}, {""token"": ""ubiquitin"", ""start_span"": 111, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc34"", ""start_span"": 140, ""end_span"": 145, ""type"": ""Gene_or_gene_product""}, {""token"": ""ubiquitin"", ""start_span"": 172, ""end_span"": 181, ""type"": ""Gene_or_gene_product""}, {""token"": ""Skp1"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc53"", ""start_span"": 215, ""end_span"": 220, ""type"": ""Gene_or_gene_product""}, {""token"": ""Cdc4"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Gene_or_gene_product""}]"	valid
We find that the pattern of E2F and pRB - related polypeptides recruited to these promoters changes in a strikingly dynamic fashion as cells progress from quiescence into G ( 1) and S phase: Repression of each promoter in quiescent cells is associated with recruitment of E2F - 4 and p130 and low levels of histone acetylation, but by late G ( 1), these proteins are replaced largely by E2F - 1 and E2F - 3, in concert with acetylation of histones H3 and H4 and gene activation.	E2F,28,31,Gene_or_gene_product	pRB,36,39,Gene_or_gene_product	E2F - 4,272,279,Gene_or_gene_product	p130,284,288,Gene_or_gene_product	histone,307,314,Gene_or_gene_product	E2F - 1,387,394,Gene_or_gene_product	E2F - 3,399,406,Gene_or_gene_product	histones H3,439,450,Gene_or_gene_product	H4,455,457,Gene_or_gene_product	"[{""token"": ""E2F"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}, {""token"": ""pRB"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F - 4"", ""start_span"": 272, ""end_span"": 279, ""type"": ""Gene_or_gene_product""}, {""token"": ""p130"", ""start_span"": 284, ""end_span"": 288, ""type"": ""Gene_or_gene_product""}, {""token"": ""histone"", ""start_span"": 307, ""end_span"": 314, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F - 1"", ""start_span"": 387, ""end_span"": 394, ""type"": ""Gene_or_gene_product""}, {""token"": ""E2F - 3"", ""start_span"": 399, ""end_span"": 406, ""type"": ""Gene_or_gene_product""}, {""token"": ""histones H3"", ""start_span"": 439, ""end_span"": 450, ""type"": ""Gene_or_gene_product""}, {""token"": ""H4"", ""start_span"": 455, ""end_span"": 457, ""type"": ""Gene_or_gene_product""}]"	test
The phosphorylation state of p38 ( alpha and gamma) and the upstream regulators of JNK and p38, mitogen - activated protein kinase kinase 4 ( MKK4) and mitogen - activated protein kinase kinase 6 ( MKK6), were assessed using phosphospecific antibodies.	p38,29,32,Gene_or_gene_product	alpha,35,40,Gene_or_gene_product	gamma,45,50,Gene_or_gene_product	JNK,83,86,Gene_or_gene_product	p38,91,94,Gene_or_gene_product	mitogen - activated protein kinase kinase 4,96,139,Gene_or_gene_product	MKK4,142,146,Gene_or_gene_product	mitogen - activated protein kinase kinase 6,152,195,Gene_or_gene_product	MKK6,198,202,Gene_or_gene_product	"[{""token"": ""p38"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""alpha"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""gamma"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""p38"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein kinase kinase 4"", ""start_span"": 96, ""end_span"": 139, ""type"": ""Gene_or_gene_product""}, {""token"": ""MKK4"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitogen - activated protein kinase kinase 6"", ""start_span"": 152, ""end_span"": 195, ""type"": ""Gene_or_gene_product""}, {""token"": ""MKK6"", ""start_span"": 198, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}]"	test
The INK4a - ARF locus, located on chromosome 9p21, encodes two cell - cycle regulatory proteins, p16 ( INK4a) and p14 ( ARF), acting through the Rb - CDK4 and p53 pathways.	INK4a,4,9,Gene_or_gene_product	ARF,12,15,Gene_or_gene_product	p16,97,100,Gene_or_gene_product	INK4a,103,108,Gene_or_gene_product	p14,114,117,Gene_or_gene_product	ARF,120,123,Gene_or_gene_product	Rb,145,147,Gene_or_gene_product	CDK4,150,154,Gene_or_gene_product	p53,159,162,Gene_or_gene_product	"[{""token"": ""INK4a"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}, {""token"": ""ARF"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""p16"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Gene_or_gene_product""}, {""token"": ""INK4a"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""p14"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Gene_or_gene_product""}, {""token"": ""ARF"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}, {""token"": ""Rb"", ""start_span"": 145, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}, {""token"": ""CDK4"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 159, ""end_span"": 162, ""type"": ""Gene_or_gene_product""}]"	test
We show here that BRCA1 is required for ATM - and ATR - dependent phosphorylation of p53, c - Jun, Nbs1 and Chk2 following exposure to ionizing or ultraviolet radiation, respectively, and is also required for ATM phosphorylation of CtIP.	BRCA1,18,23,Gene_or_gene_product	ATM,40,43,Gene_or_gene_product	ATR,50,53,Gene_or_gene_product	p53,85,88,Gene_or_gene_product	c - Jun,90,97,Gene_or_gene_product	Nbs1,99,103,Gene_or_gene_product	Chk2,108,112,Gene_or_gene_product	ATM,209,212,Gene_or_gene_product	CtIP,232,236,Gene_or_gene_product	"[{""token"": ""BRCA1"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATM"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATR"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""p53"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}, {""token"": ""c - Jun"", ""start_span"": 90, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}, {""token"": ""Nbs1"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}, {""token"": ""Chk2"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATM"", ""start_span"": 209, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""CtIP"", ""start_span"": 232, ""end_span"": 236, ""type"": ""Gene_or_gene_product""}]"	test
