Signaling by proinflammatory cytokines: oligomerization of TRAF2 and TRAF6 is sufficient for JNK and IKK activation and target gene induction via an amino - terminal effector domain.	"TRAF2	59	64	Gene_or_gene_product"	"TRAF6	69	74	Gene_or_gene_product"	"JNK	93	96	Gene_or_gene_product"	"[{""token"": ""TRAF2"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF6"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}, {""token"": ""JNK"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
TNF - alpha also enhances the binding of native TRAF2 to MEKK1 and stimulates the kinase activity of the latter.	"TNF - alpha	0	11	Gene_or_gene_product"	"TRAF2	48	53	Gene_or_gene_product"	"MEKK1	57	62	Gene_or_gene_product"	"[{""token"": ""TNF - alpha"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}, {""token"": ""TRAF2"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""MEKK1"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
We show that whole Gram - positive bacteria, sPGN and LTA induce the activation of NF - kappaB in HEK293 cells expressing TLR2 but not in cells expressing TLR1 or TLR4.	"TLR2	122	126	Gene_or_gene_product"	"TLR1	155	159	Gene_or_gene_product"	"TLR4	163	167	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR1"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Gene_or_gene_product""}, {""token"": ""TLR4"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}]"
Wnt stabilizes cytosolic beta - catenin, which then binds to TCF and activates gene transcription.	"Wnt	0	3	Gene_or_gene_product"	"beta - catenin	25	39	Gene_or_gene_product"	"TCF	61	64	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 25, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
In C. elegans, the proteins MOM - 4 and LIT - 1 regulate Wnt signalling to polarize responding cells during embryogenesis.	"MOM - 4	28	35	Gene_or_gene_product"	"LIT - 1	40	47	Gene_or_gene_product"	"Wnt	57	60	Gene_or_gene_product"	"[{""token"": ""MOM - 4"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}, {""token"": ""LIT - 1"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"
These results raise the possibility that TAK1 and NLK are also involved in Wnt signalling in mammalian cells.	"TAK1	41	45	Gene_or_gene_product"	"NLK	50	53	Gene_or_gene_product"	"Wnt	75	78	Gene_or_gene_product"	"[{""token"": ""TAK1"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}, {""token"": ""NLK"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
NLK phosphorylates TCF / LEF factors and inhibits the interaction of the beta - catenin - TCF complex with DNA.	"NLK	0	3	Gene_or_gene_product"	"TCF	19	22	Gene_or_gene_product"	"LEF factors	25	36	Gene_or_gene_product"	"[{""token"": ""NLK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""TCF"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""LEF factors"", ""start_span"": 25, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
Wnt - induced dephosphorylation of axin releases beta - catenin from the axin complex.	"Wnt	0	3	Gene_or_gene_product"	"axin	35	39	Gene_or_gene_product"	"beta - catenin	49	63	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""axin"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 49, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
Wnt signaling stabilizes beta - catenin, but it was not clear whether and how Wnt signaling regulates the beta - catenin complex.	"Wnt	0	3	Gene_or_gene_product"	"beta - catenin	25	39	Gene_or_gene_product"	"Wnt	78	81	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}, {""token"": ""beta - catenin"", ""start_span"": 25, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wnt"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
3 - phosphoinositide - dependent protein kinase - 1 ( PDK1) expressed in unstimulated 293 cells was phosphorylated at Ser - 25, Ser - 241, Ser - 393, Ser - 396 and Ser - 410 and the level of phosphorylation of each site was unaffected by stimulation with insulin - like growth factor - 1.	"3 - phosphoinositide - dependent protein kinase - 1	0	51	Gene_or_gene_product"	"PDK1	54	58	Gene_or_gene_product"	"insulin - like growth factor - 1	255	287	Gene_or_gene_product"	"[{""token"": ""3 - phosphoinositide - dependent protein kinase - 1"", ""start_span"": 0, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""PDK1"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}, {""token"": ""insulin - like growth factor - 1"", ""start_span"": 255, ""end_span"": 287, ""type"": ""Gene_or_gene_product""}]"
