Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	json	split
The four Acdp genes ( Acdp1, Acdp2, Acdp3 and Acdp4) contain 3, 631 bp, 3, 244 bp, 2, 684 bp and 2, 743 bp of cDNA sequences, and encode deduced proteins of 951, 874, 713 and 771 amino acids, respectively.	genes,14,19,Sequence	Acdp1,22,27,Gene_or_geneproduct	Acdp2,29,34,Gene_or_geneproduct	Acdp3,36,41,Gene_or_geneproduct	Acdp4,46,51,Gene_or_geneproduct	bp,68,70,Sequence	bp,79,81,Sequence	bp,90,92,Sequence	bp,104,106,Sequence	cDNA sequences,110,124,Sequence	deduced,137,144,Sequence	proteins,145,153,Chemical	amino acids,179,190,Chemical	"[{""token"": ""genes"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Sequence""}, {""token"": ""Acdp1"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Acdp2"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Acdp3"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Acdp4"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_geneproduct""}, {""token"": ""bp"", ""start_span"": 68, ""end_span"": 70, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 79, ""end_span"": 81, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 90, ""end_span"": 92, ""type"": ""Sequence""}, {""token"": ""bp"", ""start_span"": 104, ""end_span"": 106, ""type"": ""Sequence""}, {""token"": ""cDNA sequences"", ""start_span"": 110, ""end_span"": 124, ""type"": ""Sequence""}, {""token"": ""deduced"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Sequence""}, {""token"": ""proteins"", ""start_span"": 145, ""end_span"": 153, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 179, ""end_span"": 190, ""type"": ""Chemical""}]"	train
Consistent with a defect in mitochondrial biogenesis, we found a reduction in the expression of nuclear genes encoding proteins involved in mitochondrial electron transport ( cytochrome c and cytochrome oxidase IV) and oxidative phosphorylation ( beta subunit of ATP synthase) in soleus muscle of PGC - 1 alpha - / - mice compared with PGC - 1 alpha + / + controls.	mitochondrial,28,41,GO_ontology	nuclear genes,96,109,Sequence	proteins,119,127,Chemical	mitochondrial,140,153,GO_ontology	electron,154,162,Chemical	cytochrome c,175,187,Gene_or_geneproduct	cytochrome oxidase IV,192,213,Gene_or_geneproduct	beta subunit of ATP synthase,247,275,Gene_or_geneproduct	PGC - 1 alpha,297,310,Gene_or_geneproduct	mice,317,321,Organism	PGC - 1 alpha,336,349,Gene_or_geneproduct	+,350,351,Sequence	+,354,355,Sequence	"[{""token"": ""mitochondrial"", ""start_span"": 28, ""end_span"": 41, ""type"": ""GO_ontology""}, {""token"": ""nuclear genes"", ""start_span"": 96, ""end_span"": 109, ""type"": ""Sequence""}, {""token"": ""proteins"", ""start_span"": 119, ""end_span"": 127, ""type"": ""Chemical""}, {""token"": ""mitochondrial"", ""start_span"": 140, ""end_span"": 153, ""type"": ""GO_ontology""}, {""token"": ""electron"", ""start_span"": 154, ""end_span"": 162, ""type"": ""Chemical""}, {""token"": ""cytochrome c"", ""start_span"": 175, ""end_span"": 187, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cytochrome oxidase IV"", ""start_span"": 192, ""end_span"": 213, ""type"": ""Gene_or_geneproduct""}, {""token"": ""beta subunit of ATP synthase"", ""start_span"": 247, ""end_span"": 275, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 297, ""end_span"": 310, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 317, ""end_span"": 321, ""type"": ""Organism""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 336, ""end_span"": 349, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 350, ""end_span"": 351, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 354, ""end_span"": 355, ""type"": ""Sequence""}]"	train
Antibodies used in this study were mAb 203 - 217 directed against the core domain of mouse Annexin A7 [ 6] ( purified IgG, 1: 50) specifically recognizing both Annexin A7 isoforms [ [ 6, 10], and data not shown], a polyclonal antibody against mouse Annexin A7 [ 10] ( 1: 200), a polyclonal antiserum raised against the astrocyte - specific intermediate filament glial fibrillary acidic protein ( GFAP; DAKO, 1: 400), anti - beta - tubulin ( Sigma, 1: 1000), anti - Emerin ( novocastra, 1: 2000), and polyclonal anti - LAP2 alpha ( kindly provided by Ronald Foisner, 1: 5000).	Antibodies,0,10,GO_ontology	domain,75,81,Sequence	mouse Annexin A7,85,101,Gene_or_geneproduct	Annexin A7,160,170,Gene_or_geneproduct	isoforms,171,179,Sequence	antibody,226,234,GO_ontology	mouse Annexin A7,243,259,Gene_or_geneproduct	astrocyte,319,328,Cell	intermediate filament,340,361,GO_ontology	glial fibrillary acidic protein,362,393,Gene_or_geneproduct	GFAP,396,400,Gene_or_geneproduct	tubulin,431,438,GO_ontology	Emerin,465,471,Gene_or_geneproduct	"[{""token"": ""Antibodies"", ""start_span"": 0, ""end_span"": 10, ""type"": ""GO_ontology""}, {""token"": ""domain"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Sequence""}, {""token"": ""mouse Annexin A7"", ""start_span"": 85, ""end_span"": 101, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Annexin A7"", ""start_span"": 160, ""end_span"": 170, ""type"": ""Gene_or_geneproduct""}, {""token"": ""isoforms"", ""start_span"": 171, ""end_span"": 179, ""type"": ""Sequence""}, {""token"": ""antibody"", ""start_span"": 226, ""end_span"": 234, ""type"": ""GO_ontology""}, {""token"": ""mouse Annexin A7"", ""start_span"": 243, ""end_span"": 259, ""type"": ""Gene_or_geneproduct""}, {""token"": ""astrocyte"", ""start_span"": 319, ""end_span"": 328, ""type"": ""Cell""}, {""token"": ""intermediate filament"", ""start_span"": 340, ""end_span"": 361, ""type"": ""GO_ontology""}, {""token"": ""glial fibrillary acidic protein"", ""start_span"": 362, ""end_span"": 393, ""type"": ""Gene_or_geneproduct""}, {""token"": ""GFAP"", ""start_span"": 396, ""end_span"": 400, ""type"": ""Gene_or_geneproduct""}, {""token"": ""tubulin"", ""start_span"": 431, ""end_span"": 438, ""type"": ""GO_ontology""}, {""token"": ""Emerin"", ""start_span"": 465, ""end_span"": 471, ""type"": ""Gene_or_geneproduct""}]"	train
In contrast, the expression level of the anti - apoptotic Bcl2 family members Bcl - xl and Bcl2 was significantly increased when compared to wild - type levels ( Bcl2, 157%; Bcl - xl, 259%; average of n = 3 independent experiments; Figure 6O and 6P), providing a potential molecular explanation for the enhanced neuronal survival of DRG neurons of TauEWS - Pea3 / + Isl1Cre / + embryos in the absence of Trk receptor expression [ 30].	anti - apoptotic Bcl2 family members,41,77,Gene_or_geneproduct	Bcl - xl,78,86,Gene_or_geneproduct	Bcl2,91,95,Gene_or_geneproduct	wild - type,141,152,Sequence	Bcl2,162,166,Gene_or_geneproduct	Bcl - xl,174,182,Gene_or_geneproduct	molecular,273,282,Chemical	neuronal,312,320,Cell	neurons,337,344,Cell	Pea3,357,361,Gene_or_geneproduct	+,364,365,Sequence	+,376,377,Sequence	Trk receptor,404,416,Gene_or_geneproduct	"[{""token"": ""anti - apoptotic Bcl2 family members"", ""start_span"": 41, ""end_span"": 77, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bcl - xl"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bcl2"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene_or_geneproduct""}, {""token"": ""wild - type"", ""start_span"": 141, ""end_span"": 152, ""type"": ""Sequence""}, {""token"": ""Bcl2"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bcl - xl"", ""start_span"": 174, ""end_span"": 182, ""type"": ""Gene_or_geneproduct""}, {""token"": ""molecular"", ""start_span"": 273, ""end_span"": 282, ""type"": ""Chemical""}, {""token"": ""neuronal"", ""start_span"": 312, ""end_span"": 320, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 337, ""end_span"": 344, ""type"": ""Cell""}, {""token"": ""Pea3"", ""start_span"": 357, ""end_span"": 361, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 364, ""end_span"": 365, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 376, ""end_span"": 377, ""type"": ""Sequence""}, {""token"": ""Trk receptor"", ""start_span"": 404, ""end_span"": 416, ""type"": ""Gene_or_geneproduct""}]"	train
To date only three PAX6 protein - protein interactions have been described: with SOX2 on the lens - specific enhancer element of the delta - crystallin gene [ 22]; with MDIA, which modulates PAX6 activity in early neuronal development [ 23], and with MAF proteins on the glucagon promoter, which causes increased expression of this pancreatic hormone gene [ 17].	PAX6,19,23,Gene_or_geneproduct	protein,24,31,Chemical	protein,34,41,Chemical	SOX2,81,85,Gene_or_geneproduct	enhancer element,109,125,Sequence	gene,152,156,Sequence	PAX6,191,195,Gene_or_geneproduct	neuronal,214,222,Cell	proteins,255,263,Chemical	glucagon,271,279,Gene_or_geneproduct	promoter,280,288,Sequence	hormone,343,350,Chemical	gene,351,355,Sequence	"[{""token"": ""PAX6"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_geneproduct""}, {""token"": ""protein"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 34, ""end_span"": 41, ""type"": ""Chemical""}, {""token"": ""SOX2"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Gene_or_geneproduct""}, {""token"": ""enhancer element"", ""start_span"": 109, ""end_span"": 125, ""type"": ""Sequence""}, {""token"": ""gene"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 191, ""end_span"": 195, ""type"": ""Gene_or_geneproduct""}, {""token"": ""neuronal"", ""start_span"": 214, ""end_span"": 222, ""type"": ""Cell""}, {""token"": ""proteins"", ""start_span"": 255, ""end_span"": 263, ""type"": ""Chemical""}, {""token"": ""glucagon"", ""start_span"": 271, ""end_span"": 279, ""type"": ""Gene_or_geneproduct""}, {""token"": ""promoter"", ""start_span"": 280, ""end_span"": 288, ""type"": ""Sequence""}, {""token"": ""hormone"", ""start_span"": 343, ""end_span"": 350, ""type"": ""Chemical""}, {""token"": ""gene"", ""start_span"": 351, ""end_span"": 355, ""type"": ""Sequence""}]"	train
We hypothesised that the C - terminal peptide might be involved in protein - protein interactions, and we tested this by screening a cDNA library using the yeast two - hybrid system with a construct ( PAX6CTP) in which the 32 amino acid C - terminal peptide was fused to the yeast GAL4 DNA binding domain.	C - terminal,25,37,Sequence	peptide,38,45,Sequence	protein,67,74,Chemical	protein,77,84,Chemical	cDNA,133,137,Sequence	yeast,156,161,Organism	construct,189,198,Sequence	amino acid,226,236,Chemical	C - terminal,237,249,Sequence	peptide,250,257,Sequence	yeast GAL4,275,285,Gene_or_geneproduct	DNA,286,289,Sequence	domain,298,304,Sequence	"[{""token"": ""C - terminal"", ""start_span"": 25, ""end_span"": 37, ""type"": ""Sequence""}, {""token"": ""peptide"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Sequence""}, {""token"": ""protein"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""cDNA"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Sequence""}, {""token"": ""yeast"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Organism""}, {""token"": ""construct"", ""start_span"": 189, ""end_span"": 198, ""type"": ""Sequence""}, {""token"": ""amino acid"", ""start_span"": 226, ""end_span"": 236, ""type"": ""Chemical""}, {""token"": ""C - terminal"", ""start_span"": 237, ""end_span"": 249, ""type"": ""Sequence""}, {""token"": ""peptide"", ""start_span"": 250, ""end_span"": 257, ""type"": ""Sequence""}, {""token"": ""yeast GAL4"", ""start_span"": 275, ""end_span"": 285, ""type"": ""Gene_or_geneproduct""}, {""token"": ""DNA"", ""start_span"": 286, ""end_span"": 289, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 298, ""end_span"": 304, ""type"": ""Sequence""}]"	train
Insertion of a single T nucleotide at position 1629 changes the stop codon ( TAA) to a leucine codon ( TTA) and generates a full length PAX6 protein with a C - terminal extension that extends for a further 35 amino acids into the 3 ' untranslated region.	Insertion,0,9,Sequence	T,22,23,Chemical	nucleotide,24,34,Sequence	position,38,46,Sequence	changes,52,59,Sequence	stop codon,64,74,Sequence	leucine,87,94,Chemical	codon,95,100,Sequence	PAX6,136,140,Gene_or_geneproduct	protein,141,148,Chemical	C - terminal,156,168,Sequence	amino acids,209,220,Chemical	3 ' untranslated region,230,253,Sequence	"[{""token"": ""Insertion"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Sequence""}, {""token"": ""T"", ""start_span"": 22, ""end_span"": 23, ""type"": ""Chemical""}, {""token"": ""nucleotide"", ""start_span"": 24, ""end_span"": 34, ""type"": ""Sequence""}, {""token"": ""position"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Sequence""}, {""token"": ""changes"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Sequence""}, {""token"": ""stop codon"", ""start_span"": 64, ""end_span"": 74, ""type"": ""Sequence""}, {""token"": ""leucine"", ""start_span"": 87, ""end_span"": 94, ""type"": ""Chemical""}, {""token"": ""codon"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Sequence""}, {""token"": ""PAX6"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Gene_or_geneproduct""}, {""token"": ""protein"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""C - terminal"", ""start_span"": 156, ""end_span"": 168, ""type"": ""Sequence""}, {""token"": ""amino acids"", ""start_span"": 209, ""end_span"": 220, ""type"": ""Chemical""}, {""token"": ""3 ' untranslated region"", ""start_span"": 230, ""end_span"": 253, ""type"": ""Sequence""}]"	train
Comparison of MCAD + / + and MCAD - / - mice revealed no significant differences in total serum carnitine concentrations between MCAD + / + and MCAD - / - mice, but MCAD - / - mice had a 5 - to 6 - fold elevation of serum decenoylcarnitine evident in the acylcarnitine profile ( Figure 4A).	MCAD,14,18,Gene_or_geneproduct	+,19,20,Sequence	+,23,24,Sequence	MCAD,29,33,Gene_or_geneproduct	mice,40,44,Organism	MCAD,129,133,Gene_or_geneproduct	+,134,135,Sequence	+,138,139,Sequence	MCAD,144,148,Gene_or_geneproduct	mice,155,159,Organism	MCAD,165,169,Gene_or_geneproduct	mice,176,180,Organism	acylcarnitine,255,268,Chemical	"[{""token"": ""MCAD"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 19, ""end_span"": 20, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 23, ""end_span"": 24, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 134, ""end_span"": 135, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 138, ""end_span"": 139, ""type"": ""Sequence""}, {""token"": ""MCAD"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 165, ""end_span"": 169, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Organism""}, {""token"": ""acylcarnitine"", ""start_span"": 255, ""end_span"": 268, ""type"": ""Chemical""}]"	train
Twelve mice were examined for gross and histologic abnormalities, including one male and one female MCAD - / - mouse 18 - mo - old, one male and one female MCAD + / + mouse 6 - mo - old, two male and two female MCAD - / - mice 4 - wk - old, and two male and two female MCAD + / + mice 4 - wk - old.	mice,7,11,Organism	MCAD,100,104,Gene_or_geneproduct	mouse,111,116,Organism	MCAD,156,160,Gene_or_geneproduct	+,161,162,Sequence	+,165,166,Sequence	mouse,167,172,Organism	MCAD,211,215,Gene_or_geneproduct	mice,222,226,Organism	MCAD,269,273,Gene_or_geneproduct	+,274,275,Sequence	+,278,279,Sequence	mice,280,284,Organism	"[{""token"": ""mice"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mouse"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 161, ""end_span"": 162, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 165, ""end_span"": 166, ""type"": ""Sequence""}, {""token"": ""mouse"", ""start_span"": 167, ""end_span"": 172, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Organism""}, {""token"": ""MCAD"", ""start_span"": 269, ""end_span"": 273, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 274, ""end_span"": 275, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 278, ""end_span"": 279, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 280, ""end_span"": 284, ""type"": ""Organism""}]"	train
In light of the association in vivo of RanBP2 with Cox11 and HKI ( Figures 1 and 3), profound in vitro modulation of HKI enzymatic activity by RanBP2 and Cox11 ( Figure 2), and the critical role of HKI in catalyzing a rate - limiting step of glycolysis, we probed whether RanBP2 + / - mice presented disturbances in HKI, Cox11, and energy homeostasis.	RanBP2,39,45,Gene_or_geneproduct	Cox11,51,56,Gene_or_geneproduct	HKI,61,64,Gene_or_geneproduct	HKI,117,120,Gene_or_geneproduct	enzymatic,121,130,Sequence	RanBP2,143,149,Gene_or_geneproduct	Cox11,154,159,Gene_or_geneproduct	HKI,198,201,Gene_or_geneproduct	RanBP2,272,278,Gene_or_geneproduct	+,279,280,Sequence	mice,285,289,Organism	HKI,316,319,Gene_or_geneproduct	Cox11,321,326,Gene_or_geneproduct	"[{""token"": ""RanBP2"", ""start_span"": 39, ""end_span"": 45, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HKI"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HKI"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Gene_or_geneproduct""}, {""token"": ""enzymatic"", ""start_span"": 121, ""end_span"": 130, ""type"": ""Sequence""}, {""token"": ""RanBP2"", ""start_span"": 143, ""end_span"": 149, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 154, ""end_span"": 159, ""type"": ""Gene_or_geneproduct""}, {""token"": ""HKI"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Gene_or_geneproduct""}, {""token"": ""RanBP2"", ""start_span"": 272, ""end_span"": 278, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 279, ""end_span"": 280, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 285, ""end_span"": 289, ""type"": ""Organism""}, {""token"": ""HKI"", ""start_span"": 316, ""end_span"": 319, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cox11"", ""start_span"": 321, ""end_span"": 326, ""type"": ""Gene_or_geneproduct""}]"	train
