To investigate the effects of a deficiency of Abcg8 / sterolin - 2 on the genes that regulate sterol metabolism, quantitative RT - PCR was performed looking at the expression levels of Abcg5, Abcg8, Hmgr, Cyp7a1, Abca1, Mdr2, Lxr, Srebp - 1c, and Srebp - 2 mRNA in the livers of mice fed a regular chow diet ( Figure 4a).	"Abcg8	46	51	Gene_or_geneproduct"	"sterolin - 2	54	66	Gene_or_geneproduct"	"genes	74	79	Sequence"	"sterol	94	100	Chemical"	"Abcg5	185	190	Gene_or_geneproduct"	"Abcg8	192	197	Gene_or_geneproduct"	"Hmgr	199	203	Gene_or_geneproduct"	"Cyp7a1	205	211	Gene_or_geneproduct"	"Abca1	213	218	Gene_or_geneproduct"	"Mdr2	220	224	Gene_or_geneproduct"	"Lxr	226	229	Gene_or_geneproduct"	"Srebp - 1c	231	241	Gene_or_geneproduct"	"Srebp - 2	247	256	Gene_or_geneproduct"	"mRNA	257	261	Chemical"	"mice	279	283	Organism"	"chow	298	302	Chemical"	"[{""token"": ""Abcg8"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_geneproduct""}, {""token"": ""sterolin - 2"", ""start_span"": 54, ""end_span"": 66, ""type"": ""Gene_or_geneproduct""}, {""token"": ""genes"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Sequence""}, {""token"": ""sterol"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""Abcg5"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Abcg8"", ""start_span"": 192, ""end_span"": 197, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Hmgr"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Cyp7a1"", ""start_span"": 205, ""end_span"": 211, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Abca1"", ""start_span"": 213, ""end_span"": 218, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Mdr2"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Lxr"", ""start_span"": 226, ""end_span"": 229, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Srebp - 1c"", ""start_span"": 231, ""end_span"": 241, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Srebp - 2"", ""start_span"": 247, ""end_span"": 256, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mRNA"", ""start_span"": 257, ""end_span"": 261, ""type"": ""Chemical""}, {""token"": ""mice"", ""start_span"": 279, ""end_span"": 283, ""type"": ""Organism""}, {""token"": ""chow"", ""start_span"": 298, ""end_span"": 302, ""type"": ""Chemical""}]"
Slides were incubated overnight at 4 degrees C with primary antibodies in PBS - TX with 1 - 3% BSA [ rabbit anti - pendrin, 1: 500 ( h766 - 780); rat anti - ZO - 1, 1: 100 ( Chemicon, Temecula, CA); goat anti - KCNQ1, 1: 200 ( C20, Santa Cruz Biotechnology, Santa Cruz, CA), rabbit anti - KCNE1, 1: 200 ( Alomone, Jerusalem, Israel); rabbit anti - KCNJ10, 1: 300 ( Alomone); rabbit anti - SLC12A2, 1: 100 ( Chemicon); and rabbit anti - connexin 26, 1: 100 ( Zymed, San Francisco, CA)].	"antibodies	60	70	GO_ontology"	"BSA	95	98	Gene_or_geneproduct"	"rabbit	101	107	Organism"	"pendrin	115	122	Gene_or_geneproduct"	"rat	146	149	Organism"	"ZO - 1	157	163	Gene_or_geneproduct"	"goat	199	203	Organism"	"KCNQ1	211	216	Gene_or_geneproduct"	"rabbit	275	281	Organism"	"KCNE1	289	294	Gene_or_geneproduct"	"rabbit	334	340	Organism"	"KCNJ10	348	354	Gene_or_geneproduct"	"rabbit	375	381	Organism"	"SLC12A2	389	396	Gene_or_geneproduct"	"rabbit	422	428	Organism"	"connexin 26	436	447	Gene_or_geneproduct"	"[{""token"": ""antibodies"", ""start_span"": 60, ""end_span"": 70, ""type"": ""GO_ontology""}, {""token"": ""BSA"", ""start_span"": 95, ""end_span"": 98, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 101, ""end_span"": 107, ""type"": ""Organism""}, {""token"": ""pendrin"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rat"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Organism""}, {""token"": ""ZO - 1"", ""start_span"": 157, ""end_span"": 163, ""type"": ""Gene_or_geneproduct""}, {""token"": ""goat"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Organism""}, {""token"": ""KCNQ1"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 275, ""end_span"": 281, ""type"": ""Organism""}, {""token"": ""KCNE1"", ""start_span"": 289, ""end_span"": 294, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 334, ""end_span"": 340, ""type"": ""Organism""}, {""token"": ""KCNJ10"", ""start_span"": 348, ""end_span"": 354, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 375, ""end_span"": 381, ""type"": ""Organism""}, {""token"": ""SLC12A2"", ""start_span"": 389, ""end_span"": 396, ""type"": ""Gene_or_geneproduct""}, {""token"": ""rabbit"", ""start_span"": 422, ""end_span"": 428, ""type"": ""Organism""}, {""token"": ""connexin 26"", ""start_span"": 436, ""end_span"": 447, ""type"": ""Gene_or_geneproduct""}]"
KCNQ1 and KCNE1, subunits of the secretory K + channel, were co - localized in the apical membrane of strial marginal cells; the Na + / 2Cl - / K + cotransporter SLC12A2, which is located in the basolateral membrane of strial marginal cells, was found in stria vascularis; and the gap junction protein GJB2 was found in spiral ligament of Slc26a4 + / + and Slc26a4 - / - mice ( Fig. 8).	"KCNQ1	0	5	Gene_or_geneproduct"	"KCNE1	10	15	Gene_or_geneproduct"	"K +	43	46	Chemical"	"apical membrane of strial marginal cells	83	123	GO_ontology"	"Na +	129	133	Chemical"	"K +	144	147	Chemical"	"SLC12A2	162	169	Gene_or_geneproduct"	"basolateral membrane of strial marginal cells	195	240	GO_ontology"	"gap junction	281	293	GO_ontology"	"protein	294	301	Chemical"	"GJB2	302	306	Gene_or_geneproduct"	"Slc26a4	339	346	Gene_or_geneproduct"	"+	347	348	Sequence"	"+	351	352	Sequence"	"Slc26a4	357	364	Gene_or_geneproduct"	"mice	371	375	Organism"	"[{""token"": ""KCNQ1"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_geneproduct""}, {""token"": ""KCNE1"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Gene_or_geneproduct""}, {""token"": ""K +"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Chemical""}, {""token"": ""apical membrane of strial marginal cells"", ""start_span"": 83, ""end_span"": 123, ""type"": ""GO_ontology""}, {""token"": ""Na +"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Chemical""}, {""token"": ""K +"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Chemical""}, {""token"": ""SLC12A2"", ""start_span"": 162, ""end_span"": 169, ""type"": ""Gene_or_geneproduct""}, {""token"": ""basolateral membrane of strial marginal cells"", ""start_span"": 195, ""end_span"": 240, ""type"": ""GO_ontology""}, {""token"": ""gap junction"", ""start_span"": 281, ""end_span"": 293, ""type"": ""GO_ontology""}, {""token"": ""protein"", ""start_span"": 294, ""end_span"": 301, ""type"": ""Chemical""}, {""token"": ""GJB2"", ""start_span"": 302, ""end_span"": 306, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Slc26a4"", ""start_span"": 339, ""end_span"": 346, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 347, ""end_span"": 348, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 351, ""end_span"": 352, ""type"": ""Sequence""}, {""token"": ""Slc26a4"", ""start_span"": 357, ""end_span"": 364, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 371, ""end_span"": 375, ""type"": ""Organism""}]"
Battenin and lysosomal and endosomal marker co - staining in wild - type and homozygous CbCln3 Delta ex7 / 8 cerebellar precursor cells Batp1 immunostaining of wild - type ( CbCln3 + / +) and homozygous mutant ( CbCln3 Delta ex7 / 8 / Delta ex7 / 8) cerebellar precursor cells is shown, with co - staining for lysosomes ( Lamp 1), early endosomes ( EEA1), and late endosomes ( Rab7).	"Battenin	0	8	Gene_or_geneproduct"	"lysosomal	13	22	GO_ontology"	"endosomal	27	36	GO_ontology"	"wild - type	61	72	Sequence"	"cells	130	135	Cell"	"wild - type	160	171	Sequence"	"+	181	182	Sequence"	"+	185	186	Sequence"	"mutant	203	209	Sequence"	"cells	271	276	Cell"	"lysosomes	310	319	GO_ontology"	"Lamp 1	322	328	Gene_or_geneproduct"	"early endosomes	331	346	GO_ontology"	"EEA1	349	353	Gene_or_geneproduct"	"late endosomes	360	374	GO_ontology"	"Rab7	377	381	Gene_or_geneproduct"	"[{""token"": ""Battenin"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_geneproduct""}, {""token"": ""lysosomal"", ""start_span"": 13, ""end_span"": 22, ""type"": ""GO_ontology""}, {""token"": ""endosomal"", ""start_span"": 27, ""end_span"": 36, ""type"": ""GO_ontology""}, {""token"": ""wild - type"", ""start_span"": 61, ""end_span"": 72, ""type"": ""Sequence""}, {""token"": ""cells"", ""start_span"": 130, ""end_span"": 135, ""type"": ""Cell""}, {""token"": ""wild - type"", ""start_span"": 160, ""end_span"": 171, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 181, ""end_span"": 182, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 185, ""end_span"": 186, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 203, ""end_span"": 209, ""type"": ""Sequence""}, {""token"": ""cells"", ""start_span"": 271, ""end_span"": 276, ""type"": ""Cell""}, {""token"": ""lysosomes"", ""start_span"": 310, ""end_span"": 319, ""type"": ""GO_ontology""}, {""token"": ""Lamp 1"", ""start_span"": 322, ""end_span"": 328, ""type"": ""Gene_or_geneproduct""}, {""token"": ""early endosomes"", ""start_span"": 331, ""end_span"": 346, ""type"": ""GO_ontology""}, {""token"": ""EEA1"", ""start_span"": 349, ""end_span"": 353, ""type"": ""Gene_or_geneproduct""}, {""token"": ""late endosomes"", ""start_span"": 360, ""end_span"": 374, ""type"": ""GO_ontology""}, {""token"": ""Rab7"", ""start_span"": 377, ""end_span"": 381, ""type"": ""Gene_or_geneproduct""}]"
Antibodies are against markers of normal epidermal differentiation, and include K5 ( a basally expressed keratin), K1 ( a suprabasal keratin, expressed in spinous layer cells), involucrin ( Inv; a suprabasally expressed cornified envelope protein found in upper spinous and granular layer cells), loricrin ( Lor; a cornified envelope protein expressed in the granular layer), and filaggrin ( Fil; a protein that bundles keratin filaments in the granular layer and stratum corneum).	"Antibodies	0	10	GO_ontology"	"K5	80	82	Gene_or_geneproduct"	"cells	169	174	Cell"	"involucrin	177	187	Gene_or_geneproduct"	"Inv	190	193	Gene_or_geneproduct"	"cornified envelope	220	238	GO_ontology"	"protein	239	246	Chemical"	"granular layer cells	274	294	Cell"	"loricrin	297	305	Gene_or_geneproduct"	"Lor	308	311	Gene_or_geneproduct"	"cornified envelope	315	333	GO_ontology"	"protein	334	341	Chemical"	"filaggrin	380	389	Gene_or_geneproduct"	"Fil	392	395	Gene_or_geneproduct"	"protein	399	406	Chemical"	"keratin filaments	420	437	GO_ontology"	"[{""token"": ""Antibodies"", ""start_span"": 0, ""end_span"": 10, ""type"": ""GO_ontology""}, {""token"": ""K5"", ""start_span"": 80, ""end_span"": 82, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cells"", ""start_span"": 169, ""end_span"": 174, ""type"": ""Cell""}, {""token"": ""involucrin"", ""start_span"": 177, ""end_span"": 187, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Inv"", ""start_span"": 190, ""end_span"": 193, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cornified envelope"", ""start_span"": 220, ""end_span"": 238, ""type"": ""GO_ontology""}, {""token"": ""protein"", ""start_span"": 239, ""end_span"": 246, ""type"": ""Chemical""}, {""token"": ""granular layer cells"", ""start_span"": 274, ""end_span"": 294, ""type"": ""Cell""}, {""token"": ""loricrin"", ""start_span"": 297, ""end_span"": 305, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Lor"", ""start_span"": 308, ""end_span"": 311, ""type"": ""Gene_or_geneproduct""}, {""token"": ""cornified envelope"", ""start_span"": 315, ""end_span"": 333, ""type"": ""GO_ontology""}, {""token"": ""protein"", ""start_span"": 334, ""end_span"": 341, ""type"": ""Chemical""}, {""token"": ""filaggrin"", ""start_span"": 380, ""end_span"": 389, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Fil"", ""start_span"": 392, ""end_span"": 395, ""type"": ""Gene_or_geneproduct""}, {""token"": ""protein"", ""start_span"": 399, ""end_span"": 406, ""type"": ""Chemical""}, {""token"": ""keratin filaments"", ""start_span"": 420, ""end_span"": 437, ""type"": ""GO_ontology""}]"
Glucose tolerance testing in 4. 5 - mo - old female PGC - 1 alpha - / - mice revealed that, despite increased body weight [ mean +/- standard error of the mean ( SEM) weight of PGC - 1 alpha + / + mice = 22. 4 +/- 0. 79 g; PGC - 1 alpha - / - mice = 25. 2 +/- 1. 04 g), PGC - 1 alpha - / - mice exhibited similar levels of glucose tolerance compared to WT mice on standard rodent chow ( Figure 9).	"Glucose	0	7	Chemical"	"PGC - 1 alpha	52	65	Gene_or_geneproduct"	"mice	72	76	Organism"	"PGC - 1 alpha	177	190	Gene_or_geneproduct"	"+	191	192	Sequence"	"+	195	196	Sequence"	"mice	197	201	Organism"	"PGC - 1 alpha	223	236	Gene_or_geneproduct"	"mice	243	247	Organism"	"PGC - 1 alpha	270	283	Gene_or_geneproduct"	"mice	290	294	Organism"	"glucose	323	330	Chemical"	"WT	353	355	Sequence"	"mice	356	360	Organism"	"rodent	373	379	Organism"	"chow	380	384	Chemical"	"[{""token"": ""Glucose"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Chemical""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 52, ""end_span"": 65, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Organism""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 177, ""end_span"": 190, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 191, ""end_span"": 192, ""type"": ""Sequence""}, {""token"": ""+"", ""start_span"": 195, ""end_span"": 196, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 197, ""end_span"": 201, ""type"": ""Organism""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 223, ""end_span"": 236, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 243, ""end_span"": 247, ""type"": ""Organism""}, {""token"": ""PGC - 1 alpha"", ""start_span"": 270, ""end_span"": 283, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mice"", ""start_span"": 290, ""end_span"": 294, ""type"": ""Organism""}, {""token"": ""glucose"", ""start_span"": 323, ""end_span"": 330, ""type"": ""Chemical""}, {""token"": ""WT"", ""start_span"": 353, ""end_span"": 355, ""type"": ""Sequence""}, {""token"": ""mice"", ""start_span"": 356, ""end_span"": 360, ""type"": ""Organism""}, {""token"": ""rodent"", ""start_span"": 373, ""end_span"": 379, ""type"": ""Organism""}, {""token"": ""chow"", ""start_span"": 380, ""end_span"": 384, ""type"": ""Chemical""}]"
Expression of Er81 in DRG neurons of embryos containing integration of EWS - Pea3 in the Er81 locus ( Er81EWS - Pea3 / -) was abolished ( Figure 1E), and the expression level of the calcium - binding protein Parvalbumin ( PV) in proprioceptive afferents, which is decreased approximately 5 - to 10 - fold in Er81 mutants [ 14], was comparable to wild - type levels in Er81EWS - Pea3 / - embryos ( Figure 1F - 1H).	"Er81	14	18	Gene_or_geneproduct"	"neurons	26	33	Cell"	"integration	56	67	Sequence"	"EWS	71	74	Gene_or_geneproduct"	"Pea3	77	81	Gene_or_geneproduct"	"Er81	89	93	Gene_or_geneproduct"	"locus	94	99	Sequence"	"Pea3	112	116	Gene_or_geneproduct"	"calcium	182	189	Chemical"	"protein	200	207	Chemical"	"Parvalbumin	208	219	Gene_or_geneproduct"	"PV	222	224	Gene_or_geneproduct"	"Er81	308	312	Gene_or_geneproduct"	"mutants	313	320	Sequence"	"wild - type	346	357	Sequence"	"Pea3	378	382	Gene_or_geneproduct"	"[{""token"": ""Er81"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_geneproduct""}, {""token"": ""neurons"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Cell""}, {""token"": ""integration"", ""start_span"": 56, ""end_span"": 67, ""type"": ""Sequence""}, {""token"": ""EWS"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Pea3"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Er81"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Gene_or_geneproduct""}, {""token"": ""locus"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Sequence""}, {""token"": ""Pea3"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Gene_or_geneproduct""}, {""token"": ""calcium"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 200, ""end_span"": 207, ""type"": ""Chemical""}, {""token"": ""Parvalbumin"", ""start_span"": 208, ""end_span"": 219, ""type"": ""Gene_or_geneproduct""}, {""token"": ""PV"", ""start_span"": 222, ""end_span"": 224, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Er81"", ""start_span"": 308, ""end_span"": 312, ""type"": ""Gene_or_geneproduct""}, {""token"": ""mutants"", ""start_span"": 313, ""end_span"": 320, ""type"": ""Sequence""}, {""token"": ""wild - type"", ""start_span"": 346, ""end_span"": 357, ""type"": ""Sequence""}, {""token"": ""Pea3"", ""start_span"": 378, ""end_span"": 382, ""type"": ""Gene_or_geneproduct""}]"
The Flox targeting construct ( below), the sequence which was verified before use ( Materials and Methods), contains ( i) a 3. 4 kb - long 5 ' homology region; ( ii) 0. 2 kb upstream of coding sequences, an EcoRI site and L3, a mutant loxP [ loxP257, ( 14)]; ( iii) p53 exons; ( iv) 0. 4 kb downstream, a puro Delta TK fusion gene ( puDTK) for positive / negative selection ( 21) and an inverted WT loxP ( 1L); ( v) a 1. 2 kb - long 3 ' homology region and ( vi) the diphteria alpha - toxin ( DTA) gene for targeting enrichment.	"construct	19	28	Sequence"	"sequence	43	51	Sequence"	"region	152	158	Sequence"	"coding sequences	186	202	Sequence"	"site	213	217	Sequence"	"mutant	228	234	Sequence"	"loxP	235	239	Sequence"	"p53	266	269	Gene_or_geneproduct"	"exons	270	275	Sequence"	"fusion gene	319	330	Sequence"	"inverted	387	395	Sequence"	"WT	396	398	Sequence"	"loxP	399	403	Sequence"	"region	446	452	Sequence"	"toxin	485	490	Chemical"	"gene	498	502	Sequence"	"[{""token"": ""construct"", ""start_span"": 19, ""end_span"": 28, ""type"": ""Sequence""}, {""token"": ""sequence"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Sequence""}, {""token"": ""region"", ""start_span"": 152, ""end_span"": 158, ""type"": ""Sequence""}, {""token"": ""coding sequences"", ""start_span"": 186, ""end_span"": 202, ""type"": ""Sequence""}, {""token"": ""site"", ""start_span"": 213, ""end_span"": 217, ""type"": ""Sequence""}, {""token"": ""mutant"", ""start_span"": 228, ""end_span"": 234, ""type"": ""Sequence""}, {""token"": ""loxP"", ""start_span"": 235, ""end_span"": 239, ""type"": ""Sequence""}, {""token"": ""p53"", ""start_span"": 266, ""end_span"": 269, ""type"": ""Gene_or_geneproduct""}, {""token"": ""exons"", ""start_span"": 270, ""end_span"": 275, ""type"": ""Sequence""}, {""token"": ""fusion gene"", ""start_span"": 319, ""end_span"": 330, ""type"": ""Sequence""}, {""token"": ""inverted"", ""start_span"": 387, ""end_span"": 395, ""type"": ""Sequence""}, {""token"": ""WT"", ""start_span"": 396, ""end_span"": 398, ""type"": ""Sequence""}, {""token"": ""loxP"", ""start_span"": 399, ""end_span"": 403, ""type"": ""Sequence""}, {""token"": ""region"", ""start_span"": 446, ""end_span"": 452, ""type"": ""Sequence""}, {""token"": ""toxin"", ""start_span"": 485, ""end_span"": 490, ""type"": ""Chemical""}, {""token"": ""gene"", ""start_span"": 498, ""end_span"": 502, ""type"": ""Sequence""}]"
LD, leucine - rich domain; LZ, leucine zipper domain; RBD1 - 4, Ran - binding domains 1 - 4; ZnF, zinc finger cluster domain; KBD, kinesin ( KIF5B / KIF5C) - binding domain; CLD, cyclophilin - like domain; IR, internal repeat domain; CY, cyclophilin domain.	"leucine	4	11	Chemical"	"domain	19	25	Sequence"	"leucine	31	38	Chemical"	"domain	46	52	Sequence"	"Ran	64	67	Gene_or_geneproduct"	"domains	78	85	Sequence"	"zinc	98	102	Chemical"	"domain	118	124	Sequence"	"kinesin	131	138	GO_ontology"	"KIF5B	141	146	Gene_or_geneproduct"	"KIF5C	149	154	Gene_or_geneproduct"	"domain	166	172	Sequence"	"domain	198	204	Sequence"	"repeat	219	225	Sequence"	"domain	226	232	Sequence"	"domain	250	256	Sequence"	"[{""token"": ""leucine"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""domain"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Sequence""}, {""token"": ""leucine"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Chemical""}, {""token"": ""domain"", ""start_span"": 46, ""end_span"": 52, ""type"": ""Sequence""}, {""token"": ""Ran"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domains"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Sequence""}, {""token"": ""zinc"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Chemical""}, {""token"": ""domain"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Sequence""}, {""token"": ""kinesin"", ""start_span"": 131, ""end_span"": 138, ""type"": ""GO_ontology""}, {""token"": ""KIF5B"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Gene_or_geneproduct""}, {""token"": ""KIF5C"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Gene_or_geneproduct""}, {""token"": ""domain"", ""start_span"": 166, ""end_span"": 172, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 198, ""end_span"": 204, ""type"": ""Sequence""}, {""token"": ""repeat"", ""start_span"": 219, ""end_span"": 225, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 226, ""end_span"": 232, ""type"": ""Sequence""}, {""token"": ""domain"", ""start_span"": 250, ""end_span"": 256, ""type"": ""Sequence""}]"
Compound heterozygous removal of BMP2 and BMP7 ( Bmp2 + / C, Bmp7 + / -; Prx1:: cre) and heterozygous removal of BMP2 with complete removal of BMP7 ( Bmp2 + / C, Bmp7 - / -; Prx1:: cre) were both completely wild - type in skeletal pattern and differentiation ( unpublished data).	"removal	22	29	Sequence"	"BMP2	33	37	Gene_or_geneproduct"	"BMP7	42	46	Gene_or_geneproduct"	"Bmp2	49	53	Gene_or_geneproduct"	"+	54	55	Sequence"	"Bmp7	61	65	Gene_or_geneproduct"	"+	66	67	Sequence"	"Prx1	73	77	Gene_or_geneproduct"	"removal	102	109	Sequence"	"BMP2	113	117	Gene_or_geneproduct"	"BMP7	143	147	Gene_or_geneproduct"	"Bmp2	150	154	Gene_or_geneproduct"	"+	155	156	Sequence"	"Bmp7	162	166	Gene_or_geneproduct"	"Prx1	174	178	Gene_or_geneproduct"	"wild - type	207	218	Sequence"	"[{""token"": ""removal"", ""start_span"": 22, ""end_span"": 29, ""type"": ""Sequence""}, {""token"": ""BMP2"", ""start_span"": 33, ""end_span"": 37, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP7"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp2"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 54, ""end_span"": 55, ""type"": ""Sequence""}, {""token"": ""Bmp7"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 66, ""end_span"": 67, ""type"": ""Sequence""}, {""token"": ""Prx1"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Gene_or_geneproduct""}, {""token"": ""removal"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Sequence""}, {""token"": ""BMP2"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Gene_or_geneproduct""}, {""token"": ""BMP7"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Bmp2"", ""start_span"": 150, ""end_span"": 154, ""type"": ""Gene_or_geneproduct""}, {""token"": ""+"", ""start_span"": 155, ""end_span"": 156, ""type"": ""Sequence""}, {""token"": ""Bmp7"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Gene_or_geneproduct""}, {""token"": ""Prx1"", ""start_span"": 174, ""end_span"": 178, ""type"": ""Gene_or_geneproduct""}, {""token"": ""wild - type"", ""start_span"": 207, ""end_span"": 218, ""type"": ""Sequence""}]"
