Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Annexin A7 translocates to membranes in a Ca2 + - dependent fashion and, when intracellular Ca2 + levels rise, sequentially redistributes to the plasma and the nuclear membrane as well as to intracellular vesicles.	membranes,27,36,GO_ontology	intracellular,78,91,GO_ontology	plasma and the nuclear membrane,145,176,GO_ontology	intracellular,191,204,GO_ontology	vesicles,205,213,GO_ontology	"[{""token"": ""membranes"", ""start_span"": 27, ""end_span"": 36, ""type"": ""GO_ontology""}, {""token"": ""intracellular"", ""start_span"": 78, ""end_span"": 91, ""type"": ""GO_ontology""}, {""token"": ""plasma and the nuclear membrane"", ""start_span"": 145, ""end_span"": 176, ""type"": ""GO_ontology""}, {""token"": ""intracellular"", ""start_span"": 191, ""end_span"": 204, ""type"": ""GO_ontology""}, {""token"": ""vesicles"", ""start_span"": 205, ""end_span"": 213, ""type"": ""GO_ontology""}]"	train
Battenin and lysosomal and endosomal marker co - staining in wild - type and homozygous CbCln3 Delta ex7 / 8 cerebellar precursor cells Batp1 immunostaining of wild - type ( CbCln3 + / +) and homozygous mutant ( CbCln3 Delta ex7 / 8 / Delta ex7 / 8) cerebellar precursor cells is shown, with co - staining for lysosomes ( Lamp 1), early endosomes ( EEA1), and late endosomes ( Rab7).	lysosomal,13,22,GO_ontology	endosomal,27,36,GO_ontology	lysosomes,310,319,GO_ontology	early endosomes,331,346,GO_ontology	late endosomes,360,374,GO_ontology	"[{""token"": ""lysosomal"", ""start_span"": 13, ""end_span"": 22, ""type"": ""GO_ontology""}, {""token"": ""endosomal"", ""start_span"": 27, ""end_span"": 36, ""type"": ""GO_ontology""}, {""token"": ""lysosomes"", ""start_span"": 310, ""end_span"": 319, ""type"": ""GO_ontology""}, {""token"": ""early endosomes"", ""start_span"": 331, ""end_span"": 346, ""type"": ""GO_ontology""}, {""token"": ""late endosomes"", ""start_span"": 360, ""end_span"": 374, ""type"": ""GO_ontology""}]"	train
"Moreover, although multilamellar "" fingerprint "" profiles were not detected, confluency - aged homozygous CbCln3 Delta ex7 / 8 cells displayed numerous ultrastructural abnormalities including electron dense inclusions characteristic of lipofuscin and large autophagosomes that contained dense core structures, degenerating mitochondria, and many smaller vesicles ( Fig. 4c)."	inclusions,207,217,GO_ontology	autophagosomes,257,271,GO_ontology	dense core structures,287,308,GO_ontology	mitochondria,323,335,GO_ontology	vesicles,354,362,GO_ontology	"[{""token"": ""inclusions"", ""start_span"": 207, ""end_span"": 217, ""type"": ""GO_ontology""}, {""token"": ""autophagosomes"", ""start_span"": 257, ""end_span"": 271, ""type"": ""GO_ontology""}, {""token"": ""dense core structures"", ""start_span"": 287, ""end_span"": 308, ""type"": ""GO_ontology""}, {""token"": ""mitochondria"", ""start_span"": 323, ""end_span"": 335, ""type"": ""GO_ontology""}, {""token"": ""vesicles"", ""start_span"": 354, ""end_span"": 362, ""type"": ""GO_ontology""}]"	train
A large autophagosome contained by double membrane ( arrows) is filled with degenerating mitochondria ( Md), electron dense cores ( left and right of *) and other smaller vesicular structures.	autophagosome,8,21,GO_ontology	membrane,42,50,GO_ontology	mitochondria,89,101,GO_ontology	dense cores,118,129,GO_ontology	vesicular,171,180,GO_ontology	"[{""token"": ""autophagosome"", ""start_span"": 8, ""end_span"": 21, ""type"": ""GO_ontology""}, {""token"": ""membrane"", ""start_span"": 42, ""end_span"": 50, ""type"": ""GO_ontology""}, {""token"": ""mitochondria"", ""start_span"": 89, ""end_span"": 101, ""type"": ""GO_ontology""}, {""token"": ""dense cores"", ""start_span"": 118, ""end_span"": 129, ""type"": ""GO_ontology""}, {""token"": ""vesicular"", ""start_span"": 171, ""end_span"": 180, ""type"": ""GO_ontology""}]"	train
Wild - type cells exhibited brightly stained lysosomes that were large and clustered in the perinuclear region whereas homozygous CbCln3 Delta ex7 / 8 lysosomes were lightly stained, smaller vesicles that were more diffusely scattered in the cytoplasm of the cell ( Fig. 6).	lysosomes,45,54,GO_ontology	perinuclear region,92,110,GO_ontology	lysosomes,151,160,GO_ontology	vesicles,191,199,GO_ontology	cytoplasm,242,251,GO_ontology	"[{""token"": ""lysosomes"", ""start_span"": 45, ""end_span"": 54, ""type"": ""GO_ontology""}, {""token"": ""perinuclear region"", ""start_span"": 92, ""end_span"": 110, ""type"": ""GO_ontology""}, {""token"": ""lysosomes"", ""start_span"": 151, ""end_span"": 160, ""type"": ""GO_ontology""}, {""token"": ""vesicles"", ""start_span"": 191, ""end_span"": 199, ""type"": ""GO_ontology""}, {""token"": ""cytoplasm"", ""start_span"": 242, ""end_span"": 251, ""type"": ""GO_ontology""}]"	train
In other studies, CLN3 / battenin protein localization has been reported to partially overlap with late endosomes and lysosomes in non - neuronal cells [ 7], and to lysosomes, synaptosomes [ 8] and endosomes [ 9, 25] in neurons.	late endosomes,99,113,GO_ontology	lysosomes,118,127,GO_ontology	lysosomes,165,174,GO_ontology	synaptosomes,176,188,GO_ontology	endosomes,198,207,GO_ontology	"[{""token"": ""late endosomes"", ""start_span"": 99, ""end_span"": 113, ""type"": ""GO_ontology""}, {""token"": ""lysosomes"", ""start_span"": 118, ""end_span"": 127, ""type"": ""GO_ontology""}, {""token"": ""lysosomes"", ""start_span"": 165, ""end_span"": 174, ""type"": ""GO_ontology""}, {""token"": ""synaptosomes"", ""start_span"": 176, ""end_span"": 188, ""type"": ""GO_ontology""}, {""token"": ""endosomes"", ""start_span"": 198, ""end_span"": 207, ""type"": ""GO_ontology""}]"	train
In A, a displaced cell nucleus ( n) appearing pyknotic and abnormal deposition of matrix ( mx) material of unknown identity were seen, along with large amounts of membranous vesicles ( arrow) which filled the photoreceptor space and appeared to be released from inner segments.	nucleus,23,30,GO_ontology	n,33,34,GO_ontology	membranous vesicles,163,182,GO_ontology	space,223,228,GO_ontology	inner segments,262,276,GO_ontology	"[{""token"": ""nucleus"", ""start_span"": 23, ""end_span"": 30, ""type"": ""GO_ontology""}, {""token"": ""n"", ""start_span"": 33, ""end_span"": 34, ""type"": ""GO_ontology""}, {""token"": ""membranous vesicles"", ""start_span"": 163, ""end_span"": 182, ""type"": ""GO_ontology""}, {""token"": ""space"", ""start_span"": 223, ""end_span"": 228, ""type"": ""GO_ontology""}, {""token"": ""inner segments"", ""start_span"": 262, ""end_span"": 276, ""type"": ""GO_ontology""}]"	train
Several genes involved in inflammation and the immune system are located in the regions of the markers identified: TNF superfamily members Tnfsf4, 6, and 8 ( chr. 1, 84. 9 - 85 cM) which are involved in T cell activation [ 37, 38]; three selectin genes ( Sele, Sell, Selp, chr. 1, 86. 6 cM) which are involved in immune cell infiltration into inflamed tissues [ 39]; several members of immune cell surface proteins of the Slam family ( slamf1, 2, 5, 6, and 9; chr. 1, 89. 5 - 93. 3 cM) [ 40]; the chemokine gene Xcl1 ( chr. 1, 87 cM) which is expressed by mast cells and recruits lymphocytes [ 41]; several immunoglobulin Fc receptor genes ( Fcrl3, Fcgr2b, and Fcgr3 at chr. 1, 92. 3 cM; Fcer1g at chr. 1, 93. 3 cM; Fcer1a at chr. 1, 94. 2 cM); the flagellin receptor Tlr5 ( chr. 1, 98 cM); Mmp3 ( chr. 9, 1 cM) which recruits CD4 + lymphocytes [ 42]; Mmp7 ( chr. 9, 1 cM) which activates Paneth cell - derived cryptdins ( alpha - defensins) [ 43]; Icam1 ( chr. 9, 7 cM) which is involved in lymphocyte infiltration into inflamed tissues [ 44]; Kitl ( chr. 10, 57 cM) which is also known as stem cell factor, and is crucial for mast cell differentiation [ 45]; Im5 ( chr. 10, 65 cM) which is involved in antibody - responsiveness [ 46]; Lyzs ( chr. 10, 66 cM) which is a Paneth cell product that digests cell walls of bacteria [ 47]; Ifng ( chr. 10, 67 cM) which is an important inflammatory signal in CF as well as other conditions [ 48]; Il22 ( chr. 10, 67 cM), a member of the anti - inflammatory IL - 10 interleukin family [ 49]; and the Stat2 and 6 genes ( chr. 10, 70 cM) which are important components of intracellular signaling pathways [ 50].	cell surface,393,405,GO_ontology	immunoglobulin,607,621,GO_ontology	antibody,1204,1212,GO_ontology	cell walls,1304,1314,GO_ontology	intracellular,1612,1625,GO_ontology	"[{""token"": ""cell surface"", ""start_span"": 393, ""end_span"": 405, ""type"": ""GO_ontology""}, {""token"": ""immunoglobulin"", ""start_span"": 607, ""end_span"": 621, ""type"": ""GO_ontology""}, {""token"": ""antibody"", ""start_span"": 1204, ""end_span"": 1212, ""type"": ""GO_ontology""}, {""token"": ""cell walls"", ""start_span"": 1304, ""end_span"": 1314, ""type"": ""GO_ontology""}, {""token"": ""intracellular"", ""start_span"": 1612, ""end_span"": 1625, ""type"": ""GO_ontology""}]"	train
To better characterize the degree of meiotic progression in Trip13Gt / Gt spermatocytes, we immunostained chromosome spreads for SYCP3 and SYCP1, components of the axial / lateral elements and transverse filaments, respectively, of the synaptonemal complex ( SC).	chromosome,106,116,GO_ontology	axial / lateral elements,164,188,GO_ontology	transverse filaments,193,213,GO_ontology	synaptonemal complex,236,256,GO_ontology	SC,259,261,GO_ontology	"[{""token"": ""chromosome"", ""start_span"": 106, ""end_span"": 116, ""type"": ""GO_ontology""}, {""token"": ""axial / lateral elements"", ""start_span"": 164, ""end_span"": 188, ""type"": ""GO_ontology""}, {""token"": ""transverse filaments"", ""start_span"": 193, ""end_span"": 213, ""type"": ""GO_ontology""}, {""token"": ""synaptonemal complex"", ""start_span"": 236, ""end_span"": 256, ""type"": ""GO_ontology""}, {""token"": ""SC"", ""start_span"": 259, ""end_span"": 261, ""type"": ""GO_ontology""}]"	train
These proteins bridge ceTAC to other elements of the cytoskeleton and microtubule network, as well as to components of the ribosome, the histone deacetylase chromatin remodeling machinery such as egr - 1 and lin - 53 ( the C. elegans homologues of the human MTA - 1 and RbAP48), and to transcription factors such as the PAL1 homeobox and the nuclear hormone receptor nhr - 86 [ 28] ( Fig. 6A).	cytoskeleton,53,65,GO_ontology	microtubule,70,81,GO_ontology	ribosome,123,131,GO_ontology	chromatin,157,166,GO_ontology	nuclear,342,349,GO_ontology	"[{""token"": ""cytoskeleton"", ""start_span"": 53, ""end_span"": 65, ""type"": ""GO_ontology""}, {""token"": ""microtubule"", ""start_span"": 70, ""end_span"": 81, ""type"": ""GO_ontology""}, {""token"": ""ribosome"", ""start_span"": 123, ""end_span"": 131, ""type"": ""GO_ontology""}, {""token"": ""chromatin"", ""start_span"": 157, ""end_span"": 166, ""type"": ""GO_ontology""}, {""token"": ""nuclear"", ""start_span"": 342, ""end_span"": 349, ""type"": ""GO_ontology""}]"	valid
