Sentence	entity_1	json	split
Glaucoma involves retinal ganglion cell death and optic nerve damage that is often associated with elevated intraocular pressure ( IOP) [ 1 - 5].	retinal ganglion cell,18,39,Cell	"[{""token"": ""retinal ganglion cell"", ""start_span"": 18, ""end_span"": 39, ""type"": ""Cell""}]"	train
We have observed similar quantities of these cells at this location in other strains with lower IOP.	cells,45,50,Cell	"[{""token"": ""cells"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Cell""}]"	train
Cells lacking BRCA1 / 2 fail to form damage - induced subnuclear RAD51 foci with normal efficiency, suggesting that these proteins are required for the formation of recombinase complexes at the sites of DNA damage [ 20, 21].	Cells,0,5,Cell	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}]"	train
The similarity between phenotypes associated with BRCA1 and BRCA2 deficiency, together with data showing a similar effect of DNA damage on distribution of BRCA1 and BRCA2 in repair - proficient cells, led to the hypothesis that BRCA2, like BRCA1, is required for efficient recombinational repair.	cells,194,199,Cell	"[{""token"": ""cells"", ""start_span"": 194, ""end_span"": 199, ""type"": ""Cell""}]"	train
Measuring DSB - induced recombination frequency in BRCA2 - defective cells	cells,69,74,Cell	"[{""token"": ""cells"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Cell""}]"	train
Such events can be detected by fluorescence - activated cell sorting analysis by virtue of their expression of GFP.	cell,56,60,Cell	"[{""token"": ""cell"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Cell""}]"	train
Moynahan et al [ 24] have used such a GFP recombination substrate to demonstrate that cells with defective BRCA2 protein are deficient in their ability to repair the I - SceI - induced DSB through homologous recombination.	cells,86,91,Cell	"[{""token"": ""cells"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Cell""}]"	train
CAPAN - 1 cells carry a deletion of BRCA2 on one homolog and codes for a protein truncated at amino acid 1981 on the other homolog.	cells,10,15,Cell	"[{""token"": ""cells"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Cell""}]"	train
The authors indicate that the level of I - SceI - induced recombination in CAPAN - 1 is over 100 - fold less than that seen using other ( BRCA2 +) human tumor cell lines.	cell,159,163,Cell	"[{""token"": ""cell"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Cell""}]"	train
The different lines examined, however, are very likely to differ genetically from CAPAN - 1 cells not only at the BRCA2 locus, but also at a very large number of additional loci.	cells,92,97,Cell	"[{""token"": ""cells"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Cell""}]"	train
While Moynahan et al were careful to point out this problem, two sets of results argue against the possibility that the recombinational repair deficiency of CAPAN - 1 cells is completely independent of its defect in BRCA2.	cells,167,172,Cell	"[{""token"": ""cells"", ""start_span"": 167, ""end_span"": 172, ""type"": ""Cell""}]"	train
First, in the same study [ 24], recombination in a mouse ES cell line that expresses only truncated BRCA2 protein was measured.	cell,60,64,Cell	"[{""token"": ""cell"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Cell""}]"	train
This line was found to have lower recombination efficiency than isogenic cells expressing full - length BRCA2 ( the defect observed was about fivefold to sixfold).	cells,73,78,Cell	"[{""token"": ""cells"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Cell""}]"	train
Furthermore, the discrepancy between the 100 - fold difference between CAPAN - 1 and the other human lines as compared with the fivefold to sixfold difference between the Brca2lex1 / lex2cells and Brca2 + / + ES cells might simply be accounted for by the fact that Brca2lex1 / lex2 is not a null allele.	cells,187,192,Cell	"[{""token"": ""cells"", ""start_span"": 187, ""end_span"": 192, ""type"": ""Cell""}]"	train
The localization of RAD51 was examined in CAPAN - 1 cells, the same human tumor line examined by Moynahan et al [ 24].	cells,52,57,Cell	"[{""token"": ""cells"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Cell""}]"	train
It had been shown previously that the small amount of truncated BRCA2 protein expressed by CAPAN - 1 cells was mislocalized to the cytoplasm, consistent with the fact that the truncation protein lacks a nuclear localization signal [ 28].	cells,101,106,Cell	"[{""token"": ""cells"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Cell""}]"	train
Davies et al showed CAPAN - 1 cells to be defective in nuclear localization of RAD51, raising the possibility that RAD51 is normally carried to the nucleus by binding BRCA2.	cells,30,35,Cell	"[{""token"": ""cells"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Cell""}]"	train
In a BRCA2 - defective cell, mutant Rad51 becomes associated with DNA at random sites and is therefore not readily recruited to sites of damage.	cell,23,27,Cell	"[{""token"": ""cell"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Cell""}]"	train
In BRCA - defective cells, Rad51 fails to associate with sites of damage due to lack of an assembly factor.	cells,20,25,Cell	"[{""token"": ""cells"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Cell""}]"	train
Embryonic stem cells and mice expressing different GFP variants for multiple non - invasive reporter usage within a single animal	stem cells,10,20,Cell	"[{""token"": ""stem cells"", ""start_span"": 10, ""end_span"": 20, ""type"": ""Cell""}]"	train
To this end, we have established lines of ES cells together with viable and fertile mice having widespread expression of either the ECFP or EYFP GFP - variant reporters.	cells,45,50,Cell	"[{""token"": ""cells"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Cell""}]"	train
Both directed and random mutagenesis approaches, including the technologies of transgenesis and gene targeting in ES cells, have become commonplace.	cells,117,122,Cell	"[{""token"": ""cells"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Cell""}]"	train
Dual color imaging of several GFP variant proteins is a very attractive prospect and has become a standard procedure in cell biology [ 7, 8].	cell,120,124,Cell	"[{""token"": ""cell"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Cell""}]"	train
It has also recently been demonstrated in a subset of cells within the central nervous system ( CNS) of mice using both transgenic and viral infection - based approaches [ 9, 10].	cells,54,59,Cell	"[{""token"": ""cells"", ""start_span"": 54, ""end_span"": 59, ""type"": ""Cell""}]"	train
An ES cell - mediated transgenic approach was used to evaluate the Enhanced Cyan Fluorescent Protein ( ECFP) and Enhanced Yellow Fluorescent Protein ( EYFP) wtGFP spectral variants [ 4, 11].	cell,6,10,Cell	"[{""token"": ""cell"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Cell""}]"	train
The sequence of DsRed1 has recently been modified and optimized for high levels of expression in mammalian cells by the introduction of 144 silent base pair changes corresponding to human codon usage preferences.	cells,107,112,Cell	"[{""token"": ""cells"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Cell""}]"	train
We therefore also tested this novel red fluorescent protein ( RFP) in ES cells and mice.	cells,73,78,Cell	"[{""token"": ""cells"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Cell""}]"	train
Plasmids were constructed for driving widespread expression of each of the gene - based fluorescent protein ( FP) reporters and were tested in ES cell - mediated transgenics as described previously [ 2].	cell,146,150,Cell	"[{""token"": ""cell"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Cell""}]"	train
Transgenic ES cells exhibiting robust expression of ECFP or EYFP were obtained at the same frequency as we had previously obtained for EGFP.	cells,14,19,Cell	"[{""token"": ""cells"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Cell""}]"	train
Cells expressing one or other of the two GFP variant reporters were clearly distinguishable within a mixed population ( Fig. 1a, 1b, 1c, 1d).	Cells,0,5,Cell	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}]"	train
Indeed the DsRed1 expressing clones that we were able to recover did not retain their characteristic ES cell morphology, usually appearing smaller and more spherical ( Fig. 1e and 1f), or occasionally spindle shaped ( data not shown).	cell,104,108,Cell	"[{""token"": ""cell"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Cell""}]"	train
Unlike the fluorescence produced by the GFP variants which was evenly distributed throughout the cells, the DsRed signal was never homogenous.	cells,97,102,Cell	"[{""token"": ""cells"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Cell""}]"	train
In order to generate a DsRed variant that may be amenable to use in ES cells and mice, we recently introduced various sequences that direct nuclear localization to the DsRed coding region.	cells,71,76,Cell	"[{""token"": ""cells"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Cell""}]"	train
However, again we were unable to generate ES cells or mice exhibiting robust widespread reporter activity ( A. - K. H. and V. E. Papaioannou, unpublished observations).	cells,45,50,Cell	"[{""token"": ""cells"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Cell""}]"	train
Non - invasive multiple reporter visualization in ES cells.	cells,53,58,Cell	"[{""token"": ""cells"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Cell""}]"	train
( a - d) a mixture of CK6 / ECFP ( ECFP +) and YC5 / EYFP ( EYFP +) ES cells at low density.	cells,71,76,Cell	"[{""token"": ""cells"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Cell""}]"	train
Two ECFP + and two EYFP + clones exhibiting robust fluorescence were used to generate chimeras through ES cell < - > morula stage embryo aggregation [ 13].	cell,106,110,Cell	"[{""token"": ""cell"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Cell""}]"	train
All four ES cell lines transmitted through the germline, leading to the establishment of, CK4 / ECFP and CK6 / ECFP, two strains of mice having cyan fluorescent protein expression and, YC5 / EYFP and 2A4 / EYFP, two strains having widespread yellow fluorescent protein expression.	cell,12,16,Cell	"[{""token"": ""cell"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Cell""}]"	train
Even though our RFP transgenic ES cell lines failed to maintain strong uniform expression with in vitro passage, we selected three lines exhibiting the most robust expression for making chimeras, in order to ascertain whether we could achieve, or possibly recover, RFP expression in animals.	cell,34,38,Cell	"[{""token"": ""cell"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Cell""}]"	train
Cells were flow sorted prior to aggregation so as to enrich for RFP expression.	Cells,0,5,Cell	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}]"	train
The first series of chimeras were generated through the aggregation of tetraploid embryos with FP + ES cells ( or embryos) of the complementary color.	cells,103,108,Cell	"[{""token"": ""cells"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Cell""}]"	train
These were generated through the aggregation of diploid embryos with diploid embryos ( or ES cells) of the complementary color.	cells,93,98,Cell	"[{""token"": ""cells"", ""start_span"": 93, ""end_span"": 98, ""type"": ""Cell""}]"	train
These chimeric adult organs demonstrate that the ECFP + and EYFP + cells comprising these chimeras can easily be discerned ( Fig. 4).	cells,67,72,Cell	"[{""token"": ""cells"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Cell""}]"	train
Electrofusion of E1. 5 embryos to render the blastomeres tetraploid, in vitro culture, and subsequent aggregation schemes using double - tagged compartments.	blastomeres,45,56,Cell	"[{""token"": ""blastomeres"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Cell""}]"	train
Sandwich aggregations were made using either ECFP + ( diploid) morulae or ES cells.	cells,77,82,Cell	"[{""token"": ""cells"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Cell""}]"	train
( b - d) anterior view of an E7. 5 double - tagged polarized chimera dissected free of its deciduum and therefore missing primary giant cells and parietal endoderm.	cells,136,141,Cell	"[{""token"": ""cells"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Cell""}]"	train
A small number of EYFP + cells are also observed in the ventral midline of the embryo ( arrowhead).	cells,25,30,Cell	"[{""token"": ""cells"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Cell""}]"	train
