Sentence	entity_1	entity_2	json	split
Pigment filled macrophages that resemble human clump cells were often located in the angle of CBA / CaJ mice but were never sufficient to block drainage.	macrophages,15,26,Cell	cells,53,58,Cell	"[{""token"": ""macrophages"", ""start_span"": 15, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Cell""}]"	train
The IOP increase in the dark is not dependent on functional rod and cone photoreceptors since these cells degenerate in SWR / J mice due to homozygosity for the Pde6brd1 mutation.	rod and cone photoreceptors,60,87,Cell	cells,100,105,Cell	"[{""token"": ""rod and cone photoreceptors"", ""start_span"": 60, ""end_span"": 87, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 100, ""end_span"": 105, ""type"": ""Cell""}]"	train
In agreement with this finding, circadian regulation of wheel running by light was previously reported in mice lacking rods and cones [ 70].	rods,119,123,Cell	cones,128,133,Cell	"[{""token"": ""rods"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Cell""}]"	train
Cells with mutant BRCA2 protein are, like many cancer cells, genetically unstable and accumulate gross chromosomal rearrangements [ 5, 6].	Cells,0,5,Cell	cells,54,59,Cell	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 54, ""end_span"": 59, ""type"": ""Cell""}]"	train
Cell lines defective in either BRCA1 or BRCA2 are sensitive to damaging agents that form double - strand breaks ( DSBs), as are other cell lines defective in recombinational repair ( reviewed in [ 15]).	Cell,0,4,Cell	cell,134,138,Cell	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Cell""}]"	train
Expression of I - SceI resulted in 1 out of 1400 cells producing GFP via homologous recombination in the human pancreatic tumor cell line CAPAN - 1.	cells,49,54,Cell	cell,128,132,Cell	"[{""token"": ""cells"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Cell""}]"	train
While the experimental design of these experiments was somewhat different from that of Moyna - han et al [ 24], the results raise the possibility that CAPAN - 1 cells have more than one mutation that lowers the efficiency of recombinational repair relative to that observed in other human cell lines.	cells,161,166,Cell	cell,289,293,Cell	"[{""token"": ""cells"", ""start_span"": 161, ""end_span"": 166, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 289, ""end_span"": 293, ""type"": ""Cell""}]"	train
Balanced ( diploid < - > diploid) and polarized ( tetraploid < - > diploid) chimeras comprising combinations of the ECFP and EYFP ES cells and / or embryos, demonstrate that populations of cells expressing each individual reporter can be distinguished within a single animal.	cells,133,138,Cell	cells,189,194,Cell	"[{""token"": ""cells"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Cell""}]"	train
The ECFP and EYFP - expressing transgenic ES cells and mice that we have generated provide sources of cells and tissues for combinatorial, double - tagged recombination experiments, chimeras or transplantations.	cells,45,50,Cell	cells,102,107,Cell	"[{""token"": ""cells"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Cell""}]"	train
ECFP + cells can clearly be discerned from EYFP + cells.	cells,7,12,Cell	cells,50,55,Cell	"[{""token"": ""cells"", ""start_span"": 7, ""end_span"": 12, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 50, ""end_span"": 55, ""type"": ""Cell""}]"	train
( e - f) culture of mixed populations of ES cells comprising ECFP +, EYFP + and RFP + cells.	cells,44,49,Cell	cells,86,91,Cell	"[{""token"": ""cells"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Cell""}]"	train
Even though they had lost their characteristic ES cell morphology all three RFP + ES cell lines went gemline as detected by coat color and PCR for the DsRed1 transgene ( data not shown).	cell,50,54,Cell	cell,85,89,Cell	"[{""token"": ""cell"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 85, ""end_span"": 89, ""type"": ""Cell""}]"	train
ES cell lines exhibiting robust transgene expression in vitro were assessed in vivo for the spatiotemporal extent of transgene expression and their developmental potential in chimeras produced by aggregation with wild type tetraploid ICR embryos so as to produce completely ES cell - derived embryos, as described previously [ 20, 23].	cell,3,7,Cell	cell,277,281,Cell	"[{""token"": ""cell"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 277, ""end_span"": 281, ""type"": ""Cell""}]"	train
This partial development of hair cells could lead to enough neurotrophin expression to sustain sensory neurons through embryonic development.	hair cells,28,38,Cell	sensory neurons,95,110,Cell	"[{""token"": ""hair cells"", ""start_span"": 28, ""end_span"": 38, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 95, ""end_span"": 110, ""type"": ""Cell""}]"	train
Despite more severe loss of hair cells ( 1% compared to 20%), the cochlea retains many more sensory neurons ( 46% compared to 15%) than vestibular epithelia.	hair cells,28,38,Cell	sensory neurons,92,107,Cell	"[{""token"": ""hair cells"", ""start_span"": 28, ""end_span"": 38, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 92, ""end_span"": 107, ""type"": ""Cell""}]"	train
Close examination has revealed that some ' immature ' hair cells form in Brn3c null mutants and express cellular markers such as Myosin VI and VIIa, calretinin and parvalbumin [ 3].	hair cells,54,64,Cell	cellular,104,112,Cell	"[{""token"": ""hair cells"", ""start_span"": 54, ""end_span"": 64, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 104, ""end_span"": 112, ""type"": ""Cell""}]"	train
Consistent with an apparent absence of mature hair cells, initial work suggested that all vestibular and most spiral ganglion cells are lost by postnatal day 14 ( P14; [ 1]).	hair cells,46,56,Cell	cells,126,131,Cell	"[{""token"": ""hair cells"", ""start_span"": 46, ""end_span"": 56, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Cell""}]"	train
However, more detailed quantification by others [ 3] reported that at P4 about 77% of vestibular neurons and only 29% of spiral neurons are lost.	neurons,97,104,Cell	neurons,128,135,Cell	"[{""token"": ""neurons"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 128, ""end_span"": 135, ""type"": ""Cell""}]"	train
Moreover, recent work shows that in embryos NT - 3 is primarily expressed in supporting cells, moving only around birth into hair cells [ 6, 7].	supporting cells,77,93,Cell	hair cells,125,135,Cell	"[{""token"": ""supporting cells"", ""start_span"": 77, ""end_span"": 93, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 125, ""end_span"": 135, ""type"": ""Cell""}]"	train
In fact, the selective loss of vestibular as compared to cochlear sensory neurons ( 77% versus 29%; [ 3]) suggests that NT - 3 expression may be less downregulated in Brn3c null mutants than BDNF [ 6, 8, 9], provided that at least some differentiation of supporting cells takes place.	sensory neurons,66,81,Cell	supporting cells,255,271,Cell	"[{""token"": ""sensory neurons"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Cell""}, {""token"": ""supporting cells"", ""start_span"": 255, ""end_span"": 271, ""type"": ""Cell""}]"	train
We want to evaluate a possible correlation between the topology of sensory neuron loss and absence of a specific neurotrophin or topological loss of hair cells at birth and in older animals.	sensory neuron,67,81,Cell	hair cells,149,159,Cell	"[{""token"": ""sensory neuron"", ""start_span"": 67, ""end_span"": 81, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 149, ""end_span"": 159, ""type"": ""Cell""}]"	train
This retention of afferents and efferents is unrelated to hair cell differentiation as not even immature hair cells can be detected at early postnatal stages with MyoVII immunocytochemistry in this part of the cochlea.	hair cell,58,67,Cell	hair cells,105,115,Cell	"[{""token"": ""hair cell"", ""start_span"": 58, ""end_span"": 67, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 105, ""end_span"": 115, ""type"": ""Cell""}]"	train
These data suggest a loss of 80 - 85% of vestibular sensory neurons in BDNF and trkB null mutants [ 13] and of 77% of vestibular sensory neurons in P4 Brn3c null mutants [ 3].	sensory neurons,52,67,Cell	sensory neurons,129,144,Cell	"[{""token"": ""sensory neurons"", ""start_span"": 52, ""end_span"": 67, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 129, ""end_span"": 144, ""type"": ""Cell""}]"	train
The apex shows little change, except for the absence of fibers to the area of outer hair cells and the formation of inner spiral bundles passing along the few immature hair cells ( d, f, g).	outer hair cells,78,94,Cell	hair cells,168,178,Cell	"[{""token"": ""outer hair cells"", ""start_span"": 78, ""end_span"": 94, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Cell""}]"	train
In contrast, more immature hair cells are found in the appropriate position of hair cells in the vestibular endorgans ( Table 1).	hair cells,27,37,Cell	hair cells,79,89,Cell	"[{""token"": ""hair cells"", ""start_span"": 27, ""end_span"": 37, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 79, ""end_span"": 89, ""type"": ""Cell""}]"	train
Note the uniform staining with this antibody of all three rows of outer hair cells ( OHC) and the single row of inner hair cells ( IHC) in the wildtype ( a, c).	outer hair cells,66,82,Cell	inner hair cells,112,128,Cell	"[{""token"": ""outer hair cells"", ""start_span"": 66, ""end_span"": 82, ""type"": ""Cell""}, {""token"": ""inner hair cells"", ""start_span"": 112, ""end_span"": 128, ""type"": ""Cell""}]"	train
In contrast, only few immature hair cells ( iHC) are found in the basal turn of the mutant littermate ( b) and only an occasional cell is MyoVII immunopositive in the middle turn ( d).	hair cells,31,41,Cell	cell,130,134,Cell	"[{""token"": ""hair cells"", ""start_span"": 31, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Cell""}]"	train
Numbers of hair cells and sensory neurons in P7 wildtype and Brn3c mutant littermates	hair cells,11,21,Cell	sensory neurons,26,41,Cell	"[{""token"": ""hair cells"", ""start_span"": 11, ""end_span"": 21, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 26, ""end_span"": 41, ""type"": ""Cell""}]"	train
Comparison of numbers of immature hair cells in the vestibular and cochlear areas ( Fig. 4) with the numbers of surviving vestibular and cochlear sensory neurons does not show any correlation ( Table 1; Fig. 5).	hair cells,34,44,Cell	sensory neurons,146,161,Cell	"[{""token"": ""hair cells"", ""start_span"": 34, ""end_span"": 44, ""type"": ""Cell""}, {""token"": ""sensory neurons"", ""start_span"": 146, ""end_span"": 161, ""type"": ""Cell""}]"	train
And yet only about 50% of cochlear sensory neurons are lost overall with a less severe loss in the apex in which we could not detect any immature hair cells with MyoVIIa immunocytochemistry.	sensory neurons,35,50,Cell	hair cells,146,156,Cell	"[{""token"": ""sensory neurons"", ""start_span"": 35, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 146, ""end_span"": 156, ""type"": ""Cell""}]"	train
This graph shows the reduction in sensory neurons ( top) and in hair cells ( bottom) between 7 - day old wildtype and Brn3c null mutant littermates.	sensory neurons,34,49,Cell	hair cells,64,74,Cell	"[{""token"": ""sensory neurons"", ""start_span"": 34, ""end_span"": 49, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 64, ""end_span"": 74, ""type"": ""Cell""}]"	train
