Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
The lack of immature hair cells seems to affect also the formation of pillar cells ( undifferentiated almost throughout the cochlea; Fig. 4) and Deiters ' cells ( not recognizable based on their morphology), a suggestion consistent with recent molecular data on the interaction of hair cells and supporting cells [ 17, 18].	hair cells,21,31,Cell	pillar cells,70,82,Cell	Deiters ' cells,145,160,Cell	hair cells,281,291,Cell	supporting cells,296,312,Cell	"[{""token"": ""hair cells"", ""start_span"": 21, ""end_span"": 31, ""type"": ""Cell""}, {""token"": ""pillar cells"", ""start_span"": 70, ""end_span"": 82, ""type"": ""Cell""}, {""token"": ""Deiters ' cells"", ""start_span"": 145, ""end_span"": 160, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 281, ""end_span"": 291, ""type"": ""Cell""}, {""token"": ""supporting cells"", ""start_span"": 296, ""end_span"": 312, ""type"": ""Cell""}]"	train
CH and CSC planned and carried out the experiments with the red blood cells and platelets and the fractionation studies and drafted the manuscript, GL was responsible for platelets, RK gave support on the ADVIA 120 cell counter, evaluated and discussed the results, SMP and BSG gave support on the APACT system, platelet aggregation experiments, and evaluated the results, CZ was responsible for the sorcin studies, MS studied the cytoskeletal activities of the protein, AAN conceived of the studies and participated in its design.	red blood cells,60,75,Cell	platelets,80,89,Cell	platelets,171,180,Cell	cell,215,219,Cell	platelet,312,320,Cell	"[{""token"": ""red blood cells"", ""start_span"": 60, ""end_span"": 75, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 80, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""platelets"", ""start_span"": 171, ""end_span"": 180, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 215, ""end_span"": 219, ""type"": ""Cell""}, {""token"": ""platelet"", ""start_span"": 312, ""end_span"": 320, ""type"": ""Cell""}]"	train
To elucidate the consequences of the common JNCL mutation in neuronal cells, we used P4 knock - in mouse cerebella to establish conditionally immortalized CbCln3 wild - type, heterozygous, and homozygous neuronal precursor cell lines, which can be differentiated into MAP - 2 and NeuN - positive, neuron - like cells.	neuronal cells,61,75,Cell	neuronal,204,212,Cell	cell,223,227,Cell	neuron,297,303,Cell	cells,311,316,Cell	"[{""token"": ""neuronal cells"", ""start_span"": 61, ""end_span"": 75, ""type"": ""Cell""}, {""token"": ""neuronal"", ""start_span"": 204, ""end_span"": 212, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 223, ""end_span"": 227, ""type"": ""Cell""}, {""token"": ""neuron"", ""start_span"": 297, ""end_span"": 303, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 311, ""end_span"": 316, ""type"": ""Cell""}]"	train
Analysis of the mechanisms by which transcription factor programs can be shifted over time to control different complements of downstream genes and thus different aspects of neuronal and cellular fates in progenitor cells or post - mitotic neurons may provide further insight into the way in which transcription factors act to control the assembly of neuronal circuits.	neuronal,174,182,Cell	cellular,187,195,Cell	cells,216,221,Cell	neurons,240,247,Cell	neuronal,351,359,Cell	"[{""token"": ""neuronal"", ""start_span"": 174, ""end_span"": 182, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 216, ""end_span"": 221, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 240, ""end_span"": 247, ""type"": ""Cell""}, {""token"": ""neuronal"", ""start_span"": 351, ""end_span"": 359, ""type"": ""Cell""}]"	train
GC, ganglion cell; PLAP, human placental alkaline phophatase; ROS, rod outer segment; RIS, rod inner segment; ONL, outer nuclear layer; OPL, outer plexiform ( synaptic) layer; INL, inner nuclear layer; IPL, inner plexiform ( synaptic) layer; GC, ganglion cell layer.	GC,0,2,Cell	ganglion cell,4,17,Cell	rod,67,70,Cell	rod,91,94,Cell	ganglion cell,246,259,Cell	"[{""token"": ""GC"", ""start_span"": 0, ""end_span"": 2, ""type"": ""Cell""}, {""token"": ""ganglion cell"", ""start_span"": 4, ""end_span"": 17, ""type"": ""Cell""}, {""token"": ""rod"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Cell""}, {""token"": ""rod"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Cell""}, {""token"": ""ganglion cell"", ""start_span"": 246, ""end_span"": 259, ""type"": ""Cell""}]"	train
Immunofluorescent staining with purified DMRT7 antisera showed that DMRT7 protein is expressed predominantly in mid - to late - pachytene spermatocytes ( Figure 1C), as well as in sperm, and is not detectable in other germ cell types including spermatogonia and round spermatids.	spermatocytes,138,151,Cell	sperm,180,185,Cell	germ cell,218,227,Cell	spermatogonia,244,257,Cell	spermatids,268,278,Cell	"[{""token"": ""spermatocytes"", ""start_span"": 138, ""end_span"": 151, ""type"": ""Cell""}, {""token"": ""sperm"", ""start_span"": 180, ""end_span"": 185, ""type"": ""Cell""}, {""token"": ""germ cell"", ""start_span"": 218, ""end_span"": 227, ""type"": ""Cell""}, {""token"": ""spermatogonia"", ""start_span"": 244, ""end_span"": 257, ""type"": ""Cell""}, {""token"": ""spermatids"", ""start_span"": 268, ""end_span"": 278, ""type"": ""Cell""}]"	train
Dmrt1 is required in pre - meiotic male germ cells for differentiation of gonocytes into spermatogonia, as well as in Sertoli cells, but it is not expressed in meiotic cells [ 31] ( S. Kim and D. Zarkower, unpublished data).	male germ cells,35,50,Cell	gonocytes,74,83,Cell	spermatogonia,89,102,Cell	Sertoli cells,118,131,Cell	cells,168,173,Cell	"[{""token"": ""male germ cells"", ""start_span"": 35, ""end_span"": 50, ""type"": ""Cell""}, {""token"": ""gonocytes"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Cell""}, {""token"": ""spermatogonia"", ""start_span"": 89, ""end_span"": 102, ""type"": ""Cell""}, {""token"": ""Sertoli cells"", ""start_span"": 118, ""end_span"": 131, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 168, ""end_span"": 173, ""type"": ""Cell""}]"	train
Finally, movement of pigment granules within melanocytes or from melanocytes to keratinocytes makes use of cellular machinery that is shared by a variety of cell types, but that can vary in different regions of the body ( reviewed in Marks and Seabra 2001).	melanocytes,45,56,Cell	melanocytes,65,76,Cell	keratinocytes,80,93,Cell	cellular,107,115,Cell	cell,157,161,Cell	"[{""token"": ""melanocytes"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Cell""}, {""token"": ""melanocytes"", ""start_span"": 65, ""end_span"": 76, ""type"": ""Cell""}, {""token"": ""keratinocytes"", ""start_span"": 80, ""end_span"": 93, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 107, ""end_span"": 115, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Cell""}]"	valid
Assuming that Nr2e3 acts cell autonomously, we can conclude that the supernumerary S - cone - positive cells and the hybrid photoreceptors identified in the rd7 retina were redirected to these fates from postmitotic cells that were destined to become rods.	cell,25,29,Cell	cells,103,108,Cell	photoreceptors,124,138,Cell	cells,216,221,Cell	rods,251,255,Cell	"[{""token"": ""cell"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Cell""}, {""token"": ""photoreceptors"", ""start_span"": 124, ""end_span"": 138, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 216, ""end_span"": 221, ""type"": ""Cell""}, {""token"": ""rods"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Cell""}]"	valid
Alternatively, the ratio of supernumerary S - cones to hybrid photoreceptors produced in the retina of ESCS patients might be such that a higher percentage of the presumptive rods in ESCS patients become S - cones rather than hybrid photoreceptors.	cones,46,51,Cell	photoreceptors,62,76,Cell	rods,175,179,Cell	cones,208,213,Cell	photoreceptors,233,247,Cell	"[{""token"": ""cones"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Cell""}, {""token"": ""photoreceptors"", ""start_span"": 62, ""end_span"": 76, ""type"": ""Cell""}, {""token"": ""rods"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 208, ""end_span"": 213, ""type"": ""Cell""}, {""token"": ""photoreceptors"", ""start_span"": 233, ""end_span"": 247, ""type"": ""Cell""}]"	valid
