In the embryo, alterations in the determination or migration of melanoblasts from the neural crest affect the number or distribution of pigment cells in the skin ( reviewed in Reedy et al. 1998).	"melanoblasts	64	76	Cell"	"pigment cells	136	149	Cell"	"[{""token"": ""melanoblasts"", ""start_span"": 64, ""end_span"": 76, ""type"": ""Cell""}, {""token"": ""pigment cells"", ""start_span"": 136, ""end_span"": 149, ""type"": ""Cell""}]"
Secreted by dermal papilla cells within each hair follicle ( Millar et al. 1995), Agouti protein causes melanocytes in that follicle to switch from the production of brown / black eumelanin to red / yellow pheomelanin.	"dermal papilla cells	12	32	Cell"	"melanocytes	104	115	Cell"	"[{""token"": ""dermal papilla cells"", ""start_span"": 12, ""end_span"": 32, ""type"": ""Cell""}, {""token"": ""melanocytes"", ""start_span"": 104, ""end_span"": 115, ""type"": ""Cell""}]"
At this stage, melanoblast migration from the neural crest is mostly complete, but there is a dorsoventral gradient in melanocyte differentiation and pigment synthesis.	"melanoblast	15	26	Cell"	"melanocyte	119	129	Cell"	"[{""token"": ""melanoblast"", ""start_span"": 15, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""melanocyte"", ""start_span"": 119, ""end_span"": 129, ""type"": ""Cell""}]"
Among other T - box genes whose developmental actions are at least partially understood, two general themes have emerged, one focused on the ability to specify alternative fates for an undifferentiated group of precursor cells and another focused on the ability to support proliferative expansion of a cell population whose fate is already determined ( reviewed in Tada and Smith 2001).	"cells	221	226	Cell"	"cell	302	306	Cell"	"[{""token"": ""cells"", ""start_span"": 221, ""end_span"": 226, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 302, ""end_span"": 306, ""type"": ""Cell""}]"
Both Tbx15 and Lmx1b act autonomously in mesenchymal cells to promote a dorsal identity, yet have expression domains that do not correspond to cell lineage compartments in the flank ( Tbx15) or the limb ( Lmx1b) ( Altabef et al. 1997; Michaud et al. 1997).	"mesenchymal cells	41	58	Cell"	"cell	143	147	Cell"	"[{""token"": ""mesenchymal cells"", ""start_span"": 41, ""end_span"": 58, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Cell""}]"
We speculate that a diffusible signal from dorsal trunk ectoderm, at or prior to E11. 5, promotes expression of Tbx15 in dorsal trunk mesenchyme, which then establishes dorsal positional identity of those cells as manifested by differences in Agouti expression, pigment - cell development, and hair growth.	"cells	205	210	Cell"	"pigment - cell	262	276	Cell"	"[{""token"": ""cells"", ""start_span"": 205, ""end_span"": 210, ""type"": ""Cell""}, {""token"": ""pigment - cell"", ""start_span"": 262, ""end_span"": 276, ""type"": ""Cell""}]"
In at / at mice, reduced hair melanocyte activity and high levels of Agouti mRNA in the ventrum lead to a cream color; as melanocyte activity gradually increases towards the dorsum, a lateral stripe is apparent on the flank.	"melanocyte	30	40	Cell"	"melanocyte	122	132	Cell"	"[{""token"": ""melanocyte"", ""start_span"": 30, ""end_span"": 40, ""type"": ""Cell""}, {""token"": ""melanocyte"", ""start_span"": 122, ""end_span"": 132, ""type"": ""Cell""}]"
Impaired pre - alveolar development of varying severity, inhibited cell proliferation, delayed differentiation of type I alveolar epithelial cells ( AECs) and delayed vascular development were all evident in knockout lungs.	"cell	67	71	Cell"	"epithelial cells	130	146	Cell"	"[{""token"": ""cell"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Cell""}, {""token"": ""epithelial cells"", ""start_span"": 130, ""end_span"": 146, ""type"": ""Cell""}]"
Does the loss of normal cholesterol biosynthesis lead to abnormalities of cell proliferation / division or cell death?	"cell	74	78	Cell"	"cell	107	111	Cell"	"[{""token"": ""cell"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Cell""}]"
Thus, at the late gestational stages, cell proliferation / division was impaired in knockout embryos with no increase in cell death rates.	"cell	38	42	Cell"	"cell	121	125	Cell"	"[{""token"": ""cell"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Cell""}]"
The normal distal saccules of wild - type ( + / +) at near term ( E20. 5) showed typical type I ( t1) and type II ( t2) epithelial cells ( panel A, arrowheads), but knockout ( - / -) littermate lungs showed less developed saccules lined by columnar epithelial cells ( panel B, black arrowheads), with partially arrested tubules in the distal lung ( panel B, green arrowheads).	"epithelial cells	120	136	Cell"	"epithelial cells	249	265	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 120, ""end_span"": 136, ""type"": ""Cell""}, {""token"": ""epithelial cells"", ""start_span"": 249, ""end_span"": 265, ""type"": ""Cell""}]"
Immunostaining for type I cell markers T1 alpha and AQP5 demonstrated an intense staining in flat epithelial cells in wild - type lungs at E20. 5 ( panels C and E, arrowheads).	"cell	26	30	Cell"	"epithelial cells in wild - type lungs	98	135	Cell"	"[{""token"": ""cell"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Cell""}, {""token"": ""epithelial cells in wild - type lungs"", ""start_span"": 98, ""end_span"": 135, ""type"": ""Cell""}]"
In contrast, the terminal epithelial cells positively stained by megalin antibodies in knockout lungs were comprised mainly of undifferentiated cuboidal cells ( compare the arrowheads in G and H).	"epithelial cells	26	42	Cell"	"cells	153	158	Cell"	"[{""token"": ""epithelial cells"", ""start_span"": 26, ""end_span"": 42, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Cell""}]"
At E20. 5, cav - 1 alpha stained cells in knockout lungs were embedded in a relatively thick mesenchyme surrounding undeveloped epithelial tubules, and these epithelial cells remained cuboidal, instead of flattening out ( Fig. 8, panel F).	"cells	33	38	Cell"	"epithelial cells	158	174	Cell"	"[{""token"": ""cells"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Cell""}, {""token"": ""epithelial cells"", ""start_span"": 158, ""end_span"": 174, ""type"": ""Cell""}]"
Cell proliferation and division in Dhcr7 - / - lungs were markedly arrested without apparent increase in cell apoptosis.	"Cell	0	4	Cell"	"cell	105	109	Cell"	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Cell""}]"
Therefore, it appears that growth retardation caused by cholesterol deficiency was primarily because of an inhibition of cell growth and proliferation, rather than an increase in cell death.	"cell	121	125	Cell"	"cell	179	183	Cell"	"[{""token"": ""cell"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Cell""}]"
Cell death was investigated by terminal deoxynucleotidyltransferase - mediated dUTP nick - end labeling ( TUNEL) using the Fluorescein In Situ Cell Death Detection Kit ( Roche, Indianapolis, IN) according to the manufacturer ' s protocol.	"Cell	0	4	Cell"	"Cell	143	147	Cell"	"[{""token"": ""Cell"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""Cell"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Cell""}]"
Thus, changes in the complement of TACC1 isoforms in the cell may result in alterations in cellular RNA metabolism at multiple levels, and may account for the observation that TACC1D and TACC1F isoforms are associated with tumorigenic changes in gastric mucosa [ 18].	"cell	57	61	Cell"	"cellular	91	99	Cell"	"[{""token"": ""cell"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Cell""}]"
Although Pax3 and MyoD expression is detected in the PPF, a detailed analysis of transcription factors responsible for muscle precursor cell migration and differentiation will need to be completed both in the PPF and along the pathway of muscle precursor cell migration between the PPF and the membranous diaphragm.	"muscle precursor cell	119	140	Cell"	"muscle precursor cell	238	259	Cell"	"[{""token"": ""muscle precursor cell"", ""start_span"": 119, ""end_span"": 140, ""type"": ""Cell""}, {""token"": ""muscle precursor cell"", ""start_span"": 238, ""end_span"": 259, ""type"": ""Cell""}]"
In this study, we have examined the photoreceptor cells of the retinal degeneration 7 ( rd7) mutant mouse, a model for the human enhanced S - cone syndrome ( ESCS).	"photoreceptor cells	36	55	Cell"	"cone	142	146	Cell"	"[{""token"": ""photoreceptor cells"", ""start_span"": 36, ""end_span"": 55, ""type"": ""Cell""}, {""token"": ""cone"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Cell""}]"
Employing microarray and in situ hybridization analysis we have found that the rd7 retina contains a modestly increased number of S - opsin - expressing cells that ultrastructurally appear to be normal cones.	"cells	153	158	Cell"	"cones	202	207	Cell"	"[{""token"": ""cells"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 202, ""end_span"": 207, ""type"": ""Cell""}]"
In addition, in situ hybridization screening of genes shown to be up - regulated in the rd7 mutant retina by microarray identified ten new cone - specific or cone - enriched genes with a wide range of biochemical functions, including two genes specifically involved in glucose / glycogen metabolism.	"cone	139	143	Cell"	"cone	158	162	Cell"	"[{""token"": ""cone"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Cell""}, {""token"": ""cone"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Cell""}]"
Photoreceptors, among the most important cell types in the retina, are the first to receive the incoming rays of light.	"Photoreceptors	0	14	Cell"	"cell	41	45	Cell"	"[{""token"": ""Photoreceptors"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Cell""}]"
Rods are specialized for nighttime vision, and cones for daytime and color vision.	"Rods	0	4	Cell"	"cones	47	52	Cell"	"[{""token"": ""Rods"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Cell""}]"
In this study, the authors examined the photoreceptors of a mouse with a gene mutation that causes photoreceptors to develop abnormally.	"photoreceptors	40	54	Cell"	"photoreceptors	99	113	Cell"	"[{""token"": ""photoreceptors"", ""start_span"": 40, ""end_span"": 54, ""type"": ""Cell""}, {""token"": ""photoreceptors"", ""start_span"": 99, ""end_span"": 113, ""type"": ""Cell""}]"
This study also elucidated previously unknown molecular differences between normal rods and cones.	"rods	83	87	Cell"	"cones	92	97	Cell"	"[{""token"": ""rods"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Cell""}]"
"Subsequent studies, however, concluded that the ERG was due to supernumerary short - wavelength ( "" blue "") cone photoreceptors ( S - cones) in these patients [ 1, 2, 9 - 11]."	"cone photoreceptors	108	127	Cell"	"cones	134	139	Cell"	"[{""token"": ""cone photoreceptors"", ""start_span"": 108, ""end_span"": 127, ""type"": ""Cell""}, {""token"": ""cones"", ""start_span"": 134, ""end_span"": 139, ""type"": ""Cell""}]"
Histopathologic analysis of a retina from a human patient with ESCS and extensive retinal degeneration demonstrated an absence of rhodopsin - positive cells and an increase in the number of S - cone opsin - expressing cells.	"cells	151	156	Cell"	"cells	218	223	Cell"	"[{""token"": ""cells"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 218, ""end_span"": 223, ""type"": ""Cell""}]"
