We will explore five points in this discussion: How the limited expression of neurotrophins relates to the apparent survival of primary neurons until P8; how the known absence of apical hair cells and of classical neurotrophins can be related to the presence of large numbers of apical turn spiral neurons; how absence of differentiated hair cells affects afferent and efferent targeting; and how these data possibly relate to other mutant animals and to children born with profound hearing loss.	"primary neurons	128	143	Cell"	"hair cells	186	196	Cell"	"neurons	298	305	Cell"	"hair cells	337	347	Cell"	"[{""token"": ""primary neurons"", ""start_span"": 128, ""end_span"": 143, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 186, ""end_span"": 196, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 298, ""end_span"": 305, ""type"": ""Cell""}, {""token"": ""hair cells"", ""start_span"": 337, ""end_span"": 347, ""type"": ""Cell""}]"
Counting the total number of positive cells in alternate sections across the entire epithelium, we find that gene A is expressed in 2, 905 cells, about 12 times more cells than gene D, which is expressed in a total of 249 cells.	"cells	38	43	Cell"	"cells	139	144	Cell"	"cells	166	171	Cell"	"cells	222	227	Cell"	"[{""token"": ""cells"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 166, ""end_span"": 171, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 222, ""end_span"": 227, ""type"": ""Cell""}]"
In a fluorogenic in vitro assay, cathepsin D activity in total cellular extracts was not significantly altered in homozygous CbCln3 Delta ex7 / 8 cells ( 376 +/- 89 RFU / mu g total protein), versus wild - type cells ( 324 +/- 58 RFU / mu g total protein), although a consistent trend towards increased enzymatic activity in mutant cells was observed.	"cellular	63	71	Cell"	"cells	146	151	Cell"	"cells	211	216	Cell"	"cells	332	337	Cell"	"[{""token"": ""cellular"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 332, ""end_span"": 337, ""type"": ""Cell""}]"
Though there is no cell culture system available to specifically study placodal cells, these keratinocytes are their progenitors and are the closest approximation available to study the behavior of epithelial cells of the placode.	"cell	19	23	Cell"	"cells	80	85	Cell"	"keratinocytes	93	106	Cell"	"epithelial cells	198	214	Cell"	"[{""token"": ""cell"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""keratinocytes"", ""start_span"": 93, ""end_span"": 106, ""type"": ""Cell""}, {""token"": ""epithelial cells"", ""start_span"": 198, ""end_span"": 214, ""type"": ""Cell""}]"
Cone pedicles make invaginating synapses with the dendrites of on - cone bipolar cells and horizontal cells and basal junctions with the dendrites of off - cone bipolar cells.	"Cone	0	4	Cell"	"on - cone bipolar cells	63	86	Cell"	"horizontal cells	91	107	Cell"	"off - cone bipolar cells	150	174	Cell"	"[{""token"": ""Cone"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Cell""}, {""token"": ""on - cone bipolar cells"", ""start_span"": 63, ""end_span"": 86, ""type"": ""Cell""}, {""token"": ""horizontal cells"", ""start_span"": 91, ""end_span"": 107, ""type"": ""Cell""}, {""token"": ""off - cone bipolar cells"", ""start_span"": 150, ""end_span"": 174, ""type"": ""Cell""}]"
H, horizontal cell; B, bipolar cell; N, nucleus; r, ribbon.	"H	0	1	Cell"	"horizontal cell	3	18	Cell"	"B	20	21	Cell"	"bipolar cell	23	35	Cell"	"[{""token"": ""H"", ""start_span"": 0, ""end_span"": 1, ""type"": ""Cell""}, {""token"": ""horizontal cell"", ""start_span"": 3, ""end_span"": 18, ""type"": ""Cell""}, {""token"": ""B"", ""start_span"": 20, ""end_span"": 21, ""type"": ""Cell""}, {""token"": ""bipolar cell"", ""start_span"": 23, ""end_span"": 35, ""type"": ""Cell""}]"
The cone - rod dystrophies ( CRDs) are characterized by loss of cone - mediated vision in the first decade of life or later, with concomitant or subsequent loss of rod - mediated vision [ 54].	"cone	4	8	Cell"	"rod	11	14	Cell"	"cone	64	68	Cell"	"rod	164	167	Cell"	"[{""token"": ""cone"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Cell""}, {""token"": ""rod"", ""start_span"": 11, ""end_span"": 14, ""type"": ""Cell""}, {""token"": ""cone"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""rod"", ""start_span"": 164, ""end_span"": 167, ""type"": ""Cell""}]"
Light microscopic examination of PGC - 1 alpha - / - brain tissue samples demonstrated a well - preserved cerebral cortical neuronal complement, a result confirmed by measurement of neuron density in sections of the parietal lobe ( PGC - 1 alpha + / +, 1, 261 +/- 91 neurons / mm2 versus PGC - 1 alpha - / -, 1, 299 +/- 82 neurons / mm2; not significant).	"neuronal	124	132	Cell"	"neuron	182	188	Cell"	"neurons	267	274	Cell"	"neurons	323	330	Cell"	"[{""token"": ""neuronal"", ""start_span"": 124, ""end_span"": 132, ""type"": ""Cell""}, {""token"": ""neuron"", ""start_span"": 182, ""end_span"": 188, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 267, ""end_span"": 274, ""type"": ""Cell""}, {""token"": ""neurons"", ""start_span"": 323, ""end_span"": 330, ""type"": ""Cell""}]"
In cultured cells after cell damage or apoptosis ( unpublished observations) or in cells treated with a Ca2 + - ionophore Annexin A7 translocated from the cytoplasm to cellular membranes [ 19].	"cells	12	17	Cell"	"cell	24	28	Cell"	"cells	83	88	Cell"	"cellular	168	176	Cell"	"[{""token"": ""cells"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 168, ""end_span"": 176, ""type"": ""Cell""}]"
Both Annexin A7 isoforms described in brain tissue seemingly are expressed by neurons and astrocytes, which was shown using total cell extracts of cultured neuo - 2a, PC - 12, and C6 cells.	"neurons	78	85	Cell"	"astrocytes	90	100	Cell"	"cell	130	134	Cell"	"cells	183	188	Cell"	"[{""token"": ""neurons"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""astrocytes"", ""start_span"": 90, ""end_span"": 100, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 183, ""end_span"": 188, ""type"": ""Cell""}]"
Together, these results and the findings obtained from in vitro culture experiments ( see Figures 4 and 5) demonstrate that precocious or isochronic expression of EWS - Pea3 in the same neurons leads to significantly different cell - autonomous cellular responses with respect to gene expression, neuronal survival, and neurite outgrowth ( Figure 9).	"neurons	186	193	Cell"	"cell	227	231	Cell"	"cellular	245	253	Cell"	"neuronal	297	305	Cell"	"[{""token"": ""neurons"", ""start_span"": 186, ""end_span"": 193, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 245, ""end_span"": 253, ""type"": ""Cell""}, {""token"": ""neuronal"", ""start_span"": 297, ""end_span"": 305, ""type"": ""Cell""}]"
Because ADAM22 protein is expressed on the cell surface and is likely to be involved in cell - cell or cell - matrix interactions, we hypothesized that depletion of ADAM22 would generate aberrant neuronal migration.	"cell	43	47	Cell"	"cell	88	92	Cell"	"cell	95	99	Cell"	"neuronal	196	204	Cell"	"[{""token"": ""cell"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Cell""}, {""token"": ""neuronal"", ""start_span"": 196, ""end_span"": 204, ""type"": ""Cell""}]"
Cultures of mouse embryo fibroblasts generated from Sam68 + / + and Sam68 - / - littermates were induced to differentiate into adipocytes with culture medium containing pioglitazone and the Sam68 - / - mouse embryo fibroblasts shown to have impaired adipocyte differentiation.	"fibroblasts	25	36	Cell"	"adipocytes	127	137	Cell"	"fibroblasts	215	226	Cell"	"adipocyte	250	259	Cell"	"[{""token"": ""fibroblasts"", ""start_span"": 25, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""adipocytes"", ""start_span"": 127, ""end_span"": 137, ""type"": ""Cell""}, {""token"": ""fibroblasts"", ""start_span"": 215, ""end_span"": 226, ""type"": ""Cell""}, {""token"": ""adipocyte"", ""start_span"": 250, ""end_span"": 259, ""type"": ""Cell""}]"
Nuclear staining was observed in proliferating chondrocytes and hypertrophic chondrocytes ( Figure 1C, panel H), in osteoblasts ( panel L; Dataset S1), and in osteoclasts ( Dataset S1).	"chondrocytes	47	59	Cell"	"hypertrophic chondrocytes	64	89	Cell"	"osteoblasts	116	127	Cell"	"osteoclasts	159	170	Cell"	"[{""token"": ""chondrocytes"", ""start_span"": 47, ""end_span"": 59, ""type"": ""Cell""}, {""token"": ""hypertrophic chondrocytes"", ""start_span"": 64, ""end_span"": 89, ""type"": ""Cell""}, {""token"": ""osteoblasts"", ""start_span"": 116, ""end_span"": 127, ""type"": ""Cell""}, {""token"": ""osteoclasts"", ""start_span"": 159, ""end_span"": 170, ""type"": ""Cell""}]"
The reduction in both osteoblast and osteoclast activity in the 12 - month - old Sam68 + / + mice argued against bone being lost primarily due to a relative increase in osteoclast over osteoblast activity, as seen in high turnover disease [ 49].	"osteoblast	22	32	Cell"	"osteoclast	37	47	Cell"	"osteoclast	169	179	Cell"	"osteoblast	185	195	Cell"	"[{""token"": ""osteoblast"", ""start_span"": 22, ""end_span"": 32, ""type"": ""Cell""}, {""token"": ""osteoclast"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Cell""}, {""token"": ""osteoclast"", ""start_span"": 169, ""end_span"": 179, ""type"": ""Cell""}, {""token"": ""osteoblast"", ""start_span"": 185, ""end_span"": 195, ""type"": ""Cell""}]"
It is well recognized that bone marrow stromal cells give rise to both osteoblasts and adipocytes and that age - related bone loss is accompanied by an increase in differentiation down the adipocyte lineage [ 22].	"stromal cells	39	52	Cell"	"osteoblasts	71	82	Cell"	"adipocytes	87	97	Cell"	"adipocyte	189	198	Cell"	"[{""token"": ""stromal cells"", ""start_span"": 39, ""end_span"": 52, ""type"": ""Cell""}, {""token"": ""osteoblasts"", ""start_span"": 71, ""end_span"": 82, ""type"": ""Cell""}, {""token"": ""adipocytes"", ""start_span"": 87, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""adipocyte"", ""start_span"": 189, ""end_span"": 198, ""type"": ""Cell""}]"
