The insertion allele also had a previously reported substitution ( A to G, Thr164Ala) in exon 1 and several other single base changes in the promoter region [ 22].	"A	67	68	Chemical"	"G	72	73	Chemical"	"[{""token"": ""A"", ""start_span"": 67, ""end_span"": 68, ""type"": ""Chemical""}, {""token"": ""G"", ""start_span"": 72, ""end_span"": 73, ""type"": ""Chemical""}]"
Bicarbonate formation is important for aqueous humor secretion from the ciliary processes and carbonic anhydrase ( CA) facilitates this secretion.	"Bicarbonate	0	11	Chemical"	"carbonic	94	102	Chemical"	"[{""token"": ""Bicarbonate"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical""}, {""token"": ""carbonic"", ""start_span"": 94, ""end_span"": 102, ""type"": ""Chemical""}]"
For most experiments, the mice were fed NIH31 ( 6% fat) chow ad libitum, and their water was acidified to pH 2. 8 to 3. 2.	"chow	56	60	Chemical"	"water	83	88	Chemical"	"[{""token"": ""chow"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Chemical""}, {""token"": ""water"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Chemical""}]"
BRCA2 interacts with the RAD51 recombinase via direct protein - protein contacts [ 16, 17, 18, 19].	"protein	54	61	Chemical"	"protein	64	71	Chemical"	"[{""token"": ""protein"", ""start_span"": 54, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Chemical""}]"
CAPAN - 1 cells carry a deletion of BRCA2 on one homolog and codes for a protein truncated at amino acid 1981 on the other homolog.	"protein	73	80	Chemical"	"amino acid	94	104	Chemical"	"[{""token"": ""protein"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Chemical""}, {""token"": ""amino acid"", ""start_span"": 94, ""end_span"": 104, ""type"": ""Chemical""}]"
It had been shown previously that the small amount of truncated BRCA2 protein expressed by CAPAN - 1 cells was mislocalized to the cytoplasm, consistent with the fact that the truncation protein lacks a nuclear localization signal [ 28].	"protein	70	77	Chemical"	"protein	187	194	Chemical"	"[{""token"": ""protein"", ""start_span"": 70, ""end_span"": 77, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 187, ""end_span"": 194, ""type"": ""Chemical""}]"
In this study we have used embryonic stem ( ES) cell - mediated transgenesis to test the enhanced cyan fluorescent protein ( ECFP) and enhanced yellow fluorescent protein ( EYFP), two mutant and spectrally distinct color variants of wild type ( wt) GFP.	"protein	115	122	Chemical"	"protein	163	170	Chemical"	"[{""token"": ""protein"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 163, ""end_span"": 170, ""type"": ""Chemical""}]"
Fluorescent protein reporters currently represent a superior alternative to other gene - based reporters such as the bacterial lacZ or human placental alkaline phosphatase in that their visualization is non - invasive, and as such does not require chromogenic substrates.	"protein	12	19	Chemical"	"alkaline	151	159	Chemical"	"[{""token"": ""protein"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Chemical""}, {""token"": ""alkaline"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Chemical""}]"
The prototype fluorescent protein reporter is green fluorescent protein ( GFP, reviewed in [ 3]), which is derived from the bioluminescent jellyfish Aequorea Victoria [ 1].	"protein	26	33	Chemical"	"protein	64	71	Chemical"	"[{""token"": ""protein"", ""start_span"": 26, ""end_span"": 33, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Chemical""}]"
An ES cell - mediated transgenic approach was used to evaluate the Enhanced Cyan Fluorescent Protein ( ECFP) and Enhanced Yellow Fluorescent Protein ( EYFP) wtGFP spectral variants [ 4, 11].	"Protein	93	100	Chemical"	"Protein	141	148	Chemical"	"[{""token"": ""Protein"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""Protein"", ""start_span"": 141, ""end_span"": 148, ""type"": ""Chemical""}]"
