Total sterols and cholesterol in Dhcr7 - / - embryonic lungs ( as well as in brain and liver, data not shown) were reduced and 7DHC / 8DHC elevated, but a significant amount of cholesterol was detectable, comprising ~ 60% and ~ 30% of total tissue sterols at E13. 5 and neonate, respectively.	"sterols	6	13	Chemical"	"cholesterol	18	29	Chemical"	"cholesterol	177	188	Chemical"	"sterols	248	255	Chemical"	"[{""token"": ""sterols"", ""start_span"": 6, ""end_span"": 13, ""type"": ""Chemical""}, {""token"": ""cholesterol"", ""start_span"": 18, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""cholesterol"", ""start_span"": 177, ""end_span"": 188, ""type"": ""Chemical""}, {""token"": ""sterols"", ""start_span"": 248, ""end_span"": 255, ""type"": ""Chemical""}]"
Thoracic parts from embryos or P0 mice were fixed in either Amsterdam ' s fixative ( methanol: acetone: acetic acid: water, 35: 35: 5: 25 v / v) or 4% paraformaldehyde in PBS.	"methanol	85	93	Chemical"	"acetone	95	102	Chemical"	"acetic acid	104	115	Chemical"	"water	117	122	Chemical"	"[{""token"": ""methanol"", ""start_span"": 85, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""acetone"", ""start_span"": 95, ""end_span"": 102, ""type"": ""Chemical""}, {""token"": ""acetic acid"", ""start_span"": 104, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""water"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Chemical""}]"
After deparaffination in xylene and rehydration through a graded series of ethanol, sections were heated at 95 degrees C in 10 mM sodium citrate ( pH 6. 0) for an initial 15 min and for three successive 5 - min periods [ 25].	"xylene	25	31	Chemical"	"ethanol	75	82	Chemical"	"sodium	130	136	Chemical"	"citrate	137	144	Chemical"	"[{""token"": ""xylene"", ""start_span"": 25, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""ethanol"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Chemical""}, {""token"": ""sodium"", ""start_span"": 130, ""end_span"": 136, ""type"": ""Chemical""}, {""token"": ""citrate"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Chemical""}]"
Strikingly, however, the C. elegans specific proteins lin15A, lin36 and lin37 do not have readily discernible homologues in vertebrates or Drosophila, although the presence of a zinc finger domain in lin36 may suggest that this protein is involved directly in transcription or perform an adaptor role similar to LIM containing proteins.	"proteins	45	53	Chemical"	"zinc	178	182	Chemical"	"protein	228	235	Chemical"	"proteins	327	335	Chemical"	"[{""token"": ""proteins"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Chemical""}, {""token"": ""zinc"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 228, ""end_span"": 235, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 327, ""end_span"": 335, ""type"": ""Chemical""}]"
In addition, the TACC proteins of lower organisms appear to interact with bridging proteins that are components of several different protein complexes involved in DNA damage repair, protein translation, RNA processing and transcription.	"proteins	22	30	Chemical"	"proteins	83	91	Chemical"	"protein	133	140	Chemical"	"protein	182	189	Chemical"	"[{""token"": ""proteins"", ""start_span"": 22, ""end_span"": 30, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 83, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Chemical""}]"
However, over the process of evolutionary time, with the acquisition of new domains and duplication of the chordate TACC precursor, the chordate TACC proteins have acquired the ability to directly interact with some of the other components of these complexes ( such as the LSm proteins, nuclear hormone receptors, GAS41, accessory proteins and transcription factors), and thus evolved additional functions within these complexes.	"proteins	150	158	Chemical"	"proteins	277	285	Chemical"	"hormone	295	302	Chemical"	"proteins	331	339	Chemical"	"[{""token"": ""proteins"", ""start_span"": 150, ""end_span"": 158, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 277, ""end_span"": 285, ""type"": ""Chemical""}, {""token"": ""hormone"", ""start_span"": 295, ""end_span"": 302, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 331, ""end_span"": 339, ""type"": ""Chemical""}]"
Unbound RXR beta 3 was removed by washing three times with 20 mM Tris - HCl pH. 8. 0, 200 mM NaCl, 1 mM EDTA pH8. 0.	"Tris	65	69	Chemical"	"HCl	72	75	Chemical"	"NaCl	93	97	Chemical"	"EDTA	104	108	Chemical"	"[{""token"": ""Tris"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Chemical""}, {""token"": ""HCl"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical""}, {""token"": ""NaCl"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Chemical""}, {""token"": ""EDTA"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Chemical""}]"
Bound proteins were eluted from the beads at room temperature for 10 min in elution buffer ( 100 mM Tris HCl, pH8. 0, 20 mM reduced glutathione).	"proteins	6	14	Chemical"	"Tris	100	104	Chemical"	"HCl	105	108	Chemical"	"glutathione	132	143	Chemical"	"[{""token"": ""proteins"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Chemical""}, {""token"": ""Tris"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Chemical""}, {""token"": ""HCl"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Chemical""}, {""token"": ""glutathione"", ""start_span"": 132, ""end_span"": 143, ""type"": ""Chemical""}]"
Sequence analysis revealed a cytosine to thymine heterozygous change in exon 4 that changes the 112th amino acid from arginine to a stop codon.	"cytosine	29	37	Chemical"	"thymine	41	48	Chemical"	"amino acid	102	112	Chemical"	"arginine	118	126	Chemical"	"[{""token"": ""cytosine"", ""start_span"": 29, ""end_span"": 37, ""type"": ""Chemical""}, {""token"": ""thymine"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Chemical""}, {""token"": ""amino acid"", ""start_span"": 102, ""end_span"": 112, ""type"": ""Chemical""}, {""token"": ""arginine"", ""start_span"": 118, ""end_span"": 126, ""type"": ""Chemical""}]"
One of these genes, Pygm, is involved in glycogen / glucose metabolism, and a second, Glo1, is required for detoxification of methylglyoxal, a byproduct of glycolysis [ 33].	"glycogen	41	49	Chemical"	"glucose	52	59	Chemical"	"methylglyoxal	126	139	Chemical"	"byproduct	143	152	Chemical"	"[{""token"": ""glycogen"", ""start_span"": 41, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""glucose"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Chemical""}, {""token"": ""methylglyoxal"", ""start_span"": 126, ""end_span"": 139, ""type"": ""Chemical""}, {""token"": ""byproduct"", ""start_span"": 143, ""end_span"": 152, ""type"": ""Chemical""}]"
