For DOPA staining, the dermis and epidermis were split after 3 h of incubation in 2 M sodium bromide at 37 degrees C ( this preparation causes most hair follicles to remain with the dermis), individually fixed for 1 h, then rinsed and stained with 0. 1% L - DOPA ( Sigma, St. Louis, Missouri, United States), 0. 1 M sodium phosphate buffer ( pH 6. 8) for 5 h at 37 degrees C in the dark, changing the staining solution after 1 h.	"DOPA	4	8	Chemical"	"sodium	86	92	Chemical"	"bromide	93	100	Chemical"	"L - DOPA	254	262	Chemical"	"sodium phosphate	316	332	Chemical"	"[{""token"": ""DOPA"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""sodium"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical""}, {""token"": ""bromide"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""L - DOPA"", ""start_span"": 254, ""end_span"": 262, ""type"": ""Chemical""}, {""token"": ""sodium phosphate"", ""start_span"": 316, ""end_span"": 332, ""type"": ""Chemical""}]"
In the latter cases, such as plants and fungi, cholesterol - like sterols ( phytosterols, ergosterol etc.) seem to substitute for cholesterol.	"cholesterol	47	58	Chemical"	"sterols	66	73	Chemical"	"phytosterols	76	88	Chemical"	"ergosterol	90	100	Chemical"	"cholesterol	130	141	Chemical"	"[{""token"": ""cholesterol"", ""start_span"": 47, ""end_span"": 58, ""type"": ""Chemical""}, {""token"": ""sterols"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""phytosterols"", ""start_span"": 76, ""end_span"": 88, ""type"": ""Chemical""}, {""token"": ""ergosterol"", ""start_span"": 90, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""cholesterol"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Chemical""}]"
The two slower migrating bands in Shh - N transfected COS1 cells ( track 2) represented Shh - N proteins with different lipid modifications at its N terminus.	"N	40	41	Chemical"	"N	94	95	Chemical"	"proteins	96	104	Chemical"	"lipid	120	125	Chemical"	"N	147	148	Chemical"	"[{""token"": ""N"", ""start_span"": 40, ""end_span"": 41, ""type"": ""Chemical""}, {""token"": ""N"", ""start_span"": 94, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""proteins"", ""start_span"": 96, ""end_span"": 104, ""type"": ""Chemical""}, {""token"": ""lipid"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Chemical""}, {""token"": ""N"", ""start_span"": 147, ""end_span"": 148, ""type"": ""Chemical""}]"
Briefly, 3 embryos from each genotype were pooled, homogenized in ice cold lysis buffer ( 50 mM Tris - pH8. 0, 150 mM NaCl, 2 mM EDTA, 1% Triton X - 100, 0. 5 mM DTT, 1 mM PMSF and 2 mu g / ml each of aprotinin, leupeptin and pepstatin A) with a tissue homogenizer ( PRO Scientific Inc., Oxford, CT) using three pulses of 10 seconds each and then subjected to Dounce homogenizer by 10 strokes.	"Tris	96	100	Chemical"	"NaCl	118	122	Chemical"	"EDTA	129	133	Chemical"	"DTT	162	165	Chemical"	"PMSF	172	176	Chemical"	"[{""token"": ""Tris"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""NaCl"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""EDTA"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Chemical""}, {""token"": ""DTT"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Chemical""}, {""token"": ""PMSF"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Chemical""}]"
Of the vertebrate TACC proteins, the TACC3 orthologues show the greatest variability in size and sequence, ranging in size from 599 amino acids for the rat TACC3 protein, to 942 amino acids in the Danio rerio protein.	"proteins	23	31	Chemical"	"amino acids	132	143	Chemical"	"protein	162	169	Chemical"	"amino acids	178	189	Chemical"	"protein	209	216	Chemical"	"[{""token"": ""proteins"", ""start_span"": 23, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 132, ""end_span"": 143, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 162, ""end_span"": 169, ""type"": ""Chemical""}, {""token"": ""amino acids"", ""start_span"": 178, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""protein"", ""start_span"": 209, ""end_span"": 216, ""type"": ""Chemical""}]"
Cells ( 50 ml) were harvested and resuspended in 5 ml of 20 mM Tris - HCl pH. 8. 0, 200 mM NaCl, 1 mM EDTA pH8. 0, Protease inhibitor set III ( Calbiochem).	"Tris	63	67	Chemical"	"HCl	70	73	Chemical"	"NaCl	91	95	Chemical"	"EDTA	102	106	Chemical"	"Protease inhibitor	115	133	Chemical"	"[{""token"": ""Tris"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Chemical""}, {""token"": ""HCl"", ""start_span"": 70, ""end_span"": 73, ""type"": ""Chemical""}, {""token"": ""NaCl"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Chemical""}, {""token"": ""EDTA"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""Protease inhibitor"", ""start_span"": 115, ""end_span"": 133, ""type"": ""Chemical""}]"
The cleared lysate was immobilized on glutathione sepharose beads in 3 ml of 20 mM Tris - HCl pH. 8. 0, 200 mM NaCl, 1 mM EDTA pH8. 0).	"glutathione	38	49	Chemical"	"Tris	83	87	Chemical"	"HCl	90	93	Chemical"	"NaCl	111	115	Chemical"	"EDTA	122	126	Chemical"	"[{""token"": ""glutathione"", ""start_span"": 38, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""Tris"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Chemical""}, {""token"": ""HCl"", ""start_span"": 90, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""NaCl"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""EDTA"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Chemical""}]"
100 mu l of in vitro translated RXR beta 3 protein in 1 ml of 20 mM Tris - HCl pH. 8. 0, 200 mM NaCl, 1 mM EDTA pH8. 0 was incubated at 4 degrees C with immobilized GST - TACC2 or GST for 90 min.	"protein	43	50	Chemical"	"Tris	68	72	Chemical"	"HCl	75	78	Chemical"	"NaCl	96	100	Chemical"	"EDTA	107	111	Chemical"	"[{""token"": ""protein"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Chemical""}, {""token"": ""Tris"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""HCl"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Chemical""}, {""token"": ""NaCl"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""EDTA"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Chemical""}]"
For lung explant culture, lungs were dissected from fresh embryos at E11. 5 and E12. 5 and placed on porous 24 - mm ( 0. 4 - mu) polyester membranes floated in wells containing 2 ml of Dulbecco ' s modified Eagle ' s medium, nutrient mixture F - 12 ( 11039 - 021, Gibco, San Diego, California, United States), supplemented with 10% fetal bovine serum, 0. 3 mg / ml L - glutamine, 100 units / ml penicillin, 100 mcg / ml streptomycin, and 0. 25 mcg / ml amphotericin B.	"polyester	129	138	Chemical"	"nutrient	225	233	Chemical"	"L - glutamine	365	378	Chemical"	"penicillin	395	405	Chemical"	"streptomycin	420	432	Chemical"	"[{""token"": ""polyester"", ""start_span"": 129, ""end_span"": 138, ""type"": ""Chemical""}, {""token"": ""nutrient"", ""start_span"": 225, ""end_span"": 233, ""type"": ""Chemical""}, {""token"": ""L - glutamine"", ""start_span"": 365, ""end_span"": 378, ""type"": ""Chemical""}, {""token"": ""penicillin"", ""start_span"": 395, ""end_span"": 405, ""type"": ""Chemical""}, {""token"": ""streptomycin"", ""start_span"": 420, ""end_span"": 432, ""type"": ""Chemical""}]"
Sections for electron microscopy were cut at a thickness of 95 nm, placed on grids, and poststained with 2% uranyl acetate followed by 0. 2% lead citrate.	"electron	13	21	Chemical"	"uranyl	108	114	Chemical"	"acetate	115	122	Chemical"	"lead	141	145	Chemical"	"citrate	146	153	Chemical"	"[{""token"": ""electron"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Chemical""}, {""token"": ""uranyl"", ""start_span"": 108, ""end_span"": 114, ""type"": ""Chemical""}, {""token"": ""acetate"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Chemical""}, {""token"": ""lead"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Chemical""}, {""token"": ""citrate"", ""start_span"": 146, ""end_span"": 153, ""type"": ""Chemical""}]"
