Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
It is the first time to report the existence of multiple Acdp genes in other mammals in addition to human, while Acdp appears to be a single copy gene in lower organisms such as in C. elegans, yeasts and bacteria.	mammals,77,84,Organism	human,100,105,Organism	organisms,160,169,Organism	yeasts,193,199,Organism	bacteria,204,212,Organism	"[{""token"": ""mammals"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 100, ""end_span"": 105, ""type"": ""Organism""}, {""token"": ""organisms"", ""start_span"": 160, ""end_span"": 169, ""type"": ""Organism""}, {""token"": ""yeasts"", ""start_span"": 193, ""end_span"": 199, ""type"": ""Organism""}, {""token"": ""bacteria"", ""start_span"": 204, ""end_span"": 212, ""type"": ""Organism""}]"	train
Twelve mice were examined for gross and histologic abnormalities, including one male and one female MCAD - / - mouse 18 - mo - old, one male and one female MCAD + / + mouse 6 - mo - old, two male and two female MCAD - / - mice 4 - wk - old, and two male and two female MCAD + / + mice 4 - wk - old.	mice,7,11,Organism	mouse,111,116,Organism	mouse,167,172,Organism	mice,222,226,Organism	mice,280,284,Organism	"[{""token"": ""mice"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 167, ""end_span"": 172, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 280, ""end_span"": 284, ""type"": ""Organism""}]"	train
All animal procedures conformed to the Japanese regulations on animal care and use, following the Guideline for Animal Experimentation of the Japanese Association for Laboratory of Animal Science, and were approved by the Animal Care and Use Committee of Eisai Co., Ltd.	animal,4,10,Organism	animal,63,69,Organism	Animal,112,118,Organism	Animal,181,187,Organism	Animal,222,228,Organism	"[{""token"": ""animal"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Organism""}, {""token"": ""animal"", ""start_span"": 63, ""end_span"": 69, ""type"": ""Organism""}, {""token"": ""Animal"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Organism""}, {""token"": ""Animal"", ""start_span"": 181, ""end_span"": 187, ""type"": ""Organism""}, {""token"": ""Animal"", ""start_span"": 222, ""end_span"": 228, ""type"": ""Organism""}]"	train
Antibodies used in whole - mount immunocytochemistry were: mouse monoclonal anti - N - MYC ( Cell Signaling Technology, Beverly, Massachusetts, United States; 1: 100), rabbit anti - SOX9 ( gift of F. Poulat; 1: 1, 000), rat anti - PECAM ( Pharmingen, San Diego, California, United States; 1: 500), rabbit anti - caspase - 3 fragment ( BD Bioscience, San Diego, California, United States; 1: 100), and rabbit anti - phosphorylated histone H3 ( Cell Signaling; 1: 250).	mouse,59,64,Organism	rabbit,168,174,Organism	rat,220,223,Organism	rabbit,298,304,Organism	rabbit,401,407,Organism	"[{""token"": ""mouse"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 168, ""end_span"": 174, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 220, ""end_span"": 223, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 298, ""end_span"": 304, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 401, ""end_span"": 407, ""type"": ""Organism""}]"	train
The best studied of these genes, Dmrt1, is expressed in the differentiating male genital ridges and adult testis of mammals, birds, fish, and reptiles, and a recently duplicated Dmrt1 gene functions as the Y - linked testis - determining gene in the Medaka fish [ 25 - 29].	mammals,116,123,Organism	birds,125,130,Organism	fish,132,136,Organism	reptiles,142,150,Organism	Medaka fish,250,261,Organism	"[{""token"": ""mammals"", ""start_span"": 116, ""end_span"": 123, ""type"": ""Organism""}, {""token"": ""birds"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}, {""token"": ""fish"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Organism""}, {""token"": ""reptiles"", ""start_span"": 142, ""end_span"": 150, ""type"": ""Organism""}, {""token"": ""Medaka fish"", ""start_span"": 250, ""end_span"": 261, ""type"": ""Organism""}]"	train
Strikingly, Dmrt7 is present, not only in placental mammals, but also in marsupials and a monotreme ( egg - laying mammal), the platypus, which has a clear Dmrt7 ortholog [ 36].	placental mammals,42,59,Organism	marsupials,73,83,Organism	monotreme,90,99,Organism	egg - laying mammal,102,121,Organism	platypus,128,136,Organism	"[{""token"": ""placental mammals"", ""start_span"": 42, ""end_span"": 59, ""type"": ""Organism""}, {""token"": ""marsupials"", ""start_span"": 73, ""end_span"": 83, ""type"": ""Organism""}, {""token"": ""monotreme"", ""start_span"": 90, ""end_span"": 99, ""type"": ""Organism""}, {""token"": ""egg - laying mammal"", ""start_span"": 102, ""end_span"": 121, ""type"": ""Organism""}, {""token"": ""platypus"", ""start_span"": 128, ""end_span"": 136, ""type"": ""Organism""}]"	train
Major eukaryotic groups are indicated in color, with deuterostomia in blue, plants in green, protostomia in purple, and fungi in maroon.	eukaryotic,6,16,Organism	deuterostomia,53,66,Organism	plants,76,82,Organism	protostomia,93,104,Organism	fungi,120,125,Organism	"[{""token"": ""eukaryotic"", ""start_span"": 6, ""end_span"": 16, ""type"": ""Organism""}, {""token"": ""deuterostomia"", ""start_span"": 53, ""end_span"": 66, ""type"": ""Organism""}, {""token"": ""plants"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Organism""}, {""token"": ""protostomia"", ""start_span"": 93, ""end_span"": 104, ""type"": ""Organism""}, {""token"": ""fungi"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Organism""}]"	train
Cholesterol is a necessary membrane constituent of all mammalian, reptile and avian cells, as well as a few other organisms, but not all eukaryotic organisms.	mammalian,55,64,Organism	reptile,66,73,Organism	avian,78,83,Organism	organisms,114,123,Organism	eukaryotic organisms,137,157,Organism	"[{""token"": ""mammalian"", ""start_span"": 55, ""end_span"": 64, ""type"": ""Organism""}, {""token"": ""reptile"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""avian"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Organism""}, {""token"": ""organisms"", ""start_span"": 114, ""end_span"": 123, ""type"": ""Organism""}, {""token"": ""eukaryotic organisms"", ""start_span"": 137, ""end_span"": 157, ""type"": ""Organism""}]"	valid
Categorical division of reversal errors ( Ferry et al., 2000) - digging in the dish that did not contain the food pellet ( S -) ( error of commission; Fig. 5A) versus failing to respond within 3 - min of presentation ( error of omission; Fig. 5B) revealed that both genotypes chiefly committed errors of commission versus errors of omission ( D2R - / - mice, U = 0. 00; p < 0. 01; D2R + / + mice U = 9. 00, p < 0. 05), D2R - / - mice committed more commission errors than D2R + / + mice ( U = 5. 00, p < 0. 05), and there were no differences between D2R - / - and D2R + / + mice in omission errors ( U = 27. 5, p = 0. 65).	mice,353,357,Organism	mice,391,395,Organism	mice,429,433,Organism	mice,482,486,Organism	mice,574,578,Organism	"[{""token"": ""mice"", ""start_span"": 353, ""end_span"": 357, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 391, ""end_span"": 395, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 429, ""end_span"": 433, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 482, ""end_span"": 486, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 574, ""end_span"": 578, ""type"": ""Organism""}]"	valid
In order to examine evolutionary relationships of proteins containing coiled coil domains, protein sequences representing the major members of this super family, including TACC, RHAMM, KLP, keratin and tropomyosin from available vertebrates and their recognizable orthologues from the urochordate Ciona intestinalis, Drosophila melanogaster, C. elegans and Saccharomyces cerevisiae were either directly retrieved from NCBI sequence databases, newly predicted or isolated ( see above).	vertebrates,229,240,Organism	urochordate,285,296,Organism	Ciona intestinalis,297,315,Organism	Drosophila melanogaster,317,340,Organism	Saccharomyces cerevisiae,357,381,Organism	"[{""token"": ""vertebrates"", ""start_span"": 229, ""end_span"": 240, ""type"": ""Organism""}, {""token"": ""urochordate"", ""start_span"": 285, ""end_span"": 296, ""type"": ""Organism""}, {""token"": ""Ciona intestinalis"", ""start_span"": 297, ""end_span"": 315, ""type"": ""Organism""}, {""token"": ""Drosophila melanogaster"", ""start_span"": 317, ""end_span"": 340, ""type"": ""Organism""}, {""token"": ""Saccharomyces cerevisiae"", ""start_span"": 357, ""end_span"": 381, ""type"": ""Organism""}]"	valid
