Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	json	split
Slides were washed in PBS - TX and incubated for 1 h at 25 degrees C with appropriate secondary antibodies at a 1: 1000 dilution in PBS - TX with 1 - 3% BSA [ donkey anti - rabbit Alexa 488, chicken anti - rat Alexa 594, and chicken anti - goat Alexa 594 ( Molecular Probes, Eugene, OR)].	donkey,159,165,Organism	rabbit,173,179,Organism	chicken,191,198,Organism	rat,206,209,Organism	chicken,225,232,Organism	goat,240,244,Organism	"[{""token"": ""donkey"", ""start_span"": 159, ""end_span"": 165, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 173, ""end_span"": 179, ""type"": ""Organism""}, {""token"": ""chicken"", ""start_span"": 191, ""end_span"": 198, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 206, ""end_span"": 209, ""type"": ""Organism""}, {""token"": ""chicken"", ""start_span"": 225, ""end_span"": 232, ""type"": ""Organism""}, {""token"": ""goat"", ""start_span"": 240, ""end_span"": 244, ""type"": ""Organism""}]"	train
Glucose tolerance testing in 4. 5 - mo - old female PGC - 1 alpha - / - mice revealed that, despite increased body weight [ mean +/- standard error of the mean ( SEM) weight of PGC - 1 alpha + / + mice = 22. 4 +/- 0. 79 g; PGC - 1 alpha - / - mice = 25. 2 +/- 1. 04 g), PGC - 1 alpha - / - mice exhibited similar levels of glucose tolerance compared to WT mice on standard rodent chow ( Figure 9).	mice,72,76,Organism	mice,197,201,Organism	mice,243,247,Organism	mice,290,294,Organism	mice,356,360,Organism	rodent,373,379,Organism	"[{""token"": ""mice"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 197, ""end_span"": 201, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 243, ""end_span"": 247, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 290, ""end_span"": 294, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 356, ""end_span"": 360, ""type"": ""Organism""}, {""token"": ""rodent"", ""start_span"": 373, ""end_span"": 379, ""type"": ""Organism""}]"	train
With the completion of the genome sequencing projects of human, mouse, rat, fruit fly and nematodes, we are now in a position to ask fundamental questions in regard to how genes interact in the context of the whole organism.	human,57,62,Organism	mouse,64,69,Organism	rat,71,74,Organism	fruit fly,76,85,Organism	nematodes,90,99,Organism	organism,215,223,Organism	"[{""token"": ""human"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Organism""}, {""token"": ""fruit fly"", ""start_span"": 76, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""nematodes"", ""start_span"": 90, ""end_span"": 99, ""type"": ""Organism""}, {""token"": ""organism"", ""start_span"": 215, ""end_span"": 223, ""type"": ""Organism""}]"	valid
Sequences from this article have been deposited in the GenBank database with the following accession numbers: Homo sapiens TACC1 short isoform S ( AY177411), Mus musculus TACC1 short isoform S ( AY177412), Mus musculus TACC1 long isoform A ( AY177413), Mus musculus TACC2s ( AY177410), Oryctolagus cuniculus TACC3 ( AY161270), Danio rerio TACC3 ( AY170618).	Homo sapiens,110,122,Organism	Mus musculus,158,170,Organism	Mus musculus,206,218,Organism	Mus musculus,253,265,Organism	Oryctolagus cuniculus,286,307,Organism	Danio rerio,327,338,Organism	"[{""token"": ""Homo sapiens"", ""start_span"": 110, ""end_span"": 122, ""type"": ""Organism""}, {""token"": ""Mus musculus"", ""start_span"": 158, ""end_span"": 170, ""type"": ""Organism""}, {""token"": ""Mus musculus"", ""start_span"": 206, ""end_span"": 218, ""type"": ""Organism""}, {""token"": ""Mus musculus"", ""start_span"": 253, ""end_span"": 265, ""type"": ""Organism""}, {""token"": ""Oryctolagus cuniculus"", ""start_span"": 286, ""end_span"": 307, ""type"": ""Organism""}, {""token"": ""Danio rerio"", ""start_span"": 327, ""end_span"": 338, ""type"": ""Organism""}]"	valid
Complete sequences are available for CLN2 from six species in which it has been found so far ( human, macaque, dog, mouse, rat, and cow).	human,95,100,Organism	macaque,102,109,Organism	dog,111,114,Organism	mouse,116,121,Organism	rat,123,126,Organism	cow,132,135,Organism	"[{""token"": ""human"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Organism""}, {""token"": ""macaque"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Organism""}, {""token"": ""dog"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Organism""}, {""token"": ""cow"", ""start_span"": 132, ""end_span"": 135, ""type"": ""Organism""}]"	test
In addition to the mammals, CLN2 - like enzymes are also found in fugu ( puffer fish - unannotated record SINFRUP00000077297 in the NCBI fugu sequence database,) and zebrafish ( contig wz4596. 2 in the zebrafish EST database,).	mammals,19,26,Organism	fugu,66,70,Organism	puffer fish,73,84,Organism	fugu,137,141,Organism	zebrafish,166,175,Organism	zebrafish,202,211,Organism	"[{""token"": ""mammals"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Organism""}, {""token"": ""fugu"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Organism""}, {""token"": ""puffer fish"", ""start_span"": 73, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""fugu"", ""start_span"": 137, ""end_span"": 141, ""type"": ""Organism""}, {""token"": ""zebrafish"", ""start_span"": 166, ""end_span"": 175, ""type"": ""Organism""}, {""token"": ""zebrafish"", ""start_span"": 202, ""end_span"": 211, ""type"": ""Organism""}]"	test
The discovery of highly conserved CLN2 - like enzymes not only in mammals but also in two fish species and one of frogs may indicate that these peptidases are universally present in the vertebrates, and that their important role identified in humans [ 2] and mice [ 14] might be a more general feature.	mammals,66,73,Organism	fish,90,94,Organism	frogs,114,119,Organism	vertebrates,186,197,Organism	humans,243,249,Organism	mice,259,263,Organism	"[{""token"": ""mammals"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""fish"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Organism""}, {""token"": ""frogs"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Organism""}, {""token"": ""vertebrates"", ""start_span"": 186, ""end_span"": 197, ""type"": ""Organism""}, {""token"": ""humans"", ""start_span"": 243, ""end_span"": 249, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 259, ""end_span"": 263, ""type"": ""Organism""}]"	test
The PM and ER were probed using mouse anti - Na + / K + - ATPase ( Upstate, Waltham, Massachusetts, United States) or rabbit anti - calnexin ( Stressgen Biotechnology, Victoria, British Columbia, Canada) antibodies and the secondary antibodies, Cy3 - conjugated goat anti - mouse ( 1: 200; Jackson ImmunoResearch, West Grove, Pennsylvania, United States) or AlexaFluor 594 - conjugated chicken anti - rabbit ( 1: 200) respectively.	mouse,32,37,Organism	rabbit,118,124,Organism	goat,262,266,Organism	mouse,274,279,Organism	chicken,386,393,Organism	rabbit,401,407,Organism	"[{""token"": ""mouse"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Organism""}, {""token"": ""goat"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Organism""}, {""token"": ""chicken"", ""start_span"": 386, ""end_span"": 393, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 401, ""end_span"": 407, ""type"": ""Organism""}]"	test
Mouse mr - s protein is conserved in rat, human, chick and zebrafish, which display 91%, 70%, 36% and 26% identity with mouse mr - s, respectively ( Fig. 1D).	Mouse,0,5,Organism	rat,37,40,Organism	human,42,47,Organism	chick,49,54,Organism	zebrafish,59,68,Organism	mouse,120,125,Organism	"[{""token"": ""Mouse"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 42, ""end_span"": 47, ""type"": ""Organism""}, {""token"": ""chick"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Organism""}, {""token"": ""zebrafish"", ""start_span"": 59, ""end_span"": 68, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Organism""}]"	test
Primary antibodies or labelled cells were visualized using donkey anti - mouse Alexa 488 or Alexa 568, donkey anti - rabbit Alexa 488 or Alexa 568, donkey anti - goat Alexa 488 or Alexa 568, and streptavidin Alexa 488 or Alexa 568 ( 1: 1, 000; Molecular Probes).	donkey,59,65,Organism	mouse,73,78,Organism	donkey,103,109,Organism	rabbit,117,123,Organism	donkey,148,154,Organism	goat,162,166,Organism	"[{""token"": ""donkey"", ""start_span"": 59, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 73, ""end_span"": 78, ""type"": ""Organism""}, {""token"": ""donkey"", ""start_span"": 103, ""end_span"": 109, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 117, ""end_span"": 123, ""type"": ""Organism""}, {""token"": ""donkey"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Organism""}, {""token"": ""goat"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Organism""}]"	test
