In order to clone the mouse homologue of MCOLN1, the human amino acid sequence was compared to the high throughput genomic sequence ( HTGS) database using TBLASTN, which identified the mouse BAC clone RPCI - 23 _ 387H4 ( GB No. AC079544. 1).	"mouse	22	27	Organism"	"human	53	58	Organism"	"mouse	185	190	Organism"	"[{""token"": ""mouse"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Organism""}]"
39099, a homologue of the human zinc finger gene ( GB No. AC001252) that terminates approximately 1. 8 kb before the start of Mcoln1; and Nte, the mouse homologue of the human neuropathy target esterase gene ( NTE) beginning 130 base pairs after the polyadenylation signal for Mcoln1.	"human	26	31	Organism"	"mouse	147	152	Organism"	"human	170	175	Organism"	"[{""token"": ""human"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 147, ""end_span"": 152, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Organism""}]"
The transcript map of the region surrounding Mcoln1 is similar to the corresponding region of the homologous human MCOLN1 region [ 15], and the presence of the zinc finger gene and Nte confirms and extends the region of synteny between human chromosome 19 and mouse chromosome 8.	"human	109	114	Organism"	"human	236	241	Organism"	"mouse	260	265	Organism"	"[{""token"": ""human"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 236, ""end_span"": 241, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 260, ""end_span"": 265, ""type"": ""Organism""}]"
In addition, we hybridized a human multiple tissue Northern and human Southern with a probe in human intron 12 that is adjacent to exon 13.	"human	29	34	Organism"	"human	64	69	Organism"	"human	95	100	Organism"	"[{""token"": ""human"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Organism""}]"
Interestingly, the second Mcoln1 isoform is not seen in humans and the sequence of the alternatively spliced region is not conserved between man and mouse.	"humans	56	62	Organism"	"man	141	144	Organism"	"mouse	149	154	Organism"	"[{""token"": ""humans"", ""start_span"": 56, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""man"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Organism""}]"
The Tbx15 subfamily, which also includes Tbx18 and Tbx22, is likely to have arisen during early chordate evolution since there is a single gene in amphioxus but no obvious homolog in the fly genome ( Ruvinsky et al. 2000).	"chordate	96	104	Organism"	"amphioxus	147	156	Organism"	"fly	187	190	Organism"	"[{""token"": ""chordate"", ""start_span"": 96, ""end_span"": 104, ""type"": ""Organism""}, {""token"": ""amphioxus"", ""start_span"": 147, ""end_span"": 156, ""type"": ""Organism""}, {""token"": ""fly"", ""start_span"": 187, ""end_span"": 190, ""type"": ""Organism""}]"
All mice were housed in an animal facility at 22 degrees C with a 12 h light ~ 12 h dark cycle and all protocols were approved by the Institutional Animal Welfare Committee.	"mice	4	8	Organism"	"animal	27	33	Organism"	"Animal	148	154	Organism"	"[{""token"": ""mice"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""animal"", ""start_span"": 27, ""end_span"": 33, ""type"": ""Organism""}, {""token"": ""Animal"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Organism""}]"
Moreover, the number of commission errors committed during the first reversal session ( an index of stimulus bound perseveration, where all animals are responding to the reversed contingencies for the first time; Fig. 6) indicated a deficit in the D2R - / - mice compared to the D2R + / + mice ( U = 8. 5, p < 0. 01).	"animals	140	147	Organism"	"mice	258	262	Organism"	"mice	289	293	Organism"	"[{""token"": ""animals"", ""start_span"": 140, ""end_span"": 147, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 258, ""end_span"": 262, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 289, ""end_span"": 293, ""type"": ""Organism""}]"
While they do have their limitations ( e. g. developmental compensation and strain effects in mouse lines not backcrossed adequately to a parental strain for a minimum of 10 generations), use of our inbred ( N20 generation) animals in the present study ( where no differences in locomotor behavior were detected between D2R - / - and D2R + / + mice; Figs. 1 & 2) revealed a previously unappreciated role of D2R - mediated signaling in associative learning and attention that could not be measured with the currently available, acutely administered D2R antagonists.	"mouse	94	99	Organism"	"animals	224	231	Organism"	"mice	344	348	Organism"	"[{""token"": ""mouse"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Organism""}, {""token"": ""animals"", ""start_span"": 224, ""end_span"": 231, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 344, ""end_span"": 348, ""type"": ""Organism""}]"
These findings are significant because D2R - / - mice respond to food reinforcers and ultimately form and maintain odor - driven S + / S - relationships ( a putative D1R - mediated behavior [ 6]) just as D2R + / + mice ( both groups achieved >= 80% discrimination accuracy, the dopamine D1Rs in our mice were not targeted).	"mice	49	53	Organism"	"mice	214	218	Organism"	"mice	299	303	Organism"	"[{""token"": ""mice"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 214, ""end_span"": 218, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 299, ""end_span"": 303, ""type"": ""Organism""}]"
