Due to conservation in mammalian physiology and the powerful tools of mouse genetics, mice are a very important experimental system for probing the functions ( both in health and disease) of many genes recently identified by sequencing the human genome [ 12].	"mammalian	23	32	Organism"	"mouse	70	75	Organism"	"mice	86	90	Organism"	"human	240	245	Organism"	"[{""token"": ""mammalian"", ""start_span"": 23, ""end_span"": 32, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 240, ""end_span"": 245, ""type"": ""Organism""}]"
Expression levels are mostly consistent between different mice: we find similar expression - level differences between olfactory receptor genes in all three mice examined ( that is, the rank order of the six genes is similar among the three mice), although there is variation in expression level of some genes between mice ( for example, gene E, Figure 3).	"mice	58	62	Organism"	"mice	157	161	Organism"	"mice	241	245	Organism"	"mice	318	322	Organism"	"[{""token"": ""mice"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 241, ""end_span"": 245, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 318, ""end_span"": 322, ""type"": ""Organism""}]"
The ACD domain is evolutionarily conserved in divergent species ranging from bacteria, yeast, C. elegans, D. melanogaster, mouse to human ( Fig. 3).	"bacteria	77	85	Organism"	"yeast	87	92	Organism"	"mouse	123	128	Organism"	"human	132	137	Organism"	"[{""token"": ""bacteria"", ""start_span"": 77, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""yeast"", ""start_span"": 87, ""end_span"": 92, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Organism""}]"
A forward primer within the human ACDP 5 ' cDNA coding region ( after start codon) and a mouse reverse primer from the mouse EST marker were used to amplify the homologue sequence from mouse cDNA at very low annealing temperature ( 45 - 50 degrees C).	"human	28	33	Organism"	"mouse	89	94	Organism"	"mouse	119	124	Organism"	"mouse	185	190	Organism"	"[{""token"": ""human"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 89, ""end_span"": 94, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Organism""}]"
All mice were maintained on a standard rodent chow ( Harlan Teklad mouse / rat diet LM - 485) which contained 61 mg / kg cholesterol, 31 mg / kg campesterol, and 105 mg / kg sitosterol, given free access to water and maintained at 25 degrees C with a 12 - h light, 12 - h dark cycle.	"mice	4	8	Organism"	"rodent	39	45	Organism"	"mouse	67	72	Organism"	"rat	75	78	Organism"	"[{""token"": ""mice"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}, {""token"": ""rodent"", ""start_span"": 39, ""end_span"": 45, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Organism""}, {""token"": ""rat"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Organism""}]"
Immunohistochemical staining using mAb 203 - 217 as the primary antibody was with AlexaFluor488 - conjugated goat anti - mouse IgG ( Molecular Probes, Leiden, The Nether - lands) or Cy3 - labeled goat anti - mouse IgG as the secondary antibodies.	"goat	109	113	Organism"	"mouse	121	126	Organism"	"goat	196	200	Organism"	"mouse	208	213	Organism"	"[{""token"": ""goat"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 121, ""end_span"": 126, ""type"": ""Organism""}, {""token"": ""goat"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 208, ""end_span"": 213, ""type"": ""Organism""}]"
monoclonal mouse anti - calbindin 28 K ( Sigma, 1: 200); monoclonal mouse anti - MBP ( SMI - 99, Sternberger Monoclonals Inc., 1: 50); monoclonal mouse anti - Neu N ( CHEMICON, 1: 100); rabbit anti - S100 polyclonal ( DAKO, 1: 200).	"mouse	11	16	Organism"	"mouse	68	73	Organism"	"mouse	146	151	Organism"	"rabbit	186	192	Organism"	"[{""token"": ""mouse"", ""start_span"": 11, ""end_span"": 16, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 186, ""end_span"": 192, ""type"": ""Organism""}]"
Sections were incubated for 1 hour with secondary antibodies: Cy3 - labeled donkey anti - rabbit IgG ( Jackson Immuno Research, 1: 200), FITC - labelled donkey anti - mouse IgG ( Jackson Immuno Research, 1: 200).	"donkey	76	82	Organism"	"rabbit	90	96	Organism"	"donkey	153	159	Organism"	"mouse	167	172	Organism"	"[{""token"": ""donkey"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Organism""}, {""token"": ""rabbit"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Organism""}, {""token"": ""donkey"", ""start_span"": 153, ""end_span"": 159, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 167, ""end_span"": 172, ""type"": ""Organism""}]"
The differences in the mixed strain CF mice were at chr. 1, 92 cM ( 9 of 11 mice had both B6 and 129 alleles); chr. 9, 9 cM ( all 11 mice had two 129 alleles); and chr. 10, 65 cM ( 10 mice had both B6 and 129 alleles).	"mice	39	43	Organism"	"mice	76	80	Organism"	"mice	133	137	Organism"	"mice	184	188	Organism"	"[{""token"": ""mice"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Organism""}]"
Strong conservation was seen in distantly related species such as axolotl ( Ambystoma mexicanum) and sea urchin ( Paracentrotus lividus) ( Figure 1a).	"axolotl	66	73	Organism"	"Ambystoma mexicanum	76	95	Organism"	"sea urchin	101	111	Organism"	"Paracentrotus lividus	114	135	Organism"	"[{""token"": ""axolotl"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""Ambystoma mexicanum"", ""start_span"": 76, ""end_span"": 95, ""type"": ""Organism""}, {""token"": ""sea urchin"", ""start_span"": 101, ""end_span"": 111, ""type"": ""Organism""}, {""token"": ""Paracentrotus lividus"", ""start_span"": 114, ""end_span"": 135, ""type"": ""Organism""}]"
