Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	entity_14	entity_15	json	split
We crossed mice in which exon 5 of Jmjd2b was flanked by LoxP sequences biallelically ( Jmj2b flox / flox) 13 with mice expressing Cre recombinase under the tau promoter ( tau - Cre mice ), 21 resulting in the deletion of coding regions necessary for demethylase activity of Jmjd2b specifically in the neurons of these compound mutant mice ( tau - Cre; Jmj2b flox / flox ).	mice,11,15,Organism/Species	Jmjd2b,35,41,Gene/Protein	Jmj2b,88,93,Gene/Protein	mice,115,119,Organism/Species	Cre recombinase,131,146,Gene/Protein	tau,157,160,Gene/Protein	tau,172,175,Gene/Protein	Cre,178,181,Gene/Protein	mice,182,186,Organism/Species	demethylase,251,262,Gene/Protein	Jmjd2b,275,281,Gene/Protein	mice,335,339,Organism/Species	tau,342,345,Gene/Protein	Cre,348,351,Gene/Protein	Jmj2b,353,358,Gene/Protein	"[{""token"": ""mice"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Organism/Species""}, {""token"": ""Jmjd2b"", ""start_span"": 35, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""Jmj2b"", ""start_span"": 88, ""end_span"": 93, ""type"": ""Gene/Protein""}, {""token"": ""mice"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Organism/Species""}, {""token"": ""Cre recombinase"", ""start_span"": 131, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""tau"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Gene/Protein""}, {""token"": ""tau"", ""start_span"": 172, ""end_span"": 175, ""type"": ""Gene/Protein""}, {""token"": ""Cre"", ""start_span"": 178, ""end_span"": 181, ""type"": ""Gene/Protein""}, {""token"": ""mice"", ""start_span"": 182, ""end_span"": 186, ""type"": ""Organism/Species""}, {""token"": ""demethylase"", ""start_span"": 251, ""end_span"": 262, ""type"": ""Gene/Protein""}, {""token"": ""Jmjd2b"", ""start_span"": 275, ""end_span"": 281, ""type"": ""Gene/Protein""}, {""token"": ""mice"", ""start_span"": 335, ""end_span"": 339, ""type"": ""Organism/Species""}, {""token"": ""tau"", ""start_span"": 342, ""end_span"": 345, ""type"": ""Gene/Protein""}, {""token"": ""Cre"", ""start_span"": 348, ""end_span"": 351, ""type"": ""Gene/Protein""}, {""token"": ""Jmj2b"", ""start_span"": 353, ""end_span"": 358, ""type"": ""Gene/Protein""}]"	test
Four groups of potential moderators were extracted on the basis of the literature reviewed above. 1. Selection criteria used in some previous RCTs: male sex; age; patient does not meet full DSM - IV criteria ( American Psychiatric Association, 1994) and only meets ICD - 10 ( World Health Organization, 2010) PTSD criteria; PTSD is not the main problem ( i. e ., another disorder is so severe that it needs principal concurrent treatment in its own right, e. g ., very severe depression or agoraphobia ); borderline personality disorder; current substance abuse; current PTSD is linked to multiple traumas; history of childhood abuse; no memory for the trauma; patient had a previous course of trauma - focused CBT for PTSD. 2. Demographic variables: ethnic group; education; social problems ( defined as one or more of unemployment, financial hardship, housing problems ); relationship status ( never married / lived with partner vs. married, cohabiting, widowed or divorced ); ongoing legal proceedings, any previous treatment for PTSD. 3. Comorbidity: current comorbid anxiety disorder, mood disorders, other axis 1 disorders, personality disorder, suicidal ideation, taking psychotropic medication; physical disability resulting from trauma, chronic pain; history of major depression, substance dependence, or suicide attempts. 4. Aspects of trauma history: Trauma type ( interpersonal trauma vs other ); trauma involved death of other person; injured in trauma; months since main trauma; history of other traumas; total number of traumas experienced.	PTSD,309,313,Disease/Disorder	PTSD,324,328,Disease/Disorder	severe depression,469,486,Disease/Disorder	agoraphobia,490,501,Disease/Disorder	borderline personality disorder,505,536,Disease/Disorder	substance abuse,546,561,Disease/Disorder	PTSD,571,575,Disease/Disorder	PTSD,719,723,Disease/Disorder	PTSD,1033,1037,Disease/Disorder	anxiety disorder,1072,1088,Disease/Disorder	mood disorders,1090,1104,Disease/Disorder	axis 1 disorders,1112,1128,Disease/Disorder	personality disorder,1130,1150,Disease/Disorder	major depression,1271,1287,Disease/Disorder	substance dependence,1289,1309,Disease/Disorder	"[{""token"": ""PTSD"", ""start_span"": 309, ""end_span"": 313, ""type"": ""Disease/Disorder""}, {""token"": ""PTSD"", ""start_span"": 324, ""end_span"": 328, ""type"": ""Disease/Disorder""}, {""token"": ""severe depression"", ""start_span"": 469, ""end_span"": 486, ""type"": ""Disease/Disorder""}, {""token"": ""agoraphobia"", ""start_span"": 490, ""end_span"": 501, ""type"": ""Disease/Disorder""}, {""token"": ""borderline personality disorder"", ""start_span"": 505, ""end_span"": 536, ""type"": ""Disease/Disorder""}, {""token"": ""substance abuse"", ""start_span"": 546, ""end_span"": 561, ""type"": ""Disease/Disorder""}, {""token"": ""PTSD"", ""start_span"": 571, ""end_span"": 575, ""type"": ""Disease/Disorder""}, {""token"": ""PTSD"", ""start_span"": 719, ""end_span"": 723, ""type"": ""Disease/Disorder""}, {""token"": ""PTSD"", ""start_span"": 1033, ""end_span"": 1037, ""type"": ""Disease/Disorder""}, {""token"": ""anxiety disorder"", ""start_span"": 1072, ""end_span"": 1088, ""type"": ""Disease/Disorder""}, {""token"": ""mood disorders"", ""start_span"": 1090, ""end_span"": 1104, ""type"": ""Disease/Disorder""}, {""token"": ""axis 1 disorders"", ""start_span"": 1112, ""end_span"": 1128, ""type"": ""Disease/Disorder""}, {""token"": ""personality disorder"", ""start_span"": 1130, ""end_span"": 1150, ""type"": ""Disease/Disorder""}, {""token"": ""major depression"", ""start_span"": 1271, ""end_span"": 1287, ""type"": ""Disease/Disorder""}, {""token"": ""substance dependence"", ""start_span"": 1289, ""end_span"": 1309, ""type"": ""Disease/Disorder""}]"	test
Shown is an expression profiling of selected transcripts of RNA regulatory proteins, the DDX6 - family DEAD - box helicase DOZI [ 15 ], the Puf proteins Puf1 and Puf2 [ 20 ], and of the eIF2alpha kinase UIS1 / IK2 that controls sporozoite latency [ 12 ]. P. berghei purified gametocytes, ookinetes, oocysts and salivary gland sporozoites were analyzed by RT - qPCR using primers specific for DOZI, UIS1 / IK2, Puf1 and Puf2.	regulatory proteins,64,83,Gene/Protein	DDX6,89,93,Gene/Protein	DEAD - box helicase,103,122,Gene/Protein	DOZI,123,127,Gene/Protein	Puf,140,143,Gene/Protein	Puf1,153,157,Gene/Protein	Puf2,162,166,Gene/Protein	eIF2alpha kinase,186,202,Gene/Protein	UIS1,203,207,Gene/Protein	IK2,210,213,Gene/Protein	DOZI,392,396,Gene/Protein	UIS1,398,402,Gene/Protein	IK2,405,408,Gene/Protein	Puf1,410,414,Gene/Protein	Puf2,419,423,Gene/Protein	"[{""token"": ""regulatory proteins"", ""start_span"": 64, ""end_span"": 83, ""type"": ""Gene/Protein""}, {""token"": ""DDX6"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Gene/Protein""}, {""token"": ""DEAD - box helicase"", ""start_span"": 103, ""end_span"": 122, ""type"": ""Gene/Protein""}, {""token"": ""DOZI"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Gene/Protein""}, {""token"": ""Puf"", ""start_span"": 140, ""end_span"": 143, ""type"": ""Gene/Protein""}, {""token"": ""Puf1"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Gene/Protein""}, {""token"": ""Puf2"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Gene/Protein""}, {""token"": ""eIF2alpha kinase"", ""start_span"": 186, ""end_span"": 202, ""type"": ""Gene/Protein""}, {""token"": ""UIS1"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Gene/Protein""}, {""token"": ""IK2"", ""start_span"": 210, ""end_span"": 213, ""type"": ""Gene/Protein""}, {""token"": ""DOZI"", ""start_span"": 392, ""end_span"": 396, ""type"": ""Gene/Protein""}, {""token"": ""UIS1"", ""start_span"": 398, ""end_span"": 402, ""type"": ""Gene/Protein""}, {""token"": ""IK2"", ""start_span"": 405, ""end_span"": 408, ""type"": ""Gene/Protein""}, {""token"": ""Puf1"", ""start_span"": 410, ""end_span"": 414, ""type"": ""Gene/Protein""}, {""token"": ""Puf2"", ""start_span"": 419, ""end_span"": 423, ""type"": ""Gene/Protein""}]"	test
The combination of these 3 markers allowed us to sort eight subsets of cells to high purity, namely PD - 1 / TIGIT / LAG - 3 triple -, PD - 1 single +, TIGIT single +, LAG - 3 single +, PD - 1 / TIGIT double +, TIGIT / LAG - 3 double +, PD - 1 / LAG - 3 double + and PD - 1 / TIGIT / LAG - 3 triple + cells.	PD - 1,100,106,Gene/Protein	TIGIT,109,114,Gene/Protein	LAG - 3,117,124,Gene/Protein	PD - 1,135,141,Gene/Protein	TIGIT,152,157,Gene/Protein	LAG - 3,168,175,Gene/Protein	PD - 1,186,192,Gene/Protein	TIGIT,195,200,Gene/Protein	TIGIT,211,216,Gene/Protein	LAG - 3,219,226,Gene/Protein	PD - 1,237,243,Gene/Protein	LAG - 3,246,253,Gene/Protein	PD - 1,267,273,Gene/Protein	TIGIT,276,281,Gene/Protein	LAG - 3,284,291,Gene/Protein	"[{""token"": ""PD - 1"", ""start_span"": 100, ""end_span"": 106, ""type"": ""Gene/Protein""}, {""token"": ""TIGIT"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""LAG - 3"", ""start_span"": 117, ""end_span"": 124, ""type"": ""Gene/Protein""}, {""token"": ""PD - 1"", ""start_span"": 135, ""end_span"": 141, ""type"": ""Gene/Protein""}, {""token"": ""TIGIT"", ""start_span"": 152, ""end_span"": 157, ""type"": ""Gene/Protein""}, {""token"": ""LAG - 3"", ""start_span"": 168, ""end_span"": 175, ""type"": ""Gene/Protein""}, {""token"": ""PD - 1"", ""start_span"": 186, ""end_span"": 192, ""type"": ""Gene/Protein""}, {""token"": ""TIGIT"", ""start_span"": 195, ""end_span"": 200, ""type"": ""Gene/Protein""}, {""token"": ""TIGIT"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Gene/Protein""}, {""token"": ""LAG - 3"", ""start_span"": 219, ""end_span"": 226, ""type"": ""Gene/Protein""}, {""token"": ""PD - 1"", ""start_span"": 237, ""end_span"": 243, ""type"": ""Gene/Protein""}, {""token"": ""LAG - 3"", ""start_span"": 246, ""end_span"": 253, ""type"": ""Gene/Protein""}, {""token"": ""PD - 1"", ""start_span"": 267, ""end_span"": 273, ""type"": ""Gene/Protein""}, {""token"": ""TIGIT"", ""start_span"": 276, ""end_span"": 281, ""type"": ""Gene/Protein""}, {""token"": ""LAG - 3"", ""start_span"": 284, ""end_span"": 291, ""type"": ""Gene/Protein""}]"	test
In most cases, sequences were obtained from the following species covering the diversity of the vertebrate phylum: Mammals ( Homo sapiens, Rattus novergicus ), Birds ( Serinus canaria, Sturnus vulgaris ), Reptiles ( Protobothrops mucrosquamatus, Python bivittatus ), Amphibia ( Xenopus tropicalis) and Fishes ( Pundamilia nyererei, Maylandia zebra ).	vertebrate,96,106,Organism/Species	Mammals,115,122,Organism/Species	Homo sapiens,125,137,Organism/Species	Rattus novergicus,139,156,Organism/Species	Birds,160,165,Organism/Species	Serinus canaria,168,183,Organism/Species	Sturnus vulgaris,185,201,Organism/Species	Reptiles,205,213,Organism/Species	Protobothrops mucrosquamatus,216,244,Organism/Species	Python bivittatus,246,263,Organism/Species	Amphibia,267,275,Organism/Species	Xenopus tropicalis,278,296,Organism/Species	Fishes,302,308,Organism/Species	Pundamilia nyererei,311,330,Organism/Species	Maylandia zebra,332,347,Organism/Species	"[{""token"": ""vertebrate"", ""start_span"": 96, ""end_span"": 106, ""type"": ""Organism/Species""}, {""token"": ""Mammals"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Organism/Species""}, {""token"": ""Homo sapiens"", ""start_span"": 125, ""end_span"": 137, ""type"": ""Organism/Species""}, {""token"": ""Rattus novergicus"", ""start_span"": 139, ""end_span"": 156, ""type"": ""Organism/Species""}, {""token"": ""Birds"", ""start_span"": 160, ""end_span"": 165, ""type"": ""Organism/Species""}, {""token"": ""Serinus canaria"", ""start_span"": 168, ""end_span"": 183, ""type"": ""Organism/Species""}, {""token"": ""Sturnus vulgaris"", ""start_span"": 185, ""end_span"": 201, ""type"": ""Organism/Species""}, {""token"": ""Reptiles"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Organism/Species""}, {""token"": ""Protobothrops mucrosquamatus"", ""start_span"": 216, ""end_span"": 244, ""type"": ""Organism/Species""}, {""token"": ""Python bivittatus"", ""start_span"": 246, ""end_span"": 263, ""type"": ""Organism/Species""}, {""token"": ""Amphibia"", ""start_span"": 267, ""end_span"": 275, ""type"": ""Organism/Species""}, {""token"": ""Xenopus tropicalis"", ""start_span"": 278, ""end_span"": 296, ""type"": ""Organism/Species""}, {""token"": ""Fishes"", ""start_span"": 302, ""end_span"": 308, ""type"": ""Organism/Species""}, {""token"": ""Pundamilia nyererei"", ""start_span"": 311, ""end_span"": 330, ""type"": ""Organism/Species""}, {""token"": ""Maylandia zebra"", ""start_span"": 332, ""end_span"": 347, ""type"": ""Organism/Species""}]"	test
The vertebrate species for which the sequences are shown include the following groups: Mammals — Homo sapiens and Rattus novergicus; Birds — Serinus canaria and Sturnus vulgaris; Reptiles — Protobothrops mucrosquamatus and Python bivittatus; Amphibians — Xenopus tropicalis and Fish — Pundamilia nyererei and Maylandia zebra.	vertebrate,4,14,Organism/Species	Mammals,87,94,Organism/Species	Homo sapiens,97,109,Organism/Species	Rattus novergicus,114,131,Organism/Species	Birds,133,138,Organism/Species	Serinus canaria,141,156,Organism/Species	Sturnus vulgaris,161,177,Organism/Species	Reptiles,179,187,Organism/Species	Protobothrops mucrosquamatus,190,218,Organism/Species	Python bivittatus,223,240,Organism/Species	Amphibians,242,252,Organism/Species	Xenopus tropicalis,255,273,Organism/Species	Fish,278,282,Organism/Species	Pundamilia nyererei,285,304,Organism/Species	Maylandia zebra,309,324,Organism/Species	"[{""token"": ""vertebrate"", ""start_span"": 4, ""end_span"": 14, ""type"": ""Organism/Species""}, {""token"": ""Mammals"", ""start_span"": 87, ""end_span"": 94, ""type"": ""Organism/Species""}, {""token"": ""Homo sapiens"", ""start_span"": 97, ""end_span"": 109, ""type"": ""Organism/Species""}, {""token"": ""Rattus novergicus"", ""start_span"": 114, ""end_span"": 131, ""type"": ""Organism/Species""}, {""token"": ""Birds"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Organism/Species""}, {""token"": ""Serinus canaria"", ""start_span"": 141, ""end_span"": 156, ""type"": ""Organism/Species""}, {""token"": ""Sturnus vulgaris"", ""start_span"": 161, ""end_span"": 177, ""type"": ""Organism/Species""}, {""token"": ""Reptiles"", ""start_span"": 179, ""end_span"": 187, ""type"": ""Organism/Species""}, {""token"": ""Protobothrops mucrosquamatus"", ""start_span"": 190, ""end_span"": 218, ""type"": ""Organism/Species""}, {""token"": ""Python bivittatus"", ""start_span"": 223, ""end_span"": 240, ""type"": ""Organism/Species""}, {""token"": ""Amphibians"", ""start_span"": 242, ""end_span"": 252, ""type"": ""Organism/Species""}, {""token"": ""Xenopus tropicalis"", ""start_span"": 255, ""end_span"": 273, ""type"": ""Organism/Species""}, {""token"": ""Fish"", ""start_span"": 278, ""end_span"": 282, ""type"": ""Organism/Species""}, {""token"": ""Pundamilia nyererei"", ""start_span"": 285, ""end_span"": 304, ""type"": ""Organism/Species""}, {""token"": ""Maylandia zebra"", ""start_span"": 309, ""end_span"": 324, ""type"": ""Organism/Species""}]"	test
The following media were used for carboxylate treatment: YPA ( 1. 7 g · L − 1 yeast nitrogen base without amino acids, 5 g · L − 1 ( NH4) 2SO4, 50 g · L − 1 acetate, pH 7. 0 ), YPL ( 1. 7 g · L − 1 yeast nitrogen base without amino acids, 5 g · L − 1 ( NH4) 2SO4, 50 g · L − 1 lactate, pH 7. 0 ), YPP ( 1. 7 g · L − 1 yeast nitrogen base without amino acids, 5 g · L − 1 ( NH4) 2SO4, and 50 g · L − 1 PA, pH 7. 0 ), YPM ( 1. 7 g · L − 1 yeast nitrogen base without amino acids, 5 g · L − 1 ( NH4) 2SO4, 50 g · L − 1 malate, pH 7. 0 ), YPK ( 10 g · L − 1 yeast extract without amino acids, 5 g · L − 1 ( NH4) 2SO4, and 100 g · L − 1 α - KG, pH 7. 0 ), YPC ( 1. 7 g · L − 1 yeast nitrogen base without amino acids, 5 g · L − 1 ( NH4) 2SO4, 50 g · L − 1 citrate, pH 7. 0 ).	yeast,78,83,Organism/Species	amino acids,106,117,Chemical/Drug	yeast,198,203,Organism/Species	amino acids,226,237,Chemical/Drug	lactate,277,284,Chemical/Drug	yeast,318,323,Organism/Species	amino acids,346,357,Chemical/Drug	yeast,437,442,Organism/Species	amino acids,465,476,Chemical/Drug	malate,516,522,Chemical/Drug	yeast,554,559,Organism/Species	amino acids,576,587,Chemical/Drug	yeast,672,677,Organism/Species	amino acids,700,711,Chemical/Drug	citrate,751,758,Chemical/Drug	"[{""token"": ""yeast"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 106, ""end_span"": 117, ""type"": ""Chemical/Drug""}, {""token"": ""yeast"", ""start_span"": 198, ""end_span"": 203, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 226, ""end_span"": 237, ""type"": ""Chemical/Drug""}, {""token"": ""lactate"", ""start_span"": 277, ""end_span"": 284, ""type"": ""Chemical/Drug""}, {""token"": ""yeast"", ""start_span"": 318, ""end_span"": 323, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 346, ""end_span"": 357, ""type"": ""Chemical/Drug""}, {""token"": ""yeast"", ""start_span"": 437, ""end_span"": 442, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 465, ""end_span"": 476, ""type"": ""Chemical/Drug""}, {""token"": ""malate"", ""start_span"": 516, ""end_span"": 522, ""type"": ""Chemical/Drug""}, {""token"": ""yeast"", ""start_span"": 554, ""end_span"": 559, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 576, ""end_span"": 587, ""type"": ""Chemical/Drug""}, {""token"": ""yeast"", ""start_span"": 672, ""end_span"": 677, ""type"": ""Organism/Species""}, {""token"": ""amino acids"", ""start_span"": 700, ""end_span"": 711, ""type"": ""Chemical/Drug""}, {""token"": ""citrate"", ""start_span"": 751, ""end_span"": 758, ""type"": ""Chemical/Drug""}]"	test
Representative patch - clamp current measurements showing GR3027 antagonism of the 3α, 21 - dihydroxy - 5α - pregnan - 20 - one ( THDOC )- enhanced GABA modulation of α1β2γ2L and α5β3γ2L GABAA receptors and no inhibition of GABA. A: 1 μM GR3027 antagonism of 100 nM THDOC enhanced 30 μM GABA - mediated current response with the α1β2γ2L GABAA receptor. B: 1 μM GR3027 did not antagonize the 30 μM GABA response of the α1β2γ2L GABAA receptor. C: concentration response of the GR3027 antagonism of 100 nM THDOC enhanced 30 μM GABA - mediated current response with the α1β2γ2L GABAA receptor. D: 1 μM GR3027 antagonism of 200 nM THDOC enhanced 0. 3 μM GABA - mediated current response with the α5β3γ2L GABAA receptor. E: 1 μM GR3027 did not antagonize the 0. 3 μM GABA response of the α5β3γ2L GABAA receptor. F: concentration response of the GR3027 antagonism of 200 nM THDOC enhanced 0. 3 μM GABA - mediated current response with the α5β3γ2L GABAA receptors.	GR3027,58,64,Chemical/Drug	α1β2γ2L,167,174,Gene/Protein	α5β3γ2L GABAA receptors,179,202,Gene/Protein	GR3027,238,244,Chemical/Drug	α1β2γ2L GABAA receptor,329,351,Gene/Protein	GR3027,361,367,Chemical/Drug	α1β2γ2L GABAA receptor,418,440,Gene/Protein	GR3027,475,481,Chemical/Drug	α1β2γ2L GABAA receptor,566,588,Gene/Protein	GR3027,598,604,Chemical/Drug	α5β3γ2L GABAA receptor,691,713,Gene/Protein	GR3027,723,729,Chemical/Drug	α5β3γ2L GABAA receptor,782,804,Gene/Protein	GR3027,839,845,Chemical/Drug	α5β3γ2L GABAA receptors,932,955,Gene/Protein	"[{""token"": ""GR3027"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b11\u03b22\u03b32L"", ""start_span"": 167, ""end_span"": 174, ""type"": ""Gene/Protein""}, {""token"": ""\u03b15\u03b23\u03b32L GABAA receptors"", ""start_span"": 179, ""end_span"": 202, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 238, ""end_span"": 244, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b11\u03b22\u03b32L GABAA receptor"", ""start_span"": 329, ""end_span"": 351, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 361, ""end_span"": 367, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b11\u03b22\u03b32L GABAA receptor"", ""start_span"": 418, ""end_span"": 440, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 475, ""end_span"": 481, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b11\u03b22\u03b32L GABAA receptor"", ""start_span"": 566, ""end_span"": 588, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 598, ""end_span"": 604, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b15\u03b23\u03b32L GABAA receptor"", ""start_span"": 691, ""end_span"": 713, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 723, ""end_span"": 729, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b15\u03b23\u03b32L GABAA receptor"", ""start_span"": 782, ""end_span"": 804, ""type"": ""Gene/Protein""}, {""token"": ""GR3027"", ""start_span"": 839, ""end_span"": 845, ""type"": ""Chemical/Drug""}, {""token"": ""\u03b15\u03b23\u03b32L GABAA receptors"", ""start_span"": 932, ""end_span"": 955, ""type"": ""Gene/Protein""}]"	train
As a result, Coprococcus and Marvinbryantia were represented in baboon enterotype 1, Turicibacter, Pedobacter and Vasilyevaea were represented in baboon enterotype 2, and Acinetobacter, Paenibacillus, Arthrobacter, Pectobacterium, Desemzia and Pseudomonas were represented in baboon enterotype 3, but these genera did not contribute significantly to the human enterotypes ( Tables 1. 2 and Supplementary Table 2 ).	Coprococcus,13,24,Organism/Species	Marvinbryantia,29,43,Organism/Species	baboon,64,70,Organism/Species	Turicibacter,85,97,Organism/Species	Pedobacter,99,109,Organism/Species	Vasilyevaea,114,125,Organism/Species	baboon,146,152,Organism/Species	Acinetobacter,171,184,Organism/Species	Paenibacillus,186,199,Organism/Species	Arthrobacter,201,213,Organism/Species	Pectobacterium,215,229,Organism/Species	Desemzia,231,239,Organism/Species	Pseudomonas,244,255,Organism/Species	baboon,276,282,Organism/Species	human,354,359,Organism/Species	"[{""token"": ""Coprococcus"", ""start_span"": 13, ""end_span"": 24, ""type"": ""Organism/Species""}, {""token"": ""Marvinbryantia"", ""start_span"": 29, ""end_span"": 43, ""type"": ""Organism/Species""}, {""token"": ""baboon"", ""start_span"": 64, ""end_span"": 70, ""type"": ""Organism/Species""}, {""token"": ""Turicibacter"", ""start_span"": 85, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""Pedobacter"", ""start_span"": 99, ""end_span"": 109, ""type"": ""Organism/Species""}, {""token"": ""Vasilyevaea"", ""start_span"": 114, ""end_span"": 125, ""type"": ""Organism/Species""}, {""token"": ""baboon"", ""start_span"": 146, ""end_span"": 152, ""type"": ""Organism/Species""}, {""token"": ""Acinetobacter"", ""start_span"": 171, ""end_span"": 184, ""type"": ""Organism/Species""}, {""token"": ""Paenibacillus"", ""start_span"": 186, ""end_span"": 199, ""type"": ""Organism/Species""}, {""token"": ""Arthrobacter"", ""start_span"": 201, ""end_span"": 213, ""type"": ""Organism/Species""}, {""token"": ""Pectobacterium"", ""start_span"": 215, ""end_span"": 229, ""type"": ""Organism/Species""}, {""token"": ""Desemzia"", ""start_span"": 231, ""end_span"": 239, ""type"": ""Organism/Species""}, {""token"": ""Pseudomonas"", ""start_span"": 244, ""end_span"": 255, ""type"": ""Organism/Species""}, {""token"": ""baboon"", ""start_span"": 276, ""end_span"": 282, ""type"": ""Organism/Species""}, {""token"": ""human"", ""start_span"": 354, ""end_span"": 359, ""type"": ""Organism/Species""}]"	train
One patient had dermatomyositis - related UIP pattern, and the remaining 34 with UIP pattern were diagnosed as having IPF ( 15. 6% of 218 patients ). Table 1Characteristics of patients treated with chemotherapy and / or molecular targeted therapyNon - ILD ( n = 165) ILDAll ILD ( n = 53) P ( vs. non - ILD) IPF ( n = 34) P ( vs. non - ILD) Age, years ( range) 66 ( 30 – 91) 71 ( 57 – 86) 0. 0002770 ( 57 – 86) 0. 0053Sex Male95 ( 58 %) 51 ( 96 %)< 0. 000134 ( 100 %)< 0. 0001 Female70 ( 42 %) 2 ( 4 %) 0 ( 0 %) Smoking status Never56 ( 34 %) 2 ( 4 %)< 0. 00010 ( 0 %)< 0. 0001 Ever109 ( 66 %) 51 ( 96 %) 34 ( 100 %) Pack - year, average523467PS 0 – 1134 ( 81 %) 43 ( 81 %) 1. 000027 ( 79 %) 0. 8123 2 – 431 ( 19 %) 10 ( 19 %) 7 ( 21 %) Histology Adeno129 ( 78 %) 21 ( 40 %)< 0. 000112 ( 35 %)< 0. 0001 Squamous22 ( 13 %) 19 ( 36 %) 0. 000512 ( 35 %) 0. 0046 Adenosquamous122 Large121 Non - small1297Stage IIIB1460. 585431. 0000 IV1514731EGFR mutation Yes53 ( 32 %) 1 ( 2 %)< 0. 00010 ( 0 %)< 0. 0001 No112 ( 68 %) 52 ( 98 %) 34 ( 100 %) ILD interstitial lung disease, IPF idiopathic pulmonary fibrosis, PS performance status, EGFR epidermal growth factor receptor	dermatomyositis,16,31,Disease/Disorder	UIP,42,45,Disease/Disorder	UIP,81,84,Disease/Disorder	IPF,118,121,Disease/Disorder	ILD,252,255,Disease/Disorder	ILD,267,270,Disease/Disorder	ILD,274,277,Disease/Disorder	IPF,307,310,Disease/Disorder	ILD,335,338,Disease/Disorder	ILD,1037,1040,Disease/Disorder	interstitial lung disease,1041,1066,Disease/Disorder	IPF,1068,1071,Disease/Disorder	idiopathic pulmonary fibrosis,1072,1101,Disease/Disorder	EGFR,1126,1130,Gene/Protein	epidermal growth factor receptor,1131,1163,Gene/Protein	"[{""token"": ""dermatomyositis"", ""start_span"": 16, ""end_span"": 31, ""type"": ""Disease/Disorder""}, {""token"": ""UIP"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Disease/Disorder""}, {""token"": ""UIP"", ""start_span"": 81, ""end_span"": 84, ""type"": ""Disease/Disorder""}, {""token"": ""IPF"", ""start_span"": 118, ""end_span"": 121, ""type"": ""Disease/Disorder""}, {""token"": ""ILD"", ""start_span"": 252, ""end_span"": 255, ""type"": ""Disease/Disorder""}, {""token"": ""ILD"", ""start_span"": 267, ""end_span"": 270, ""type"": ""Disease/Disorder""}, {""token"": ""ILD"", ""start_span"": 274, ""end_span"": 277, ""type"": ""Disease/Disorder""}, {""token"": ""IPF"", ""start_span"": 307, ""end_span"": 310, ""type"": ""Disease/Disorder""}, {""token"": ""ILD"", ""start_span"": 335, ""end_span"": 338, ""type"": ""Disease/Disorder""}, {""token"": ""ILD"", ""start_span"": 1037, ""end_span"": 1040, ""type"": ""Disease/Disorder""}, {""token"": ""interstitial lung disease"", ""start_span"": 1041, ""end_span"": 1066, ""type"": ""Disease/Disorder""}, {""token"": ""IPF"", ""start_span"": 1068, ""end_span"": 1071, ""type"": ""Disease/Disorder""}, {""token"": ""idiopathic pulmonary fibrosis"", ""start_span"": 1072, ""end_span"": 1101, ""type"": ""Disease/Disorder""}, {""token"": ""EGFR"", ""start_span"": 1126, ""end_span"": 1130, ""type"": ""Gene/Protein""}, {""token"": ""epidermal growth factor receptor"", ""start_span"": 1131, ""end_span"": 1163, ""type"": ""Gene/Protein""}]"	train
