Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
ARU encodes the OST3 / 6 subunit of the hetero - oligomeric plant oligosaccharyltransferase complex ( OST ), which catalyses the co - or posttranslational transfer of pre - assembled carbohydrate oligomers ( Glc3Man9GlcNAc2) to asparagine ( N) residues of polypeptides43. N - glycosylation affects the substrate protein ' s folding, targeting, and / or processing through the ER.	ARU,0,3,Gene/Protein	OST3,16,20,Gene/Protein	plant,60,65,Organism/Species	oligosaccharyltransferase,66,91,Gene/Protein	OST,102,105,Gene/Protein	carbohydrate,183,195,Chemical/Drug	asparagine,228,238,Chemical/Drug	"[{""token"": ""ARU"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""OST3"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene/Protein""}, {""token"": ""plant"", ""start_span"": 60, ""end_span"": 65, ""type"": ""Organism/Species""}, {""token"": ""oligosaccharyltransferase"", ""start_span"": 66, ""end_span"": 91, ""type"": ""Gene/Protein""}, {""token"": ""OST"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Gene/Protein""}, {""token"": ""carbohydrate"", ""start_span"": 183, ""end_span"": 195, ""type"": ""Chemical/Drug""}, {""token"": ""asparagine"", ""start_span"": 228, ""end_span"": 238, ""type"": ""Chemical/Drug""}]"	test
All fusion proteins displayed a wild - type - like subcellular localization in the synergids of aru embryo sacs: FER - GFP and LRE - Citrine were observed at the micropylar end of the synergids, and NTA - GFP was re - localized there upon PT arrival ( Supplementary Fig. 10 ).	aru,96,99,Gene/Protein	FER,113,116,Gene/Protein	GFP,119,122,Gene/Protein	LRE,127,130,Gene/Protein	Citrine,133,140,Gene/Protein	NTA,199,202,Gene/Protein	GFP,205,208,Gene/Protein	"[{""token"": ""aru"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""FER"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Gene/Protein""}, {""token"": ""LRE"", ""start_span"": 127, ""end_span"": 130, ""type"": ""Gene/Protein""}, {""token"": ""Citrine"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""NTA"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 205, ""end_span"": 208, ""type"": ""Gene/Protein""}]"	test
The resulting vectors, pFER :: ARU - GFP and pMYB98 :: ARU - GFP were transformed into Agrobacterium tumefaciens strain CV1310, and homozygous aru - 1 plants were transformed by the floral dip method57.	ARU,31,34,Gene/Protein	GFP,37,40,Gene/Protein	ARU,55,58,Gene/Protein	GFP,61,64,Gene/Protein	Agrobacterium tumefaciens strain CV1310,87,126,Organism/Species	aru - 1,143,150,Gene/Protein	plants,151,157,Organism/Species	"[{""token"": ""ARU"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene/Protein""}, {""token"": ""ARU"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene/Protein""}, {""token"": ""Agrobacterium tumefaciens strain CV1310"", ""start_span"": 87, ""end_span"": 126, ""type"": ""Organism/Species""}, {""token"": ""aru - 1"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""plants"", ""start_span"": 151, ""end_span"": 157, ""type"": ""Organism/Species""}]"	test
By cutting this vector with HpaI and BamHI, part of the ARU coding sequence and the downstream sequence were removed and replaced with the respective fragment of ARU coupled to GFP - tNOS, resulting in pARU ( 1, 492 bp ):: ARU - GFP, which was transformed into Col - 0.	HpaI,28,32,Gene/Protein	BamHI,37,42,Gene/Protein	ARU,56,59,Gene/Protein	ARU,162,165,Gene/Protein	GFP,177,180,Gene/Protein	ARU,203,206,Gene/Protein	GFP,229,232,Gene/Protein	"[{""token"": ""HpaI"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene/Protein""}, {""token"": ""BamHI"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""ARU"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""ARU"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 177, ""end_span"": 180, ""type"": ""Gene/Protein""}, {""token"": ""ARU"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Gene/Protein""}, {""token"": ""GFP"", ""start_span"": 229, ""end_span"": 232, ""type"": ""Gene/Protein""}]"	test
The survival effect of S100A8 / 9 involves the MEK - ERK signaling pathway, and is partially mediated through TLR4 and the integrin CD11b / CD18	S100A8,23,29,Gene/Protein	MEK,47,50,Gene/Protein	ERK,53,56,Gene/Protein	TLR4,110,114,Gene/Protein	integrin,123,131,Gene/Protein	CD11b,132,137,Gene/Protein	CD18,140,144,Gene/Protein	"[{""token"": ""S100A8"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Gene/Protein""}, {""token"": ""MEK"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Gene/Protein""}, {""token"": ""ERK"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""TLR4"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""integrin"", ""start_span"": 123, ""end_span"": 131, ""type"": ""Gene/Protein""}, {""token"": ""CD11b"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""CD18"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Gene/Protein""}]"	test
Furthermore, the inhibitor PD98059 ( MEK inhibitor) reduced ERK phosphorylation by more than 50% ( Fig. 6B) and abolished the S100A8 / 9 survival effect by 50 − 100% at various concentrations ( Fig. 6C ), suggesting that the S100A8 / 9 complex survival effect involves the MEK - ERK signaling pathway.	PD98059,27,34,Chemical/Drug	MEK,37,40,Gene/Protein	ERK,60,63,Gene/Protein	S100A8,126,132,Gene/Protein	S100A8,225,231,Gene/Protein	MEK,273,276,Gene/Protein	ERK,279,282,Gene/Protein	"[{""token"": ""PD98059"", ""start_span"": 27, ""end_span"": 34, ""type"": ""Chemical/Drug""}, {""token"": ""MEK"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Gene/Protein""}, {""token"": ""ERK"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Gene/Protein""}, {""token"": ""S100A8"", ""start_span"": 126, ""end_span"": 132, ""type"": ""Gene/Protein""}, {""token"": ""S100A8"", ""start_span"": 225, ""end_span"": 231, ""type"": ""Gene/Protein""}, {""token"": ""MEK"", ""start_span"": 273, ""end_span"": 276, ""type"": ""Gene/Protein""}, {""token"": ""ERK"", ""start_span"": 279, ""end_span"": 282, ""type"": ""Gene/Protein""}]"	test
Apoptosis - related proteins during spontaneous constitutive PCD in the presence of S100A8 / 9. SDS - PAGE of McL1, Bcl - xl, A1, Bcl2, and survivin in spontaneous constitutive apoptosis, with and without addition of S100A8 / 9.	S100A8,84,90,Gene/Protein	McL1,110,114,Gene/Protein	Bcl - xl,116,124,Gene/Protein	A1,126,128,Gene/Protein	Bcl2,130,134,Gene/Protein	survivin,140,148,Gene/Protein	S100A8,217,223,Gene/Protein	"[{""token"": ""S100A8"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Gene/Protein""}, {""token"": ""McL1"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""Bcl - xl"", ""start_span"": 116, ""end_span"": 124, ""type"": ""Gene/Protein""}, {""token"": ""A1"", ""start_span"": 126, ""end_span"": 128, ""type"": ""Gene/Protein""}, {""token"": ""Bcl2"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""survivin"", ""start_span"": 140, ""end_span"": 148, ""type"": ""Gene/Protein""}, {""token"": ""S100A8"", ""start_span"": 217, ""end_span"": 223, ""type"": ""Gene/Protein""}]"	test
The complications they cause such as learning disorders, memory - formation deficits and epilepsy, have profound effects on patients ' daily life. 1, 2 Numerous gene mutations are involved in these pathologies, including genes associated with postsynaptic components. 3, 4 Moreover, recent studies provide increasing evidence of the importance of epigenetic mechanisms in the underlying pathobiology, 5 and mutations of genes involved in epigenetic regulation are found in patients with neurodevelopmental disorders. 6, 7 In addition, recent report suggests that several histone - modification genes, including both histone methyltransferases and demethylases, are causative risk genes for such disorders. 8 Nevertheless, our knowledge of the involvement of histone modifications in neurodevelopmental disorders is limited.	epilepsy,89,97,Disease/Disorder	neurodevelopmental disorders,487,515,Disease/Disorder	histone,571,578,Gene/Protein	histone methyltransferases,616,642,Gene/Protein	demethylases,647,659,Gene/Protein	histone,758,765,Gene/Protein	neurodevelopmental disorders,783,811,Disease/Disorder	"[{""token"": ""epilepsy"", ""start_span"": 89, ""end_span"": 97, ""type"": ""Disease/Disorder""}, {""token"": ""neurodevelopmental disorders"", ""start_span"": 487, ""end_span"": 515, ""type"": ""Disease/Disorder""}, {""token"": ""histone"", ""start_span"": 571, ""end_span"": 578, ""type"": ""Gene/Protein""}, {""token"": ""histone methyltransferases"", ""start_span"": 616, ""end_span"": 642, ""type"": ""Gene/Protein""}, {""token"": ""demethylases"", ""start_span"": 647, ""end_span"": 659, ""type"": ""Gene/Protein""}, {""token"": ""histone"", ""start_span"": 758, ""end_span"": 765, ""type"": ""Gene/Protein""}, {""token"": ""neurodevelopmental disorders"", ""start_span"": 783, ""end_span"": 811, ""type"": ""Disease/Disorder""}]"	test
Next, sections were incubated with NeuN ( anti - mouse NeuN 1: 100 MAB377, Millipore, Darmstadt, Germany) or GFAP ( anti - mouse GFAP 1: 500, sc58766, Santa Cruz Biotechnology, Dallas, TX, USA) antibodies diluted in PBS overnight at 4 ° C followed by washing with PBS three times at room temperature.	NeuN,35,39,Gene/Protein	mouse,49,54,Organism/Species	NeuN,55,59,Gene/Protein	GFAP,109,113,Gene/Protein	mouse,123,128,Organism/Species	GFAP,129,133,Gene/Protein	sc58766,142,149,Chemical/Drug	"[{""token"": ""NeuN"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene/Protein""}, {""token"": ""mouse"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Organism/Species""}, {""token"": ""NeuN"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""GFAP"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""mouse"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Organism/Species""}, {""token"": ""GFAP"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Gene/Protein""}, {""token"": ""sc58766"", ""start_span"": 142, ""end_span"": 149, ""type"": ""Chemical/Drug""}]"	test
The membrane was blocked with 5% not - fat dry milk in PBS containing 0. 05% tween - 20 ( PBS - T) and incubated for 1 h at room temperature or overnight at 4 ° C, with PSD95 antibody ( anti - mouse PSD95 1: 500, MA1 - 046, Thermo Scientific, Waltham, MA, USA) or GAPDH antibody ( anti - rabbit GAPDH 1: 1000, sc - 25778, Santa Cruz Biotechnology) diluted in PBS - T containing 1% non - fat dry milk.	tween - 20,77,87,Chemical/Drug	PSD95,169,174,Gene/Protein	mouse,193,198,Organism/Species	PSD95,199,204,Gene/Protein	GAPDH,264,269,Gene/Protein	rabbit,288,294,Organism/Species	GAPDH,295,300,Gene/Protein	"[{""token"": ""tween - 20"", ""start_span"": 77, ""end_span"": 87, ""type"": ""Chemical/Drug""}, {""token"": ""PSD95"", ""start_span"": 169, ""end_span"": 174, ""type"": ""Gene/Protein""}, {""token"": ""mouse"", ""start_span"": 193, ""end_span"": 198, ""type"": ""Organism/Species""}, {""token"": ""PSD95"", ""start_span"": 199, ""end_span"": 204, ""type"": ""Gene/Protein""}, {""token"": ""GAPDH"", ""start_span"": 264, ""end_span"": 269, ""type"": ""Gene/Protein""}, {""token"": ""rabbit"", ""start_span"": 288, ""end_span"": 294, ""type"": ""Organism/Species""}, {""token"": ""GAPDH"", ""start_span"": 295, ""end_span"": 300, ""type"": ""Gene/Protein""}]"	test
